date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
01-02-2024,21:30,Central Córdoba (SE),Godoy Cruz,Argentina - Copa LPF 2024,Alfredo Terrera,steal,1,1,57,Godoy Cruz,Juan Bautista Cejas,0.03,0.51,-1.0,,,,,
01-02-2024,21:30,Central Córdoba (SE),Godoy Cruz,Argentina - Copa LPF 2024,Alfredo Terrera,steal,1,7,19,Godoy Cruz,Nicolás Fernández,-0.08,0.33,-1.0,,,,,
01-02-2024,21:30,Central Córdoba (SE),Godoy Cruz,Argentina - Copa LPF 2024,Alfredo Terrera,steal,1,14,46,Godoy Cruz,Juan Andrada,0.33,0.05,-1.0,,,,,
01-02-2024,21:30,Central Córdoba (SE),Godoy Cruz,Argentina - Copa LPF 2024,Alfredo Terrera,steal,1,21,44,Godoy Cruz,Nicolás Fernández,-0.37,-0.69,-1.0,,,,,
01-02-2024,21:30,Central Córdoba (SE),Godoy Cruz,Argentina - Copa LPF 2024,Alfredo Terrera,steal,1,21,56,Godoy Cruz,Hernán López Muñoz,-0.27,-0.07,-1.0,,,,,
01-02-2024,21:30,Central Córdoba (SE),Godoy Cruz,Argentina - Copa LPF 2024,Alfredo Terrera,steal,1,34,58,Godoy Cruz,Nicolás Fernández,0.2,-0.58,-1.0,,,,,
01-02-2024,21:30,Central Córdoba (SE),Godoy Cruz,Argentina - Copa LPF 2024,Alfredo Terrera,steal,1,46,16,Godoy Cruz,Hernán López Muñoz,0.47,0.49,-1.0,,,,,
01-02-2024,21:30,Central Córdoba (SE),Godoy Cruz,Argentina - Copa LPF 2024,Alfredo Terrera,steal,1,47,0,Godoy Cruz,Federico Rasmussen,0.49,0.15,-1.0,,,,,
01-02-2024,21:30,Central Córdoba (SE),Godoy Cruz,Argentina - Copa LPF 2024,Alfredo Terrera,steal,1,47,57,Godoy Cruz,Hernán López Muñoz,-0.31,0.43,-1.0,,,,,
01-02-2024,21:30,Central Córdoba (SE),Godoy Cruz,Argentina - Copa LPF 2024,Alfredo Terrera,steal,1,48,8,Godoy Cruz,Thomas Galdames,-0.63,0.69,-1.0,,,,,
01-02-2024,21:30,Central Córdoba (SE),Godoy Cruz,Argentina - Copa LPF 2024,Alfredo Terrera,steal,2,47,48,Godoy Cruz,Hernán López Muñoz,-0.33,0.28,-1.0,,,,,
01-02-2024,21:30,Central Córdoba (SE),Godoy Cruz,Argentina - Copa LPF 2024,Alfredo Terrera,steal,2,48,36,Godoy Cruz,Juan Bautista Cejas,0.43,-0.45,-1.0,,,,,
01-02-2024,21:30,Central Córdoba (SE),Godoy Cruz,Argentina - Copa LPF 2024,Alfredo Terrera,steal,2,64,33,Godoy Cruz,Pier Barrios,-0.23,0.4,-1.0,,,,,
01-02-2024,21:30,Central Córdoba (SE),Godoy Cruz,Argentina - Copa LPF 2024,Alfredo Terrera,steal,2,64,57,Godoy Cruz,Federico Rasmussen,-0.38,-0.34,-1.0,,,,,
01-02-2024,21:30,Central Córdoba (SE),Godoy Cruz,Argentina - Copa LPF 2024,Alfredo Terrera,steal,2,74,13,Godoy Cruz,Tomás  Pozzo,-0.1,0.5,-1.0,,,,,
01-02-2024,21:30,Central Córdoba (SE),Godoy Cruz,Argentina - Copa LPF 2024,Alfredo Terrera,steal,2,75,13,Godoy Cruz,Pier Barrios,-0.29,0.17,-1.0,,,,,
01-02-2024,21:30,Central Córdoba (SE),Godoy Cruz,Argentina - Copa LPF 2024,Alfredo Terrera,steal,2,81,12,Godoy Cruz,Nicolás Fernández,-0.38,-0.74,-1.0,,,,,
01-02-2024,21:30,Central Córdoba (SE),Godoy Cruz,Argentina - Copa LPF 2024,Alfredo Terrera,steal,2,81,25,Godoy Cruz,Tomás  Pozzo,-0.24,-0.03,-1.0,,,,,
01-02-2024,21:30,Central Córdoba (SE),Godoy Cruz,Argentina - Copa LPF 2024,Alfredo Terrera,steal,2,83,45,Central Córdoba (SE),José Gómez,-0.38,-0.54,-1.0,,,,,
01-02-2024,21:30,Central Córdoba (SE),Godoy Cruz,Argentina - Copa LPF 2024,Alfredo Terrera,steal,2,86,59,Godoy Cruz,Federico Rasmussen,-0.44,-0.66,-1.0,,,,,
01-02-2024,21:30,Central Córdoba (SE),Godoy Cruz,Argentina - Copa LPF 2024,Alfredo Terrera,steal,2,88,31,Godoy Cruz,Federico Rasmussen,-0.56,0.14,-1.0,,,,,
01-02-2024,21:30,Central Córdoba (SE),Godoy Cruz,Argentina - Copa LPF 2024,Alfredo Terrera,steal,2,91,29,Godoy Cruz,Federico Rasmussen,-0.32,-0.62,-1.0,,,,,
01-02-2024,21:30,Central Córdoba (SE),Godoy Cruz,Argentina - Copa LPF 2024,Alfredo Terrera,steal,2,93,53,Central Córdoba (SE),Juan Andrés Meli,0.8,0.71,-1.0,,,,,
01-02-2024,21:30,Central Córdoba (SE),Godoy Cruz,Argentina - Copa LPF 2024,Alfredo Terrera,foul,1,5,52,Godoy Cruz,Nicolás Fernández,0.31,-0.75,-1.0,Walter Montoya,,,,
01-02-2024,21:30,Central Córdoba (SE),Godoy Cruz,Argentina - Copa LPF 2024,Alfredo Terrera,foul,1,12,13,Godoy Cruz,Hernán López Muñoz,-0.35,0.54,-1.0,Rodrigo Atencio,,,,
01-02-2024,21:30,Central Córdoba (SE),Godoy Cruz,Argentina - Copa LPF 2024,Alfredo Terrera,foul,1,19,58,Godoy Cruz,Tomás Conechny,,,,,,,,
