date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
25-01-2024,21:15,Atlético Tucumán,Rosario Central,Argentina - Copa LPF 2024,Monumental Presidente José Fierro,steal,1,3,47,Atlético Tucumán,Joaquín Pereyra,0.12,0.46,-1.0,,,,,
25-01-2024,21:15,Atlético Tucumán,Rosario Central,Argentina - Copa LPF 2024,Monumental Presidente José Fierro,steal,1,7,42,Atlético Tucumán,Joaquín Pereyra,0.44,0.74,-1.0,,,,,
25-01-2024,21:15,Atlético Tucumán,Rosario Central,Argentina - Copa LPF 2024,Monumental Presidente José Fierro,steal,1,9,44,Rosario Central,Elías Ocampo,0.22,-0.67,-1.0,,,,,
25-01-2024,21:15,Atlético Tucumán,Rosario Central,Argentina - Copa LPF 2024,Monumental Presidente José Fierro,steal,1,9,44,Atlético Tucumán,Nicolás Castro,0.12,-0.85,-1.0,,,,,
25-01-2024,21:15,Atlético Tucumán,Rosario Central,Argentina - Copa LPF 2024,Monumental Presidente José Fierro,steal,1,9,57,Atlético Tucumán,Joaquín Pereyra,0.28,0.46,-1.0,,,,,
25-01-2024,21:15,Atlético Tucumán,Rosario Central,Argentina - Copa LPF 2024,Monumental Presidente José Fierro,steal,1,12,51,Rosario Central,Tomás O'Connor,0.74,-0.6,-1.0,,,,,
25-01-2024,21:15,Atlético Tucumán,Rosario Central,Argentina - Copa LPF 2024,Monumental Presidente José Fierro,steal,1,12,55,Atlético Tucumán,Adrián Sánchez,0.11,0.31,-1.0,,,,,
25-01-2024,21:15,Atlético Tucumán,Rosario Central,Argentina - Copa LPF 2024,Monumental Presidente José Fierro,steal,1,13,6,Rosario Central,Kevin Ortiz,0.17,0.34,-1.0,,,,,
25-01-2024,21:15,Atlético Tucumán,Rosario Central,Argentina - Copa LPF 2024,Monumental Presidente José Fierro,steal,1,13,14,Atlético Tucumán,Matías Orihuela,-0.25,-0.66,-1.0,,,,,
25-01-2024,21:15,Atlético Tucumán,Rosario Central,Argentina - Copa LPF 2024,Monumental Presidente José Fierro,steal,1,13,58,Rosario Central,Tomás O'Connor,0.18,-0.18,-1.0,,,,,
25-01-2024,21:15,Atlético Tucumán,Rosario Central,Argentina - Copa LPF 2024,Monumental Presidente José Fierro,steal,1,13,57,Atlético Tucumán,Agustín Lagos,0.07,0.51,-1.0,,,,,
