date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
25-01-2024,21:15,Central Córdoba (SE),Newell`s,Argentina - Copa LPF 2024,Alfredo Terrera,steal,1,7,12,Newell`s,Franco Díaz,-0.21,-0.65,-1.0,,,,,
25-01-2024,21:15,Central Córdoba (SE),Newell`s,Argentina - Copa LPF 2024,Alfredo Terrera,steal,1,8,51,Newell`s,Ian Glavinovich,0.32,0.05,-1.0,,,,,
25-01-2024,21:15,Central Córdoba (SE),Newell`s,Argentina - Copa LPF 2024,Alfredo Terrera,steal,1,13,19,Newell`s,Franco Díaz,0.53,-0.12,-1.0,,,,,
25-01-2024,21:15,Central Córdoba (SE),Newell`s,Argentina - Copa LPF 2024,Alfredo Terrera,steal,1,16,6,Central Córdoba (SE),Federico Andueza,-0.56,-0.75,-1.0,,,,,
25-01-2024,21:15,Central Córdoba (SE),Newell`s,Argentina - Copa LPF 2024,Alfredo Terrera,steal,1,23,6,Newell`s,David Sotelo,-0.33,0.0,-1.0,,,,,
25-01-2024,21:15,Central Córdoba (SE),Newell`s,Argentina - Copa LPF 2024,Alfredo Terrera,steal,1,23,24,Newell`s,David Sotelo,0.55,-0.58,-1.0,,,,,
25-01-2024,21:15,Central Córdoba (SE),Newell`s,Argentina - Copa LPF 2024,Alfredo Terrera,steal,1,23,50,Central Córdoba (SE),Manuel García,-0.51,-0.39,-1.0,,,,,
25-01-2024,21:15,Central Córdoba (SE),Newell`s,Argentina - Copa LPF 2024,Alfredo Terrera,steal,1,24,19,Newell`s,David Sotelo,-0.05,-0.26,-1.0,,,,,
25-01-2024,21:15,Central Córdoba (SE),Newell`s,Argentina - Copa LPF 2024,Alfredo Terrera,steal,1,24,44,Newell`s,Ian Glavinovich,0.43,0.02,-1.0,,,,,
25-01-2024,21:15,Central Córdoba (SE),Newell`s,Argentina - Copa LPF 2024,Alfredo Terrera,steal,1,25,5,Central Córdoba (SE),Sebastián Valdez,-0.69,0.72,-1.0,,,,,
25-01-2024,21:15,Central Córdoba (SE),Newell`s,Argentina - Copa LPF 2024,Alfredo Terrera,steal,1,25,31,Newell`s,Ian Glavinovich,0.01,0.59,-1.0,,,,,
25-01-2024,21:15,Central Córdoba (SE),Newell`s,Argentina - Copa LPF 2024,Alfredo Terrera,steal,1,27,35,Newell`s,Ian Glavinovich,0.34,0.38,-1.0,,,,,
25-01-2024,21:15,Central Córdoba (SE),Newell`s,Argentina - Copa LPF 2024,Alfredo Terrera,steal,1,35,12,Central Córdoba (SE),Manuel García,0.42,0.58,-1.0,,,,,
25-01-2024,21:15,Central Córdoba (SE),Newell`s,Argentina - Copa LPF 2024,Alfredo Terrera,steal,1,35,38,Newell`s,Víctor Velázquez,0.61,-0.09,-1.0,,,,,
25-01-2024,21:15,Central Córdoba (SE),Newell`s,Argentina - Copa LPF 2024,Alfredo Terrera,steal,1,37,27,Newell`s,Brian Aguirre,0.14,0.37,-1.0,,,,,
25-01-2024,21:15,Central Córdoba (SE),Newell`s,Argentina - Copa LPF 2024,Alfredo Terrera,steal,1,38,8,Newell`s,Ian Glavinovich,-0.24,0.22,-1.0,,,,,
25-01-2024,21:15,Central Córdoba (SE),Newell`s,Argentina - Copa LPF 2024,Alfredo Terrera,steal,1,40,41,Newell`s,David Sotelo,0.34,-0.24,-1.0,,,,,
25-01-2024,21:15,Central Córdoba (SE),Newell`s,Argentina - Copa LPF 2024,Alfredo Terrera,steal,1,45,48,Newell`s,Ángelo Martino,0.57,0.13,-1.0,,,,,
25-01-2024,21:15,Central Córdoba (SE),Newell`s,Argentina - Copa LPF 2024,Alfredo Terrera,steal,2,46,24,Newell`s,Ever Banega,-0.1,-0.5,-1.0,,,,,
25-01-2024,21:15,Central Córdoba (SE),Newell`s,Argentina - Copa LPF 2024,Alfredo Terrera,steal,2,46,45,Newell`s,Ignacio Schor,0.3,0.44,-1.0,,,,,
25-01-2024,21:15,Central Córdoba (SE),Newell`s,Argentina - Copa LPF 2024,Alfredo Terrera,steal,2,49,12,Central Córdoba (SE),Sebastián Valdez,0.26,-0.5,-1.0,,,,,
25-01-2024,21:15,Central Córdoba (SE),Newell`s,Argentina - Copa LPF 2024,Alfredo Terrera,steal,2,49,2,Newell`s,Ángelo Martino,-0.63,-0.6,-1.0,,,,,
25-01-2024,21:15,Central Córdoba (SE),Newell`s,Argentina - Copa LPF 2024,Alfredo Terrera,steal,2,52,32,Newell`s,David Sotelo,-0.33,-0.45,-1.0,,,,,
25-01-2024,21:15,Central Córdoba (SE),Newell`s,Argentina - Copa LPF 2024,Alfredo Terrera,steal,2,53,25,Newell`s,Armando Méndez,0.46,0.76,-1.0,,,,,
25-01-2024,21:15,Central Córdoba (SE),Newell`s,Argentina - Copa LPF 2024,Alfredo Terrera,steal,2,55,17,Central Córdoba (SE),Lautaro Montoya,0.05,0.71,-1.0,,,,,
25-01-2024,21:15,Central Córdoba (SE),Newell`s,Argentina - Copa LPF 2024,Alfredo Terrera,steal,2,56,31,Newell`s,Brian Aguirre,0.22,-0.47,-1.0,,,,,
25-01-2024,21:15,Central Córdoba (SE),Newell`s,Argentina - Copa LPF 2024,Alfredo Terrera,steal,2,60,42,Newell`s,Guillermo May,-0.1,-0.41,-1.0,,,,,
25-01-2024,21:15,Central Córdoba (SE),Newell`s,Argentina - Copa LPF 2024,Alfredo Terrera,steal,2,71,31,Newell`s,Guillermo May,0.36,0.35,-1.0,,,,,
25-01-2024,21:15,Central Córdoba (SE),Newell`s,Argentina - Copa LPF 2024,Alfredo Terrera,steal,2,77,22,Newell`s,Ever Banega,0.31,-0.66,-1.0,,,,,
25-01-2024,21:15,Central Córdoba (SE),Newell`s,Argentina - Copa LPF 2024,Alfredo Terrera,steal,2,78,59,Newell`s,Jerónimo Cacciabue,-0.16,-0.31,-1.0,,,,,
25-01-2024,21:15,Central Córdoba (SE),Newell`s,Argentina - Copa LPF 2024,Alfredo Terrera,steal,2,79,12,Newell`s,Armando Méndez,0.34,0.39,-1.0,,,,,
25-01-2024,21:15,Central Córdoba (SE),Newell`s,Argentina - Copa LPF 2024,Alfredo Terrera,steal,2,79,18,Newell`s,Jerónimo Cacciabue,-0.07,0.37,-1.0,,,,,
25-01-2024,21:15,Central Córdoba (SE),Newell`s,Argentina - Copa LPF 2024,Alfredo Terrera,steal,2,80,34,Newell`s,David Sotelo,0.4,0.06,-1.0,,,,,
25-01-2024,21:15,Central Córdoba (SE),Newell`s,Argentina - Copa LPF 2024,Alfredo Terrera,steal,2,83,43,Newell`s,Ángelo Martino,-0.54,-0.71,-1.0,,,,,
25-01-2024,21:15,Central Córdoba (SE),Newell`s,Argentina - Copa LPF 2024,Alfredo Terrera,steal,2,87,6,Central Córdoba (SE),Manuel García,-0.12,0.49,-1.0,,,,,
25-01-2024,21:15,Central Córdoba (SE),Newell`s,Argentina - Copa LPF 2024,Alfredo Terrera,steal,2,87,5,Newell`s,Misael Jaime,0.35,-0.31,-1.0,,,,,
25-01-2024,21:15,Central Córdoba (SE),Newell`s,Argentina - Copa LPF 2024,Alfredo Terrera,steal,2,87,13,Newell`s,Leonel Vangioni,0.14,-0.62,-1.0,,,,,
25-01-2024,21:15,Central Córdoba (SE),Newell`s,Argentina - Copa LPF 2024,Alfredo Terrera,steal,2,88,25,Newell`s,Brian Aguirre,0.52,-0.92,-1.0,,,,,
25-01-2024,21:15,Central Córdoba (SE),Newell`s,Argentina - Copa LPF 2024,Alfredo Terrera,steal,2,92,33,Newell`s,Misael Jaime,-0.96,0.85,-1.0,,,,,
25-01-2024,21:15,Central Córdoba (SE),Newell`s,Argentina - Copa LPF 2024,Alfredo Terrera,steal,2,96,38,Newell`s,Ángelo Martino,-0.91,-0.86,-1.0,,,,,
25-01-2024,21:15,Central Córdoba (SE),Newell`s,Argentina - Copa LPF 2024,Alfredo Terrera,foul,1,2,26,Central Córdoba (SE),Walter Montoya,-0.06,-0.33,-1.0,David Sotelo,,,,
25-01-2024,21:15,Central Córdoba (SE),Newell`s,Argentina - Copa LPF 2024,Alfredo Terrera,foul,1,3,50,Newell`s,Brian Aguirre,-0.41,-0.42,-1.0,Walter Montoya,,,,
25-01-2024,21:15,Central Córdoba (SE),Newell`s,Argentina - Copa LPF 2024,Alfredo Terrera,foul,1,9,46,Central Córdoba (SE),Thiago Nuss,-0.29,0.74,-1.0,Ángelo Martino,,,,
25-01-2024,21:15,Central Córdoba (SE),Newell`s,Argentina - Copa LPF 2024,Alfredo Terrera,foul,1,18,55,Newell`s,Ignacio Schor,-0.83,0.06,-1.0,Federico Andueza,,,,
25-01-2024,21:15,Central Córdoba (SE),Newell`s,Argentina - Copa LPF 2024,Alfredo Terrera,foul,1,20,42,Newell`s,Guillermo May,-0.29,-0.48,-1.0,Walter Montoya,,,,
25-01-2024,21:15,Central Córdoba (SE),Newell`s,Argentina - Copa LPF 2024,Alfredo Terrera,foul,1,21,51,Central Córdoba (SE),Thiago Nuss,-0.22,0.42,-1.0,Ever Banega,,,,
