date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
25-01-2024,19:00,Instituto,Dep. Riestra,Argentina - Copa LPF 2024,Monumental de Alta Córdoba,steal,1,5,39,Dep. Riestra,Nicolás Caro Torres,0.87,-0.79,-1.0,,,,,
25-01-2024,19:00,Instituto,Dep. Riestra,Argentina - Copa LPF 2024,Monumental de Alta Córdoba,steal,1,15,30,Instituto,Guido Mainero,0.2,0.01,-1.0,,,,,
25-01-2024,19:00,Instituto,Dep. Riestra,Argentina - Copa LPF 2024,Monumental de Alta Córdoba,steal,1,18,37,Instituto,Miguel Brizuela,-0.51,-0.39,-1.0,,,,,
25-01-2024,19:00,Instituto,Dep. Riestra,Argentina - Copa LPF 2024,Monumental de Alta Córdoba,steal,1,18,54,Instituto,Juan José Franco,-0.18,0.22,-1.0,,,,,
25-01-2024,19:00,Instituto,Dep. Riestra,Argentina - Copa LPF 2024,Monumental de Alta Córdoba,steal,1,27,42,Dep. Riestra,Pedro Ramírez,0.36,0.81,-1.0,,,,,
25-01-2024,19:00,Instituto,Dep. Riestra,Argentina - Copa LPF 2024,Monumental de Alta Córdoba,steal,1,35,28,Dep. Riestra,Nahuel Iribarren,0.69,0.66,-1.0,,,,,
25-01-2024,19:00,Instituto,Dep. Riestra,Argentina - Copa LPF 2024,Monumental de Alta Córdoba,steal,1,35,49,Dep. Riestra,Pedro Ramírez,0.46,0.78,-1.0,,,,,
25-01-2024,19:00,Instituto,Dep. Riestra,Argentina - Copa LPF 2024,Monumental de Alta Córdoba,steal,1,43,56,Instituto,Juan José Franco,-0.4,0.07,-1.0,,,,,
25-01-2024,19:00,Instituto,Dep. Riestra,Argentina - Copa LPF 2024,Monumental de Alta Córdoba,steal,2,49,54,Instituto,Fernando Alarcón,0.41,-0.24,-1.0,,,,,
25-01-2024,19:00,Instituto,Dep. Riestra,Argentina - Copa LPF 2024,Monumental de Alta Córdoba,steal,2,63,44,Instituto,Roberto Bochi,-0.41,-0.1,-1.0,,,,,
25-01-2024,19:00,Instituto,Dep. Riestra,Argentina - Copa LPF 2024,Monumental de Alta Córdoba,steal,2,64,53,Instituto,Damián Puebla,0.11,-0.03,-1.0,,,,,
25-01-2024,19:00,Instituto,Dep. Riestra,Argentina - Copa LPF 2024,Monumental de Alta Córdoba,steal,2,75,36,Instituto,Miguel Brizuela,0.38,-0.13,-1.0,,,,,
