date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
25-01-2024,19:00,Tigre,Sarmiento,Argentina - Copa LPF 2024,Coliseo de Victoria,steal,1,0,35,Tigre,Nicolás Contín,0.1,0.54,-1.0,,,,,
25-01-2024,19:00,Tigre,Sarmiento,Argentina - Copa LPF 2024,Coliseo de Victoria,steal,1,3,8,Tigre,Nicolás Contín,0.14,0.22,-1.0,,,,,
25-01-2024,19:00,Tigre,Sarmiento,Argentina - Copa LPF 2024,Coliseo de Victoria,steal,1,5,6,Tigre,Martín Garay,0.03,0.35,-1.0,,,,,
25-01-2024,19:00,Tigre,Sarmiento,Argentina - Copa LPF 2024,Coliseo de Victoria,steal,1,10,40,Tigre,Augusto Aguirre,-0.32,0.53,-1.0,,,,,
25-01-2024,19:00,Tigre,Sarmiento,Argentina - Copa LPF 2024,Coliseo de Victoria,steal,1,12,20,Tigre,Augusto Aguirre,-0.66,0.71,-1.0,,,,,
25-01-2024,19:00,Tigre,Sarmiento,Argentina - Copa LPF 2024,Coliseo de Victoria,steal,1,13,3,Tigre,Agustín Cardozo,0.11,0.34,-1.0,,,,,
25-01-2024,19:00,Tigre,Sarmiento,Argentina - Copa LPF 2024,Coliseo de Victoria,steal,1,13,22,Tigre,Pablo Adorno,-0.39,-0.47,-1.0,,,,,
25-01-2024,19:00,Tigre,Sarmiento,Argentina - Copa LPF 2024,Coliseo de Victoria,steal,1,15,42,Tigre,Juan Manuel Sánchez Miño,-0.45,-0.62,-1.0,,,,,
25-01-2024,19:00,Tigre,Sarmiento,Argentina - Copa LPF 2024,Coliseo de Victoria,steal,1,16,40,Tigre,Martín Garay,0.34,0.76,-1.0,,,,,
25-01-2024,19:00,Tigre,Sarmiento,Argentina - Copa LPF 2024,Coliseo de Victoria,steal,1,17,43,Sarmiento,Alfredo Amarilla,0.78,0.78,-1.0,,,,,
25-01-2024,19:00,Tigre,Sarmiento,Argentina - Copa LPF 2024,Coliseo de Victoria,steal,1,24,47,Tigre,Brahian Alemán,0.25,-0.21,-1.0,,,,,
25-01-2024,19:00,Tigre,Sarmiento,Argentina - Copa LPF 2024,Coliseo de Victoria,steal,1,25,28,Tigre,Tomás Galván,0.31,0.72,-1.0,,,,,
25-01-2024,19:00,Tigre,Sarmiento,Argentina - Copa LPF 2024,Coliseo de Victoria,steal,1,31,28,Tigre,Martín Garay,0.4,0.85,-1.0,,,,,
25-01-2024,19:00,Tigre,Sarmiento,Argentina - Copa LPF 2024,Coliseo de Victoria,steal,1,34,7,Tigre,Brahian Alemán,0.18,-0.19,-1.0,,,,,
25-01-2024,19:00,Tigre,Sarmiento,Argentina - Copa LPF 2024,Coliseo de Victoria,steal,1,35,3,Tigre,Nicolás Contín,0.42,-0.3,-1.0,,,,,
25-01-2024,19:00,Tigre,Sarmiento,Argentina - Copa LPF 2024,Coliseo de Victoria,steal,1,39,21,Tigre,Blas Armoa,0.26,-0.36,-1.0,,,,,
25-01-2024,19:00,Tigre,Sarmiento,Argentina - Copa LPF 2024,Coliseo de Victoria,steal,1,45,25,Sarmiento,Agustín Fontana,0.02,-0.52,-1.0,,,,,
25-01-2024,19:00,Tigre,Sarmiento,Argentina - Copa LPF 2024,Coliseo de Victoria,steal,1,45,40,Tigre,Martín Garay,0.1,0.71,-1.0,,,,,
25-01-2024,19:00,Tigre,Sarmiento,Argentina - Copa LPF 2024,Coliseo de Victoria,steal,2,47,40,Sarmiento,José Mauri,-0.49,0.53,-1.0,,,,,
25-01-2024,19:00,Tigre,Sarmiento,Argentina - Copa LPF 2024,Coliseo de Victoria,steal,2,47,52,Tigre,Brahian Alemán,-0.39,0.65,-1.0,,,,,
25-01-2024,19:00,Tigre,Sarmiento,Argentina - Copa LPF 2024,Coliseo de Victoria,steal,2,48,57,Tigre,Tomás Galván,-0.04,-0.23,-1.0,,,,,
25-01-2024,19:00,Tigre,Sarmiento,Argentina - Copa LPF 2024,Coliseo de Victoria,steal,2,50,4,Tigre,Brahian Alemán,0.36,0.23,-1.0,,,,,
25-01-2024,19:00,Tigre,Sarmiento,Argentina - Copa LPF 2024,Coliseo de Victoria,steal,2,50,19,Tigre,Agustín Cardozo,0.08,0.44,-1.0,,,,,
25-01-2024,19:00,Tigre,Sarmiento,Argentina - Copa LPF 2024,Coliseo de Victoria,steal,2,53,36,Tigre,Augusto Aguirre,0.52,-0.37,-1.0,,,,,
25-01-2024,19:00,Tigre,Sarmiento,Argentina - Copa LPF 2024,Coliseo de Victoria,steal,2,66,7,Tigre,Gian Nardelli,0.62,0.28,-1.0,,,,,
25-01-2024,19:00,Tigre,Sarmiento,Argentina - Copa LPF 2024,Coliseo de Victoria,steal,2,69,5,Tigre,Brahian Alemán,-0.19,0.37,-1.0,,,,,
25-01-2024,19:00,Tigre,Sarmiento,Argentina - Copa LPF 2024,Coliseo de Victoria,steal,2,69,42,Tigre,Brahian Alemán,-0.25,0.47,-1.0,,,,,
25-01-2024,19:00,Tigre,Sarmiento,Argentina - Copa LPF 2024,Coliseo de Victoria,steal,2,71,2,Tigre,Pablo Adorno,0.5,0.12,-1.0,,,,,
25-01-2024,19:00,Tigre,Sarmiento,Argentina - Copa LPF 2024,Coliseo de Victoria,steal,2,71,7,Sarmiento,Gabriel Díaz,-0.59,-0.79,-1.0,,,,,
25-01-2024,19:00,Tigre,Sarmiento,Argentina - Copa LPF 2024,Coliseo de Victoria,steal,2,71,36,Tigre,Augusto Aguirre,0.4,-0.58,-1.0,,,,,
25-01-2024,19:00,Tigre,Sarmiento,Argentina - Copa LPF 2024,Coliseo de Victoria,steal,2,72,11,Sarmiento,Joaquín Gho,0.07,0.63,-1.0,,,,,
25-01-2024,19:00,Tigre,Sarmiento,Argentina - Copa LPF 2024,Coliseo de Victoria,steal,2,74,23,Sarmiento,Gabriel Díaz,-0.48,-0.81,-1.0,,,,,
25-01-2024,19:00,Tigre,Sarmiento,Argentina - Copa LPF 2024,Coliseo de Victoria,steal,2,76,51,Tigre,Juan Cruz Esquivel,0.17,0.35,-1.0,,,,,
25-01-2024,19:00,Tigre,Sarmiento,Argentina - Copa LPF 2024,Coliseo de Victoria,steal,2,85,26,Tigre,Pablo Adorno,-0.25,0.8,-1.0,,,,,
25-01-2024,19:00,Tigre,Sarmiento,Argentina - Copa LPF 2024,Coliseo de Victoria,foul,1,1,30,Tigre,Tomás Galván,0.14,-0.7,-1.0,Sergio Quiroga,,,,
25-01-2024,19:00,Tigre,Sarmiento,Argentina - Copa LPF 2024,Coliseo de Victoria,foul,1,3,10,Sarmiento,Alfredo Amarilla,0.25,0.47,-1.0,Nicolás Contín,,,,
25-01-2024,19:00,Tigre,Sarmiento,Argentina - Copa LPF 2024,Coliseo de Victoria,foul,1,5,28,Sarmiento,Fernando Godoy,0.37,0.09,-1.0,Brahian Alemán,,,,
25-01-2024,19:00,Tigre,Sarmiento,Argentina - Copa LPF 2024,Coliseo de Victoria,foul,1,8,56,Sarmiento,Alfredo Amarilla,0.32,0.58,-1.0,Augusto Aguirre,,,,
25-01-2024,19:00,Tigre,Sarmiento,Argentina - Copa LPF 2024,Coliseo de Victoria,foul,1,12,18,Sarmiento,Sergio Quiroga,-0.47,0.73,-1.0,Brahian Alemán,,,,
25-01-2024,19:00,Tigre,Sarmiento,Argentina - Copa LPF 2024,Coliseo de Victoria,foul,1,16,4,Sarmiento,Fernando Godoy,0.28,-0.73,-1.0,Tomás Galván,,,,
25-01-2024,19:00,Tigre,Sarmiento,Argentina - Copa LPF 2024,Coliseo de Victoria,foul,1,18,26,Tigre,Augusto Aguirre,-0.16,0.46,-1.0,Iván Morales,,,,
