date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
26-01-2024,21:15,Banfield,Huracán,Argentina - Copa LPF 2024,Florencio Sola,steal,1,3,28,Huracán,Walter Mazzantti,-0.41,-0.78,-1.0,,,,,
26-01-2024,21:15,Banfield,Huracán,Argentina - Copa LPF 2024,Florencio Sola,steal,1,4,47,Huracán,Ignacio Pussetto,-0.72,-0.31,-1.0,,,,,
26-01-2024,21:15,Banfield,Huracán,Argentina - Copa LPF 2024,Florencio Sola,steal,1,5,0,Banfield,Emanuel Coronel,-0.73,0.83,-1.0,,,,,
26-01-2024,21:15,Banfield,Huracán,Argentina - Copa LPF 2024,Florencio Sola,steal,1,7,25,Banfield,Ignacio Rodríguez,-0.03,-0.19,-1.0,,,,,
26-01-2024,21:15,Banfield,Huracán,Argentina - Copa LPF 2024,Florencio Sola,steal,1,7,38,Huracán,Héctor Fértoli,0.02,0.6,-1.0,,,,,
26-01-2024,21:15,Banfield,Huracán,Argentina - Copa LPF 2024,Florencio Sola,steal,1,8,10,Banfield,Ezequiel Cañete,-0.16,0.08,-1.0,,,,,
26-01-2024,21:15,Banfield,Huracán,Argentina - Copa LPF 2024,Florencio Sola,steal,1,9,17,Banfield,,-0.76,-0.71,-1.0,,,,,
26-01-2024,21:15,Banfield,Huracán,Argentina - Copa LPF 2024,Florencio Sola,steal,1,13,41,Banfield,Yvo Calleros,-0.38,-0.51,-1.0,,,,,
26-01-2024,21:15,Banfield,Huracán,Argentina - Copa LPF 2024,Florencio Sola,steal,1,14,1,Huracán,Héctor Fértoli,-0.47,0.38,-1.0,,,,,
26-01-2024,21:15,Banfield,Huracán,Argentina - Copa LPF 2024,Florencio Sola,steal,1,20,17,Banfield,,-0.16,-0.74,-1.0,,,,,
26-01-2024,21:15,Banfield,Huracán,Argentina - Copa LPF 2024,Florencio Sola,steal,1,20,17,Huracán,Andrés Roa,-0.16,-0.61,-1.0,,,,,
26-01-2024,21:15,Banfield,Huracán,Argentina - Copa LPF 2024,Florencio Sola,steal,1,22,39,Banfield,Yvo Calleros,-0.72,0.29,-1.0,,,,,
26-01-2024,21:15,Banfield,Huracán,Argentina - Copa LPF 2024,Florencio Sola,steal,1,29,22,Banfield,Ignacio Rodríguez,-0.71,-0.45,-1.0,,,,,
26-01-2024,21:15,Banfield,Huracán,Argentina - Copa LPF 2024,Florencio Sola,steal,1,31,27,Banfield,,-0.65,-0.48,-1.0,,,,,
26-01-2024,21:15,Banfield,Huracán,Argentina - Copa LPF 2024,Florencio Sola,steal,1,32,25,Banfield,Ignacio Rodríguez,-0.14,-0.68,-1.0,,,,,
26-01-2024,21:15,Banfield,Huracán,Argentina - Copa LPF 2024,Florencio Sola,steal,1,33,38,Banfield,Milton Giménez,0.41,0.34,-1.0,,,,,
26-01-2024,21:15,Banfield,Huracán,Argentina - Copa LPF 2024,Florencio Sola,steal,1,34,8,Banfield,Emanuel Coronel,-0.71,0.76,-1.0,,,,,
26-01-2024,21:15,Banfield,Huracán,Argentina - Copa LPF 2024,Florencio Sola,steal,1,35,6,Banfield,Emanuel Coronel,-0.06,0.8,-1.0,,,,,
26-01-2024,21:15,Banfield,Huracán,Argentina - Copa LPF 2024,Florencio Sola,steal,1,37,46,Banfield,Ignacio Rodríguez,-0.1,-0.84,-1.0,,,,,
26-01-2024,21:15,Banfield,Huracán,Argentina - Copa LPF 2024,Florencio Sola,steal,1,40,24,Huracán,Lucas Carrizo,0.66,0.31,-1.0,,,,,
26-01-2024,21:15,Banfield,Huracán,Argentina - Copa LPF 2024,Florencio Sola,steal,1,44,54,Huracán,Rodrigo Echeverría,0.21,0.23,-1.0,,,,,
26-01-2024,21:15,Banfield,Huracán,Argentina - Copa LPF 2024,Florencio Sola,steal,2,58,39,Huracán,Williams Alarcón,-0.35,-0.31,-1.0,,,,,
26-01-2024,21:15,Banfield,Huracán,Argentina - Copa LPF 2024,Florencio Sola,steal,2,60,41,Banfield,Milton Giménez,-0.49,0.86,-1.0,,,,,
26-01-2024,21:15,Banfield,Huracán,Argentina - Copa LPF 2024,Florencio Sola,steal,2,63,49,Huracán,Hernán De La Fuente,-0.86,0.58,-1.0,,,,,
26-01-2024,21:15,Banfield,Huracán,Argentina - Copa LPF 2024,Florencio Sola,steal,2,69,57,Huracán,Williams Alarcón,0.2,-0.03,-1.0,,,,,
26-01-2024,21:15,Banfield,Huracán,Argentina - Copa LPF 2024,Florencio Sola,steal,2,70,8,Banfield,,0.68,0.37,-1.0,,,,,
26-01-2024,21:15,Banfield,Huracán,Argentina - Copa LPF 2024,Florencio Sola,steal,2,72,59,Huracán,Fabio Pereyra,-0.64,-0.06,-1.0,,,,,
26-01-2024,21:15,Banfield,Huracán,Argentina - Copa LPF 2024,Florencio Sola,steal,2,74,43,Huracán,Lucas Carrizo,-0.36,-0.24,-1.0,,,,,
26-01-2024,21:15,Banfield,Huracán,Argentina - Copa LPF 2024,Florencio Sola,steal,2,75,0,Huracán,Hernán De La Fuente,-0.49,0.64,-1.0,,,,,
26-01-2024,21:15,Banfield,Huracán,Argentina - Copa LPF 2024,Florencio Sola,steal,2,83,30,Banfield,Juan Pablo Álvarez,0.16,0.07,-1.0,,,,,
26-01-2024,21:15,Banfield,Huracán,Argentina - Copa LPF 2024,Florencio Sola,steal,2,84,26,Huracán,Walter Mazzantti,-0.85,0.66,-1.0,,,,,
26-01-2024,21:15,Banfield,Huracán,Argentina - Copa LPF 2024,Florencio Sola,steal,2,88,30,Huracán,Leandro Garate,-0.28,0.76,-1.0,,,,,
26-01-2024,21:15,Banfield,Huracán,Argentina - Copa LPF 2024,Florencio Sola,steal,2,88,45,Banfield,Luciano Recalde,0.42,0.63,-1.0,,,,,
26-01-2024,21:15,Banfield,Huracán,Argentina - Copa LPF 2024,Florencio Sola,steal,2,91,48,Banfield,Lautaro Ríos,-0.04,-0.45,-1.0,,,,,
26-01-2024,21:15,Banfield,Huracán,Argentina - Copa LPF 2024,Florencio Sola,foul,1,1,14,Huracán,Lucas Souto,-0.57,-0.86,-1.0,,,,,
26-01-2024,21:15,Banfield,Huracán,Argentina - Copa LPF 2024,Florencio Sola,foul,1,1,50,Banfield,Ezequiel Cañete,0.42,0.36,-1.0,Héctor Fértoli,,,,
26-01-2024,21:15,Banfield,Huracán,Argentina - Copa LPF 2024,Florencio Sola,foul,1,3,45,Huracán,Rodrigo Echeverría,-0.77,-0.02,-1.0,Marcelo Barovero,,,,
26-01-2024,21:15,Banfield,Huracán,Argentina - Copa LPF 2024,Florencio Sola,foul,1,8,55,Banfield,Yvo Calleros,-0.2,-0.53,-1.0,Ignacio Pussetto,,,,
26-01-2024,21:15,Banfield,Huracán,Argentina - Copa LPF 2024,Florencio Sola,foul,1,12,38,Huracán,Rodrigo Echeverría,0.24,0.3,-1.0,Milton Giménez,,,,
26-01-2024,21:15,Banfield,Huracán,Argentina - Copa LPF 2024,Florencio Sola,foul,1,13,59,Banfield,Juan Pablo Álvarez,-0.41,0.59,-1.0,Héctor Fértoli,,,,
26-01-2024,21:15,Banfield,Huracán,Argentina - Copa LPF 2024,Florencio Sola,foul,1,20,50,Banfield,Bruno Sepúlveda,-0.17,0.7,-1.0,Lucas Carrizo,,,,
26-01-2024,21:15,Banfield,Huracán,Argentina - Copa LPF 2024,Florencio Sola,foul,1,32,55,Banfield,,-0.39,-0.84,-1.0,Ignacio Pussetto,,,,
26-01-2024,21:15,Banfield,Huracán,Argentina - Copa LPF 2024,Florencio Sola,foul,1,34,16,Huracán,Héctor Fértoli,-0.5,0.66,-1.0,Emanuel Coronel,,,,
26-01-2024,21:15,Banfield,Huracán,Argentina - Copa LPF 2024,Florencio Sola,foul,1,35,3,Huracán,Andrés Roa,0.41,0.82,-1.0,Emanuel Coronel,,,,
26-01-2024,21:15,Banfield,Huracán,Argentina - Copa LPF 2024,Florencio Sola,foul,1,37,53,Banfield,Bruno Sepúlveda,0.43,0.2,-1.0,Lucas Carrizo,,,,
26-01-2024,21:15,Banfield,Huracán,Argentina - Copa LPF 2024,Florencio Sola,foul,1,40,45,Banfield,Juan Pablo Álvarez,0.49,0.71,-1.0,César Ibáñez,,,,
26-01-2024,21:15,Banfield,Huracán,Argentina - Copa LPF 2024,Florencio Sola,foul,1,41,30,Banfield,Ignacio Rodríguez,-0.5,-0.05,-1.0,Ignacio Pussetto,,,,
26-01-2024,21:15,Banfield,Huracán,Argentina - Copa LPF 2024,Florencio Sola,foul,2,45,13,Banfield,Bruno Sepúlveda,-0.26,-0.58,-1.0,Héctor Fértoli,,,,
26-01-2024,21:15,Banfield,Huracán,Argentina - Copa LPF 2024,Florencio Sola,foul,2,50,18,Huracán,Andrés Roa,-0.31,-0.39,-1.0,Juan Pablo Álvarez,,,,
26-01-2024,21:15,Banfield,Huracán,Argentina - Copa LPF 2024,Florencio Sola,foul,2,53,29,Banfield,Ezequiel Cañete,0.14,0.09,-1.0,Williams Alarcón,,,,
26-01-2024,21:15,Banfield,Huracán,Argentina - Copa LPF 2024,Florencio Sola,foul,2,54,13,Huracán,Walter Mazzantti,0.33,0.82,-1.0,,,,,
26-01-2024,21:15,Banfield,Huracán,Argentina - Copa LPF 2024,Florencio Sola,foul,2,54,39,Huracán,Fernando Tobio,-0.34,0.34,-1.0,Bruno Sepúlveda,,,,
26-01-2024,21:15,Banfield,Huracán,Argentina - Copa LPF 2024,Florencio Sola,foul,2,58,15,Huracán,Leandro Garate,0.19,0.39,-1.0,Matías González,,,,
26-01-2024,21:15,Banfield,Huracán,Argentina - Copa LPF 2024,Florencio Sola,foul,2,60,43,Huracán,Fernando Tobio,-0.57,0.76,-1.0,Milton Giménez,,,,
26-01-2024,21:15,Banfield,Huracán,Argentina - Copa LPF 2024,Florencio Sola,foul,2,64,34,Huracán,Leandro Garate,0.39,0.54,-1.0,Yvo Calleros,,,,
26-01-2024,21:15,Banfield,Huracán,Argentina - Copa LPF 2024,Florencio Sola,foul,2,65,10,Huracán,César Ibáñez,-0.48,-0.85,-1.0,Juan Pablo Álvarez,,,,
26-01-2024,21:15,Banfield,Huracán,Argentina - Copa LPF 2024,Florencio Sola,foul,2,68,48,Banfield,Gerónimo Rivera,-0.43,0.58,-1.0,Hernán De La Fuente,,,,
26-01-2024,21:15,Banfield,Huracán,Argentina - Copa LPF 2024,Florencio Sola,foul,2,70,12,Huracán,Walter Mazzantti,0.42,0.44,-1.0,,,,,
26-01-2024,21:15,Banfield,Huracán,Argentina - Copa LPF 2024,Florencio Sola,foul,2,71,48,Huracán,Rodrigo Echeverría,0.79,0.42,-1.0,Yvo Calleros,,,,
26-01-2024,21:15,Banfield,Huracán,Argentina - Copa LPF 2024,Florencio Sola,foul,2,73,15,Banfield,,0.79,0.79,-1.0,Walter Mazzantti,,,,
26-01-2024,21:15,Banfield,Huracán,Argentina - Copa LPF 2024,Florencio Sola,foul,2,75,5,Banfield,,-0.29,0.71,-1.0,Héctor Fértoli,,,,
26-01-2024,21:15,Banfield,Huracán,Argentina - Copa LPF 2024,Florencio Sola,foul,2,77,11,Banfield,,0.38,0.64,-1.0,Walter Mazzantti,,,,
26-01-2024,21:15,Banfield,Huracán,Argentina - Copa LPF 2024,Florencio Sola,foul,2,80,20,Banfield,Alejandro Maciel,-0.69,0.0,-1.0,,,,,
26-01-2024,21:15,Banfield,Huracán,Argentina - Copa LPF 2024,Florencio Sola,foul,2,83,39,Huracán,Rodrigo Echeverría,-0.26,0.43,-1.0,,,,,
26-01-2024,21:15,Banfield,Huracán,Argentina - Copa LPF 2024,Florencio Sola,foul,2,84,42,Banfield,Yvo Calleros,-0.14,0.49,-1.0,Ignacio Pussetto,,,,
26-01-2024,21:15,Banfield,Huracán,Argentina - Copa LPF 2024,Florencio Sola,foul,2,87,13,Banfield,Lautaro Ríos,0.21,0.5,-1.0,Hernán De La Fuente,,,,
26-01-2024,21:15,Banfield,Huracán,Argentina - Copa LPF 2024,Florencio Sola,foul,2,91,15,Banfield,Lautaro Ríos,-0.5,-0.11,-1.0,Rodrigo Echeverría,,,,
26-01-2024,21:15,Banfield,Huracán,Argentina - Copa LPF 2024,Florencio Sola,foul,2,91,47,Huracán,Rodrigo Echeverría,-0.33,-0.25,-1.0,Lautaro Ríos,,,,
26-01-2024,21:15,Banfield,Huracán,Argentina - Copa LPF 2024,Florencio Sola,foul,2,93,48,Banfield,Milton Giménez,-0.37,0.32,-1.0,Fabio Pereyra,,,,
