date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
26-01-2024,18:00,Barracas Central,Vélez,Argentina - Copa LPF 2024,Ciudad de Lanús,steal,1,22,26,Vélez,Braian Romero,-0.14,0.17,-1.0,,,,,
26-01-2024,18:00,Barracas Central,Vélez,Argentina - Copa LPF 2024,Ciudad de Lanús,steal,1,25,44,Barracas Central,Manuel Duarte,0.19,0.55,-1.0,,,,,
26-01-2024,18:00,Barracas Central,Vélez,Argentina - Copa LPF 2024,Ciudad de Lanús,steal,1,25,51,Vélez,Claudio Aquino,0.17,0.78,-1.0,,,,,
26-01-2024,18:00,Barracas Central,Vélez,Argentina - Copa LPF 2024,Ciudad de Lanús,steal,1,31,16,Vélez,Leonardo Jara,0.85,-0.86,-1.0,,,,,
26-01-2024,18:00,Barracas Central,Vélez,Argentina - Copa LPF 2024,Ciudad de Lanús,steal,1,33,49,Vélez,Valentín Gómez,0.88,0.66,-1.0,,,,,
26-01-2024,18:00,Barracas Central,Vélez,Argentina - Copa LPF 2024,Ciudad de Lanús,steal,1,39,7,Vélez,Valentín Gómez,-0.16,0.55,-1.0,,,,,
26-01-2024,18:00,Barracas Central,Vélez,Argentina - Copa LPF 2024,Ciudad de Lanús,steal,1,41,36,Vélez,Francisco Pizzini,0.51,-0.87,-1.0,,,,,
26-01-2024,18:00,Barracas Central,Vélez,Argentina - Copa LPF 2024,Ciudad de Lanús,steal,1,44,48,Vélez,Valentín Gómez,0.11,0.12,-1.0,,,,,
26-01-2024,18:00,Barracas Central,Vélez,Argentina - Copa LPF 2024,Ciudad de Lanús,steal,2,52,15,Barracas Central,Facundo Mater,-0.28,-0.49,-1.0,,,,,
26-01-2024,18:00,Barracas Central,Vélez,Argentina - Copa LPF 2024,Ciudad de Lanús,steal,2,57,11,Barracas Central,Siro Rosané,0.33,0.29,-1.0,,,,,
26-01-2024,18:00,Barracas Central,Vélez,Argentina - Copa LPF 2024,Ciudad de Lanús,steal,2,60,11,Barracas Central,Lucas Brochero,0.16,-0.6,-1.0,,,,,
26-01-2024,18:00,Barracas Central,Vélez,Argentina - Copa LPF 2024,Ciudad de Lanús,steal,2,60,16,Vélez,Valentín Gómez,-0.75,-0.35,-1.0,,,,,
26-01-2024,18:00,Barracas Central,Vélez,Argentina - Copa LPF 2024,Ciudad de Lanús,steal,2,65,24,Vélez,Santiago Cáseres,0.12,-0.24,-1.0,,,,,
26-01-2024,18:00,Barracas Central,Vélez,Argentina - Copa LPF 2024,Ciudad de Lanús,steal,2,68,1,Vélez,Santiago Cáseres,-0.16,-0.49,-1.0,,,,,
26-01-2024,18:00,Barracas Central,Vélez,Argentina - Copa LPF 2024,Ciudad de Lanús,steal,2,71,18,Vélez,Santiago Cáseres,0.04,-0.55,-1.0,,,,,
26-01-2024,18:00,Barracas Central,Vélez,Argentina - Copa LPF 2024,Ciudad de Lanús,steal,2,81,10,Vélez,Elías Gómez,-0.74,-0.72,-1.0,,,,,
