date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
26-01-2024,21:15,Independiente Riv. (M),Independiente,Argentina - Copa LPF 2024,Bautista Gargantini,steal,1,3,5,Independiente Riv. (M),Gastón Gil Romero,0.1,0.15,-1.0,,,,,
26-01-2024,21:15,Independiente Riv. (M),Independiente,Argentina - Copa LPF 2024,Bautista Gargantini,steal,1,5,8,Independiente,Mauricio Isla,0.5,-0.72,-1.0,,,,,
26-01-2024,21:15,Independiente Riv. (M),Independiente,Argentina - Copa LPF 2024,Bautista Gargantini,steal,1,22,32,Independiente,Iván Marcone,0.25,-0.54,-1.0,,,,,
26-01-2024,21:15,Independiente Riv. (M),Independiente,Argentina - Copa LPF 2024,Bautista Gargantini,steal,1,25,51,Independiente Riv. (M),Gastón Gil Romero,-0.19,0.63,-1.0,,,,,
26-01-2024,21:15,Independiente Riv. (M),Independiente,Argentina - Copa LPF 2024,Bautista Gargantini,steal,1,27,10,Independiente Riv. (M),Juan Manuel Vázquez,-0.29,-0.27,-1.0,,,,,
26-01-2024,21:15,Independiente Riv. (M),Independiente,Argentina - Copa LPF 2024,Bautista Gargantini,steal,1,36,49,Independiente Riv. (M),Antonio Napolitano,0.18,-0.27,-1.0,,,,,
26-01-2024,21:15,Independiente Riv. (M),Independiente,Argentina - Copa LPF 2024,Bautista Gargantini,steal,1,37,14,Independiente Riv. (M),Antonio Napolitano,-0.89,0.51,-1.0,,,,,
26-01-2024,21:15,Independiente Riv. (M),Independiente,Argentina - Copa LPF 2024,Bautista Gargantini,steal,1,37,49,Independiente Riv. (M),Luciano Abecasis,-0.8,0.45,-1.0,,,,,
26-01-2024,21:15,Independiente Riv. (M),Independiente,Argentina - Copa LPF 2024,Bautista Gargantini,steal,1,47,31,Independiente Riv. (M),Gastón Gil Romero,-0.49,-0.68,-1.0,,,,,
26-01-2024,21:15,Independiente Riv. (M),Independiente,Argentina - Copa LPF 2024,Bautista Gargantini,steal,2,47,33,Independiente,Mauricio Isla,-0.85,0.78,-1.0,,,,,
26-01-2024,21:15,Independiente Riv. (M),Independiente,Argentina - Copa LPF 2024,Bautista Gargantini,steal,2,47,19,Independiente Riv. (M),Gastón Gil Romero,-0.85,0.66,-1.0,,,,,
26-01-2024,21:15,Independiente Riv. (M),Independiente,Argentina - Copa LPF 2024,Bautista Gargantini,steal,2,60,26,Independiente Riv. (M),Luciano Abecasis,-0.11,-0.59,-1.0,,,,,
26-01-2024,21:15,Independiente Riv. (M),Independiente,Argentina - Copa LPF 2024,Bautista Gargantini,steal,2,62,6,Independiente Riv. (M),Luciano Abecasis,0.32,-0.77,-1.0,,,,,
26-01-2024,21:15,Independiente Riv. (M),Independiente,Argentina - Copa LPF 2024,Bautista Gargantini,steal,2,69,52,Independiente Riv. (M),Juan Manuel Vázquez,0.27,-0.6,-1.0,,,,,
26-01-2024,21:15,Independiente Riv. (M),Independiente,Argentina - Copa LPF 2024,Bautista Gargantini,steal,2,80,56,Independiente Riv. (M),Emmanuel Mas,-0.46,-0.46,-1.0,,,,,
26-01-2024,21:15,Independiente Riv. (M),Independiente,Argentina - Copa LPF 2024,Bautista Gargantini,steal,2,85,8,Independiente Riv. (M),Emmanuel Mas,0.58,0.59,-1.0,,,,,
26-01-2024,21:15,Independiente Riv. (M),Independiente,Argentina - Copa LPF 2024,Bautista Gargantini,foul,1,2,43,Independiente,Gabriel Ávalos,,,,,,,,
26-01-2024,21:15,Independiente Riv. (M),Independiente,Argentina - Copa LPF 2024,Bautista Gargantini,foul,1,3,24,Independiente,Damián Pérez,0.88,0.81,-1.0,Matías Reali,,,,
26-01-2024,21:15,Independiente Riv. (M),Independiente,Argentina - Copa LPF 2024,Bautista Gargantini,foul,1,5,51,Independiente Riv. (M),Francisco Petrasso,-0.56,0.81,-1.0,Alexis Canelo,,,,
26-01-2024,21:15,Independiente Riv. (M),Independiente,Argentina - Copa LPF 2024,Bautista Gargantini,foul,1,8,46,Independiente,Ayrton Costa,0.54,0.75,-1.0,Alex Arce,,,,
26-01-2024,21:15,Independiente Riv. (M),Independiente,Argentina - Copa LPF 2024,Bautista Gargantini,foul,1,11,7,Independiente,Federico Mancuello,-0.17,0.62,-1.0,Antonio Napolitano,,,,
26-01-2024,21:15,Independiente Riv. (M),Independiente,Argentina - Copa LPF 2024,Bautista Gargantini,foul,1,12,41,Independiente Riv. (M),Francisco Petrasso,-0.62,0.81,-1.0,Federico Mancuello,,,,
26-01-2024,21:15,Independiente Riv. (M),Independiente,Argentina - Copa LPF 2024,Bautista Gargantini,foul,1,21,16,Independiente Riv. (M),Alex Arce,-0.46,0.82,-1.0,Iván Marcone,,,,
26-01-2024,21:15,Independiente Riv. (M),Independiente,Argentina - Copa LPF 2024,Bautista Gargantini,foul,1,26,14,Independiente Riv. (M),Bruno Bianchi,0.1,0.45,-1.0,Alexis Canelo,,,,
26-01-2024,21:15,Independiente Riv. (M),Independiente,Argentina - Copa LPF 2024,Bautista Gargantini,foul,1,27,22,Independiente Riv. (M),Antonio Napolitano,0.09,-0.34,-1.0,Jhonny Quiñónez,,,,
26-01-2024,21:15,Independiente Riv. (M),Independiente,Argentina - Copa LPF 2024,Bautista Gargantini,foul,1,38,36,Independiente,Alexis Canelo,-0.86,0.81,-1.0,Bruno Bianchi,,,,
26-01-2024,21:15,Independiente Riv. (M),Independiente,Argentina - Copa LPF 2024,Bautista Gargantini,foul,1,42,15,Independiente,Felipe Aguilar,-0.13,-0.28,-1.0,Alex Arce,,,,
26-01-2024,21:15,Independiente Riv. (M),Independiente,Argentina - Copa LPF 2024,Bautista Gargantini,foul,1,43,17,Independiente Riv. (M),Gastón Gil Romero,-0.27,0.78,-1.0,Damián Pérez,,,,
26-01-2024,21:15,Independiente Riv. (M),Independiente,Argentina - Copa LPF 2024,Bautista Gargantini,foul,1,45,17,Independiente,Joaquín Laso,0.31,0.89,-1.0,Alex Arce,,,,
26-01-2024,21:15,Independiente Riv. (M),Independiente,Argentina - Copa LPF 2024,Bautista Gargantini,foul,1,47,50,Independiente,Damián Pérez,-0.28,0.01,-1.0,Luciano Abecasis,,,,
26-01-2024,21:15,Independiente Riv. (M),Independiente,Argentina - Copa LPF 2024,Bautista Gargantini,foul,2,57,32,Independiente Riv. (M),Gastón Gil Romero,-0.29,-0.63,-1.0,Santiago Toloza,,,,
26-01-2024,21:15,Independiente Riv. (M),Independiente,Argentina - Copa LPF 2024,Bautista Gargantini,foul,2,62,17,Independiente,Joaquín Laso,0.1,-0.78,-1.0,Matías Reali,,,,
26-01-2024,21:15,Independiente Riv. (M),Independiente,Argentina - Copa LPF 2024,Bautista Gargantini,foul,2,62,51,Independiente,Santiago Toloza,-0.23,-0.62,-1.0,Luciano Abecasis,,,,
26-01-2024,21:15,Independiente Riv. (M),Independiente,Argentina - Copa LPF 2024,Bautista Gargantini,foul,2,65,41,Independiente Riv. (M),Emmanuel Mas,0.24,0.74,-1.0,Gabriel Ávalos,,,,
26-01-2024,21:15,Independiente Riv. (M),Independiente,Argentina - Copa LPF 2024,Bautista Gargantini,foul,2,72,39,Independiente,Gabriel Ávalos,0.38,-0.69,-1.0,Francisco Petrasso,,,,
26-01-2024,21:15,Independiente Riv. (M),Independiente,Argentina - Copa LPF 2024,Bautista Gargantini,foul,2,73,10,Independiente Riv. (M),Gastón Gil Romero,0.08,0.42,-1.0,Santiago Toloza,,,,
26-01-2024,21:15,Independiente Riv. (M),Independiente,Argentina - Copa LPF 2024,Bautista Gargantini,foul,2,75,27,Independiente Riv. (M),Alex Arce,-0.19,0.06,-1.0,Iván Marcone,,,,
26-01-2024,21:15,Independiente Riv. (M),Independiente,Argentina - Copa LPF 2024,Bautista Gargantini,foul,2,80,0,Independiente,Ayrton Costa,0.24,-0.8,-1.0,Matías Reali,,,,
26-01-2024,21:15,Independiente Riv. (M),Independiente,Argentina - Copa LPF 2024,Bautista Gargantini,foul,2,81,31,Independiente Riv. (M),Gastón Gil Romero,0.01,-0.53,-1.0,Santiago Toloza,,,,
26-01-2024,21:15,Independiente Riv. (M),Independiente,Argentina - Copa LPF 2024,Bautista Gargantini,foul,2,84,49,Independiente Riv. (M),Alex Arce,-0.23,0.55,-1.0,Santiago Toloza,,,,
26-01-2024,21:15,Independiente Riv. (M),Independiente,Argentina - Copa LPF 2024,Bautista Gargantini,foul,2,87,51,Independiente,Gabriel Ávalos,0.26,-0.36,-1.0,Bruno Bianchi,,,,
26-01-2024,21:15,Independiente Riv. (M),Independiente,Argentina - Copa LPF 2024,Bautista Gargantini,foul,2,92,47,Independiente,Ignacio Maestro Puch,0.2,-0.82,-1.0,Bruno Bianchi,,,,
