date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
26-01-2024,19:00,Talleres,Gimnasia,Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,1,3,19,Talleres,Ramiro Ruiz Rodríguez,0.22,0.35,-1.0,,,,,
26-01-2024,19:00,Talleres,Gimnasia,Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,1,6,40,Gimnasia,Juan Pintado,0.4,-0.35,-1.0,,,,,
26-01-2024,19:00,Talleres,Gimnasia,Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,1,6,46,Gimnasia,David Zalazar,-0.1,-0.64,-1.0,,,,,
26-01-2024,19:00,Talleres,Gimnasia,Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,1,7,39,Talleres,Gastón Benavídez,-0.46,0.81,-1.0,,,,,
26-01-2024,19:00,Talleres,Gimnasia,Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,1,11,17,Gimnasia,David Zalazar,-0.27,-0.79,-1.0,,,,,
26-01-2024,19:00,Talleres,Gimnasia,Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,1,16,35,Talleres,Matías Galarza,-0.34,-0.83,-1.0,,,,,
26-01-2024,19:00,Talleres,Gimnasia,Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,1,17,36,Gimnasia,Jonathan  Cabral,0.43,-0.04,-1.0,,,,,
26-01-2024,19:00,Talleres,Gimnasia,Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,1,19,24,Gimnasia,Rodrigo Saravia,0.24,-0.65,-1.0,,,,,
26-01-2024,19:00,Talleres,Gimnasia,Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,1,23,35,Talleres,Matías Galarza,-0.25,-0.78,-1.0,,,,,
26-01-2024,19:00,Talleres,Gimnasia,Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,1,25,33,Gimnasia,Juan Pintado,0.26,-0.9,-1.0,,,,,
26-01-2024,19:00,Talleres,Gimnasia,Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,1,25,47,Talleres,Blas Riveros,-0.35,-0.78,-1.0,,,,,
26-01-2024,19:00,Talleres,Gimnasia,Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,1,26,52,Gimnasia,Juan Pintado,0.55,-0.29,-1.0,,,,,
26-01-2024,19:00,Talleres,Gimnasia,Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,1,27,3,Gimnasia,Pablo De Blasis,0.21,-0.77,-1.0,,,,,
26-01-2024,19:00,Talleres,Gimnasia,Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,1,30,15,Gimnasia,Benjamín Domínguez,-0.17,0.42,-1.0,,,,,
26-01-2024,19:00,Talleres,Gimnasia,Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,1,31,4,Talleres,Juan Camilo Portilla,0.4,0.37,-1.0,,,,,
26-01-2024,19:00,Talleres,Gimnasia,Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,1,32,39,Talleres,Matías Galarza,-0.23,0.31,-1.0,,,,,
26-01-2024,19:00,Talleres,Gimnasia,Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,1,32,30,Gimnasia,Jonathan  Cabral,0.39,0.38,-1.0,,,,,
26-01-2024,19:00,Talleres,Gimnasia,Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,1,35,33,Gimnasia,Pablo De Blasis,-0.29,-0.59,-1.0,,,,,
26-01-2024,19:00,Talleres,Gimnasia,Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,1,38,5,Gimnasia,Benjamín Domínguez,0.13,0.41,-1.0,,,,,
26-01-2024,19:00,Talleres,Gimnasia,Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,1,38,17,Gimnasia,Pablo De Blasis,-0.14,0.5,-1.0,,,,,
26-01-2024,19:00,Talleres,Gimnasia,Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,1,39,39,Talleres,Gastón Benavídez,-0.51,0.87,-1.0,,,,,
26-01-2024,19:00,Talleres,Gimnasia,Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,1,39,47,Gimnasia,Rodrigo Saravia,-0.28,-0.38,-1.0,,,,,
26-01-2024,19:00,Talleres,Gimnasia,Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,1,42,24,Gimnasia,Eric Ramírez,-0.22,-0.66,-1.0,,,,,
26-01-2024,19:00,Talleres,Gimnasia,Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,1,44,45,Gimnasia,Eric Ramírez,-0.23,-0.44,-1.0,,,,,
