date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
27-01-2024,19:00,Platense,Boca Juniors,Argentina - Copa LPF 2024,Ciudad de Vicente López,steal,1,0,15,Boca Juniors,Luca Langoni,-0.39,0.35,-1.0,,,,,
27-01-2024,19:00,Platense,Boca Juniors,Argentina - Copa LPF 2024,Ciudad de Vicente López,steal,1,1,52,Boca Juniors,Jorman Campuzano,0.33,-0.34,-1.0,,,,,
27-01-2024,19:00,Platense,Boca Juniors,Argentina - Copa LPF 2024,Ciudad de Vicente López,steal,1,11,17,Boca Juniors,Guillermo Fernández,0.46,0.35,-1.0,,,,,
27-01-2024,19:00,Platense,Boca Juniors,Argentina - Copa LPF 2024,Ciudad de Vicente López,steal,1,13,18,Boca Juniors,Ezequiel Bullaude,0.0,-0.22,-1.0,,,,,
27-01-2024,19:00,Platense,Boca Juniors,Argentina - Copa LPF 2024,Ciudad de Vicente López,steal,1,16,40,Boca Juniors,Luis Adví­ncula,0.42,-0.78,-1.0,,,,,
27-01-2024,19:00,Platense,Boca Juniors,Argentina - Copa LPF 2024,Ciudad de Vicente López,steal,1,16,55,Boca Juniors,Ezequiel Bullaude,-0.14,-0.31,-1.0,,,,,
27-01-2024,19:00,Platense,Boca Juniors,Argentina - Copa LPF 2024,Ciudad de Vicente López,steal,1,18,29,Boca Juniors,Luis Adví­ncula,-0.09,-0.75,-1.0,,,,,
27-01-2024,19:00,Platense,Boca Juniors,Argentina - Copa LPF 2024,Ciudad de Vicente López,steal,1,22,28,Boca Juniors,Luca Langoni,-0.3,0.41,-1.0,,,,,
27-01-2024,19:00,Platense,Boca Juniors,Argentina - Copa LPF 2024,Ciudad de Vicente López,steal,1,25,5,Boca Juniors,Cristian Lema,0.59,-0.2,-1.0,,,,,
27-01-2024,19:00,Platense,Boca Juniors,Argentina - Copa LPF 2024,Ciudad de Vicente López,steal,1,25,10,Boca Juniors,Juan Ramírez,0.46,0.51,-1.0,,,,,
27-01-2024,19:00,Platense,Boca Juniors,Argentina - Copa LPF 2024,Ciudad de Vicente López,steal,1,28,15,Boca Juniors,Juan Ramírez,-0.21,0.32,-1.0,,,,,
27-01-2024,19:00,Platense,Boca Juniors,Argentina - Copa LPF 2024,Ciudad de Vicente López,steal,1,28,26,Boca Juniors,Guillermo Fernández,0.2,0.71,-1.0,,,,,
27-01-2024,19:00,Platense,Boca Juniors,Argentina - Copa LPF 2024,Ciudad de Vicente López,steal,1,41,59,Boca Juniors,Guillermo Fernández,-0.26,-0.47,-1.0,,,,,
27-01-2024,19:00,Platense,Boca Juniors,Argentina - Copa LPF 2024,Ciudad de Vicente López,steal,2,45,34,Boca Juniors,Cristian Lema,-0.41,0.73,-1.0,,,,,
27-01-2024,19:00,Platense,Boca Juniors,Argentina - Copa LPF 2024,Ciudad de Vicente López,steal,2,46,56,Boca Juniors,Luca Langoni,-0.71,0.65,-1.0,,,,,
27-01-2024,19:00,Platense,Boca Juniors,Argentina - Copa LPF 2024,Ciudad de Vicente López,steal,2,47,38,Boca Juniors,Nicolás Figal,-0.26,-0.69,-1.0,,,,,
27-01-2024,19:00,Platense,Boca Juniors,Argentina - Copa LPF 2024,Ciudad de Vicente López,steal,2,48,9,Platense,Ciro Rius,0.28,-0.79,-1.0,,,,,
27-01-2024,19:00,Platense,Boca Juniors,Argentina - Copa LPF 2024,Ciudad de Vicente López,steal,2,48,13,Boca Juniors,Nicolás Figal,-0.18,-0.58,-1.0,,,,,
