date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
27-01-2024,21:00,Racing Club,Unión,Argentina - Copa LPF 2024,Presidente Perón,steal,1,0,41,Unión,Federico Vera,0.07,-0.69,-1.0,,,,,
27-01-2024,21:00,Racing Club,Unión,Argentina - Copa LPF 2024,Presidente Perón,steal,1,2,30,Unión,Federico Vera,-0.16,0.89,-1.0,,,,,
27-01-2024,21:00,Racing Club,Unión,Argentina - Copa LPF 2024,Presidente Perón,steal,1,10,36,Unión,Claudio Corvalán,0.26,0.58,-1.0,,,,,
27-01-2024,21:00,Racing Club,Unión,Argentina - Copa LPF 2024,Presidente Perón,steal,1,10,41,Racing Club,Gastón Martirena,-0.28,0.22,-1.0,,,,,
27-01-2024,21:00,Racing Club,Unión,Argentina - Copa LPF 2024,Presidente Perón,steal,1,11,15,Unión,Claudio Corvalán,0.72,-0.29,-1.0,,,,,
27-01-2024,21:00,Racing Club,Unión,Argentina - Copa LPF 2024,Presidente Perón,steal,1,26,23,Unión,Federico Vera,-0.14,-0.64,-1.0,,,,,
27-01-2024,21:00,Racing Club,Unión,Argentina - Copa LPF 2024,Presidente Perón,steal,1,30,0,Unión,Nicolás Paz,0.56,-0.48,-1.0,,,,,
27-01-2024,21:00,Racing Club,Unión,Argentina - Copa LPF 2024,Presidente Perón,steal,1,30,57,Unión,Federico Vera,0.39,-0.57,-1.0,,,,,
27-01-2024,21:00,Racing Club,Unión,Argentina - Copa LPF 2024,Presidente Perón,steal,1,36,30,Unión,Mauro Luna Diale,0.2,0.45,-1.0,,,,,
27-01-2024,21:00,Racing Club,Unión,Argentina - Copa LPF 2024,Presidente Perón,steal,1,35,52,Racing Club,Santiago Sosa,0.0,0.03,-1.0,,,,,
27-01-2024,21:00,Racing Club,Unión,Argentina - Copa LPF 2024,Presidente Perón,steal,1,38,45,Racing Club,Santiago Sosa,-0.28,-0.16,-1.0,,,,,
27-01-2024,21:00,Racing Club,Unión,Argentina - Copa LPF 2024,Presidente Perón,steal,1,46,26,Unión,Gonzalo Morales,0.19,0.85,-1.0,,,,,
27-01-2024,21:00,Racing Club,Unión,Argentina - Copa LPF 2024,Presidente Perón,steal,2,45,21,Unión,Mauro Pittón,-0.14,0.52,-1.0,,,,,
27-01-2024,21:00,Racing Club,Unión,Argentina - Copa LPF 2024,Presidente Perón,steal,2,49,33,Unión,Mauro Luna Diale,-0.09,-0.62,-1.0,,,,,
27-01-2024,21:00,Racing Club,Unión,Argentina - Copa LPF 2024,Presidente Perón,steal,2,50,45,Unión,Joaquín Mosqueira,-0.22,0.44,-1.0,,,,,
27-01-2024,21:00,Racing Club,Unión,Argentina - Copa LPF 2024,Presidente Perón,steal,2,53,26,Unión,Federico Vera,0.2,0.86,-1.0,,,,,
27-01-2024,21:00,Racing Club,Unión,Argentina - Copa LPF 2024,Presidente Perón,steal,2,55,52,Unión,Federico Vera,-0.57,0.77,-1.0,,,,,
27-01-2024,21:00,Racing Club,Unión,Argentina - Copa LPF 2024,Presidente Perón,steal,2,57,31,Unión,Mauro Luna Diale,-0.42,0.24,-1.0,,,,,
