date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
27-01-2024,17:00,San Lorenzo,Lanús,Argentina - Copa LPF 2024,Pedro Bidegain,steal,1,9,28,Lanús,Raúl Loaiza,0.35,0.36,-1.0,,,,,
27-01-2024,17:00,San Lorenzo,Lanús,Argentina - Copa LPF 2024,Pedro Bidegain,steal,1,10,17,San Lorenzo,Manuel Insaurralde,0.23,-0.6,-1.0,,,,,
27-01-2024,17:00,San Lorenzo,Lanús,Argentina - Copa LPF 2024,Pedro Bidegain,steal,1,15,12,Lanús,Nery Domínguez,0.86,-0.81,-1.0,,,,,
27-01-2024,17:00,San Lorenzo,Lanús,Argentina - Copa LPF 2024,Pedro Bidegain,steal,1,15,13,San Lorenzo,Malcom Braida,0.85,-0.82,-1.0,,,,,
27-01-2024,17:00,San Lorenzo,Lanús,Argentina - Copa LPF 2024,Pedro Bidegain,steal,1,23,23,San Lorenzo,Gastón Campi,-0.19,-0.76,-1.0,,,,,
27-01-2024,17:00,San Lorenzo,Lanús,Argentina - Copa LPF 2024,Pedro Bidegain,steal,1,26,32,San Lorenzo,Manuel Insaurralde,-0.41,0.52,-1.0,,,,,
27-01-2024,17:00,San Lorenzo,Lanús,Argentina - Copa LPF 2024,Pedro Bidegain,steal,1,26,42,San Lorenzo,Manuel Insaurralde,-0.92,0.8,-1.0,,,,,
27-01-2024,17:00,San Lorenzo,Lanús,Argentina - Copa LPF 2024,Pedro Bidegain,steal,1,34,36,Lanús,Braian Aguirre,0.4,0.77,-1.0,,,,,
27-01-2024,17:00,San Lorenzo,Lanús,Argentina - Copa LPF 2024,Pedro Bidegain,steal,1,43,50,Lanús,Marcelino Moreno,0.2,0.77,-1.0,,,,,
27-01-2024,17:00,San Lorenzo,Lanús,Argentina - Copa LPF 2024,Pedro Bidegain,steal,1,46,41,San Lorenzo,Cristian Ferreira,-0.33,-0.42,-1.0,,,,,
27-01-2024,17:00,San Lorenzo,Lanús,Argentina - Copa LPF 2024,Pedro Bidegain,steal,2,45,28,Lanús,Nery Domínguez,-0.83,0.66,-1.0,,,,,
27-01-2024,17:00,San Lorenzo,Lanús,Argentina - Copa LPF 2024,Pedro Bidegain,steal,2,47,56,Lanús,Felipe Peña Biafore,-0.54,0.45,-1.0,,,,,
27-01-2024,17:00,San Lorenzo,Lanús,Argentina - Copa LPF 2024,Pedro Bidegain,steal,2,53,49,San Lorenzo,Jhohan Romaña,0.88,-0.54,-1.0,,,,,
27-01-2024,17:00,San Lorenzo,Lanús,Argentina - Copa LPF 2024,Pedro Bidegain,steal,2,59,27,San Lorenzo,Agustín Giay,0.76,-0.79,-1.0,,,,,
27-01-2024,17:00,San Lorenzo,Lanús,Argentina - Copa LPF 2024,Pedro Bidegain,steal,2,67,13,San Lorenzo,Eric Remedi,0.07,-0.04,-1.0,,,,,
27-01-2024,17:00,San Lorenzo,Lanús,Argentina - Copa LPF 2024,Pedro Bidegain,steal,2,73,46,San Lorenzo,Nahuel Barrios,0.41,0.26,-1.0,,,,,
27-01-2024,17:00,San Lorenzo,Lanús,Argentina - Copa LPF 2024,Pedro Bidegain,steal,2,76,21,Lanús,Nery Domínguez,-0.75,0.78,-1.0,,,,,
27-01-2024,17:00,San Lorenzo,Lanús,Argentina - Copa LPF 2024,Pedro Bidegain,steal,2,80,53,Lanús,Raúl Loaiza,-0.89,-0.55,-1.0,,,,,
27-01-2024,17:00,San Lorenzo,Lanús,Argentina - Copa LPF 2024,Pedro Bidegain,steal,2,81,47,San Lorenzo,Jhohan Romaña,0.46,-0.37,-1.0,,,,,
27-01-2024,17:00,San Lorenzo,Lanús,Argentina - Copa LPF 2024,Pedro Bidegain,steal,2,86,40,Lanús,Raúl Loaiza,-0.21,-0.15,-1.0,,,,,
27-01-2024,17:00,San Lorenzo,Lanús,Argentina - Copa LPF 2024,Pedro Bidegain,steal,2,90,44,Lanús,Walter Bou,0.22,-0.06,-1.0,,,,,
27-01-2024,17:00,San Lorenzo,Lanús,Argentina - Copa LPF 2024,Pedro Bidegain,steal,2,93,28,San Lorenzo,Iván Tapia,0.52,-0.65,-1.0,,,,,
27-01-2024,17:00,San Lorenzo,Lanús,Argentina - Copa LPF 2024,Pedro Bidegain,foul,1,1,40,San Lorenzo,Carlos Sánchez,-0.4,-0.49,-1.0,Marcelino Moreno,,,,
27-01-2024,17:00,San Lorenzo,Lanús,Argentina - Copa LPF 2024,Pedro Bidegain,foul,1,6,24,Lanús,Felipe Peña Biafore,-0.13,0.61,-1.0,Nahuel Barrios,,,,
27-01-2024,17:00,San Lorenzo,Lanús,Argentina - Copa LPF 2024,Pedro Bidegain,foul,1,15,50,Lanús,Ramiro Carrera,0.1,-0.5,-1.0,Cristian Ferreira,,,,
27-01-2024,17:00,San Lorenzo,Lanús,Argentina - Copa LPF 2024,Pedro Bidegain,foul,1,17,15,San Lorenzo,Elián Irala,0.35,0.33,-1.0,Raúl Loaiza,,,,
27-01-2024,17:00,San Lorenzo,Lanús,Argentina - Copa LPF 2024,Pedro Bidegain,foul,1,18,33,Lanús,Ramiro Carrera,0.27,-0.45,-1.0,Cristian Ferreira,,,,
27-01-2024,17:00,San Lorenzo,Lanús,Argentina - Copa LPF 2024,Pedro Bidegain,foul,1,21,38,San Lorenzo,Agustín Giay,0.53,0.81,-1.0,Raúl Loaiza,,,,
27-01-2024,17:00,San Lorenzo,Lanús,Argentina - Copa LPF 2024,Pedro Bidegain,foul,1,22,5,Lanús,Augusto Lotti,-0.42,0.7,-1.0,Agustín Giay,,,,
27-01-2024,17:00,San Lorenzo,Lanús,Argentina - Copa LPF 2024,Pedro Bidegain,foul,1,24,24,San Lorenzo,Jhohan Romaña,0.14,0.62,-1.0,Marcelino Moreno,,,,
27-01-2024,17:00,San Lorenzo,Lanús,Argentina - Copa LPF 2024,Pedro Bidegain,foul,1,26,45,Lanús,Braian Aguirre,-0.95,0.77,-1.0,Manuel Insaurralde,,,,
27-01-2024,17:00,San Lorenzo,Lanús,Argentina - Copa LPF 2024,Pedro Bidegain,foul,1,27,46,Lanús,Juan José Cáceres,0.64,-0.84,-1.0,Malcom Braida,,,,
27-01-2024,17:00,San Lorenzo,Lanús,Argentina - Copa LPF 2024,Pedro Bidegain,foul,1,36,40,Lanús,Felipe Peña Biafore,0.14,-0.48,-1.0,Adam Bareiro,,,,
27-01-2024,17:00,San Lorenzo,Lanús,Argentina - Copa LPF 2024,Pedro Bidegain,foul,1,37,54,San Lorenzo,Adam Bareiro,0.29,0.09,-1.0,Raúl Loaiza,,,,
27-01-2024,17:00,San Lorenzo,Lanús,Argentina - Copa LPF 2024,Pedro Bidegain,foul,1,41,26,San Lorenzo,Cristian Ferreira,0.05,-0.65,-1.0,Felipe Peña Biafore,,,,
27-01-2024,17:00,San Lorenzo,Lanús,Argentina - Copa LPF 2024,Pedro Bidegain,foul,1,44,7,San Lorenzo,Elián Irala,0.41,0.58,-1.0,Raúl Loaiza,,,,
27-01-2024,17:00,San Lorenzo,Lanús,Argentina - Copa LPF 2024,Pedro Bidegain,foul,1,45,17,San Lorenzo,Agustín Giay,-0.31,0.64,-1.0,Marcelino Moreno,,,,
27-01-2024,17:00,San Lorenzo,Lanús,Argentina - Copa LPF 2024,Pedro Bidegain,foul,2,47,37,Lanús,Ramiro Carrera,0.33,0.64,-1.0,Gastón Campi,,,,
27-01-2024,17:00,San Lorenzo,Lanús,Argentina - Copa LPF 2024,Pedro Bidegain,foul,2,48,2,San Lorenzo,Gastón Campi,-0.14,0.5,-1.0,Augusto Lotti,,,,
27-01-2024,17:00,San Lorenzo,Lanús,Argentina - Copa LPF 2024,Pedro Bidegain,foul,2,49,57,Lanús,Marcelino Moreno,,,,,,,,
27-01-2024,17:00,San Lorenzo,Lanús,Argentina - Copa LPF 2024,Pedro Bidegain,foul,2,51,21,San Lorenzo,Manuel Insaurralde,0.13,-0.54,-1.0,Marcelino Moreno,,,,
27-01-2024,17:00,San Lorenzo,Lanús,Argentina - Copa LPF 2024,Pedro Bidegain,foul,2,61,44,Lanús,Braian Aguirre,-0.58,-0.78,-1.0,Agustín Giay,,,,
27-01-2024,17:00,San Lorenzo,Lanús,Argentina - Copa LPF 2024,Pedro Bidegain,foul,2,67,25,San Lorenzo,Adam Bareiro,-0.34,-0.4,-1.0,Felipe Peña Biafore,,,,
27-01-2024,17:00,San Lorenzo,Lanús,Argentina - Copa LPF 2024,Pedro Bidegain,foul,2,66,23,San Lorenzo,Gastón Campi,-0.21,0.75,-1.0,Jonatan Torres,,,,
27-01-2024,17:00,San Lorenzo,Lanús,Argentina - Copa LPF 2024,Pedro Bidegain,foul,2,73,54,Lanús,Agustín Rodríguez,0.31,0.36,-1.0,Nahuel Barrios,,,,
27-01-2024,17:00,San Lorenzo,Lanús,Argentina - Copa LPF 2024,Pedro Bidegain,foul,2,76,26,San Lorenzo,Nahuel Barrios,-0.75,0.84,-1.0,Nery Domínguez,,,,
27-01-2024,17:00,San Lorenzo,Lanús,Argentina - Copa LPF 2024,Pedro Bidegain,foul,2,78,16,San Lorenzo,Jhohan Romaña,0.31,-0.37,-1.0,Jonatan Torres,,,,
27-01-2024,17:00,San Lorenzo,Lanús,Argentina - Copa LPF 2024,Pedro Bidegain,foul,2,81,8,San Lorenzo,Alexis Cuello,-0.93,-0.51,-1.0,Raúl Loaiza,,,,
27-01-2024,17:00,San Lorenzo,Lanús,Argentina - Copa LPF 2024,Pedro Bidegain,foul,2,82,24,Lanús,Raúl Loaiza,0.22,-0.61,-1.0,Iván Tapia,,,,
27-01-2024,17:00,San Lorenzo,Lanús,Argentina - Copa LPF 2024,Pedro Bidegain,foul,2,93,38,Lanús,Jonatan Torres,0.33,-0.76,-1.0,Agustín Giay,,,,
27-01-2024,17:00,San Lorenzo,Lanús,Argentina - Copa LPF 2024,Pedro Bidegain,foul,2,95,26,San Lorenzo,Jhohan Romaña,0.35,-0.73,-1.0,Marcelino Moreno,,,,
27-01-2024,17:00,San Lorenzo,Lanús,Argentina - Copa LPF 2024,Pedro Bidegain,shot,1,13,16,San Lorenzo,Elián Irala,0.56,0.39,-1.0,,0.99,-0.04,-1.0,
27-01-2024,17:00,San Lorenzo,Lanús,Argentina - Copa LPF 2024,Pedro Bidegain,shot,1,17,8,San Lorenzo,Manuel Insaurralde,0.47,-0.24,-1.0,Nery Domínguez,0.72,0.09,0.45,
27-01-2024,17:00,San Lorenzo,Lanús,Argentina - Copa LPF 2024,Pedro Bidegain,shot,1,20,41,Lanús,Nery Domínguez,-0.75,-0.33,-1.0,,-0.99,-0.22,-1.0,
27-01-2024,17:00,San Lorenzo,Lanús,Argentina - Copa LPF 2024,Pedro Bidegain,shot,1,23,40,San Lorenzo,Manuel Insaurralde,0.34,0.24,-1.0,Juan José Cáceres,0.74,-0.02,0.13,
27-01-2024,17:00,San Lorenzo,Lanús,Argentina - Copa LPF 2024,Pedro Bidegain,shot,1,30,14,Lanús,Felipe Peña Biafore,-0.75,0.33,-1.0,,-0.99,0.2,-1.0,
27-01-2024,17:00,San Lorenzo,Lanús,Argentina - Copa LPF 2024,Pedro Bidegain,shot,1,36,26,Lanús,Juan José Cáceres,-0.77,-0.23,-1.0,,-0.99,-0.26,-1.0,
27-01-2024,17:00,San Lorenzo,Lanús,Argentina - Copa LPF 2024,Pedro Bidegain,shot,1,37,34,San Lorenzo,Gastón Campi,0.71,-0.02,-1.0,Lucas Acosta,1.0,0.03,0.68,
27-01-2024,17:00,San Lorenzo,Lanús,Argentina - Copa LPF 2024,Pedro Bidegain,shot,1,43,1,San Lorenzo,Jhohan Romaña,0.7,0.22,-1.0,,0.98,-0.25,-1.0,
27-01-2024,17:00,San Lorenzo,Lanús,Argentina - Copa LPF 2024,Pedro Bidegain,shot,2,46,27,San Lorenzo,Cristian Ferreira,-0.68,0.14,-1.0,Nery Domínguez,-0.81,0.08,0.1,
27-01-2024,17:00,San Lorenzo,Lanús,Argentina - Copa LPF 2024,Pedro Bidegain,shot,2,49,17,Lanús,Raúl Loaiza,0.74,-0.11,-1.0,Facundo Altamirano,0.97,0.02,0.08,
27-01-2024,17:00,San Lorenzo,Lanús,Argentina - Copa LPF 2024,Pedro Bidegain,shot,2,53,7,Lanús,Braian Aguirre,0.33,-0.03,-1.0,Facundo Altamirano,0.99,-0.03,0.52,
27-01-2024,17:00,San Lorenzo,Lanús,Argentina - Copa LPF 2024,Pedro Bidegain,shot,2,58,1,San Lorenzo,Malcom Braida,-0.48,0.25,-1.0,,-0.97,0.25,-1.0,
27-01-2024,17:00,San Lorenzo,Lanús,Argentina - Copa LPF 2024,Pedro Bidegain,shot,2,70,42,San Lorenzo,Malcom Braida,-0.72,-0.12,-1.0,,-0.99,0.04,-1.0,
27-01-2024,17:00,San Lorenzo,Lanús,Argentina - Copa LPF 2024,Pedro Bidegain,shot,2,77,41,Lanús,Juan José Cáceres,0.73,0.5,-1.0,Facundo Altamirano,0.96,0.14,0.14,
27-01-2024,17:00,San Lorenzo,Lanús,Argentina - Copa LPF 2024,Pedro Bidegain,shot,2,85,9,Lanús,Walter Bou,0.69,0.19,-1.0,,0.99,-0.04,0.09,
27-01-2024,17:00,San Lorenzo,Lanús,Argentina - Copa LPF 2024,Pedro Bidegain,shot,2,89,55,Lanús,Walter Bou,0.57,0.06,-1.0,Facundo Altamirano,0.94,0.05,0.15,
27-01-2024,17:00,San Lorenzo,Lanús,Argentina - Copa LPF 2024,Pedro Bidegain,shot,2,90,55,Lanús,Walter Bou,0.68,0.19,-1.0,,0.99,-0.09,0.45,
27-01-2024,17:00,San Lorenzo,Lanús,Argentina - Copa LPF 2024,Pedro Bidegain,shot,2,94,20,San Lorenzo,Carlos Sánchez,-0.73,0.02,-1.0,,-1.0,-0.26,-1.0,
27-01-2024,17:00,San Lorenzo,Lanús,Argentina - Copa LPF 2024,Pedro Bidegain,goal_kick,1,2,52,San Lorenzo,Facundo Altamirano,,,,,,,,
27-01-2024,17:00,San Lorenzo,Lanús,Argentina - Copa LPF 2024,Pedro Bidegain,goal_kick,1,5,9,Lanús,Lucas Acosta,,,,,,,,
27-01-2024,17:00,San Lorenzo,Lanús,Argentina - Copa LPF 2024,Pedro Bidegain,goal_kick,1,13,24,Lanús,Lucas Acosta,,,,,,,,
27-01-2024,17:00,San Lorenzo,Lanús,Argentina - Copa LPF 2024,Pedro Bidegain,goal_kick,1,17,45,San Lorenzo,Facundo Altamirano,,,,,,,,
27-01-2024,17:00,San Lorenzo,Lanús,Argentina - Copa LPF 2024,Pedro Bidegain,goal_kick,1,20,58,San Lorenzo,Facundo Altamirano,,,,,,,,
27-01-2024,17:00,San Lorenzo,Lanús,Argentina - Copa LPF 2024,Pedro Bidegain,goal_kick,1,30,49,San Lorenzo,Facundo Altamirano,,,,,,,,
27-01-2024,17:00,San Lorenzo,Lanús,Argentina - Copa LPF 2024,Pedro Bidegain,goal_kick,1,33,40,San Lorenzo,Facundo Altamirano,,,,,,,,
27-01-2024,17:00,San Lorenzo,Lanús,Argentina - Copa LPF 2024,Pedro Bidegain,goal_kick,1,43,14,Lanús,Lucas Acosta,,,,,,,,
27-01-2024,17:00,San Lorenzo,Lanús,Argentina - Copa LPF 2024,Pedro Bidegain,goal_kick,2,70,1,Lanús,Lucas Acosta,,,,,,,,
27-01-2024,17:00,San Lorenzo,Lanús,Argentina - Copa LPF 2024,Pedro Bidegain,goal_kick,2,71,57,Lanús,Lucas Acosta,,,,,,,,
27-01-2024,17:00,San Lorenzo,Lanús,Argentina - Copa LPF 2024,Pedro Bidegain,goal_kick,2,79,24,San Lorenzo,Facundo Altamirano,,,,,,,,
27-01-2024,17:00,San Lorenzo,Lanús,Argentina - Copa LPF 2024,Pedro Bidegain,goal_kick,2,92,50,San Lorenzo,Facundo Altamirano,,,,,,,,
27-01-2024,17:00,San Lorenzo,Lanús,Argentina - Copa LPF 2024,Pedro Bidegain,throw_in,1,5,55,Lanús,Juan José Cáceres,0.31,-0.98,-1.0,,0.47,-0.64,-1.0,
27-01-2024,17:00,San Lorenzo,Lanús,Argentina - Copa LPF 2024,Pedro Bidegain,throw_in,1,7,9,Lanús,Braian Aguirre,0.33,0.97,-1.0,,-0.32,0.76,-1.0,
27-01-2024,17:00,San Lorenzo,Lanús,Argentina - Copa LPF 2024,Pedro Bidegain,throw_in,1,7,41,San Lorenzo,Jhohan Romaña,-0.43,0.97,-1.0,,-0.62,0.66,-1.0,
27-01-2024,17:00,San Lorenzo,Lanús,Argentina - Copa LPF 2024,Pedro Bidegain,throw_in,1,9,16,Lanús,Braian Aguirre,0.46,0.94,-1.0,,-0.19,0.7,-1.0,
27-01-2024,17:00,San Lorenzo,Lanús,Argentina - Copa LPF 2024,Pedro Bidegain,throw_in,1,14,31,San Lorenzo,Agustín Giay,0.39,0.97,-1.0,,-0.14,0.63,-1.0,
27-01-2024,17:00,San Lorenzo,Lanús,Argentina - Copa LPF 2024,Pedro Bidegain,throw_in,1,14,50,San Lorenzo,Agustín Giay,0.46,0.95,-1.0,,0.29,0.5,-1.0,
27-01-2024,17:00,San Lorenzo,Lanús,Argentina - Copa LPF 2024,Pedro Bidegain,throw_in,1,25,28,San Lorenzo,Malcom Braida,-0.38,-0.99,-1.0,,-0.1,-0.81,-1.0,
