date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
28-01-2024,21:00,Estudiantes,Belgrano,Argentina - Copa LPF 2024,Jorge Luis Hirschi,steal,1,1,48,Estudiantes,Zaid Romero,-0.7,0.4,-1.0,,,,,
28-01-2024,21:00,Estudiantes,Belgrano,Argentina - Copa LPF 2024,Jorge Luis Hirschi,steal,1,2,20,Belgrano,Esteban Rolón,-0.33,0.35,-1.0,,,,,
28-01-2024,21:00,Estudiantes,Belgrano,Argentina - Copa LPF 2024,Jorge Luis Hirschi,steal,1,3,45,Estudiantes,Federico Fernández,-0.34,-0.21,-1.0,,,,,
28-01-2024,21:00,Estudiantes,Belgrano,Argentina - Copa LPF 2024,Jorge Luis Hirschi,steal,1,3,51,Estudiantes,Santiago Ascacíbar,-0.23,-0.16,-1.0,,,,,
28-01-2024,21:00,Estudiantes,Belgrano,Argentina - Copa LPF 2024,Jorge Luis Hirschi,steal,1,9,53,Estudiantes,Enzo Pérez,-0.4,-0.4,-1.0,,,,,
28-01-2024,21:00,Estudiantes,Belgrano,Argentina - Copa LPF 2024,Jorge Luis Hirschi,steal,1,11,51,Belgrano,Santiago Longo,-0.13,-0.38,-1.0,,,,,
28-01-2024,21:00,Estudiantes,Belgrano,Argentina - Copa LPF 2024,Jorge Luis Hirschi,steal,1,15,51,Belgrano,Matías Moreno,0.6,-0.01,-1.0,,,,,
28-01-2024,21:00,Estudiantes,Belgrano,Argentina - Copa LPF 2024,Jorge Luis Hirschi,steal,1,24,51,Estudiantes,Zaid Romero,-0.72,-0.04,-1.0,,,,,
28-01-2024,21:00,Estudiantes,Belgrano,Argentina - Copa LPF 2024,Jorge Luis Hirschi,steal,1,27,48,Estudiantes,Enzo Pérez,-0.43,0.03,-1.0,,,,,
28-01-2024,21:00,Estudiantes,Belgrano,Argentina - Copa LPF 2024,Jorge Luis Hirschi,steal,1,30,4,Belgrano,Alejandro Rébola,0.47,-0.42,-1.0,,,,,
28-01-2024,21:00,Estudiantes,Belgrano,Argentina - Copa LPF 2024,Jorge Luis Hirschi,steal,1,29,56,Estudiantes,Mauro Méndez,-0.36,-0.1,-1.0,,,,,
28-01-2024,21:00,Estudiantes,Belgrano,Argentina - Copa LPF 2024,Jorge Luis Hirschi,steal,1,30,9,Estudiantes,José Sosa,0.08,-0.69,-1.0,,,,,
28-01-2024,21:00,Estudiantes,Belgrano,Argentina - Copa LPF 2024,Jorge Luis Hirschi,steal,1,33,25,Belgrano,Esteban Rolón,0.7,0.2,-1.0,,,,,
28-01-2024,21:00,Estudiantes,Belgrano,Argentina - Copa LPF 2024,Jorge Luis Hirschi,steal,2,46,14,Belgrano,Matías Moreno,0.1,-0.53,-1.0,,,,,
28-01-2024,21:00,Estudiantes,Belgrano,Argentina - Copa LPF 2024,Jorge Luis Hirschi,steal,2,48,31,Belgrano,Matías García,0.19,-0.49,-1.0,,,,,
28-01-2024,21:00,Estudiantes,Belgrano,Argentina - Copa LPF 2024,Jorge Luis Hirschi,steal,2,50,23,Belgrano,Matías Moreno,-0.56,-0.27,-1.0,,,,,
28-01-2024,21:00,Estudiantes,Belgrano,Argentina - Copa LPF 2024,Jorge Luis Hirschi,steal,2,51,46,Belgrano,Matías Moreno,-0.06,0.38,-1.0,,,,,
28-01-2024,21:00,Estudiantes,Belgrano,Argentina - Copa LPF 2024,Jorge Luis Hirschi,steal,2,56,24,Estudiantes,Eros Mancuso,-0.54,-0.33,-1.0,,,,,
28-01-2024,21:00,Estudiantes,Belgrano,Argentina - Copa LPF 2024,Jorge Luis Hirschi,steal,2,57,33,Belgrano,Santiago Longo,-0.37,-0.95,-1.0,,,,,
28-01-2024,21:00,Estudiantes,Belgrano,Argentina - Copa LPF 2024,Jorge Luis Hirschi,steal,2,57,43,Belgrano,Matías García,-0.39,-0.63,-1.0,,,,,
