date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
28-01-2024,17:00,Godoy Cruz,Defensa y Justicia,Argentina - Copa LPF 2024,Malvinas Argentinas,steal,1,5,46,Defensa y Justicia,Rodrigo Bogarín,0.39,0.29,-1.0,,,,,
28-01-2024,17:00,Godoy Cruz,Defensa y Justicia,Argentina - Copa LPF 2024,Malvinas Argentinas,steal,1,10,29,Defensa y Justicia,Gastón Togni,0.76,0.55,-1.0,,,,,
28-01-2024,17:00,Godoy Cruz,Defensa y Justicia,Argentina - Copa LPF 2024,Malvinas Argentinas,steal,1,18,22,Defensa y Justicia,Nicolás Tripichio,-0.6,-0.85,-1.0,,,,,
28-01-2024,17:00,Godoy Cruz,Defensa y Justicia,Argentina - Copa LPF 2024,Malvinas Argentinas,steal,2,47,1,Godoy Cruz,Nicolás Fernández,-0.73,-0.81,-1.0,,,,,
28-01-2024,17:00,Godoy Cruz,Defensa y Justicia,Argentina - Copa LPF 2024,Malvinas Argentinas,steal,2,59,0,Defensa y Justicia,Emanuel Aguilera,-0.52,0.43,-1.0,,,,,
28-01-2024,17:00,Godoy Cruz,Defensa y Justicia,Argentina - Copa LPF 2024,Malvinas Argentinas,foul,1,7,1,Defensa y Justicia,Franco Romero,-0.15,0.24,-1.0,Hernán López Muñoz,,,,
28-01-2024,17:00,Godoy Cruz,Defensa y Justicia,Argentina - Copa LPF 2024,Malvinas Argentinas,foul,1,9,20,Defensa y Justicia,Franco Romero,0.41,0.47,-1.0,Hernán López Muñoz,,,,
28-01-2024,17:00,Godoy Cruz,Defensa y Justicia,Argentina - Copa LPF 2024,Malvinas Argentinas,foul,1,13,3,Godoy Cruz,Nicolás Fernández,0.57,0.02,-1.0,Julián López,,,,
28-01-2024,17:00,Godoy Cruz,Defensa y Justicia,Argentina - Copa LPF 2024,Malvinas Argentinas,foul,1,14,55,Godoy Cruz,Nicolás Fernández,-0.28,0.67,-1.0,Julián López,,,,
28-01-2024,17:00,Godoy Cruz,Defensa y Justicia,Argentina - Copa LPF 2024,Malvinas Argentinas,foul,1,19,20,Defensa y Justicia,Rodrigo Bogarín,-0.17,0.45,-1.0,Juan Andrada,,,,
28-01-2024,17:00,Godoy Cruz,Defensa y Justicia,Argentina - Copa LPF 2024,Malvinas Argentinas,foul,1,23,26,Defensa y Justicia,Rodrigo Bogarín,0.26,-0.77,-1.0,Juan Andrada,,,,
28-01-2024,17:00,Godoy Cruz,Defensa y Justicia,Argentina - Copa LPF 2024,Malvinas Argentinas,foul,1,32,42,Defensa y Justicia,Franco Romero,0.29,0.69,-1.0,Juan Bautista Cejas,,,,
28-01-2024,17:00,Godoy Cruz,Defensa y Justicia,Argentina - Copa LPF 2024,Malvinas Argentinas,foul,1,37,15,Defensa y Justicia,Franco Romero,0.33,0.45,-1.0,Juan Andrada,,,,
28-01-2024,17:00,Godoy Cruz,Defensa y Justicia,Argentina - Copa LPF 2024,Malvinas Argentinas,foul,1,42,10,Defensa y Justicia,Julián López,-0.13,0.7,-1.0,Juan Bautista Cejas,,,,
