date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
28-01-2024,19:00,River Plate,Argentinos Juniors,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,steal,1,0,13,River Plate,Enzo Díaz,-0.54,-0.91,-1.0,,,,,
28-01-2024,19:00,River Plate,Argentinos Juniors,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,steal,1,1,22,Argentinos Juniors,Alan Lescano,-0.23,0.58,-1.0,,,,,
28-01-2024,19:00,River Plate,Argentinos Juniors,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,steal,1,3,2,River Plate,Ignacio Fernández,0.11,0.12,-1.0,,,,,
28-01-2024,19:00,River Plate,Argentinos Juniors,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,steal,1,3,8,Argentinos Juniors,Alan Rodríguez,0.0,0.41,-1.0,,,,,
28-01-2024,19:00,River Plate,Argentinos Juniors,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,steal,1,5,17,Argentinos Juniors,Alan Lescano,-0.25,-0.1,-1.0,,,,,
28-01-2024,19:00,River Plate,Argentinos Juniors,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,steal,1,6,19,River Plate,Enzo Díaz,-0.48,-0.77,-1.0,,,,,
28-01-2024,19:00,River Plate,Argentinos Juniors,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,steal,1,8,42,River Plate,Leandro González Pirez,-0.09,-0.01,-1.0,,,,,
28-01-2024,19:00,River Plate,Argentinos Juniors,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,steal,1,22,58,Argentinos Juniors,Alan Rodríguez,0.15,-0.8,-1.0,,,,,
28-01-2024,19:00,River Plate,Argentinos Juniors,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,steal,1,27,39,Argentinos Juniors,Tobías Palacio,0.7,0.74,-1.0,,,,,
28-01-2024,19:00,River Plate,Argentinos Juniors,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,steal,1,28,4,River Plate,Nicolás Fonseca,0.45,-0.21,-1.0,,,,,
28-01-2024,19:00,River Plate,Argentinos Juniors,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,steal,1,29,8,River Plate,Nicolás Fonseca,0.22,0.38,-1.0,,,,,
28-01-2024,19:00,River Plate,Argentinos Juniors,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,steal,1,29,4,Argentinos Juniors,Alan Lescano,0.44,0.63,-1.0,,,,,
28-01-2024,19:00,River Plate,Argentinos Juniors,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,steal,1,29,13,Argentinos Juniors,Tobías Palacio,0.32,0.42,-1.0,,,,,
28-01-2024,19:00,River Plate,Argentinos Juniors,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,steal,1,35,10,River Plate,Rodrigo Aliendro,-0.89,-0.78,-1.0,,,,,
28-01-2024,19:00,River Plate,Argentinos Juniors,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,steal,1,41,45,River Plate,Nicolás Fonseca,0.24,0.77,-1.0,,,,,
28-01-2024,19:00,River Plate,Argentinos Juniors,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,steal,1,41,54,River Plate,Paulo Díaz,-0.35,-0.45,-1.0,,,,,
28-01-2024,19:00,River Plate,Argentinos Juniors,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,steal,1,46,33,River Plate,Nicolás Fonseca,0.07,-0.57,-1.0,,,,,
28-01-2024,19:00,River Plate,Argentinos Juniors,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,steal,1,32,29,Argentinos Juniors,Alan Rodríguez,0.22,-0.1,-1.0,,,,,
28-01-2024,19:00,River Plate,Argentinos Juniors,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,steal,1,33,0,Argentinos Juniors,Alan Lescano,0.33,-0.28,-1.0,,,,,
28-01-2024,19:00,River Plate,Argentinos Juniors,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,steal,1,33,50,Argentinos Juniors,Román Vega,-0.21,0.62,-1.0,,,,,
28-01-2024,19:00,River Plate,Argentinos Juniors,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,steal,1,36,47,Argentinos Juniors,Román Vega,-0.43,-0.29,-1.0,,,,,
28-01-2024,19:00,River Plate,Argentinos Juniors,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,steal,1,37,56,Argentinos Juniors,Alan Lescano,-0.28,0.43,-1.0,,,,,
28-01-2024,19:00,River Plate,Argentinos Juniors,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,steal,1,39,54,Argentinos Juniors,Leonardo Heredia,0.37,-0.36,-1.0,,,,,
28-01-2024,19:00,River Plate,Argentinos Juniors,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,steal,1,41,48,Argentinos Juniors,Franco Moyano,0.27,0.17,-1.0,,,,,
28-01-2024,19:00,River Plate,Argentinos Juniors,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,steal,1,42,2,Argentinos Juniors,Tobías Palacio,0.36,0.21,-1.0,,,,,
28-01-2024,19:00,River Plate,Argentinos Juniors,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,steal,1,43,11,Argentinos Juniors,Alan Rodríguez,-0.13,-0.58,-1.0,,,,,
28-01-2024,19:00,River Plate,Argentinos Juniors,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,steal,2,45,11,Argentinos Juniors,Fernando Meza,-0.21,0.6,-1.0,,,,,
28-01-2024,19:00,River Plate,Argentinos Juniors,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,steal,2,48,46,River Plate,Rodrigo Aliendro,0.3,-0.2,-1.0,,,,,
28-01-2024,19:00,River Plate,Argentinos Juniors,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,steal,2,49,45,River Plate,Miguel Ángel Borja,-0.45,-0.84,-1.0,,,,,
28-01-2024,19:00,River Plate,Argentinos Juniors,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,steal,2,50,55,Argentinos Juniors,Nicolás Oroz,0.02,-0.15,-1.0,,,,,
28-01-2024,19:00,River Plate,Argentinos Juniors,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,steal,2,51,36,River Plate,Facundo Colidio,-0.13,-0.27,-1.0,,,,,
