date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
09-03-2024,17:00,Gimnasia,Barracas Central,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,1,0,11,Gimnasia,Benjamín Domínguez,0.35,-0.8,-1.0,,,,,
09-03-2024,17:00,Gimnasia,Barracas Central,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,1,2,17,Gimnasia,Pablo De Blasis,-0.25,0.01,-1.0,,,,,
09-03-2024,17:00,Gimnasia,Barracas Central,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,1,2,53,Gimnasia,Pablo De Blasis,-0.39,-0.41,-1.0,,,,,
09-03-2024,17:00,Gimnasia,Barracas Central,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,1,3,19,Barracas Central,Facundo Mater,0.87,-0.84,-1.0,,,,,
09-03-2024,17:00,Gimnasia,Barracas Central,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,1,8,18,Gimnasia,Ivo Mammini,0.31,0.15,-1.0,,,,,
09-03-2024,17:00,Gimnasia,Barracas Central,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,1,8,28,Gimnasia,Yonatan Rodríguez,-0.28,-0.24,-1.0,,,,,
09-03-2024,17:00,Gimnasia,Barracas Central,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,1,10,48,Barracas Central,Siro Rosané,0.31,0.53,-1.0,,,,,
09-03-2024,17:00,Gimnasia,Barracas Central,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,1,16,56,Barracas Central,Alexis Domínguez,0.04,-0.58,-1.0,,,,,
09-03-2024,17:00,Gimnasia,Barracas Central,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,1,18,33,Barracas Central,Rodrigo Insúa,0.35,0.63,-1.0,,,,,
09-03-2024,17:00,Gimnasia,Barracas Central,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,1,20,25,Gimnasia,Yonatan Rodríguez,0.22,-0.37,-1.0,,,,,
09-03-2024,17:00,Gimnasia,Barracas Central,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,1,24,18,Gimnasia,Felipe Sánchez,-0.02,-0.6,-1.0,,,,,
09-03-2024,17:00,Gimnasia,Barracas Central,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,1,38,50,Gimnasia,Matías Ramírez,0.35,0.12,-1.0,,,,,
09-03-2024,17:00,Gimnasia,Barracas Central,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,1,39,2,Barracas Central,Facundo Mater,0.39,-0.43,-1.0,,,,,
09-03-2024,17:00,Gimnasia,Barracas Central,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,1,39,2,Gimnasia,Benjamín Domínguez,0.55,-0.59,-1.0,,,,,
09-03-2024,17:00,Gimnasia,Barracas Central,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,1,41,28,Gimnasia,Pablo De Blasis,-0.08,0.29,-1.0,,,,,
09-03-2024,17:00,Gimnasia,Barracas Central,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,1,43,12,Gimnasia,Yonatan Rodríguez,0.06,-0.49,-1.0,,,,,
09-03-2024,17:00,Gimnasia,Barracas Central,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,1,46,35,Gimnasia,Juan Pintado,-0.26,0.61,-1.0,,,,,
09-03-2024,17:00,Gimnasia,Barracas Central,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,2,47,1,Gimnasia,Ivo Mammini,-0.35,0.8,-1.0,,,,,
09-03-2024,17:00,Gimnasia,Barracas Central,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,2,48,16,Gimnasia,Juan Pintado,0.64,-0.69,-1.0,,,,,
09-03-2024,17:00,Gimnasia,Barracas Central,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,2,52,47,Gimnasia,Juan Pintado,0.31,-0.73,-1.0,,,,,
09-03-2024,17:00,Gimnasia,Barracas Central,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,2,53,0,Barracas Central,Rodrigo Insúa,0.28,-0.68,-1.0,,,,,
09-03-2024,17:00,Gimnasia,Barracas Central,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,2,55,46,Barracas Central,Rodrigo Herrera,0.11,-0.55,-1.0,,,,,
09-03-2024,17:00,Gimnasia,Barracas Central,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,2,56,56,Barracas Central,Siro Rosané,-0.41,-0.31,-1.0,,,,,
09-03-2024,17:00,Gimnasia,Barracas Central,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,2,62,7,Gimnasia,Yonatan Rodríguez,0.32,-0.5,-1.0,,,,,
09-03-2024,17:00,Gimnasia,Barracas Central,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,2,62,35,Barracas Central,Facundo Mater,-0.9,0.72,-1.0,,,,,
09-03-2024,17:00,Gimnasia,Barracas Central,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,2,63,16,Gimnasia,Benjamín Domínguez,-0.42,0.52,-1.0,,,,,
09-03-2024,17:00,Gimnasia,Barracas Central,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,2,66,8,Gimnasia,Benjamín Domínguez,0.32,0.24,-1.0,,,,,
09-03-2024,17:00,Gimnasia,Barracas Central,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,2,68,22,Gimnasia,Lucas Castro,0.04,-0.62,-1.0,,,,,
09-03-2024,17:00,Gimnasia,Barracas Central,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,2,68,42,Gimnasia,Felipe Sánchez,0.5,0.17,-1.0,,,,,
09-03-2024,17:00,Gimnasia,Barracas Central,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,2,70,3,Gimnasia,Pablo De Blasis,0.35,-0.22,-1.0,,,,,
09-03-2024,17:00,Gimnasia,Barracas Central,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,2,77,4,Gimnasia,Cristian Colmán,-0.21,-0.25,-1.0,,,,,
09-03-2024,17:00,Gimnasia,Barracas Central,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,2,81,13,Gimnasia,Yonatan Rodríguez,0.3,0.38,-1.0,,,,,
09-03-2024,17:00,Gimnasia,Barracas Central,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,2,81,32,Barracas Central,Marco Iacobellis,-0.21,0.79,-1.0,,,,,
09-03-2024,17:00,Gimnasia,Barracas Central,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,2,81,35,Gimnasia,Lucas Castro,0.28,0.36,-1.0,,,,,
09-03-2024,17:00,Gimnasia,Barracas Central,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,2,86,52,Gimnasia,Felipe Sánchez,0.49,0.26,-1.0,,,,,
09-03-2024,17:00,Gimnasia,Barracas Central,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,2,87,36,Gimnasia,Yonatan Rodríguez,0.52,-0.07,-1.0,,,,,
09-03-2024,17:00,Gimnasia,Barracas Central,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,2,90,32,Gimnasia,Jonathan  Cabral,0.74,0.69,-1.0,,,,,
09-03-2024,17:00,Gimnasia,Barracas Central,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,2,91,21,Gimnasia,Yonatan Rodríguez,0.52,-0.26,-1.0,,,,,
09-03-2024,17:00,Gimnasia,Barracas Central,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,foul,1,1,15,Gimnasia,Benjamín Domínguez,0.39,-0.78,-1.0,Facundo Mater,,,,
09-03-2024,17:00,Gimnasia,Barracas Central,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,foul,1,3,53,Gimnasia,Matías Ramírez,0.71,0.9,-1.0,Rodrigo Insúa,,,,
