date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
09-03-2024,19:15,Independiente,River Plate,Argentina - Copa LPF 2024,Libertadores de América,steal,1,0,26,Independiente,Mauricio Isla,-0.31,0.35,-1.0,,,,,
09-03-2024,19:15,Independiente,River Plate,Argentina - Copa LPF 2024,Libertadores de América,steal,1,0,41,Independiente,Adrián Spörle,-0.45,-0.74,-1.0,,,,,
09-03-2024,19:15,Independiente,River Plate,Argentina - Copa LPF 2024,Libertadores de América,steal,1,3,40,Independiente,Federico Mancuello,-0.52,-0.64,-1.0,,,,,
09-03-2024,19:15,Independiente,River Plate,Argentina - Copa LPF 2024,Libertadores de América,steal,1,3,46,Independiente,Federico Mancuello,-0.23,-0.71,-1.0,,,,,
09-03-2024,19:15,Independiente,River Plate,Argentina - Copa LPF 2024,Libertadores de América,steal,1,4,30,Independiente,Lucas González,-0.1,0.42,-1.0,,,,,
09-03-2024,19:15,Independiente,River Plate,Argentina - Copa LPF 2024,Libertadores de América,steal,1,12,22,Independiente,Iván Marcone,-0.46,-0.09,-1.0,,,,,
09-03-2024,19:15,Independiente,River Plate,Argentina - Copa LPF 2024,Libertadores de América,steal,1,15,35,Independiente,Adrián Spörle,0.34,-0.42,-1.0,,,,,
09-03-2024,19:15,Independiente,River Plate,Argentina - Copa LPF 2024,Libertadores de América,steal,1,16,50,River Plate,Rodrigo Aliendro,-0.25,0.2,-1.0,,,,,
09-03-2024,19:15,Independiente,River Plate,Argentina - Copa LPF 2024,Libertadores de América,steal,1,25,6,Independiente,Iván Marcone,-0.25,0.32,-1.0,,,,,
09-03-2024,19:15,Independiente,River Plate,Argentina - Copa LPF 2024,Libertadores de América,steal,1,26,9,Independiente,Felipe Aguilar,-0.42,0.49,-1.0,,,,,
