date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
09-03-2024,21:30,Platense,San Lorenzo,Argentina - Copa LPF 2024,Ciudad de Vicente López,steal,1,2,2,Platense,Carlos Villalba,-0.73,0.74,-1.0,,,,,
09-03-2024,21:30,Platense,San Lorenzo,Argentina - Copa LPF 2024,Ciudad de Vicente López,steal,1,10,21,San Lorenzo,Iván Leguizamón,0.61,-0.88,-1.0,,,,,
09-03-2024,21:30,Platense,San Lorenzo,Argentina - Copa LPF 2024,Ciudad de Vicente López,steal,1,10,27,Platense,Iván Gómez,0.11,-0.8,-1.0,,,,,
09-03-2024,21:30,Platense,San Lorenzo,Argentina - Copa LPF 2024,Ciudad de Vicente López,steal,1,10,33,Platense,Carlos Villalba,0.08,-0.28,-1.0,,,,,
09-03-2024,21:30,Platense,San Lorenzo,Argentina - Copa LPF 2024,Ciudad de Vicente López,steal,1,17,29,Platense,Ronaldo Martínez,-0.28,-0.02,-1.0,,,,,
09-03-2024,21:30,Platense,San Lorenzo,Argentina - Copa LPF 2024,Ciudad de Vicente López,steal,1,26,18,Platense,Ignacio Vázquez,-0.86,0.61,-1.0,,,,,
09-03-2024,21:30,Platense,San Lorenzo,Argentina - Copa LPF 2024,Ciudad de Vicente López,steal,1,35,13,Platense,Leonel Picco,-0.08,-0.6,-1.0,,,,,
09-03-2024,21:30,Platense,San Lorenzo,Argentina - Copa LPF 2024,Ciudad de Vicente López,steal,1,39,35,Platense,Leonel Picco,-0.28,0.8,-1.0,,,,,
09-03-2024,21:30,Platense,San Lorenzo,Argentina - Copa LPF 2024,Ciudad de Vicente López,steal,1,44,14,Platense,Gastón Suso,-0.56,-0.61,-1.0,,,,,
09-03-2024,21:30,Platense,San Lorenzo,Argentina - Copa LPF 2024,Ciudad de Vicente López,steal,2,49,46,Platense,Ronaldo Martínez,0.07,0.35,-1.0,,,,,
09-03-2024,21:30,Platense,San Lorenzo,Argentina - Copa LPF 2024,Ciudad de Vicente López,steal,2,53,33,San Lorenzo,Nahuel Barrios,-0.64,-0.76,-1.0,,,,,
09-03-2024,21:30,Platense,San Lorenzo,Argentina - Copa LPF 2024,Ciudad de Vicente López,steal,2,67,18,Platense,Juan Ignacio Saborido,-0.21,-0.54,-1.0,,,,,
