date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
09-03-2024,21:30,Rosario Central,Instituto,Argentina - Copa LPF 2024,Gigante de Arroyito,steal,1,4,58,Instituto,Juan José Franco,0.56,-0.65,-1.0,,,,,
09-03-2024,21:30,Rosario Central,Instituto,Argentina - Copa LPF 2024,Gigante de Arroyito,steal,1,7,17,Rosario Central,Tomás O'Connor,-0.41,0.3,-1.0,,,,,
09-03-2024,21:30,Rosario Central,Instituto,Argentina - Copa LPF 2024,Gigante de Arroyito,steal,1,8,25,Instituto,Gastón Lodico,0.64,0.46,-1.0,,,,,
09-03-2024,21:30,Rosario Central,Instituto,Argentina - Copa LPF 2024,Gigante de Arroyito,steal,1,13,10,Rosario Central,Carlos Quintana,-0.52,-0.2,-1.0,,,,,
09-03-2024,21:30,Rosario Central,Instituto,Argentina - Copa LPF 2024,Gigante de Arroyito,steal,1,17,47,Rosario Central,Tomás O'Connor,-0.22,0.35,-1.0,,,,,
09-03-2024,21:30,Rosario Central,Instituto,Argentina - Copa LPF 2024,Gigante de Arroyito,steal,1,22,46,Rosario Central,Kevin Ortiz,0.31,-0.6,-1.0,,,,,
09-03-2024,21:30,Rosario Central,Instituto,Argentina - Copa LPF 2024,Gigante de Arroyito,steal,1,30,29,Instituto,Brahian Cuello,0.19,0.13,-1.0,,,,,
09-03-2024,21:30,Rosario Central,Instituto,Argentina - Copa LPF 2024,Gigante de Arroyito,steal,1,33,6,Instituto,Jonás Acevedo,-0.35,-0.55,-1.0,,,,,
09-03-2024,21:30,Rosario Central,Instituto,Argentina - Copa LPF 2024,Gigante de Arroyito,steal,1,33,17,Rosario Central,Kevin Ortiz,-0.42,-0.09,-1.0,,,,,
09-03-2024,21:30,Rosario Central,Instituto,Argentina - Copa LPF 2024,Gigante de Arroyito,steal,1,38,11,Instituto,Juan José Franco,0.35,-0.88,-1.0,,,,,
09-03-2024,21:30,Rosario Central,Instituto,Argentina - Copa LPF 2024,Gigante de Arroyito,steal,1,43,10,Rosario Central,Damián Martínez,-0.53,0.47,-1.0,,,,,
