date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
09-03-2024,17:00,Sarmiento,Estudiantes,Argentina - Copa LPF 2024,Eva Perón,steal,1,5,23,Estudiantes,Román Gómez,0.31,-0.71,-1.0,,,,,
09-03-2024,17:00,Sarmiento,Estudiantes,Argentina - Copa LPF 2024,Eva Perón,steal,1,16,24,Estudiantes,Alexis Manyoma,0.17,-0.62,-1.0,,,,,
09-03-2024,17:00,Sarmiento,Estudiantes,Argentina - Copa LPF 2024,Eva Perón,steal,1,19,14,Sarmiento,José Mauri,-0.97,0.88,-1.0,,,,,
09-03-2024,17:00,Sarmiento,Estudiantes,Argentina - Copa LPF 2024,Eva Perón,steal,1,21,46,Sarmiento,Manuel Mónaco,0.64,0.56,-1.0,,,,,
09-03-2024,17:00,Sarmiento,Estudiantes,Argentina - Copa LPF 2024,Eva Perón,steal,1,37,59,Estudiantes,Fernando Zuqui,0.24,-0.56,-1.0,,,,,
09-03-2024,17:00,Sarmiento,Estudiantes,Argentina - Copa LPF 2024,Eva Perón,steal,1,42,42,Estudiantes,Fernando Zuqui,-0.23,0.63,-1.0,,,,,
09-03-2024,17:00,Sarmiento,Estudiantes,Argentina - Copa LPF 2024,Eva Perón,steal,1,43,26,Estudiantes,Fernando Zuqui,-0.33,0.25,-1.0,,,,,
09-03-2024,17:00,Sarmiento,Estudiantes,Argentina - Copa LPF 2024,Eva Perón,steal,2,49,39,Estudiantes,Nicolás Fernández,-0.41,-0.63,-1.0,,,,,
09-03-2024,17:00,Sarmiento,Estudiantes,Argentina - Copa LPF 2024,Eva Perón,steal,2,54,41,Estudiantes,Fernando Zuqui,-0.69,0.02,-1.0,,,,,
09-03-2024,17:00,Sarmiento,Estudiantes,Argentina - Copa LPF 2024,Eva Perón,steal,2,56,27,Estudiantes,Alexis Manyoma,-0.56,0.72,-1.0,,,,,
09-03-2024,17:00,Sarmiento,Estudiantes,Argentina - Copa LPF 2024,Eva Perón,steal,2,57,33,Sarmiento,Lisandro López,-0.37,0.69,-1.0,,,,,
09-03-2024,17:00,Sarmiento,Estudiantes,Argentina - Copa LPF 2024,Eva Perón,steal,2,60,8,Estudiantes,Fernando Zuqui,0.29,0.03,-1.0,,,,,
09-03-2024,17:00,Sarmiento,Estudiantes,Argentina - Copa LPF 2024,Eva Perón,steal,2,71,22,Estudiantes,Román Gómez,-0.44,0.65,-1.0,,,,,
09-03-2024,17:00,Sarmiento,Estudiantes,Argentina - Copa LPF 2024,Eva Perón,steal,2,72,40,Estudiantes,Santiago Flores,-0.66,-0.49,-1.0,,,,,
09-03-2024,17:00,Sarmiento,Estudiantes,Argentina - Copa LPF 2024,Eva Perón,steal,2,75,51,Estudiantes,Mauro Méndez,0.28,0.15,-1.0,,,,,
09-03-2024,17:00,Sarmiento,Estudiantes,Argentina - Copa LPF 2024,Eva Perón,steal,2,76,13,Estudiantes,Román Gómez,-0.53,0.63,-1.0,,,,,
09-03-2024,17:00,Sarmiento,Estudiantes,Argentina - Copa LPF 2024,Eva Perón,steal,2,87,48,Estudiantes,Axel Atum,0.26,-0.22,-1.0,,,,,
09-03-2024,17:00,Sarmiento,Estudiantes,Argentina - Copa LPF 2024,Eva Perón,steal,2,87,55,Estudiantes,Santiago Flores,0.18,0.52,-1.0,,,,,
09-03-2024,17:00,Sarmiento,Estudiantes,Argentina - Copa LPF 2024,Eva Perón,steal,2,91,58,Estudiantes,Fernando Zuqui,-0.51,0.27,-1.0,,,,,
09-03-2024,17:00,Sarmiento,Estudiantes,Argentina - Copa LPF 2024,Eva Perón,steal,2,94,30,Estudiantes,Santiago Flores,0.07,0.34,-1.0,,,,,
09-03-2024,17:00,Sarmiento,Estudiantes,Argentina - Copa LPF 2024,Eva Perón,foul,1,4,48,Estudiantes,Fernando Zuqui,0.37,0.71,-1.0,Manuel Mónaco,,,,
09-03-2024,17:00,Sarmiento,Estudiantes,Argentina - Copa LPF 2024,Eva Perón,foul,1,5,31,Sarmiento,Joaquín Gho,0.29,-0.62,-1.0,Román Gómez,,,,
09-03-2024,17:00,Sarmiento,Estudiantes,Argentina - Copa LPF 2024,Eva Perón,foul,1,12,2,Estudiantes,Tiago Palacios,0.33,0.47,-1.0,Fernando Godoy,,,,
09-03-2024,17:00,Sarmiento,Estudiantes,Argentina - Copa LPF 2024,Eva Perón,foul,1,16,30,Sarmiento,José Mauri,0.35,-0.7,-1.0,Alexis Manyoma,,,,
09-03-2024,17:00,Sarmiento,Estudiantes,Argentina - Copa LPF 2024,Eva Perón,foul,1,18,33,Sarmiento,Gabriel Díaz,-0.33,-0.61,-1.0,Tiago Palacios,,,,
09-03-2024,17:00,Sarmiento,Estudiantes,Argentina - Copa LPF 2024,Eva Perón,foul,1,19,15,Estudiantes,Bautista Kociubinski,-0.89,0.74,-1.0,José Mauri,,,,
09-03-2024,17:00,Sarmiento,Estudiantes,Argentina - Copa LPF 2024,Eva Perón,foul,1,24,14,Sarmiento,Juan Manuel Insaurralde,-0.72,0.69,-1.0,Edwuin Cetré,,,,
09-03-2024,17:00,Sarmiento,Estudiantes,Argentina - Copa LPF 2024,Eva Perón,foul,1,26,59,Estudiantes,Guido Carrillo,-0.15,0.67,-1.0,Elías López,,,,
09-03-2024,17:00,Sarmiento,Estudiantes,Argentina - Copa LPF 2024,Eva Perón,foul,1,29,37,Estudiantes,Franco Zapiola,0.82,0.84,-1.0,José Mauri,,,,
09-03-2024,17:00,Sarmiento,Estudiantes,Argentina - Copa LPF 2024,Eva Perón,foul,1,32,32,Sarmiento,Fernando Godoy,-0.08,-0.1,-1.0,Tiago Palacios,,,,
09-03-2024,17:00,Sarmiento,Estudiantes,Argentina - Copa LPF 2024,Eva Perón,foul,1,40,33,Estudiantes,Santiago Flores,-0.91,0.47,-1.0,Elías López,,,,
09-03-2024,17:00,Sarmiento,Estudiantes,Argentina - Copa LPF 2024,Eva Perón,foul,1,41,45,Sarmiento,Gabriel Díaz,0.32,0.48,-1.0,Tiago Palacios,,,,
09-03-2024,17:00,Sarmiento,Estudiantes,Argentina - Copa LPF 2024,Eva Perón,foul,1,43,49,Estudiantes,Tiago Palacios,-0.74,-0.42,-1.0,Juan Manuel Insaurralde,,,,
09-03-2024,17:00,Sarmiento,Estudiantes,Argentina - Copa LPF 2024,Eva Perón,foul,1,14,5,Sarmiento,José Mauri,-0.2,0.72,-1.0,Edwuin Cetré,,,,
09-03-2024,17:00,Sarmiento,Estudiantes,Argentina - Copa LPF 2024,Eva Perón,foul,2,52,51,Estudiantes,Nehuén Benedetti,,,,,,,,
09-03-2024,17:00,Sarmiento,Estudiantes,Argentina - Copa LPF 2024,Eva Perón,foul,2,63,51,Sarmiento,Manuel Mónaco,-0.48,0.45,-1.0,Román Gómez,,,,
09-03-2024,17:00,Sarmiento,Estudiantes,Argentina - Copa LPF 2024,Eva Perón,foul,2,69,19,Estudiantes,Fernando Zuqui,-0.15,0.66,-1.0,Sergio Quiroga,,,,
09-03-2024,17:00,Sarmiento,Estudiantes,Argentina - Copa LPF 2024,Eva Perón,foul,2,72,0,Estudiantes,Mauro Méndez,0.45,0.68,-1.0,Yair Arismendi,,,,
09-03-2024,17:00,Sarmiento,Estudiantes,Argentina - Copa LPF 2024,Eva Perón,foul,2,77,38,Estudiantes,Fernando Zuqui,-0.35,-0.08,-1.0,Manuel Mónaco,,,,
09-03-2024,17:00,Sarmiento,Estudiantes,Argentina - Copa LPF 2024,Eva Perón,foul,2,82,27,Estudiantes,Bautista Kociubinski,0.08,-0.38,-1.0,Manuel Mónaco,,,,
09-03-2024,17:00,Sarmiento,Estudiantes,Argentina - Copa LPF 2024,Eva Perón,foul,2,85,25,Sarmiento,Juan Cruz Guasone,-0.26,-0.57,-1.0,Ezequiel Naya,,,,
09-03-2024,17:00,Sarmiento,Estudiantes,Argentina - Copa LPF 2024,Eva Perón,foul,2,89,22,Estudiantes,Fernando Zuqui,0.17,0.57,-1.0,Lisandro López,,,,
09-03-2024,17:00,Sarmiento,Estudiantes,Argentina - Copa LPF 2024,Eva Perón,foul,2,92,4,Sarmiento,Lisandro López,-0.41,0.38,-1.0,Fernando Zuqui,,,,
09-03-2024,17:00,Sarmiento,Estudiantes,Argentina - Copa LPF 2024,Eva Perón,foul,2,93,59,Sarmiento,Diego Calcaterra,0.32,-0.1,-1.0,Mauro Méndez,,,,
09-03-2024,17:00,Sarmiento,Estudiantes,Argentina - Copa LPF 2024,Eva Perón,foul,2,95,0,Estudiantes,Emanuel Dall Aglio,0.46,0.62,-1.0,Yair Arismendi,,,,
09-03-2024,17:00,Sarmiento,Estudiantes,Argentina - Copa LPF 2024,Eva Perón,shot,1,6,45,Estudiantes,Guido Carrillo,-0.7,-0.06,-1.0,,-0.99,0.28,-1.0,
09-03-2024,17:00,Sarmiento,Estudiantes,Argentina - Copa LPF 2024,Eva Perón,shot,1,7,55,Estudiantes,Tiago Palacios,-0.47,-0.05,-1.0,,-0.98,-0.03,0.88,
09-03-2024,17:00,Sarmiento,Estudiantes,Argentina - Copa LPF 2024,Eva Perón,shot,1,8,55,Sarmiento,Manuel Mónaco,0.39,0.02,-1.0,,1.0,0.06,-1.0,
09-03-2024,17:00,Sarmiento,Estudiantes,Argentina - Copa LPF 2024,Eva Perón,shot,1,15,26,Estudiantes,Santiago Flores,-0.75,-0.38,-1.0,Juan Cruz Guasone,-0.85,-0.22,0.48,
