date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
10-03-2024,21:30,Boca Juniors,Racing Club,Argentina - Copa LPF 2024,Alberto J. Armando,steal,1,0,21,Racing Club,Leonel Miranda,0.07,0.21,-1.0,,,,,
10-03-2024,21:30,Boca Juniors,Racing Club,Argentina - Copa LPF 2024,Alberto J. Armando,steal,1,7,44,Racing Club,Nazareno Colombo,-0.25,-0.58,-1.0,,,,,
10-03-2024,21:30,Boca Juniors,Racing Club,Argentina - Copa LPF 2024,Alberto J. Armando,steal,1,7,31,Boca Juniors,Nicolás Valentini,-0.53,-0.64,-1.0,,,,,
10-03-2024,21:30,Boca Juniors,Racing Club,Argentina - Copa LPF 2024,Alberto J. Armando,steal,1,12,11,Racing Club,Bruno Zuculini,0.42,0.01,-1.0,,,,,
10-03-2024,21:30,Boca Juniors,Racing Club,Argentina - Copa LPF 2024,Alberto J. Armando,steal,1,13,0,Racing Club,Juan Ignacio Nardoni,0.3,-0.66,-1.0,,,,,
10-03-2024,21:30,Boca Juniors,Racing Club,Argentina - Copa LPF 2024,Alberto J. Armando,steal,1,14,46,Boca Juniors,Lautaro Blanco,-0.32,-0.59,-1.0,,,,,
10-03-2024,21:30,Boca Juniors,Racing Club,Argentina - Copa LPF 2024,Alberto J. Armando,steal,1,16,38,Racing Club,Maximiliano Salas,-0.36,0.44,-1.0,,,,,
10-03-2024,21:30,Boca Juniors,Racing Club,Argentina - Copa LPF 2024,Alberto J. Armando,steal,1,19,56,Boca Juniors,Mauricio Benítez,0.12,0.17,-1.0,,,,,
10-03-2024,21:30,Boca Juniors,Racing Club,Argentina - Copa LPF 2024,Alberto J. Armando,steal,1,20,8,Boca Juniors,Nicolás Valentini,-0.26,-0.43,-1.0,,,,,
10-03-2024,21:30,Boca Juniors,Racing Club,Argentina - Copa LPF 2024,Alberto J. Armando,steal,1,27,51,Boca Juniors,Cristian Medina,0.17,0.14,-1.0,,,,,
10-03-2024,21:30,Boca Juniors,Racing Club,Argentina - Copa LPF 2024,Alberto J. Armando,steal,1,32,43,Boca Juniors,Mauricio Benítez,-0.07,-0.64,-1.0,,,,,
10-03-2024,21:30,Boca Juniors,Racing Club,Argentina - Copa LPF 2024,Alberto J. Armando,steal,1,38,43,Racing Club,Juan Fernando Quintero,-0.13,-0.37,-1.0,,,,,
10-03-2024,21:30,Boca Juniors,Racing Club,Argentina - Copa LPF 2024,Alberto J. Armando,steal,1,38,41,Boca Juniors,Mauricio Benítez,-0.19,-0.14,-1.0,,,,,
10-03-2024,21:30,Boca Juniors,Racing Club,Argentina - Copa LPF 2024,Alberto J. Armando,steal,1,38,53,Boca Juniors,Cristian Lema,-0.5,-0.04,-1.0,,,,,
10-03-2024,21:30,Boca Juniors,Racing Club,Argentina - Copa LPF 2024,Alberto J. Armando,steal,1,40,40,Boca Juniors,Lucas Blondel,-0.46,0.61,-1.0,,,,,
10-03-2024,21:30,Boca Juniors,Racing Club,Argentina - Copa LPF 2024,Alberto J. Armando,steal,1,44,17,Racing Club,Santiago Sosa,-0.12,-0.01,-1.0,,,,,
10-03-2024,21:30,Boca Juniors,Racing Club,Argentina - Copa LPF 2024,Alberto J. Armando,steal,1,46,30,Racing Club,Bruno Zuculini,-0.07,0.32,-1.0,,,,,
