date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
10-03-2024,19:15,Defensa y Justicia,Unión,Argentina - Copa LPF 2024,General San Martín,steal,1,4,22,Unión,Mauro Pittón,-0.26,0.11,-1.0,,,,,
10-03-2024,19:15,Defensa y Justicia,Unión,Argentina - Copa LPF 2024,General San Martín,steal,1,8,52,Defensa y Justicia,Julián López,0.44,0.64,-1.0,,,,,
10-03-2024,19:15,Defensa y Justicia,Unión,Argentina - Copa LPF 2024,General San Martín,steal,1,9,56,Unión,Claudio Corvalán,0.33,0.78,-1.0,,,,,
10-03-2024,19:15,Defensa y Justicia,Unión,Argentina - Copa LPF 2024,General San Martín,steal,1,28,40,Unión,Joaquín Mosqueira,0.23,0.47,-1.0,,,,,
10-03-2024,19:15,Defensa y Justicia,Unión,Argentina - Copa LPF 2024,General San Martín,steal,1,32,15,Unión,Mauro Luna Diale,-0.13,0.56,-1.0,,,,,
10-03-2024,19:15,Defensa y Justicia,Unión,Argentina - Copa LPF 2024,General San Martín,steal,1,38,49,Unión,Bruno Pittón,0.24,0.63,-1.0,,,,,
10-03-2024,19:15,Defensa y Justicia,Unión,Argentina - Copa LPF 2024,General San Martín,steal,1,39,37,Unión,Franco Pardo,0.19,-0.78,-1.0,,,,,
10-03-2024,19:15,Defensa y Justicia,Unión,Argentina - Copa LPF 2024,General San Martín,steal,1,43,38,Unión,Mauro Luna Diale,0.13,0.78,-1.0,,,,,
10-03-2024,19:15,Defensa y Justicia,Unión,Argentina - Copa LPF 2024,General San Martín,steal,1,44,20,Defensa y Justicia,Alexis Soto,0.53,-0.63,-1.0,,,,,
10-03-2024,19:15,Defensa y Justicia,Unión,Argentina - Copa LPF 2024,General San Martín,steal,1,45,3,Unión,Miguel Ángel Torrén,0.82,0.52,-1.0,,,,,
10-03-2024,19:15,Defensa y Justicia,Unión,Argentina - Copa LPF 2024,General San Martín,steal,2,47,43,Unión,Franco Pardo,-0.14,0.66,-1.0,,,,,
10-03-2024,19:15,Defensa y Justicia,Unión,Argentina - Copa LPF 2024,General San Martín,steal,2,49,30,Unión,Mauro Pittón,0.6,0.71,-1.0,,,,,
10-03-2024,19:15,Defensa y Justicia,Unión,Argentina - Copa LPF 2024,General San Martín,steal,2,53,46,Unión,Claudio Corvalán,-0.78,-0.68,-1.0,,,,,
10-03-2024,19:15,Defensa y Justicia,Unión,Argentina - Copa LPF 2024,General San Martín,steal,2,55,36,Unión,Mauro Luna Diale,-0.21,-0.22,-1.0,,,,,
10-03-2024,19:15,Defensa y Justicia,Unión,Argentina - Copa LPF 2024,General San Martín,steal,2,57,37,Unión,Patricio Tanda,-0.01,0.55,-1.0,,,,,
10-03-2024,19:15,Defensa y Justicia,Unión,Argentina - Copa LPF 2024,General San Martín,steal,2,64,53,Defensa y Justicia,Alexis Soto,0.19,0.79,-1.0,,,,,
10-03-2024,19:15,Defensa y Justicia,Unión,Argentina - Copa LPF 2024,General San Martín,steal,2,75,58,Unión,Mauro Luna Diale,-0.28,-0.36,-1.0,,,,,
10-03-2024,19:15,Defensa y Justicia,Unión,Argentina - Copa LPF 2024,General San Martín,steal,2,82,42,Unión,Adrián Balboa,0.39,-0.77,-1.0,,,,,
10-03-2024,19:15,Defensa y Justicia,Unión,Argentina - Copa LPF 2024,General San Martín,steal,2,87,15,Defensa y Justicia,Santiago Ramos Mingo,0.78,-0.04,-1.0,,,,,
10-03-2024,19:15,Defensa y Justicia,Unión,Argentina - Copa LPF 2024,General San Martín,foul,1,16,16,Defensa y Justicia,Kevin López,0.8,0.79,-1.0,Mauro Luna Diale,,,,
10-03-2024,19:15,Defensa y Justicia,Unión,Argentina - Copa LPF 2024,General San Martín,foul,1,25,14,Unión,Mauro Luna Diale,-0.4,-0.69,-1.0,Gastón Togni,,,,
10-03-2024,19:15,Defensa y Justicia,Unión,Argentina - Copa LPF 2024,General San Martín,foul,1,25,58,Unión,Mauro Luna Diale,0.48,0.94,-1.0,Kevin López,,,,
10-03-2024,19:15,Defensa y Justicia,Unión,Argentina - Copa LPF 2024,General San Martín,foul,1,32,20,Defensa y Justicia,Nicolás Tripichio,-0.43,0.34,-1.0,Mauro Luna Diale,,,,
10-03-2024,19:15,Defensa y Justicia,Unión,Argentina - Copa LPF 2024,General San Martín,foul,1,34,58,Defensa y Justicia,Santiago Ramos Mingo,-0.38,-0.53,-1.0,Adrián Balboa,,,,
10-03-2024,19:15,Defensa y Justicia,Unión,Argentina - Copa LPF 2024,General San Martín,foul,1,36,55,Defensa y Justicia,Julián López,0.39,0.64,-1.0,Mauro Luna Diale,,,,
10-03-2024,19:15,Defensa y Justicia,Unión,Argentina - Copa LPF 2024,General San Martín,foul,1,46,39,Unión,Mauro Luna Diale,0.39,0.89,-1.0,Nicolás Tripichio,,,,
10-03-2024,19:15,Defensa y Justicia,Unión,Argentina - Copa LPF 2024,General San Martín,foul,2,49,59,Unión,Federico Vera,0.33,0.75,-1.0,Kevin López,,,,
10-03-2024,19:15,Defensa y Justicia,Unión,Argentina - Copa LPF 2024,General San Martín,foul,2,51,43,Unión,Adrián Balboa,0.1,0.12,-1.0,Kevin López,,,,
10-03-2024,19:15,Defensa y Justicia,Unión,Argentina - Copa LPF 2024,General San Martín,foul,2,54,56,Unión,Federico Vera,0.23,0.66,-1.0,Julián López,,,,
10-03-2024,19:15,Defensa y Justicia,Unión,Argentina - Copa LPF 2024,General San Martín,foul,2,55,34,Defensa y Justicia,Julián López,-0.25,-0.2,-1.0,Mauro Luna Diale,,,,
10-03-2024,19:15,Defensa y Justicia,Unión,Argentina - Copa LPF 2024,General San Martín,foul,2,57,59,Unión,Nicolás Campisi,-0.76,-0.21,-1.0,Nicolás Fernández,,,,
10-03-2024,19:15,Defensa y Justicia,Unión,Argentina - Copa LPF 2024,General San Martín,foul,2,63,4,Unión,Mauro Pittón,0.42,0.18,-1.0,Alexis Soto,,,,
10-03-2024,19:15,Defensa y Justicia,Unión,Argentina - Copa LPF 2024,General San Martín,foul,2,67,36,Unión,Nicolás Orsini,0.16,-0.72,-1.0,Gabriel Alanís,,,,
10-03-2024,19:15,Defensa y Justicia,Unión,Argentina - Copa LPF 2024,General San Martín,foul,2,72,27,Unión,Patricio Tanda,0.23,0.8,-1.0,Gastón Togni,,,,
10-03-2024,19:15,Defensa y Justicia,Unión,Argentina - Copa LPF 2024,General San Martín,foul,2,76,4,Defensa y Justicia,Alexis Soto,-0.39,-0.19,-1.0,Mauro Luna Diale,,,,
10-03-2024,19:15,Defensa y Justicia,Unión,Argentina - Copa LPF 2024,General San Martín,foul,2,78,41,Unión,Franco Pardo,-0.36,0.62,-1.0,Gastón Togni,,,,
10-03-2024,19:15,Defensa y Justicia,Unión,Argentina - Copa LPF 2024,General San Martín,foul,2,81,55,Defensa y Justicia,Nicolás Fernández,0.19,0.71,-1.0,Lionel Verde,,,,
10-03-2024,19:15,Defensa y Justicia,Unión,Argentina - Copa LPF 2024,General San Martín,foul,2,91,35,Defensa y Justicia,Leandro Godoy,,,,,,,,
10-03-2024,19:15,Defensa y Justicia,Unión,Argentina - Copa LPF 2024,General San Martín,shot,1,2,55,Unión,Mauro Pittón,-0.45,-0.54,-1.0,,-0.99,0.04,-1.0,
10-03-2024,19:15,Defensa y Justicia,Unión,Argentina - Copa LPF 2024,General San Martín,shot,1,7,17,Unión,Adrián Balboa,-0.75,0.49,-1.0,Cristopher Fiermarín,-0.92,0.06,0.16,
10-03-2024,19:15,Defensa y Justicia,Unión,Argentina - Copa LPF 2024,General San Martín,shot,1,8,5,Defensa y Justicia,Gastón Togni,0.81,-0.48,-1.0,,0.99,0.25,-1.0,
10-03-2024,19:15,Defensa y Justicia,Unión,Argentina - Copa LPF 2024,General San Martín,shot,1,9,8,Defensa y Justicia,Gastón Togni,0.71,-0.45,-1.0,Nicolás Campisi,0.96,-0.13,0.16,
10-03-2024,19:15,Defensa y Justicia,Unión,Argentina - Copa LPF 2024,General San Martín,shot,1,12,38,Defensa y Justicia,Nicolás Fernández,0.63,0.36,-1.0,,1.0,-0.25,-1.0,
10-03-2024,19:15,Defensa y Justicia,Unión,Argentina - Copa LPF 2024,General San Martín,shot,1,14,5,Defensa y Justicia,Nicolás Fernández,0.56,-0.14,-1.0,Bruno Pittón,0.92,0.06,0.2,
10-03-2024,19:15,Defensa y Justicia,Unión,Argentina - Copa LPF 2024,General San Martín,shot,1,17,47,Unión,Nicolás Orsini,-0.75,0.27,-1.0,Cristopher Fiermarín,-0.79,0.18,0.16,
10-03-2024,19:15,Defensa y Justicia,Unión,Argentina - Copa LPF 2024,General San Martín,shot,1,17,49,Unión,Bruno Pittón,-0.72,0.41,-1.0,Santiago Ramos Mingo,-0.78,0.05,0.19,
10-03-2024,19:15,Defensa y Justicia,Unión,Argentina - Copa LPF 2024,General San Martín,shot,1,18,58,Unión,Adrián Balboa,-0.57,-0.46,-1.0,,-0.99,-0.06,-1.0,
10-03-2024,19:15,Defensa y Justicia,Unión,Argentina - Copa LPF 2024,General San Martín,shot,1,26,50,Defensa y Justicia,Santiago Ramos Mingo,0.74,-0.45,-1.0,,0.98,-0.5,-1.0,
10-03-2024,19:15,Defensa y Justicia,Unión,Argentina - Copa LPF 2024,General San Martín,shot,1,33,48,Defensa y Justicia,Nicolás Fernández,0.76,0.4,-1.0,,1.0,-0.02,0.8,
10-03-2024,19:15,Defensa y Justicia,Unión,Argentina - Copa LPF 2024,General San Martín,shot,1,39,47,Unión,Adrián Balboa,-0.74,-0.43,-1.0,Cristopher Fiermarín,-0.75,-0.34,0.53,
10-03-2024,19:15,Defensa y Justicia,Unión,Argentina - Copa LPF 2024,General San Martín,shot,1,40,48,Defensa y Justicia,Nicolás Fernández,0.55,0.5,-1.0,Nicolás Campisi,0.94,0.07,0.77,
10-03-2024,19:15,Defensa y Justicia,Unión,Argentina - Copa LPF 2024,General San Martín,shot,1,41,59,Unión,Adrián Balboa,-0.79,-0.44,-1.0,,-0.99,0.04,0.15,
10-03-2024,19:15,Defensa y Justicia,Unión,Argentina - Copa LPF 2024,General San Martín,shot,1,46,2,Unión,Adrián Balboa,-0.41,0.05,-1.0,,-0.99,-0.29,-1.0,
10-03-2024,19:15,Defensa y Justicia,Unión,Argentina - Copa LPF 2024,General San Martín,shot,1,47,6,Defensa y Justicia,Nicolás Tripichio,0.77,0.05,-1.0,,0.99,0.07,-1.0,
10-03-2024,19:15,Defensa y Justicia,Unión,Argentina - Copa LPF 2024,General San Martín,shot,2,45,48,Unión,Federico Vera,0.73,0.34,-1.0,Kevin López,0.77,0.17,0.6,
10-03-2024,19:15,Defensa y Justicia,Unión,Argentina - Copa LPF 2024,General San Martín,shot,2,53,16,Unión,Adrián Balboa,0.46,-0.1,-1.0,,0.98,0.02,-1.0,
10-03-2024,19:15,Defensa y Justicia,Unión,Argentina - Copa LPF 2024,General San Martín,shot,2,61,9,Defensa y Justicia,Nicolás Fernández,-0.74,0.0,-1.0,,-1.0,0.06,0.13,
10-03-2024,19:15,Defensa y Justicia,Unión,Argentina - Copa LPF 2024,General San Martín,shot,2,64,48,Defensa y Justicia,Gastón Togni,-0.73,0.42,-1.0,Nicolás Campisi,-0.89,0.1,0.57,
10-03-2024,19:15,Defensa y Justicia,Unión,Argentina - Copa LPF 2024,General San Martín,shot,2,73,57,Unión,Lionel Verde,0.6,-0.04,-1.0,,0.99,-0.26,-1.0,
10-03-2024,19:15,Defensa y Justicia,Unión,Argentina - Copa LPF 2024,General San Martín,shot,2,86,23,Defensa y Justicia,Gabriel Alanís,-0.78,-0.15,-1.0,Nicolás Campisi,-0.88,-0.03,0.17,
10-03-2024,19:15,Defensa y Justicia,Unión,Argentina - Copa LPF 2024,General San Martín,var,2,59,8,Defensa y Justicia,,,,,,,,,Revisión Penal
10-03-2024,19:15,Defensa y Justicia,Unión,Argentina - Copa LPF 2024,General San Martín,var,2,60,33,Defensa y Justicia,,,,,,,,,Penal confirmado
10-03-2024,19:15,Defensa y Justicia,Unión,Argentina - Copa LPF 2024,General San Martín,goal_kick,1,1,33,Unión,Nicolás Campisi,,,,,,,,
10-03-2024,19:15,Defensa y Justicia,Unión,Argentina - Copa LPF 2024,General San Martín,goal_kick,1,3,13,Defensa y Justicia,Cristopher Fiermarín,,,,,,,,
10-03-2024,19:15,Defensa y Justicia,Unión,Argentina - Copa LPF 2024,General San Martín,goal_kick,1,7,11,Defensa y Justicia,Cristopher Fiermarín,,,,,,,,
10-03-2024,19:15,Defensa y Justicia,Unión,Argentina - Copa LPF 2024,General San Martín,goal_kick,1,9,0,Unión,Nicolás Campisi,,,,,,,,
10-03-2024,19:15,Defensa y Justicia,Unión,Argentina - Copa LPF 2024,General San Martín,goal_kick,1,13,8,Unión,Nicolás Campisi,,,,,,,,
10-03-2024,19:15,Defensa y Justicia,Unión,Argentina - Copa LPF 2024,General San Martín,goal_kick,1,19,15,Defensa y Justicia,Cristopher Fiermarín,,,,,,,,
10-03-2024,19:15,Defensa y Justicia,Unión,Argentina - Copa LPF 2024,General San Martín,goal_kick,1,27,26,Unión,Nicolás Campisi,,,,,,,,
10-03-2024,19:15,Defensa y Justicia,Unión,Argentina - Copa LPF 2024,General San Martín,goal_kick,1,28,7,Unión,Nicolás Campisi,,,,,,,,
10-03-2024,19:15,Defensa y Justicia,Unión,Argentina - Copa LPF 2024,General San Martín,goal_kick,1,33,29,Defensa y Justicia,Cristopher Fiermarín,,,,,,,,
10-03-2024,19:15,Defensa y Justicia,Unión,Argentina - Copa LPF 2024,General San Martín,goal_kick,1,37,50,Defensa y Justicia,Cristopher Fiermarín,,,,,,,,
10-03-2024,19:15,Defensa y Justicia,Unión,Argentina - Copa LPF 2024,General San Martín,goal_kick,1,46,13,Defensa y Justicia,Cristopher Fiermarín,,,,,,,,
10-03-2024,19:15,Defensa y Justicia,Unión,Argentina - Copa LPF 2024,General San Martín,goal_kick,1,47,31,Unión,Nicolás Campisi,,,,,,,,
10-03-2024,19:15,Defensa y Justicia,Unión,Argentina - Copa LPF 2024,General San Martín,goal_kick,2,53,29,Defensa y Justicia,Cristopher Fiermarín,,,,,,,,
10-03-2024,19:15,Defensa y Justicia,Unión,Argentina - Copa LPF 2024,General San Martín,goal_kick,2,65,39,Unión,Nicolás Campisi,,,,,,,,
10-03-2024,19:15,Defensa y Justicia,Unión,Argentina - Copa LPF 2024,General San Martín,goal_kick,2,71,0,Defensa y Justicia,Cristopher Fiermarín,,,,,,,,
10-03-2024,19:15,Defensa y Justicia,Unión,Argentina - Copa LPF 2024,General San Martín,goal_kick,2,74,15,Defensa y Justicia,Cristopher Fiermarín,,,,,,,,
10-03-2024,19:15,Defensa y Justicia,Unión,Argentina - Copa LPF 2024,General San Martín,goal_kick,2,86,42,Unión,Nicolás Campisi,,,,,,,,
10-03-2024,19:15,Defensa y Justicia,Unión,Argentina - Copa LPF 2024,General San Martín,goal_kick,2,92,54,Unión,Nicolás Campisi,,,,,,,,
10-03-2024,19:15,Defensa y Justicia,Unión,Argentina - Copa LPF 2024,General San Martín,throw_in,1,2,12,Unión,Federico Vera,-0.43,-0.98,-1.0,,-0.68,-0.82,-1.0,
10-03-2024,19:15,Defensa y Justicia,Unión,Argentina - Copa LPF 2024,General San Martín,throw_in,1,2,39,Unión,Federico Vera,-0.66,-0.98,-1.0,,-0.43,-0.66,-1.0,
10-03-2024,19:15,Defensa y Justicia,Unión,Argentina - Copa LPF 2024,General San Martín,throw_in,1,9,16,Defensa y Justicia,Alexis Soto,0.55,-0.97,-1.0,,0.26,-0.7,-1.0,
10-03-2024,19:15,Defensa y Justicia,Unión,Argentina - Copa LPF 2024,General San Martín,throw_in,1,12,15,Unión,Federico Vera,-0.75,-0.95,-1.0,,-0.79,-0.43,-1.0,
10-03-2024,19:15,Defensa y Justicia,Unión,Argentina - Copa LPF 2024,General San Martín,throw_in,1,17,3,Unión,Bruno Pittón,-0.75,0.99,-1.0,,-0.74,0.69,-1.0,
10-03-2024,19:15,Defensa y Justicia,Unión,Argentina - Copa LPF 2024,General San Martín,throw_in,1,17,23,Unión,Bruno Pittón,-0.51,0.98,-1.0,,-0.24,0.67,-1.0,
10-03-2024,19:15,Defensa y Justicia,Unión,Argentina - Copa LPF 2024,General San Martín,throw_in,1,18,18,Unión,Federico Vera,-0.5,-0.95,-1.0,,-0.17,-0.78,-1.0,
10-03-2024,19:15,Defensa y Justicia,Unión,Argentina - Copa LPF 2024,General San Martín,throw_in,1,18,46,Defensa y Justicia,Alexis Soto,-0.89,-0.95,-1.0,,-0.6,-0.76,-1.0,
10-03-2024,19:15,Defensa y Justicia,Unión,Argentina - Copa LPF 2024,General San Martín,throw_in,1,20,23,Defensa y Justicia,Nicolás Tripichio,0.52,0.98,-1.0,,0.14,0.79,-1.0,
10-03-2024,19:15,Defensa y Justicia,Unión,Argentina - Copa LPF 2024,General San Martín,throw_in,1,22,6,Unión,Bruno Pittón,0.51,0.99,-1.0,,0.27,0.58,-1.0,
10-03-2024,19:15,Defensa y Justicia,Unión,Argentina - Copa LPF 2024,General San Martín,throw_in,1,22,46,Defensa y Justicia,Kevin López,0.58,-0.98,-1.0,,0.37,-0.73,-1.0,
10-03-2024,19:15,Defensa y Justicia,Unión,Argentina - Copa LPF 2024,General San Martín,throw_in,1,28,23,Defensa y Justicia,Alexis Soto,0.54,-0.98,-1.0,,0.19,-0.7,-1.0,
10-03-2024,19:15,Defensa y Justicia,Unión,Argentina - Copa LPF 2024,General San Martín,throw_in,1,35,52,Defensa y Justicia,Nicolás Tripichio,-0.2,0.98,-1.0,,-0.51,0.74,-1.0,
