date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
10-03-2024,17:00,Godoy Cruz,Newell`s,Argentina - Copa LPF 2024,Malvinas Argentinas,steal,1,1,33,Godoy Cruz,Hernán López Muñoz,-0.39,0.64,-1.0,,,,,
10-03-2024,17:00,Godoy Cruz,Newell`s,Argentina - Copa LPF 2024,Malvinas Argentinas,steal,1,2,39,Newell`s,Rodrigo Fernández,-0.29,0.69,-1.0,,,,,
10-03-2024,17:00,Godoy Cruz,Newell`s,Argentina - Copa LPF 2024,Malvinas Argentinas,steal,1,22,46,Newell`s,Armando Méndez,-0.45,0.79,-1.0,,,,,
10-03-2024,17:00,Godoy Cruz,Newell`s,Argentina - Copa LPF 2024,Malvinas Argentinas,steal,1,31,2,Newell`s,Brian Aguirre,-0.16,-0.7,-1.0,,,,,
10-03-2024,17:00,Godoy Cruz,Newell`s,Argentina - Copa LPF 2024,Malvinas Argentinas,steal,1,32,3,Newell`s,Víctor Velázquez,-0.49,0.2,-1.0,,,,,
10-03-2024,17:00,Godoy Cruz,Newell`s,Argentina - Copa LPF 2024,Malvinas Argentinas,steal,1,38,23,Newell`s,Brian Calderara,-0.11,-0.74,-1.0,,,,,
10-03-2024,17:00,Godoy Cruz,Newell`s,Argentina - Copa LPF 2024,Malvinas Argentinas,steal,2,55,43,Newell`s,Julián Fernández,0.14,0.57,-1.0,,,,,
10-03-2024,17:00,Godoy Cruz,Newell`s,Argentina - Copa LPF 2024,Malvinas Argentinas,steal,2,59,48,Newell`s,Ignacio Schor,0.28,-0.22,-1.0,,,,,
10-03-2024,17:00,Godoy Cruz,Newell`s,Argentina - Copa LPF 2024,Malvinas Argentinas,steal,2,67,47,Newell`s,Guillermo May,-0.41,0.73,-1.0,,,,,
10-03-2024,17:00,Godoy Cruz,Newell`s,Argentina - Copa LPF 2024,Malvinas Argentinas,steal,2,74,14,Newell`s,Ian Glavinovich,0.4,0.27,-1.0,,,,,
10-03-2024,17:00,Godoy Cruz,Newell`s,Argentina - Copa LPF 2024,Malvinas Argentinas,steal,2,84,42,Newell`s,Tomás Jacob,0.73,-0.81,-1.0,,,,,
10-03-2024,17:00,Godoy Cruz,Newell`s,Argentina - Copa LPF 2024,Malvinas Argentinas,foul,1,0,12,Godoy Cruz,Tomás Badaloni,-0.4,0.18,-1.0,Víctor Velázquez,,,,
10-03-2024,17:00,Godoy Cruz,Newell`s,Argentina - Copa LPF 2024,Malvinas Argentinas,foul,1,13,26,Godoy Cruz,Federico Rasmussen,-0.51,0.91,-1.0,Franco Díaz,,,,
10-03-2024,17:00,Godoy Cruz,Newell`s,Argentina - Copa LPF 2024,Malvinas Argentinas,foul,1,14,27,Newell`s,Juan Ignacio Ramírez,0.91,0.45,-1.0,Pier Barrios,,,,
10-03-2024,17:00,Godoy Cruz,Newell`s,Argentina - Copa LPF 2024,Malvinas Argentinas,foul,1,17,36,Godoy Cruz,Juan Bautista Cejas,0.15,-0.85,-1.0,Ever Banega,,,,
10-03-2024,17:00,Godoy Cruz,Newell`s,Argentina - Copa LPF 2024,Malvinas Argentinas,foul,1,18,39,Godoy Cruz,Tomás Conechny,-0.2,0.61,-1.0,Francisco González,,,,
10-03-2024,17:00,Godoy Cruz,Newell`s,Argentina - Copa LPF 2024,Malvinas Argentinas,foul,1,20,39,Godoy Cruz,Pier Barrios,-0.28,-0.1,-1.0,Ever Banega,,,,
10-03-2024,17:00,Godoy Cruz,Newell`s,Argentina - Copa LPF 2024,Malvinas Argentinas,foul,1,32,8,Godoy Cruz,Hernán López Muñoz,-0.54,0.18,-1.0,Víctor Velázquez,,,,
10-03-2024,17:00,Godoy Cruz,Newell`s,Argentina - Copa LPF 2024,Malvinas Argentinas,foul,1,39,50,Godoy Cruz,Federico Rasmussen,0.53,0.68,-1.0,Francisco González,,,,
10-03-2024,17:00,Godoy Cruz,Newell`s,Argentina - Copa LPF 2024,Malvinas Argentinas,foul,1,43,52,Newell`s,Francisco González,0.56,0.84,-1.0,Federico Rasmussen,,,,
10-03-2024,17:00,Godoy Cruz,Newell`s,Argentina - Copa LPF 2024,Malvinas Argentinas,foul,1,45,9,Godoy Cruz,Tomás Badaloni,-0.86,0.23,-1.0,Víctor Velázquez,,,,
10-03-2024,17:00,Godoy Cruz,Newell`s,Argentina - Copa LPF 2024,Malvinas Argentinas,foul,2,49,4,Godoy Cruz,Hernán López Muñoz,-0.15,-0.94,-1.0,Rodrigo Fernández,,,,
10-03-2024,17:00,Godoy Cruz,Newell`s,Argentina - Copa LPF 2024,Malvinas Argentinas,foul,2,51,36,Newell`s,Rodrigo Fernández,0.17,-0.62,-1.0,Tomás Conechny,,,,
10-03-2024,17:00,Godoy Cruz,Newell`s,Argentina - Copa LPF 2024,Malvinas Argentinas,foul,2,58,27,Newell`s,Armando Méndez,0.43,-0.84,-1.0,,,,,
10-03-2024,17:00,Godoy Cruz,Newell`s,Argentina - Copa LPF 2024,Malvinas Argentinas,foul,2,60,1,Godoy Cruz,Nicolás Fernández,0.08,-0.27,-1.0,Juan Ignacio Ramírez,,,,
10-03-2024,17:00,Godoy Cruz,Newell`s,Argentina - Copa LPF 2024,Malvinas Argentinas,foul,2,70,11,Godoy Cruz,Nahuel Ulariaga,0.79,0.06,-1.0,Rodrigo Fernández,,,,
10-03-2024,17:00,Godoy Cruz,Newell`s,Argentina - Copa LPF 2024,Malvinas Argentinas,foul,2,74,31,Newell`s,Rodrigo Fernández,0.13,0.7,-1.0,Facundo Altamira,,,,
10-03-2024,17:00,Godoy Cruz,Newell`s,Argentina - Copa LPF 2024,Malvinas Argentinas,foul,2,77,35,Godoy Cruz,Nicolás Fernández,0.4,-0.74,-1.0,Julián Fernández,,,,
10-03-2024,17:00,Godoy Cruz,Newell`s,Argentina - Copa LPF 2024,Malvinas Argentinas,foul,2,82,8,Godoy Cruz,Facundo Altamira,0.78,0.7,-1.0,Misael Jaime,,,,
10-03-2024,17:00,Godoy Cruz,Newell`s,Argentina - Copa LPF 2024,Malvinas Argentinas,foul,2,85,2,Godoy Cruz,Federico Rasmussen,0.38,-0.82,-1.0,Julián Fernández,,,,
10-03-2024,17:00,Godoy Cruz,Newell`s,Argentina - Copa LPF 2024,Malvinas Argentinas,foul,2,90,34,Newell`s,Ignacio Schor,-0.47,0.87,-1.0,Manuel Guillén,,,,
