date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
10-03-2024,17:00,Huracán,Argentinos Juniors,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,1,6,25,Huracán,Ignacio Pussetto,-0.31,0.44,-1.0,,,,,
10-03-2024,17:00,Huracán,Argentinos Juniors,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,1,9,48,Huracán,Hernán De La Fuente,-0.15,0.62,-1.0,,,,,
10-03-2024,17:00,Huracán,Argentinos Juniors,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,1,11,46,Huracán,Walter Mazzantti,0.19,0.46,-1.0,,,,,
10-03-2024,17:00,Huracán,Argentinos Juniors,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,1,14,38,Huracán,Williams Alarcón,-0.31,-0.36,-1.0,,,,,
10-03-2024,17:00,Huracán,Argentinos Juniors,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,1,15,6,Huracán,César Ibáñez,-0.63,-0.76,-1.0,,,,,
10-03-2024,17:00,Huracán,Argentinos Juniors,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,1,30,46,Huracán,Hernán De La Fuente,-0.09,0.69,-1.0,,,,,
10-03-2024,17:00,Huracán,Argentinos Juniors,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,1,40,34,Huracán,Hernán De La Fuente,-0.47,0.66,-1.0,,,,,
10-03-2024,17:00,Huracán,Argentinos Juniors,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,1,41,50,Huracán,Rodrigo Echeverría,-0.35,0.1,-1.0,,,,,
10-03-2024,17:00,Huracán,Argentinos Juniors,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,1,43,0,Huracán,Fernando Tobio,-0.61,0.39,-1.0,,,,,
10-03-2024,17:00,Huracán,Argentinos Juniors,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,1,45,1,Huracán,Hernán De La Fuente,-0.23,0.64,-1.0,,,,,
10-03-2024,17:00,Huracán,Argentinos Juniors,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,1,45,25,Huracán,Ignacio Pussetto,0.45,-0.29,-1.0,,,,,
10-03-2024,17:00,Huracán,Argentinos Juniors,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,2,51,9,Huracán,Walter Mazzantti,0.48,-0.77,-1.0,,,,,
10-03-2024,17:00,Huracán,Argentinos Juniors,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,2,52,7,Huracán,César Ibáñez,0.51,0.19,-1.0,,,,,
10-03-2024,17:00,Huracán,Argentinos Juniors,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,2,58,57,Huracán,Héctor Fértoli,-0.5,0.12,-1.0,,,,,
10-03-2024,17:00,Huracán,Argentinos Juniors,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,2,62,16,Huracán,Fernando Tobio,0.52,-0.6,-1.0,,,,,
10-03-2024,17:00,Huracán,Argentinos Juniors,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,2,66,59,Huracán,Héctor Fértoli,-0.32,0.23,-1.0,,,,,
10-03-2024,17:00,Huracán,Argentinos Juniors,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,2,68,26,Huracán,Héctor Fértoli,-0.16,0.49,-1.0,,,,,
10-03-2024,17:00,Huracán,Argentinos Juniors,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,2,68,42,Argentinos Juniors,Santiago Montiel,-0.33,0.26,-1.0,,,,,
10-03-2024,17:00,Huracán,Argentinos Juniors,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,2,70,27,Huracán,Marcelo Pérez,-0.13,-0.72,-1.0,,,,,
10-03-2024,17:00,Huracán,Argentinos Juniors,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,2,75,59,Huracán,Franco Alfonso,0.18,0.45,-1.0,,,,,
