date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
10-03-2024,19:15,Talleres,Atlético Tucumán,Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,1,6,30,Atlético Tucumán,Joaquín Pereyra,-0.36,0.08,-1.0,,,,,
10-03-2024,19:15,Talleres,Atlético Tucumán,Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,1,7,37,Atlético Tucumán,Nicolás Castro,0.31,-0.02,-1.0,,,,,
10-03-2024,19:15,Talleres,Atlético Tucumán,Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,1,16,57,Atlético Tucumán,Nicolás Castro,0.13,0.22,-1.0,,,,,
10-03-2024,19:15,Talleres,Atlético Tucumán,Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,1,18,51,Atlético Tucumán,Agustín Lagos,0.35,-0.6,-1.0,,,,,
10-03-2024,19:15,Talleres,Atlético Tucumán,Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,1,29,6,Talleres,Rubén Botta,0.31,0.79,-1.0,,,,,
10-03-2024,19:15,Talleres,Atlético Tucumán,Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,1,35,35,Atlético Tucumán,Nicolás Castro,-0.1,0.5,-1.0,,,,,
10-03-2024,19:15,Talleres,Atlético Tucumán,Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,2,45,44,Atlético Tucumán,Adrián Sánchez,-0.34,0.59,-1.0,,,,,
10-03-2024,19:15,Talleres,Atlético Tucumán,Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,2,47,31,Talleres,Gastón Benavídez,0.11,-0.76,-1.0,,,,,
10-03-2024,19:15,Talleres,Atlético Tucumán,Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,2,53,0,Atlético Tucumán,Adrián Sánchez,-0.05,0.81,-1.0,,,,,
10-03-2024,19:15,Talleres,Atlético Tucumán,Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,2,55,40,Atlético Tucumán,Joaquín Pereyra,0.27,-0.71,-1.0,,,,,
10-03-2024,19:15,Talleres,Atlético Tucumán,Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,2,55,52,Atlético Tucumán,Adrián Sánchez,0.16,-0.51,-1.0,,,,,
10-03-2024,19:15,Talleres,Atlético Tucumán,Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,2,69,6,Talleres,Juan Carlos Portillo,0.38,-0.56,-1.0,,,,,
10-03-2024,19:15,Talleres,Atlético Tucumán,Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,2,69,36,Talleres,Marcos Portillo,-0.11,0.03,-1.0,,,,,
10-03-2024,19:15,Talleres,Atlético Tucumán,Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,2,69,22,Atlético Tucumán,Renzo Tesuri,-0.12,-0.46,-1.0,,,,,
10-03-2024,19:15,Talleres,Atlético Tucumán,Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,2,83,31,Talleres,Valentín Depietri,0.15,0.37,-1.0,,,,,
10-03-2024,19:15,Talleres,Atlético Tucumán,Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,2,86,41,Atlético Tucumán,Matías Orihuela,-0.26,-0.82,-1.0,,,,,
10-03-2024,19:15,Talleres,Atlético Tucumán,Argentina - Copa LPF 2024,Mario Alberto Kempes,foul,1,5,26,Talleres,Federico Girotti,0.32,0.44,-1.0,Guillermo Acosta,,,,
10-03-2024,19:15,Talleres,Atlético Tucumán,Argentina - Copa LPF 2024,Mario Alberto Kempes,foul,1,13,41,Atlético Tucumán,Agustín Lagos,,,,,,,,
10-03-2024,19:15,Talleres,Atlético Tucumán,Argentina - Copa LPF 2024,Mario Alberto Kempes,foul,1,14,36,Talleres,Juan Camilo Portilla,-0.42,0.34,-1.0,Marcelo Estigarribia,,,,
10-03-2024,19:15,Talleres,Atlético Tucumán,Argentina - Copa LPF 2024,Mario Alberto Kempes,foul,1,20,27,Talleres,Federico Girotti,-0.3,0.52,-1.0,Justo Giani,,,,
10-03-2024,19:15,Talleres,Atlético Tucumán,Argentina - Copa LPF 2024,Mario Alberto Kempes,foul,1,24,12,Atlético Tucumán,Joaquín Pereyra,-0.39,-0.71,-1.0,Miguel Navarro,,,,
10-03-2024,19:15,Talleres,Atlético Tucumán,Argentina - Copa LPF 2024,Mario Alberto Kempes,foul,1,33,21,Atlético Tucumán,Nicolás Castro,0.14,-0.6,-1.0,Matías Galarza,,,,
10-03-2024,19:15,Talleres,Atlético Tucumán,Argentina - Copa LPF 2024,Mario Alberto Kempes,foul,1,44,31,Atlético Tucumán,Nicolás Castro,-0.17,0.71,-1.0,Matías Catalán,,,,
10-03-2024,19:15,Talleres,Atlético Tucumán,Argentina - Copa LPF 2024,Mario Alberto Kempes,foul,1,47,47,Atlético Tucumán,Agustín Lagos,-0.22,-0.78,-1.0,Matías Galarza,,,,
10-03-2024,19:15,Talleres,Atlético Tucumán,Argentina - Copa LPF 2024,Mario Alberto Kempes,foul,2,50,21,Talleres,Matías Catalán,0.57,-0.82,-1.0,Justo Giani,,,,
10-03-2024,19:15,Talleres,Atlético Tucumán,Argentina - Copa LPF 2024,Mario Alberto Kempes,foul,2,53,32,Talleres,Ulises Ortegoza,-0.09,-0.02,-1.0,Joaquín Pereyra,,,,
10-03-2024,19:15,Talleres,Atlético Tucumán,Argentina - Copa LPF 2024,Mario Alberto Kempes,foul,2,70,30,Talleres,Ramón Sosa,-0.88,-0.4,-1.0,Gonzalo Paz,,,,
10-03-2024,19:15,Talleres,Atlético Tucumán,Argentina - Copa LPF 2024,Mario Alberto Kempes,foul,2,75,49,Atlético Tucumán,Matías Orihuela,-0.43,-0.75,-1.0,Gastón Benavídez,,,,
10-03-2024,19:15,Talleres,Atlético Tucumán,Argentina - Copa LPF 2024,Mario Alberto Kempes,foul,2,76,44,Atlético Tucumán,Joaquín Pereyra,-0.45,0.15,-1.0,Ramón Sosa,,,,
10-03-2024,19:15,Talleres,Atlético Tucumán,Argentina - Copa LPF 2024,Mario Alberto Kempes,foul,2,78,18,Talleres,Marcos Portillo,-0.71,0.82,-1.0,Agustín Lagos,,,,
10-03-2024,19:15,Talleres,Atlético Tucumán,Argentina - Copa LPF 2024,Mario Alberto Kempes,foul,2,81,47,Talleres,Kevin Mantilla,0.49,-0.14,-1.0,Nicolás Servetto,,,,
10-03-2024,19:15,Talleres,Atlético Tucumán,Argentina - Copa LPF 2024,Mario Alberto Kempes,shot,1,2,56,Talleres,Ramón Sosa,0.83,-0.3,-1.0,José Devecchi,1.0,-0.1,0.27,
10-03-2024,19:15,Talleres,Atlético Tucumán,Argentina - Copa LPF 2024,Mario Alberto Kempes,shot,1,3,4,Talleres,Federico Girotti,0.87,0.12,-1.0,,1.0,0.02,0.39,
10-03-2024,19:15,Talleres,Atlético Tucumán,Argentina - Copa LPF 2024,Mario Alberto Kempes,shot,1,6,49,Atlético Tucumán,Mateo Coronel,-0.75,0.14,-1.0,,-0.98,0.24,-1.0,
10-03-2024,19:15,Talleres,Atlético Tucumán,Argentina - Copa LPF 2024,Mario Alberto Kempes,shot,1,9,6,Talleres,Matías Galarza,0.6,-0.3,-1.0,,0.99,0.45,-1.0,
10-03-2024,19:15,Talleres,Atlético Tucumán,Argentina - Copa LPF 2024,Mario Alberto Kempes,shot,1,9,54,Atlético Tucumán,Marcelo Estigarribia,-0.54,0.3,-1.0,,-0.98,0.08,-1.0,
10-03-2024,19:15,Talleres,Atlético Tucumán,Argentina - Copa LPF 2024,Mario Alberto Kempes,shot,1,10,49,Talleres,Federico Girotti,0.74,-0.14,-1.0,,1.0,-0.13,-1.0,
10-03-2024,19:15,Talleres,Atlético Tucumán,Argentina - Copa LPF 2024,Mario Alberto Kempes,shot,1,17,30,Atlético Tucumán,Guillermo Acosta,-0.71,0.15,-1.0,,-0.99,-0.06,-1.0,
10-03-2024,19:15,Talleres,Atlético Tucumán,Argentina - Copa LPF 2024,Mario Alberto Kempes,shot,1,19,16,Talleres,Ulises Ortegoza,0.48,0.42,-1.0,José Devecchi,1.0,0.01,0.54,
10-03-2024,19:15,Talleres,Atlético Tucumán,Argentina - Copa LPF 2024,Mario Alberto Kempes,shot,1,25,24,Talleres,Rubén Botta,0.87,0.1,-1.0,,1.0,0.11,-1.0,
10-03-2024,19:15,Talleres,Atlético Tucumán,Argentina - Copa LPF 2024,Mario Alberto Kempes,shot,1,29,16,Talleres,Ramón Sosa,0.71,-0.09,-1.0,,1.0,-0.28,-1.0,
10-03-2024,19:15,Talleres,Atlético Tucumán,Argentina - Copa LPF 2024,Mario Alberto Kempes,shot,1,37,13,Atlético Tucumán,Justo Giani,-0.39,-0.24,-1.0,Guido Herrera,-1.0,-0.01,0.27,
10-03-2024,19:15,Talleres,Atlético Tucumán,Argentina - Copa LPF 2024,Mario Alberto Kempes,shot,1,40,29,Atlético Tucumán,Marcelo Estigarribia,-0.8,-0.06,-1.0,,-0.99,-0.06,0.98,
10-03-2024,19:15,Talleres,Atlético Tucumán,Argentina - Copa LPF 2024,Mario Alberto Kempes,shot,1,40,42,Atlético Tucumán,Justo Giani,-0.87,0.05,-1.0,,-0.99,0.02,0.63,
10-03-2024,19:15,Talleres,Atlético Tucumán,Argentina - Copa LPF 2024,Mario Alberto Kempes,shot,2,48,36,Atlético Tucumán,Joaquín Pereyra,0.51,0.2,-1.0,Guido Herrera,1.0,0.05,0.48,
10-03-2024,19:15,Talleres,Atlético Tucumán,Argentina - Copa LPF 2024,Mario Alberto Kempes,shot,2,53,13,Atlético Tucumán,Marcelo Estigarribia,0.7,-0.34,-1.0,Guido Herrera,1.0,0.01,0.25,
10-03-2024,19:15,Talleres,Atlético Tucumán,Argentina - Copa LPF 2024,Mario Alberto Kempes,shot,2,54,1,Talleres,Matías Galarza,-0.69,0.07,-1.0,,-0.99,-0.09,0.32,
10-03-2024,19:15,Talleres,Atlético Tucumán,Argentina - Copa LPF 2024,Mario Alberto Kempes,shot,2,48,30,Atlético Tucumán,Justo Giani,0.68,-0.25,-1.0,,0.76,-0.11,-1.0,
10-03-2024,19:15,Talleres,Atlético Tucumán,Argentina - Copa LPF 2024,Mario Alberto Kempes,shot,2,56,2,Atlético Tucumán,Justo Giani,0.67,-0.28,-1.0,,0.98,0.11,-1.0,
10-03-2024,19:15,Talleres,Atlético Tucumán,Argentina - Copa LPF 2024,Mario Alberto Kempes,shot,2,57,39,Atlético Tucumán,Renzo Tesuri,0.4,-0.09,-1.0,,0.73,-0.1,-1.0,
10-03-2024,19:15,Talleres,Atlético Tucumán,Argentina - Copa LPF 2024,Mario Alberto Kempes,shot,2,57,57,Talleres,Juan Camilo Portilla,-0.53,0.22,-1.0,,-0.99,0.22,-1.0,
10-03-2024,19:15,Talleres,Atlético Tucumán,Argentina - Copa LPF 2024,Mario Alberto Kempes,shot,2,60,4,Talleres,Ramón Sosa,-0.68,0.21,-1.0,,-1.0,-0.21,-1.0,
10-03-2024,19:15,Talleres,Atlético Tucumán,Argentina - Copa LPF 2024,Mario Alberto Kempes,shot,2,64,34,Talleres,Ramón Sosa,-0.73,0.34,-1.0,,-0.98,0.09,-1.0,
10-03-2024,19:15,Talleres,Atlético Tucumán,Argentina - Copa LPF 2024,Mario Alberto Kempes,shot,2,65,25,Talleres,Federico Girotti,-0.74,0.22,-1.0,,-1.0,0.2,-1.0,
10-03-2024,19:15,Talleres,Atlético Tucumán,Argentina - Copa LPF 2024,Mario Alberto Kempes,shot,2,67,34,Talleres,Federico Girotti,-0.83,-0.11,-1.0,,-0.98,-0.1,0.24,
10-03-2024,19:15,Talleres,Atlético Tucumán,Argentina - Copa LPF 2024,Mario Alberto Kempes,shot,2,67,28,Talleres,Ramón Sosa,-0.74,0.3,-1.0,,-0.79,0.26,-1.0,
10-03-2024,19:15,Talleres,Atlético Tucumán,Argentina - Copa LPF 2024,Mario Alberto Kempes,shot,2,69,59,Talleres,Federico Girotti,-0.79,-0.27,-1.0,,-0.97,-0.38,-1.0,
10-03-2024,19:15,Talleres,Atlético Tucumán,Argentina - Copa LPF 2024,Mario Alberto Kempes,shot,2,72,57,Atlético Tucumán,Matías Orihuela,0.74,-0.12,-1.0,,1.0,0.03,-1.0,
10-03-2024,19:15,Talleres,Atlético Tucumán,Argentina - Copa LPF 2024,Mario Alberto Kempes,shot,2,77,41,Talleres,Nahuel Bustos,-0.42,0.19,-1.0,,-0.7,0.22,-1.0,
10-03-2024,19:15,Talleres,Atlético Tucumán,Argentina - Copa LPF 2024,Mario Alberto Kempes,shot,2,79,5,Talleres,Nahuel Bustos,-0.82,-0.2,-1.0,,-0.98,-0.24,-1.0,
10-03-2024,19:15,Talleres,Atlético Tucumán,Argentina - Copa LPF 2024,Mario Alberto Kempes,shot,2,83,31,Atlético Tucumán,Agustín Lagos,0.38,-0.26,-1.0,,0.67,-0.34,-1.0,
10-03-2024,19:15,Talleres,Atlético Tucumán,Argentina - Copa LPF 2024,Mario Alberto Kempes,shot,2,84,21,Talleres,Gastón Benavídez,-0.74,-0.12,-1.0,,-0.98,-0.06,-1.0,
10-03-2024,19:15,Talleres,Atlético Tucumán,Argentina - Copa LPF 2024,Mario Alberto Kempes,shot,2,88,7,Atlético Tucumán,Mateo Bajamich,0.71,0.26,-1.0,,1.0,-0.25,-1.0,
10-03-2024,19:15,Talleres,Atlético Tucumán,Argentina - Copa LPF 2024,Mario Alberto Kempes,shot,2,89,29,Talleres,Nahuel Bustos,-0.74,-0.45,-1.0,,-0.97,0.3,-1.0,
10-03-2024,19:15,Talleres,Atlético Tucumán,Argentina - Copa LPF 2024,Mario Alberto Kempes,shot,1,27,3,Talleres,Federico Girotti,-0.75,-0.1,-1.0,,-0.99,-0.04,0.69,
10-03-2024,19:15,Talleres,Atlético Tucumán,Argentina - Copa LPF 2024,Mario Alberto Kempes,var,1,1,46,Talleres,,,,,,,,,Revisión Gol
10-03-2024,19:15,Talleres,Atlético Tucumán,Argentina - Copa LPF 2024,Mario Alberto Kempes,var,1,2,34,Talleres,,,,,,,,,Gol anulado
10-03-2024,19:15,Talleres,Atlético Tucumán,Argentina - Copa LPF 2024,Mario Alberto Kempes,var,1,4,8,Talleres,,,,,,,,,Revisión Gol
