date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
11-03-2024,21:45,Banfield,Vélez,Argentina - Copa LPF 2024,Florencio Sola,steal,1,0,32,Banfield,Jesús Soraire,-0.33,-0.11,-1.0,,,,,
11-03-2024,21:45,Banfield,Vélez,Argentina - Copa LPF 2024,Florencio Sola,steal,1,1,24,Vélez,Joaquín García,0.55,-0.31,-1.0,,,,,
11-03-2024,21:45,Banfield,Vélez,Argentina - Copa LPF 2024,Florencio Sola,steal,1,5,52,Banfield,Bruno Sepúlveda,0.39,-0.22,-1.0,,,,,
11-03-2024,21:45,Banfield,Vélez,Argentina - Copa LPF 2024,Florencio Sola,steal,1,5,47,Vélez,Joaquín García,0.52,-0.7,-1.0,,,,,
11-03-2024,21:45,Banfield,Vélez,Argentina - Copa LPF 2024,Florencio Sola,steal,1,7,42,Vélez,Christian Ordóñez,-0.43,-0.08,-1.0,,,,,
11-03-2024,21:45,Banfield,Vélez,Argentina - Copa LPF 2024,Florencio Sola,steal,1,15,0,Banfield,Ezequiel Bonifacio,-0.35,0.83,-1.0,,,,,
11-03-2024,21:45,Banfield,Vélez,Argentina - Copa LPF 2024,Florencio Sola,steal,1,18,55,Banfield,Ezequiel Bonifacio,-0.15,0.75,-1.0,,,,,
11-03-2024,21:45,Banfield,Vélez,Argentina - Copa LPF 2024,Florencio Sola,steal,1,18,58,Vélez,Elías Gómez,0.29,0.76,-1.0,,,,,
11-03-2024,21:45,Banfield,Vélez,Argentina - Copa LPF 2024,Florencio Sola,steal,1,20,10,Banfield,Ezequiel Bonifacio,-0.55,0.81,-1.0,,,,,
11-03-2024,21:45,Banfield,Vélez,Argentina - Copa LPF 2024,Florencio Sola,steal,1,23,28,Vélez,Joaquín García,0.27,-0.5,-1.0,,,,,
11-03-2024,21:45,Banfield,Vélez,Argentina - Copa LPF 2024,Florencio Sola,steal,1,23,57,Vélez,Agustín Bouzat,0.12,0.52,-1.0,,,,,
11-03-2024,21:45,Banfield,Vélez,Argentina - Copa LPF 2024,Florencio Sola,steal,1,26,16,Banfield,Alejandro Maciel,-0.12,0.66,-1.0,,,,,
11-03-2024,21:45,Banfield,Vélez,Argentina - Copa LPF 2024,Florencio Sola,steal,1,26,14,Vélez,Agustín Bouzat,0.35,0.53,-1.0,,,,,
11-03-2024,21:45,Banfield,Vélez,Argentina - Copa LPF 2024,Florencio Sola,steal,1,30,13,Banfield,Aarón Quirós,-0.76,-0.49,-1.0,,,,,
