date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
11-03-2024,21:15,Independiente Riv. (M),Dep. Riestra,Argentina - Copa LPF 2024,Bautista Gargantini,steal,1,3,24,Independiente Riv. (M),Mauro Maidana,-0.5,-0.26,-1.0,,,,,
11-03-2024,21:15,Independiente Riv. (M),Dep. Riestra,Argentina - Copa LPF 2024,Bautista Gargantini,steal,1,19,47,Dep. Riestra,Jonatan Goya,0.17,-0.75,-1.0,,,,,
11-03-2024,21:15,Independiente Riv. (M),Dep. Riestra,Argentina - Copa LPF 2024,Bautista Gargantini,steal,1,22,35,Independiente Riv. (M),Francisco Petrasso,-0.93,0.84,-1.0,,,,,
11-03-2024,21:15,Independiente Riv. (M),Dep. Riestra,Argentina - Copa LPF 2024,Bautista Gargantini,steal,1,31,29,Dep. Riestra,Delfor Minervino,0.64,0.79,-1.0,,,,,
11-03-2024,21:15,Independiente Riv. (M),Dep. Riestra,Argentina - Copa LPF 2024,Bautista Gargantini,steal,1,34,17,Dep. Riestra,Guillermo Pereira,0.3,0.52,-1.0,,,,,
11-03-2024,21:15,Independiente Riv. (M),Dep. Riestra,Argentina - Copa LPF 2024,Bautista Gargantini,steal,1,35,29,Independiente Riv. (M),Gastón Gil Romero,-0.05,-0.6,-1.0,,,,,
11-03-2024,21:15,Independiente Riv. (M),Dep. Riestra,Argentina - Copa LPF 2024,Bautista Gargantini,steal,1,41,50,Dep. Riestra,Milton Céliz,0.74,0.79,-1.0,,,,,
11-03-2024,21:15,Independiente Riv. (M),Dep. Riestra,Argentina - Copa LPF 2024,Bautista Gargantini,steal,1,41,52,Independiente Riv. (M),Gastón Gil Romero,0.33,0.37,-1.0,,,,,
11-03-2024,21:15,Independiente Riv. (M),Dep. Riestra,Argentina - Copa LPF 2024,Bautista Gargantini,steal,2,62,20,Dep. Riestra,Nicolás Sansotre,-0.93,-0.6,-1.0,,,,,
11-03-2024,21:15,Independiente Riv. (M),Dep. Riestra,Argentina - Copa LPF 2024,Bautista Gargantini,steal,2,72,45,Dep. Riestra,Jonatan Goitía,-0.78,-0.73,-1.0,,,,,
11-03-2024,21:15,Independiente Riv. (M),Dep. Riestra,Argentina - Copa LPF 2024,Bautista Gargantini,steal,2,82,54,Dep. Riestra,Jonatan Goitía,-0.11,-0.75,-1.0,,,,,
11-03-2024,21:15,Independiente Riv. (M),Dep. Riestra,Argentina - Copa LPF 2024,Bautista Gargantini,steal,2,92,17,Dep. Riestra,Nicolás Sansotre,-0.78,0.79,-1.0,,,,,
