date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
11-03-2024,19:30,Tigre,Lanús,Argentina - Copa LPF 2024,Coliseo de Victoria,steal,1,1,2,Tigre,Agustín Cardozo,-0.22,-0.58,-1.0,,,,,
11-03-2024,19:30,Tigre,Lanús,Argentina - Copa LPF 2024,Coliseo de Victoria,steal,1,2,21,Tigre,Agustín Cardozo,-0.18,-0.41,-1.0,,,,,
11-03-2024,19:30,Tigre,Lanús,Argentina - Copa LPF 2024,Coliseo de Victoria,steal,1,5,48,Tigre,Ezequiel Forclaz,0.09,0.19,-1.0,,,,,
11-03-2024,19:30,Tigre,Lanús,Argentina - Copa LPF 2024,Coliseo de Victoria,steal,1,7,49,Tigre,Agustín Cardozo,-0.69,0.4,-1.0,,,,,
11-03-2024,19:30,Tigre,Lanús,Argentina - Copa LPF 2024,Coliseo de Victoria,steal,1,8,1,Lanús,Julio César Soler,0.09,0.9,-1.0,,,,,
11-03-2024,19:30,Tigre,Lanús,Argentina - Copa LPF 2024,Coliseo de Victoria,steal,1,12,41,Lanús,Raúl Loaiza,-0.04,-0.46,-1.0,,,,,
11-03-2024,19:30,Tigre,Lanús,Argentina - Copa LPF 2024,Coliseo de Victoria,steal,1,20,31,Tigre,Agustín Cardozo,0.24,0.04,-1.0,,,,,
11-03-2024,19:30,Tigre,Lanús,Argentina - Copa LPF 2024,Coliseo de Victoria,steal,1,21,42,Tigre,Blas Armoa,0.32,0.75,-1.0,,,,,
11-03-2024,19:30,Tigre,Lanús,Argentina - Copa LPF 2024,Coliseo de Victoria,steal,1,25,57,Tigre,Martín Ortega,-0.63,0.72,-1.0,,,,,
11-03-2024,19:30,Tigre,Lanús,Argentina - Copa LPF 2024,Coliseo de Victoria,steal,1,30,40,Lanús,Julio César Soler,0.82,0.49,-1.0,,,,,
11-03-2024,19:30,Tigre,Lanús,Argentina - Copa LPF 2024,Coliseo de Victoria,steal,1,30,44,Tigre,Gonzalo Flores,0.79,0.76,-1.0,,,,,
11-03-2024,19:30,Tigre,Lanús,Argentina - Copa LPF 2024,Coliseo de Victoria,steal,1,39,16,Lanús,Ezequiel Muñoz,0.17,-0.27,-1.0,,,,,
11-03-2024,19:30,Tigre,Lanús,Argentina - Copa LPF 2024,Coliseo de Victoria,steal,1,41,9,Tigre,Martín Garay,0.35,-0.1,-1.0,,,,,
11-03-2024,19:30,Tigre,Lanús,Argentina - Copa LPF 2024,Coliseo de Victoria,steal,1,41,26,Tigre,Ezequiel Forclaz,0.58,0.83,-1.0,,,,,
11-03-2024,19:30,Tigre,Lanús,Argentina - Copa LPF 2024,Coliseo de Victoria,steal,2,45,24,Lanús,Juan José Cáceres,-0.42,0.41,-1.0,,,,,
11-03-2024,19:30,Tigre,Lanús,Argentina - Copa LPF 2024,Coliseo de Victoria,steal,2,48,25,Tigre,Martín Ortega,0.45,-0.84,-1.0,,,,,
11-03-2024,19:30,Tigre,Lanús,Argentina - Copa LPF 2024,Coliseo de Victoria,steal,2,48,28,Lanús,Raúl Loaiza,0.22,-0.71,-1.0,,,,,
11-03-2024,19:30,Tigre,Lanús,Argentina - Copa LPF 2024,Coliseo de Victoria,steal,2,48,42,Lanús,Ezequiel Muñoz,-0.15,-0.12,-1.0,,,,,
11-03-2024,19:30,Tigre,Lanús,Argentina - Copa LPF 2024,Coliseo de Victoria,steal,2,48,45,Tigre,Ezequiel Forclaz,0.22,-0.76,-1.0,,,,,
11-03-2024,19:30,Tigre,Lanús,Argentina - Copa LPF 2024,Coliseo de Victoria,steal,2,53,14,Tigre,Gonzalo Flores,-0.2,0.65,-1.0,,,,,
11-03-2024,19:30,Tigre,Lanús,Argentina - Copa LPF 2024,Coliseo de Victoria,steal,2,55,34,Lanús,Braian Aguirre,-0.56,0.8,-1.0,,,,,
11-03-2024,19:30,Tigre,Lanús,Argentina - Copa LPF 2024,Coliseo de Victoria,steal,2,59,17,Tigre,Gian Nardelli,0.77,-0.52,-1.0,,,,,
11-03-2024,19:30,Tigre,Lanús,Argentina - Copa LPF 2024,Coliseo de Victoria,steal,2,64,32,Tigre,Nahuel Génez,-0.17,0.24,-1.0,,,,,
