date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
12-03-2024,21:15,Central Córdoba (SE),Belgrano,Argentina - Copa LPF 2024,Único Madre de Ciudades,steal,1,4,11,Central Córdoba (SE),Rodrigo Atencio,0.14,0.74,-1.0,,,,,
12-03-2024,21:15,Central Córdoba (SE),Belgrano,Argentina - Copa LPF 2024,Único Madre de Ciudades,steal,1,5,14,Belgrano,Alex Ibacache,-0.27,0.25,-1.0,,,,,
12-03-2024,21:15,Central Córdoba (SE),Belgrano,Argentina - Copa LPF 2024,Único Madre de Ciudades,steal,1,7,40,Belgrano,Bryan Reyna,-0.38,0.78,-1.0,,,,,
12-03-2024,21:15,Central Córdoba (SE),Belgrano,Argentina - Copa LPF 2024,Único Madre de Ciudades,steal,1,13,58,Belgrano,Esteban Rolón,-0.55,0.76,-1.0,,,,,
12-03-2024,21:15,Central Córdoba (SE),Belgrano,Argentina - Copa LPF 2024,Único Madre de Ciudades,steal,1,27,32,Belgrano,Santiago Longo,0.56,0.4,-1.0,,,,,
12-03-2024,21:15,Central Córdoba (SE),Belgrano,Argentina - Copa LPF 2024,Único Madre de Ciudades,steal,1,31,55,Belgrano,Alex Ibacache,0.62,0.78,-1.0,,,,,
12-03-2024,21:15,Central Córdoba (SE),Belgrano,Argentina - Copa LPF 2024,Único Madre de Ciudades,steal,1,32,50,Belgrano,Nicolás Meriano,0.43,0.35,-1.0,,,,,
12-03-2024,21:15,Central Córdoba (SE),Belgrano,Argentina - Copa LPF 2024,Único Madre de Ciudades,steal,1,42,7,Belgrano,Lucas Passerini,0.37,0.36,-1.0,,,,,
12-03-2024,21:15,Central Córdoba (SE),Belgrano,Argentina - Copa LPF 2024,Único Madre de Ciudades,steal,1,42,50,Belgrano,Santiago Longo,0.21,-0.08,-1.0,,,,,
12-03-2024,21:15,Central Córdoba (SE),Belgrano,Argentina - Copa LPF 2024,Único Madre de Ciudades,steal,1,43,22,Belgrano,Santiago Longo,-0.05,0.54,-1.0,,,,,
