date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
12-04-2024,19:30,Estudiantes,Boca Juniors,Argentina - Copa LPF 2024,Jorge Luis Hirschi,steal,1,4,59,Boca Juniors,Luis Adví­ncula,-0.64,0.85,-1.0,,,,,
12-04-2024,19:30,Estudiantes,Boca Juniors,Argentina - Copa LPF 2024,Jorge Luis Hirschi,steal,1,14,48,Estudiantes,Eros Mancuso,0.81,-0.32,-1.0,,,,,
12-04-2024,19:30,Estudiantes,Boca Juniors,Argentina - Copa LPF 2024,Jorge Luis Hirschi,steal,1,18,19,Boca Juniors,Lautaro Blanco,0.45,-0.85,-1.0,,,,,
12-04-2024,19:30,Estudiantes,Boca Juniors,Argentina - Copa LPF 2024,Jorge Luis Hirschi,steal,1,19,23,Boca Juniors,Cristian Medina,0.48,-0.46,-1.0,,,,,
12-04-2024,19:30,Estudiantes,Boca Juniors,Argentina - Copa LPF 2024,Jorge Luis Hirschi,steal,1,29,47,Boca Juniors,Cristian Lema,0.43,-0.4,-1.0,,,,,
12-04-2024,19:30,Estudiantes,Boca Juniors,Argentina - Copa LPF 2024,Jorge Luis Hirschi,steal,1,31,23,Boca Juniors,Lautaro Blanco,0.73,0.87,-1.0,,,,,
12-04-2024,19:30,Estudiantes,Boca Juniors,Argentina - Copa LPF 2024,Jorge Luis Hirschi,steal,1,34,51,Boca Juniors,Edinson Cavani,0.09,-0.35,-1.0,,,,,
12-04-2024,19:30,Estudiantes,Boca Juniors,Argentina - Copa LPF 2024,Jorge Luis Hirschi,steal,1,41,1,Boca Juniors,Luis Adví­ncula,0.58,-0.64,-1.0,,,,,
12-04-2024,19:30,Estudiantes,Boca Juniors,Argentina - Copa LPF 2024,Jorge Luis Hirschi,steal,1,44,5,Boca Juniors,Edinson Cavani,0.32,0.54,-1.0,,,,,
12-04-2024,19:30,Estudiantes,Boca Juniors,Argentina - Copa LPF 2024,Jorge Luis Hirschi,steal,1,46,23,Boca Juniors,Cristian Medina,0.54,0.89,-1.0,,,,,
12-04-2024,19:30,Estudiantes,Boca Juniors,Argentina - Copa LPF 2024,Jorge Luis Hirschi,steal,1,49,38,Boca Juniors,Luis Adví­ncula,-0.07,-0.8,-1.0,,,,,
12-04-2024,19:30,Estudiantes,Boca Juniors,Argentina - Copa LPF 2024,Jorge Luis Hirschi,steal,2,51,35,Estudiantes,Edwuin Cetré,0.71,-0.64,-1.0,,,,,
12-04-2024,19:30,Estudiantes,Boca Juniors,Argentina - Copa LPF 2024,Jorge Luis Hirschi,steal,2,75,15,Estudiantes,Pablo Piatti,-0.09,0.75,-1.0,,,,,
12-04-2024,19:30,Estudiantes,Boca Juniors,Argentina - Copa LPF 2024,Jorge Luis Hirschi,foul,1,0,15,Boca Juniors,Cristian Medina,0.46,0.52,-1.0,Eros Mancuso,,,,
12-04-2024,19:30,Estudiantes,Boca Juniors,Argentina - Copa LPF 2024,Jorge Luis Hirschi,foul,1,2,32,Boca Juniors,Edinson Cavani,0.42,-0.62,-1.0,Federico Fernández,,,,
12-04-2024,19:30,Estudiantes,Boca Juniors,Argentina - Copa LPF 2024,Jorge Luis Hirschi,foul,1,7,30,Estudiantes,Federico Fernández,-0.22,-0.91,-1.0,Edinson Cavani,,,,
12-04-2024,19:30,Estudiantes,Boca Juniors,Argentina - Copa LPF 2024,Jorge Luis Hirschi,foul,1,8,43,Boca Juniors,Nicolás Valentini,-0.52,-0.81,-1.0,José Sosa,,,,
12-04-2024,19:30,Estudiantes,Boca Juniors,Argentina - Copa LPF 2024,Jorge Luis Hirschi,foul,1,15,39,Boca Juniors,Luis Adví­ncula,0.19,0.73,-1.0,José Sosa,,,,
12-04-2024,19:30,Estudiantes,Boca Juniors,Argentina - Copa LPF 2024,Jorge Luis Hirschi,foul,1,16,44,Estudiantes,José Sosa,0.33,-0.63,-1.0,Cristian Medina,,,,
12-04-2024,19:30,Estudiantes,Boca Juniors,Argentina - Copa LPF 2024,Jorge Luis Hirschi,foul,1,20,33,Estudiantes,Eros Mancuso,-0.13,0.85,-1.0,Lucas Blondel,,,,
12-04-2024,19:30,Estudiantes,Boca Juniors,Argentina - Copa LPF 2024,Jorge Luis Hirschi,foul,1,21,43,Estudiantes,Edwuin Cetré,0.13,0.38,-1.0,Luis Adví­ncula,,,,
12-04-2024,19:30,Estudiantes,Boca Juniors,Argentina - Copa LPF 2024,Jorge Luis Hirschi,foul,1,22,37,Boca Juniors,Cristian Lema,-0.28,0.03,-1.0,Javier Altamirano,,,,
12-04-2024,19:30,Estudiantes,Boca Juniors,Argentina - Copa LPF 2024,Jorge Luis Hirschi,foul,1,26,44,Estudiantes,Fernando Zuqui,0.21,0.15,-1.0,Cristian Medina,,,,
12-04-2024,19:30,Estudiantes,Boca Juniors,Argentina - Copa LPF 2024,Jorge Luis Hirschi,foul,1,29,27,Boca Juniors,Cristian Lema,-0.13,-0.7,-1.0,Guido Carrillo,,,,
12-04-2024,19:30,Estudiantes,Boca Juniors,Argentina - Copa LPF 2024,Jorge Luis Hirschi,foul,1,30,17,Boca Juniors,Kevin Zenón,0.38,0.7,-1.0,José Sosa,,,,
12-04-2024,19:30,Estudiantes,Boca Juniors,Argentina - Copa LPF 2024,Jorge Luis Hirschi,foul,1,33,17,Boca Juniors,Lautaro Blanco,0.14,0.6,-1.0,Edwuin Cetré,,,,
12-04-2024,19:30,Estudiantes,Boca Juniors,Argentina - Copa LPF 2024,Jorge Luis Hirschi,foul,1,35,38,Boca Juniors,Cristian Medina,0.28,0.42,-1.0,Guido Carrillo,,,,
12-04-2024,19:30,Estudiantes,Boca Juniors,Argentina - Copa LPF 2024,Jorge Luis Hirschi,foul,1,39,34,Estudiantes,José Sosa,0.19,-0.8,-1.0,Cristian Lema,,,,
12-04-2024,19:30,Estudiantes,Boca Juniors,Argentina - Copa LPF 2024,Jorge Luis Hirschi,foul,1,45,16,Boca Juniors,Ezequiel Fernández,0.12,-0.18,-1.0,Fernando Zuqui,,,,
12-04-2024,19:30,Estudiantes,Boca Juniors,Argentina - Copa LPF 2024,Jorge Luis Hirschi,foul,1,46,35,Boca Juniors,Kevin Zenón,0.28,0.6,-1.0,Enzo Pérez,,,,
12-04-2024,19:30,Estudiantes,Boca Juniors,Argentina - Copa LPF 2024,Jorge Luis Hirschi,foul,1,57,37,Boca Juniors,Guillermo Fernández,0.31,0.66,-1.0,Fernando Zuqui,,,,
12-04-2024,19:30,Estudiantes,Boca Juniors,Argentina - Copa LPF 2024,Jorge Luis Hirschi,foul,2,49,23,Estudiantes,Eros Mancuso,0.41,-0.73,-1.0,Kevin Zenón,,,,
12-04-2024,19:30,Estudiantes,Boca Juniors,Argentina - Copa LPF 2024,Jorge Luis Hirschi,foul,2,55,51,Estudiantes,Javier Correa,-0.15,-0.49,-1.0,Edinson Cavani,,,,
12-04-2024,19:30,Estudiantes,Boca Juniors,Argentina - Copa LPF 2024,Jorge Luis Hirschi,foul,2,56,12,Estudiantes,Fernando Zuqui,-0.21,-0.58,-1.0,Ezequiel Fernández,,,,
12-04-2024,19:30,Estudiantes,Boca Juniors,Argentina - Copa LPF 2024,Jorge Luis Hirschi,foul,2,58,56,Boca Juniors,Edinson Cavani,0.29,-0.66,-1.0,Eros Mancuso,,,,
12-04-2024,19:30,Estudiantes,Boca Juniors,Argentina - Copa LPF 2024,Jorge Luis Hirschi,foul,2,60,6,Estudiantes,Edwuin Cetré,-0.26,-0.64,-1.0,Kevin Zenón,,,,
12-04-2024,19:30,Estudiantes,Boca Juniors,Argentina - Copa LPF 2024,Jorge Luis Hirschi,foul,2,61,26,Estudiantes,Fernando Zuqui,-0.15,0.48,-1.0,Cristian Medina,,,,
12-04-2024,19:30,Estudiantes,Boca Juniors,Argentina - Copa LPF 2024,Jorge Luis Hirschi,foul,2,62,13,Boca Juniors,Edinson Cavani,-0.08,-0.62,-1.0,Eros Mancuso,,,,
12-04-2024,19:30,Estudiantes,Boca Juniors,Argentina - Copa LPF 2024,Jorge Luis Hirschi,foul,2,72,51,Estudiantes,Javier Correa,-0.31,0.71,-1.0,Luis Adví­ncula,,,,
12-04-2024,19:30,Estudiantes,Boca Juniors,Argentina - Copa LPF 2024,Jorge Luis Hirschi,foul,2,78,6,Estudiantes,Javier Correa,-0.24,0.55,-1.0,Cristian Lema,,,,
12-04-2024,19:30,Estudiantes,Boca Juniors,Argentina - Copa LPF 2024,Jorge Luis Hirschi,foul,2,80,18,Boca Juniors,Lautaro Blanco,0.22,-0.75,-1.0,Pablo Piatti,,,,
12-04-2024,19:30,Estudiantes,Boca Juniors,Argentina - Copa LPF 2024,Jorge Luis Hirschi,foul,2,81,31,Boca Juniors,Cristian Lema,-0.5,-0.4,-1.0,Edwuin Cetré,,,,
12-04-2024,19:30,Estudiantes,Boca Juniors,Argentina - Copa LPF 2024,Jorge Luis Hirschi,shot,1,1,20,Estudiantes,José Sosa,-0.5,-0.08,-1.0,,-1.0,0.25,-1.0,
12-04-2024,19:30,Estudiantes,Boca Juniors,Argentina - Copa LPF 2024,Jorge Luis Hirschi,shot,1,3,28,Estudiantes,Edwuin Cetré,-0.61,0.41,-1.0,,-0.98,0.17,-1.0,
12-04-2024,19:30,Estudiantes,Boca Juniors,Argentina - Copa LPF 2024,Jorge Luis Hirschi,shot,1,9,39,Estudiantes,Eros Mancuso,-0.39,0.07,-1.0,Cristian Medina,-0.66,-0.02,0.25,
12-04-2024,19:30,Estudiantes,Boca Juniors,Argentina - Copa LPF 2024,Jorge Luis Hirschi,shot,1,13,15,Boca Juniors,Kevin Zenón,0.84,0.26,-1.0,Enzo Pérez,0.94,0.08,0.41,
12-04-2024,19:30,Estudiantes,Boca Juniors,Argentina - Copa LPF 2024,Jorge Luis Hirschi,shot,1,13,41,Boca Juniors,Cristian Medina,0.7,0.12,-1.0,Matías Mansilla,0.9,0.02,0.75,
12-04-2024,19:30,Estudiantes,Boca Juniors,Argentina - Copa LPF 2024,Jorge Luis Hirschi,shot,1,14,13,Boca Juniors,Luis Adví­ncula,0.77,0.09,-1.0,,0.87,-0.2,-1.0,
