date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
15-03-2024,16:30,Dep. Riestra,Independiente,Argentina - Copa LPF 2024,Guillermo Laza,steal,1,6,7,Dep. Riestra,Nicolás Sansotre,0.9,-0.68,-1.0,,,,,
15-03-2024,16:30,Dep. Riestra,Independiente,Argentina - Copa LPF 2024,Guillermo Laza,steal,1,7,1,Dep. Riestra,Jonatan Goya,-0.37,-0.43,-1.0,,,,,
15-03-2024,16:30,Dep. Riestra,Independiente,Argentina - Copa LPF 2024,Guillermo Laza,steal,1,8,24,Dep. Riestra,Jonatan Goya,-0.16,-0.67,-1.0,,,,,
15-03-2024,16:30,Dep. Riestra,Independiente,Argentina - Copa LPF 2024,Guillermo Laza,steal,1,9,26,Dep. Riestra,Nicolás Sansotre,-0.57,-0.56,-1.0,,,,,
15-03-2024,16:30,Dep. Riestra,Independiente,Argentina - Copa LPF 2024,Guillermo Laza,steal,1,11,31,Dep. Riestra,Jonatan Goya,0.1,0.71,-1.0,,,,,
15-03-2024,16:30,Dep. Riestra,Independiente,Argentina - Copa LPF 2024,Guillermo Laza,steal,1,15,34,Dep. Riestra,Jonatan Goya,-0.51,-0.42,-1.0,,,,,
15-03-2024,16:30,Dep. Riestra,Independiente,Argentina - Copa LPF 2024,Guillermo Laza,steal,1,32,32,Dep. Riestra,Alan Barrionuevo,-0.88,-0.23,-1.0,,,,,
15-03-2024,16:30,Dep. Riestra,Independiente,Argentina - Copa LPF 2024,Guillermo Laza,steal,2,55,49,Dep. Riestra,Nicolás Caro Torres,0.58,0.76,-1.0,,,,,
15-03-2024,16:30,Dep. Riestra,Independiente,Argentina - Copa LPF 2024,Guillermo Laza,steal,2,79,34,Dep. Riestra,Ramón González,0.12,-0.63,-1.0,,,,,
15-03-2024,16:30,Dep. Riestra,Independiente,Argentina - Copa LPF 2024,Guillermo Laza,steal,2,84,19,Independiente,David Martínez,-0.54,-0.38,-1.0,,,,,
