date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
15-03-2024,21:00,Newell`s,Platense,Argentina - Copa LPF 2024,Marcelo Bielsa,steal,1,6,2,Newell`s,Julián Fernández,-0.1,-0.24,-1.0,,,,,
15-03-2024,21:00,Newell`s,Platense,Argentina - Copa LPF 2024,Marcelo Bielsa,steal,1,6,6,Platense,Sasha Marcich,-0.51,-0.67,-1.0,,,,,
15-03-2024,21:00,Newell`s,Platense,Argentina - Copa LPF 2024,Marcelo Bielsa,steal,1,13,45,Newell`s,Rodrigo Fernández,0.05,0.45,-1.0,,,,,
15-03-2024,21:00,Newell`s,Platense,Argentina - Copa LPF 2024,Marcelo Bielsa,steal,1,14,19,Platense,Gastón Suso,-0.61,-0.35,-1.0,,,,,
15-03-2024,21:00,Newell`s,Platense,Argentina - Copa LPF 2024,Marcelo Bielsa,steal,1,14,39,Newell`s,Julián Fernández,0.38,0.2,-1.0,,,,,
15-03-2024,21:00,Newell`s,Platense,Argentina - Copa LPF 2024,Marcelo Bielsa,steal,1,16,34,Newell`s,Ian Glavinovich,0.63,0.24,-1.0,,,,,
15-03-2024,21:00,Newell`s,Platense,Argentina - Copa LPF 2024,Marcelo Bielsa,steal,1,20,8,Platense,Carlos Villalba,0.19,-0.29,-1.0,,,,,
15-03-2024,21:00,Newell`s,Platense,Argentina - Copa LPF 2024,Marcelo Bielsa,steal,1,22,9,Newell`s,Julián Fernández,-0.13,-0.45,-1.0,,,,,
15-03-2024,21:00,Newell`s,Platense,Argentina - Copa LPF 2024,Marcelo Bielsa,steal,1,22,41,Newell`s,Rodrigo Fernández,-0.13,0.1,-1.0,,,,,
15-03-2024,21:00,Newell`s,Platense,Argentina - Copa LPF 2024,Marcelo Bielsa,steal,1,27,6,Platense,Braian Rivero,-0.31,-0.42,-1.0,,,,,
15-03-2024,21:00,Newell`s,Platense,Argentina - Copa LPF 2024,Marcelo Bielsa,steal,1,28,20,Newell`s,Jeremías Pérez Tica,-0.18,-0.39,-1.0,,,,,
15-03-2024,21:00,Newell`s,Platense,Argentina - Copa LPF 2024,Marcelo Bielsa,steal,1,31,0,Newell`s,Julián Fernández,0.22,0.03,-1.0,,,,,
15-03-2024,21:00,Newell`s,Platense,Argentina - Copa LPF 2024,Marcelo Bielsa,steal,1,31,9,Platense,Leonel Picco,-0.21,0.75,-1.0,,,,,
15-03-2024,21:00,Newell`s,Platense,Argentina - Copa LPF 2024,Marcelo Bielsa,steal,1,43,29,Newell`s,Rodrigo Fernández,0.36,0.28,-1.0,,,,,
15-03-2024,21:00,Newell`s,Platense,Argentina - Copa LPF 2024,Marcelo Bielsa,steal,1,44,26,Platense,Carlos Villalba,-0.7,0.72,-1.0,,,,,
15-03-2024,21:00,Newell`s,Platense,Argentina - Copa LPF 2024,Marcelo Bielsa,steal,1,45,6,Newell`s,Francisco González,0.7,0.03,-1.0,,,,,
