date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
16-03-2024,21:30,Atlético Tucumán,Independiente Riv. (M),Argentina - Copa LPF 2024,Monumental Presidente José Fierro,steal,1,19,40,Atlético Tucumán,Adrián Sánchez,-0.06,-0.44,-1.0,,,,,
16-03-2024,21:30,Atlético Tucumán,Independiente Riv. (M),Argentina - Copa LPF 2024,Monumental Presidente José Fierro,steal,1,36,46,Independiente Riv. (M),Gastón Gil Romero,0.08,0.54,-1.0,,,,,
16-03-2024,21:30,Atlético Tucumán,Independiente Riv. (M),Argentina - Copa LPF 2024,Monumental Presidente José Fierro,steal,2,58,36,Atlético Tucumán,Nicolás Romero,0.55,0.33,-1.0,,,,,
16-03-2024,21:30,Atlético Tucumán,Independiente Riv. (M),Argentina - Copa LPF 2024,Monumental Presidente José Fierro,steal,2,83,9,Independiente Riv. (M),Emmanuel Mas,-0.06,-0.32,-1.0,,,,,
16-03-2024,21:30,Atlético Tucumán,Independiente Riv. (M),Argentina - Copa LPF 2024,Monumental Presidente José Fierro,steal,2,91,37,Independiente Riv. (M),Gonzalo Marinelli,-0.85,-0.14,-1.0,,,,,
16-03-2024,21:30,Atlético Tucumán,Independiente Riv. (M),Argentina - Copa LPF 2024,Monumental Presidente José Fierro,steal,2,92,37,Independiente Riv. (M),Gastón Gil Romero,-0.01,0.46,-1.0,,,,,
16-03-2024,21:30,Atlético Tucumán,Independiente Riv. (M),Argentina - Copa LPF 2024,Monumental Presidente José Fierro,foul,1,1,22,Independiente Riv. (M),Federico Castro,-0.87,-0.78,-1.0,Nicolás Romero,,,,
16-03-2024,21:30,Atlético Tucumán,Independiente Riv. (M),Argentina - Copa LPF 2024,Monumental Presidente José Fierro,foul,1,3,17,Atlético Tucumán,Juan José Infante,0.39,-0.74,-1.0,Matías Reali,,,,
16-03-2024,21:30,Atlético Tucumán,Independiente Riv. (M),Argentina - Copa LPF 2024,Monumental Presidente José Fierro,foul,1,10,6,Independiente Riv. (M),Mauro Maidana,-0.28,0.69,-1.0,Renzo Tesuri,,,,
16-03-2024,21:30,Atlético Tucumán,Independiente Riv. (M),Argentina - Copa LPF 2024,Monumental Presidente José Fierro,foul,1,14,28,Atlético Tucumán,Adrián Sánchez,0.36,0.18,-1.0,Joel Soñora,,,,
