date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
16-03-2024,19:15,Racing Club,Defensa y Justicia,Argentina - Copa LPF 2024,Presidente Perón,steal,1,2,31,Racing Club,Gabriel Rojas,0.5,-0.66,-1.0,,,,,
16-03-2024,19:15,Racing Club,Defensa y Justicia,Argentina - Copa LPF 2024,Presidente Perón,steal,1,7,44,Racing Club,Agustín García Basso,-0.49,-0.37,-1.0,,,,,
16-03-2024,19:15,Racing Club,Defensa y Justicia,Argentina - Copa LPF 2024,Presidente Perón,steal,1,9,25,Racing Club,Bruno Zuculini,0.28,-0.33,-1.0,,,,,
16-03-2024,19:15,Racing Club,Defensa y Justicia,Argentina - Copa LPF 2024,Presidente Perón,steal,1,11,11,Racing Club,Adrián Martínez,0.4,0.78,-1.0,,,,,
16-03-2024,19:15,Racing Club,Defensa y Justicia,Argentina - Copa LPF 2024,Presidente Perón,steal,1,11,39,Racing Club,Santiago Solari,0.52,0.55,-1.0,,,,,
16-03-2024,19:15,Racing Club,Defensa y Justicia,Argentina - Copa LPF 2024,Presidente Perón,steal,1,12,36,Racing Club,Gabriel Rojas,-0.74,-0.38,-1.0,,,,,
16-03-2024,19:15,Racing Club,Defensa y Justicia,Argentina - Copa LPF 2024,Presidente Perón,steal,1,13,29,Racing Club,Leonardo Sigali,-0.46,0.14,-1.0,,,,,
16-03-2024,19:15,Racing Club,Defensa y Justicia,Argentina - Copa LPF 2024,Presidente Perón,steal,1,13,16,Defensa y Justicia,Emanuel Aguilera,0.47,-0.62,-1.0,,,,,
16-03-2024,19:15,Racing Club,Defensa y Justicia,Argentina - Copa LPF 2024,Presidente Perón,steal,1,16,47,Racing Club,Bruno Zuculini,0.11,-0.64,-1.0,,,,,
16-03-2024,19:15,Racing Club,Defensa y Justicia,Argentina - Copa LPF 2024,Presidente Perón,steal,1,17,15,Racing Club,Santiago Sosa,-0.35,0.02,-1.0,,,,,
16-03-2024,19:15,Racing Club,Defensa y Justicia,Argentina - Copa LPF 2024,Presidente Perón,steal,1,19,18,Racing Club,Bruno Zuculini,-0.33,0.09,-1.0,,,,,
16-03-2024,19:15,Racing Club,Defensa y Justicia,Argentina - Copa LPF 2024,Presidente Perón,steal,1,25,28,Defensa y Justicia,Luciano Herrera,0.42,0.43,-1.0,,,,,
16-03-2024,19:15,Racing Club,Defensa y Justicia,Argentina - Copa LPF 2024,Presidente Perón,steal,1,29,14,Racing Club,Facundo Mura,-0.67,0.35,-1.0,,,,,
16-03-2024,19:15,Racing Club,Defensa y Justicia,Argentina - Copa LPF 2024,Presidente Perón,steal,1,29,6,Defensa y Justicia,Rodrigo Bogarín,-0.1,-0.43,-1.0,,,,,
16-03-2024,19:15,Racing Club,Defensa y Justicia,Argentina - Copa LPF 2024,Presidente Perón,steal,1,33,30,Racing Club,Gabriel Rojas,0.39,-0.08,-1.0,,,,,
16-03-2024,19:15,Racing Club,Defensa y Justicia,Argentina - Copa LPF 2024,Presidente Perón,steal,1,36,14,Racing Club,Leonardo Sigali,-0.48,-0.27,-1.0,,,,,
16-03-2024,19:15,Racing Club,Defensa y Justicia,Argentina - Copa LPF 2024,Presidente Perón,steal,1,38,12,Racing Club,Facundo Mura,-0.72,0.74,-1.0,,,,,
16-03-2024,19:15,Racing Club,Defensa y Justicia,Argentina - Copa LPF 2024,Presidente Perón,steal,1,42,48,Racing Club,Bruno Zuculini,-0.45,0.39,-1.0,,,,,
16-03-2024,19:15,Racing Club,Defensa y Justicia,Argentina - Copa LPF 2024,Presidente Perón,steal,1,44,6,Racing Club,Adrián Martínez,0.72,0.38,-1.0,,,,,
16-03-2024,19:15,Racing Club,Defensa y Justicia,Argentina - Copa LPF 2024,Presidente Perón,steal,2,47,41,Racing Club,Bruno Zuculini,0.23,0.5,-1.0,,,,,
16-03-2024,19:15,Racing Club,Defensa y Justicia,Argentina - Copa LPF 2024,Presidente Perón,steal,2,48,4,Racing Club,Juan Fernando Quintero,-0.32,-0.38,-1.0,,,,,
16-03-2024,19:15,Racing Club,Defensa y Justicia,Argentina - Copa LPF 2024,Presidente Perón,steal,2,51,26,Racing Club,Juan Fernando Quintero,0.3,-0.18,-1.0,,,,,
16-03-2024,19:15,Racing Club,Defensa y Justicia,Argentina - Copa LPF 2024,Presidente Perón,steal,2,52,34,Racing Club,Leonardo Sigali,0.3,-0.24,-1.0,,,,,
16-03-2024,19:15,Racing Club,Defensa y Justicia,Argentina - Copa LPF 2024,Presidente Perón,steal,2,54,48,Racing Club,Santiago Sosa,0.36,0.04,-1.0,,,,,
16-03-2024,19:15,Racing Club,Defensa y Justicia,Argentina - Copa LPF 2024,Presidente Perón,steal,2,73,25,Racing Club,Adrián Martínez,-0.35,0.15,-1.0,,,,,
16-03-2024,19:15,Racing Club,Defensa y Justicia,Argentina - Copa LPF 2024,Presidente Perón,steal,2,75,18,Racing Club,Leonel Miranda,-0.19,0.48,-1.0,,,,,
16-03-2024,19:15,Racing Club,Defensa y Justicia,Argentina - Copa LPF 2024,Presidente Perón,steal,2,76,56,Racing Club,Maximiliano Salas,-0.4,-0.41,-1.0,,,,,
16-03-2024,19:15,Racing Club,Defensa y Justicia,Argentina - Copa LPF 2024,Presidente Perón,steal,2,83,32,Racing Club,Johan Carbonero,-0.24,0.43,-1.0,,,,,
16-03-2024,19:15,Racing Club,Defensa y Justicia,Argentina - Copa LPF 2024,Presidente Perón,steal,2,90,38,Racing Club,Agustín García Basso,-0.06,0.07,-1.0,,,,,
16-03-2024,19:15,Racing Club,Defensa y Justicia,Argentina - Copa LPF 2024,Presidente Perón,steal,2,94,26,Racing Club,Santiago Sosa,0.58,-0.39,-1.0,,,,,
16-03-2024,19:15,Racing Club,Defensa y Justicia,Argentina - Copa LPF 2024,Presidente Perón,steal,2,94,46,Racing Club,Gabriel Rojas,0.55,0.41,-1.0,,,,,
16-03-2024,19:15,Racing Club,Defensa y Justicia,Argentina - Copa LPF 2024,Presidente Perón,foul,1,4,9,Racing Club,Bruno Zuculini,0.35,-0.23,-1.0,Kevin López,,,,
16-03-2024,19:15,Racing Club,Defensa y Justicia,Argentina - Copa LPF 2024,Presidente Perón,foul,1,9,33,Defensa y Justicia,Julián López,0.25,-0.36,-1.0,Bruno Zuculini,,,,
16-03-2024,19:15,Racing Club,Defensa y Justicia,Argentina - Copa LPF 2024,Presidente Perón,foul,1,31,37,Racing Club,Leonardo Sigali,-0.34,0.34,-1.0,Luciano Herrera,,,,
16-03-2024,19:15,Racing Club,Defensa y Justicia,Argentina - Copa LPF 2024,Presidente Perón,foul,1,41,40,Defensa y Justicia,Luciano Herrera,0.41,-0.71,-1.0,Gabriel Rojas,,,,
16-03-2024,19:15,Racing Club,Defensa y Justicia,Argentina - Copa LPF 2024,Presidente Perón,foul,2,46,48,Defensa y Justicia,Luciano Herrera,0.68,0.5,-1.0,Gabriel Rojas,,,,
16-03-2024,19:15,Racing Club,Defensa y Justicia,Argentina - Copa LPF 2024,Presidente Perón,foul,2,48,35,Racing Club,Maximiliano Salas,0.26,0.4,-1.0,Luciano Herrera,,,,
16-03-2024,19:15,Racing Club,Defensa y Justicia,Argentina - Copa LPF 2024,Presidente Perón,foul,2,65,37,Racing Club,Adrián Martínez,-0.75,-0.04,-1.0,Alexis Soto,,,,
16-03-2024,19:15,Racing Club,Defensa y Justicia,Argentina - Copa LPF 2024,Presidente Perón,foul,2,70,11,Defensa y Justicia,Gabriel Alanís,-0.37,0.65,-1.0,Gabriel Rojas,,,,
16-03-2024,19:15,Racing Club,Defensa y Justicia,Argentina - Copa LPF 2024,Presidente Perón,foul,2,79,51,Defensa y Justicia,Rodrigo Bogarín,0.1,0.35,-1.0,Leonel Miranda,,,,
16-03-2024,19:15,Racing Club,Defensa y Justicia,Argentina - Copa LPF 2024,Presidente Perón,foul,2,83,49,Defensa y Justicia,Emanuel Aguilera,,,,,,,,
16-03-2024,19:15,Racing Club,Defensa y Justicia,Argentina - Copa LPF 2024,Presidente Perón,foul,2,91,50,Racing Club,Facundo Mura,-0.39,-0.54,-1.0,Alexis Soto,,,,
16-03-2024,19:15,Racing Club,Defensa y Justicia,Argentina - Copa LPF 2024,Presidente Perón,shot,1,0,51,Defensa y Justicia,Rodrigo Bogarín,-0.5,0.0,-1.0,,-0.99,-0.14,-1.0,
16-03-2024,19:15,Racing Club,Defensa y Justicia,Argentina - Copa LPF 2024,Presidente Perón,shot,1,3,11,Defensa y Justicia,Rodrigo Bogarín,-0.77,0.42,-1.0,,-0.99,-0.17,-1.0,
16-03-2024,19:15,Racing Club,Defensa y Justicia,Argentina - Copa LPF 2024,Presidente Perón,shot,1,6,47,Defensa y Justicia,Nicolás Fernández,-0.66,0.2,-1.0,,-0.97,-0.5,-1.0,
16-03-2024,19:15,Racing Club,Defensa y Justicia,Argentina - Copa LPF 2024,Presidente Perón,shot,1,8,30,Racing Club,Bruno Zuculini,0.75,-0.1,-1.0,Emanuel Aguilera,0.86,0.04,0.22,
16-03-2024,19:15,Racing Club,Defensa y Justicia,Argentina - Copa LPF 2024,Presidente Perón,shot,1,15,8,Defensa y Justicia,Kevin López,-0.66,0.68,-1.0,Agustín García Basso,-0.81,0.42,0.52,
16-03-2024,19:15,Racing Club,Defensa y Justicia,Argentina - Copa LPF 2024,Presidente Perón,shot,1,15,44,Racing Club,Maximiliano Salas,0.74,-0.32,-1.0,Santiago Ramos Mingo,0.82,-0.1,0.25,
16-03-2024,19:15,Racing Club,Defensa y Justicia,Argentina - Copa LPF 2024,Presidente Perón,shot,1,15,57,Racing Club,Adrián Martínez,0.74,-0.14,-1.0,,0.98,-0.18,-1.0,
16-03-2024,19:15,Racing Club,Defensa y Justicia,Argentina - Copa LPF 2024,Presidente Perón,shot,1,16,58,Racing Club,Juan Fernando Quintero,0.64,0.04,-1.0,Cristopher Fiermarín,0.98,0.08,0.26,
16-03-2024,19:15,Racing Club,Defensa y Justicia,Argentina - Copa LPF 2024,Presidente Perón,shot,1,19,45,Racing Club,Santiago Solari,0.51,-0.01,-1.0,,1.0,0.22,-1.0,
16-03-2024,19:15,Racing Club,Defensa y Justicia,Argentina - Copa LPF 2024,Presidente Perón,shot,1,20,39,Defensa y Justicia,Kevin López,-0.43,-0.13,-1.0,,-0.98,-0.26,-1.0,
16-03-2024,19:15,Racing Club,Defensa y Justicia,Argentina - Copa LPF 2024,Presidente Perón,shot,1,23,0,Racing Club,Santiago Sosa,0.81,0.23,-1.0,,0.99,-0.05,-1.0,
16-03-2024,19:15,Racing Club,Defensa y Justicia,Argentina - Copa LPF 2024,Presidente Perón,shot,1,23,50,Defensa y Justicia,Luciano Herrera,-0.82,-0.16,-1.0,,-0.98,-0.07,-1.0,
16-03-2024,19:15,Racing Club,Defensa y Justicia,Argentina - Copa LPF 2024,Presidente Perón,shot,1,25,56,Defensa y Justicia,Kevin López,-0.62,-0.05,-1.0,Gabriel Arias,-0.96,0.13,0.13,
16-03-2024,19:15,Racing Club,Defensa y Justicia,Argentina - Copa LPF 2024,Presidente Perón,shot,1,26,26,Defensa y Justicia,Santiago Ramos Mingo,-0.76,-0.02,-1.0,,-1.0,-0.35,-1.0,
16-03-2024,19:15,Racing Club,Defensa y Justicia,Argentina - Copa LPF 2024,Presidente Perón,shot,1,27,51,Defensa y Justicia,Kevin López,-0.47,-0.18,-1.0,Gabriel Arias,-0.98,0.06,0.18,
16-03-2024,19:15,Racing Club,Defensa y Justicia,Argentina - Copa LPF 2024,Presidente Perón,shot,1,30,8,Racing Club,Santiago Solari,0.62,0.44,-1.0,Santiago Ramos Mingo,0.84,0.25,0.5,
16-03-2024,19:15,Racing Club,Defensa y Justicia,Argentina - Copa LPF 2024,Presidente Perón,shot,1,33,46,Racing Club,Facundo Mura,0.71,0.53,-1.0,Cristopher Fiermarín,0.98,0.13,0.44,
16-03-2024,19:15,Racing Club,Defensa y Justicia,Argentina - Copa LPF 2024,Presidente Perón,shot,1,35,35,Racing Club,Santiago Solari,0.39,0.06,-1.0,,0.99,-0.22,-1.0,
16-03-2024,19:15,Racing Club,Defensa y Justicia,Argentina - Copa LPF 2024,Presidente Perón,shot,1,36,37,Racing Club,Santiago Solari,0.45,-0.16,-1.0,,0.99,0.12,-1.0,
16-03-2024,19:15,Racing Club,Defensa y Justicia,Argentina - Copa LPF 2024,Presidente Perón,shot,1,43,53,Defensa y Justicia,Luciano Herrera,-0.63,-0.26,-1.0,Gabriel Arias,-0.98,0.07,0.47,
16-03-2024,19:15,Racing Club,Defensa y Justicia,Argentina - Copa LPF 2024,Presidente Perón,shot,1,44,24,Racing Club,Santiago Solari,0.87,-0.48,-1.0,Ezequiel Cannavó,0.89,-0.18,0.21,
16-03-2024,19:15,Racing Club,Defensa y Justicia,Argentina - Copa LPF 2024,Presidente Perón,shot,1,44,57,Racing Club,Maximiliano Salas,0.72,-0.14,-1.0,,0.98,-0.02,-1.0,
16-03-2024,19:15,Racing Club,Defensa y Justicia,Argentina - Copa LPF 2024,Presidente Perón,shot,2,48,14,Racing Club,Juan Fernando Quintero,-0.56,0.38,-1.0,Emanuel Aguilera,-0.75,0.19,0.16,
16-03-2024,19:15,Racing Club,Defensa y Justicia,Argentina - Copa LPF 2024,Presidente Perón,shot,2,50,49,Defensa y Justicia,Kevin López,0.93,-0.46,-1.0,,0.89,0.15,-1.0,
16-03-2024,19:15,Racing Club,Defensa y Justicia,Argentina - Copa LPF 2024,Presidente Perón,shot,2,51,24,Defensa y Justicia,Gastón Togni,0.62,-0.54,-1.0,Santiago Sosa,0.74,-0.14,0.56,
16-03-2024,19:15,Racing Club,Defensa y Justicia,Argentina - Copa LPF 2024,Presidente Perón,shot,2,52,12,Defensa y Justicia,Rodrigo Bogarín,0.42,0.0,-1.0,Gabriel Arias,0.98,0.07,0.16,
