date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
16-03-2024,17:00,San Lorenzo,Sarmiento,Argentina - Copa LPF 2024,Pedro Bidegain,steal,1,0,49,Sarmiento,José Mauri,0.04,0.21,-1.0,,,,,
16-03-2024,17:00,San Lorenzo,Sarmiento,Argentina - Copa LPF 2024,Pedro Bidegain,steal,1,1,27,Sarmiento,José Mauri,-0.03,0.42,-1.0,,,,,
16-03-2024,17:00,San Lorenzo,Sarmiento,Argentina - Copa LPF 2024,Pedro Bidegain,steal,1,2,56,Sarmiento,Franco Paredes,0.67,0.22,-1.0,,,,,
16-03-2024,17:00,San Lorenzo,Sarmiento,Argentina - Copa LPF 2024,Pedro Bidegain,steal,1,3,51,Sarmiento,José Mauri,0.36,0.01,-1.0,,,,,
16-03-2024,17:00,San Lorenzo,Sarmiento,Argentina - Copa LPF 2024,Pedro Bidegain,steal,1,3,59,San Lorenzo,Gonzalo Luján,-0.03,0.49,-1.0,,,,,
16-03-2024,17:00,San Lorenzo,Sarmiento,Argentina - Copa LPF 2024,Pedro Bidegain,steal,1,14,20,Sarmiento,Yair Arismendi,0.12,0.24,-1.0,,,,,
16-03-2024,17:00,San Lorenzo,Sarmiento,Argentina - Copa LPF 2024,Pedro Bidegain,steal,1,15,55,Sarmiento,Fernando Godoy,0.66,-0.11,-1.0,,,,,
16-03-2024,17:00,San Lorenzo,Sarmiento,Argentina - Copa LPF 2024,Pedro Bidegain,steal,1,30,31,Sarmiento,Fernando Godoy,0.76,-0.06,-1.0,,,,,
16-03-2024,17:00,San Lorenzo,Sarmiento,Argentina - Copa LPF 2024,Pedro Bidegain,steal,1,44,15,San Lorenzo,Gastón Campi,-0.45,0.06,-1.0,,,,,
16-03-2024,17:00,San Lorenzo,Sarmiento,Argentina - Copa LPF 2024,Pedro Bidegain,steal,2,46,8,Sarmiento,Diego Calcaterra,-0.22,0.03,-1.0,,,,,
16-03-2024,17:00,San Lorenzo,Sarmiento,Argentina - Copa LPF 2024,Pedro Bidegain,steal,2,55,50,Sarmiento,Fernando Godoy,-0.05,0.22,-1.0,,,,,
16-03-2024,17:00,San Lorenzo,Sarmiento,Argentina - Copa LPF 2024,Pedro Bidegain,steal,2,79,37,San Lorenzo,Agustín Giay,0.74,-0.84,-1.0,,,,,
16-03-2024,17:00,San Lorenzo,Sarmiento,Argentina - Copa LPF 2024,Pedro Bidegain,steal,2,86,41,Sarmiento,Diego Calcaterra,0.22,-0.39,-1.0,,,,,
16-03-2024,17:00,San Lorenzo,Sarmiento,Argentina - Copa LPF 2024,Pedro Bidegain,steal,2,95,19,San Lorenzo,Tobías Medina,-0.12,-0.59,-1.0,,,,,
16-03-2024,17:00,San Lorenzo,Sarmiento,Argentina - Copa LPF 2024,Pedro Bidegain,steal,2,95,42,San Lorenzo,Malcom Braida,-0.23,0.66,-1.0,,,,,
16-03-2024,17:00,San Lorenzo,Sarmiento,Argentina - Copa LPF 2024,Pedro Bidegain,foul,1,4,27,Sarmiento,Fernando Godoy,0.58,-0.34,-1.0,Cristian Ferreira,,,,
16-03-2024,17:00,San Lorenzo,Sarmiento,Argentina - Copa LPF 2024,Pedro Bidegain,foul,1,9,35,Sarmiento,Fernando Godoy,0.36,-0.44,-1.0,Adam Bareiro,,,,
16-03-2024,17:00,San Lorenzo,Sarmiento,Argentina - Copa LPF 2024,Pedro Bidegain,foul,1,10,38,San Lorenzo,Iván Leguizamón,0.38,0.6,-1.0,Yair Arismendi,,,,
16-03-2024,17:00,San Lorenzo,Sarmiento,Argentina - Copa LPF 2024,Pedro Bidegain,foul,1,26,32,Sarmiento,Franco Paredes,0.37,-0.22,-1.0,Agustín Giay,,,,
16-03-2024,17:00,San Lorenzo,Sarmiento,Argentina - Copa LPF 2024,Pedro Bidegain,foul,1,28,56,Sarmiento,Emanuel Hernández,0.44,0.83,-1.0,Adam Bareiro,,,,
16-03-2024,17:00,San Lorenzo,Sarmiento,Argentina - Copa LPF 2024,Pedro Bidegain,foul,1,34,6,Sarmiento,Fernando Godoy,-0.22,-0.63,-1.0,Nahuel Barrios,,,,
16-03-2024,17:00,San Lorenzo,Sarmiento,Argentina - Copa LPF 2024,Pedro Bidegain,foul,1,38,58,Sarmiento,José Mauri,0.28,0.6,-1.0,Elián Irala,,,,
16-03-2024,17:00,San Lorenzo,Sarmiento,Argentina - Copa LPF 2024,Pedro Bidegain,foul,1,45,28,San Lorenzo,Elián Irala,-0.23,-0.9,-1.0,Manuel Mónaco,,,,
16-03-2024,17:00,San Lorenzo,Sarmiento,Argentina - Copa LPF 2024,Pedro Bidegain,foul,2,50,10,San Lorenzo,Jhohan Romaña,-0.87,-0.04,-1.0,Fernando Monetti,,,,
16-03-2024,17:00,San Lorenzo,Sarmiento,Argentina - Copa LPF 2024,Pedro Bidegain,foul,2,52,1,Sarmiento,Juan Manuel Insaurralde,-0.27,-0.53,-1.0,Adam Bareiro,,,,
16-03-2024,17:00,San Lorenzo,Sarmiento,Argentina - Copa LPF 2024,Pedro Bidegain,foul,2,73,3,Sarmiento,Juan Manuel Insaurralde,-0.46,-0.81,-1.0,Iván Leguizamón,,,,
16-03-2024,17:00,San Lorenzo,Sarmiento,Argentina - Copa LPF 2024,Pedro Bidegain,foul,2,76,51,San Lorenzo,Adam Bareiro,-0.21,-0.32,-1.0,Sergio Quiroga,,,,
16-03-2024,17:00,San Lorenzo,Sarmiento,Argentina - Copa LPF 2024,Pedro Bidegain,foul,2,78,4,Sarmiento,Fernando Godoy,0.34,-0.39,-1.0,Elián Irala,,,,
16-03-2024,17:00,San Lorenzo,Sarmiento,Argentina - Copa LPF 2024,Pedro Bidegain,foul,2,79,47,Sarmiento,Agustín Molina,0.69,-0.86,-1.0,Agustín Giay,,,,
16-03-2024,17:00,San Lorenzo,Sarmiento,Argentina - Copa LPF 2024,Pedro Bidegain,foul,2,80,33,Sarmiento,Diego Calcaterra,-0.28,-0.33,-1.0,Adam Bareiro,,,,
16-03-2024,17:00,San Lorenzo,Sarmiento,Argentina - Copa LPF 2024,Pedro Bidegain,foul,2,84,14,Sarmiento,Gabriel Azcurra,,,,,,,,
16-03-2024,17:00,San Lorenzo,Sarmiento,Argentina - Copa LPF 2024,Pedro Bidegain,foul,2,84,55,Sarmiento,Diego Calcaterra,-0.47,0.14,-1.0,Tobías Medina,,,,
16-03-2024,17:00,San Lorenzo,Sarmiento,Argentina - Copa LPF 2024,Pedro Bidegain,foul,2,87,6,San Lorenzo,Elián Irala,0.33,-0.19,-1.0,Manuel Mónaco,,,,
16-03-2024,17:00,San Lorenzo,Sarmiento,Argentina - Copa LPF 2024,Pedro Bidegain,foul,2,88,47,San Lorenzo,Diego Herazo,-0.41,0.27,-1.0,Emanuel Hernández,,,,
16-03-2024,17:00,San Lorenzo,Sarmiento,Argentina - Copa LPF 2024,Pedro Bidegain,foul,2,91,4,San Lorenzo,Agustín Giay,-0.35,-0.38,-1.0,Gabriel Díaz,,,,
