date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
16-03-2024,21:30,Vélez,Instituto,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,1,0,58,Vélez,Claudio Aquino,-0.16,-0.8,-1.0,,,,,
16-03-2024,21:30,Vélez,Instituto,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,1,0,49,Instituto,Roberto Bochi,0.31,-0.18,-1.0,,,,,
16-03-2024,21:30,Vélez,Instituto,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,1,12,8,Vélez,Elías Gómez,-0.08,-0.44,-1.0,,,,,
16-03-2024,21:30,Vélez,Instituto,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,1,14,8,Instituto,Damián Puebla,-0.46,0.14,-1.0,,,,,
16-03-2024,21:30,Vélez,Instituto,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,1,17,7,Vélez,Claudio Aquino,0.56,-0.29,-1.0,,,,,
16-03-2024,21:30,Vélez,Instituto,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,1,15,48,Instituto,Guido Mainero,0.74,-0.75,-1.0,,,,,
16-03-2024,21:30,Vélez,Instituto,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,1,19,58,Vélez,Christian Ordóñez,-0.41,0.3,-1.0,,,,,
16-03-2024,21:30,Vélez,Instituto,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,1,20,43,Vélez,Claudio Aquino,0.76,-0.82,-1.0,,,,,
16-03-2024,21:30,Vélez,Instituto,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,1,29,47,Vélez,Elías Gómez,-0.92,-0.81,-1.0,,,,,
16-03-2024,21:30,Vélez,Instituto,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,1,29,18,Instituto,Gastón Lodico,-0.17,-0.33,-1.0,,,,,
16-03-2024,21:30,Vélez,Instituto,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,1,38,0,Vélez,Elías Gómez,-0.86,-0.79,-1.0,,,,,
16-03-2024,21:30,Vélez,Instituto,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,1,41,41,Instituto,Jonathan Bay,0.43,0.62,-1.0,,,,,
16-03-2024,21:30,Vélez,Instituto,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,1,43,49,Vélez,Emanuel Mammana,-0.29,0.4,-1.0,,,,,
16-03-2024,21:30,Vélez,Instituto,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,2,48,24,Vélez,Emanuel Mammana,0.09,-0.17,-1.0,,,,,
16-03-2024,21:30,Vélez,Instituto,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,2,53,18,Vélez,Christian Ordóñez,-0.14,-0.38,-1.0,,,,,
16-03-2024,21:30,Vélez,Instituto,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,2,53,49,Instituto,Fernando Alarcón,-0.55,0.79,-1.0,,,,,
16-03-2024,21:30,Vélez,Instituto,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,2,57,10,Vélez,Emanuel Mammana,0.77,-0.58,-1.0,,,,,
16-03-2024,21:30,Vélez,Instituto,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,2,58,55,Instituto,Juan José Franco,-0.87,0.76,-1.0,,,,,
16-03-2024,21:30,Vélez,Instituto,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,2,64,9,Vélez,Santiago Cáseres,0.09,0.77,-1.0,,,,,
16-03-2024,21:30,Vélez,Instituto,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,2,67,50,Vélez,Damián Fernández,0.39,0.2,-1.0,,,,,
16-03-2024,21:30,Vélez,Instituto,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,2,71,24,Vélez,Christian Ordóñez,0.0,-0.28,-1.0,,,,,
16-03-2024,21:30,Vélez,Instituto,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,2,70,13,Instituto,Fernando Alarcón,0.13,0.67,-1.0,,,,,
16-03-2024,21:30,Vélez,Instituto,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,2,76,34,Vélez,Emanuel Mammana,0.13,-0.82,-1.0,,,,,
16-03-2024,21:30,Vélez,Instituto,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,2,78,14,Vélez,Joaquín García,-0.28,-0.48,-1.0,,,,,
16-03-2024,21:30,Vélez,Instituto,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,2,81,59,Vélez,Santiago Cáseres,0.34,0.39,-1.0,,,,,
