date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
17-03-2024,21:00,Banfield,Talleres,Argentina - Copa LPF 2024,Florencio Sola,steal,1,1,58,Talleres,Miguel Navarro,0.65,0.67,-1.0,,,,,
17-03-2024,21:00,Banfield,Talleres,Argentina - Copa LPF 2024,Florencio Sola,steal,1,4,49,Banfield,Bruno Sepúlveda,-0.33,-0.47,-1.0,,,,,
17-03-2024,21:00,Banfield,Talleres,Argentina - Copa LPF 2024,Florencio Sola,steal,1,8,24,Talleres,Gastón Benavídez,0.14,-0.74,-1.0,,,,,
17-03-2024,21:00,Banfield,Talleres,Argentina - Copa LPF 2024,Florencio Sola,steal,1,14,19,Talleres,Juan Camilo Portilla,0.04,-0.21,-1.0,,,,,
17-03-2024,21:00,Banfield,Talleres,Argentina - Copa LPF 2024,Florencio Sola,steal,1,21,47,Talleres,Matías Galarza,0.61,-0.58,-1.0,,,,,
17-03-2024,21:00,Banfield,Talleres,Argentina - Copa LPF 2024,Florencio Sola,steal,1,26,51,Talleres,Matías Galarza,0.21,0.68,-1.0,,,,,
17-03-2024,21:00,Banfield,Talleres,Argentina - Copa LPF 2024,Florencio Sola,steal,1,28,46,Banfield,Ignacio Rodríguez,0.0,-0.12,-1.0,,,,,
17-03-2024,21:00,Banfield,Talleres,Argentina - Copa LPF 2024,Florencio Sola,steal,1,37,30,Talleres,Miguel Navarro,0.43,0.49,-1.0,,,,,
17-03-2024,21:00,Banfield,Talleres,Argentina - Copa LPF 2024,Florencio Sola,steal,1,38,54,Talleres,Juan Camilo Portilla,0.41,-0.76,-1.0,,,,,
17-03-2024,21:00,Banfield,Talleres,Argentina - Copa LPF 2024,Florencio Sola,steal,1,38,33,Banfield,Ignacio Rodríguez,-0.04,-0.61,-1.0,,,,,
17-03-2024,21:00,Banfield,Talleres,Argentina - Copa LPF 2024,Florencio Sola,steal,1,42,16,Talleres,Juan Gabriel Rodríguez,0.72,-0.37,-1.0,,,,,
17-03-2024,21:00,Banfield,Talleres,Argentina - Copa LPF 2024,Florencio Sola,steal,1,43,0,Talleres,Gastón Benavídez,0.03,-0.74,-1.0,,,,,
17-03-2024,21:00,Banfield,Talleres,Argentina - Copa LPF 2024,Florencio Sola,steal,2,47,8,Talleres,Ramón Sosa,0.68,-0.72,-1.0,,,,,
17-03-2024,21:00,Banfield,Talleres,Argentina - Copa LPF 2024,Florencio Sola,steal,2,48,15,Talleres,Ulises Ortegoza,0.17,0.68,-1.0,,,,,
17-03-2024,21:00,Banfield,Talleres,Argentina - Copa LPF 2024,Florencio Sola,steal,2,50,23,Banfield,Ezequiel Bonifacio,0.8,-0.83,-1.0,,,,,
17-03-2024,21:00,Banfield,Talleres,Argentina - Copa LPF 2024,Florencio Sola,steal,2,54,37,Talleres,Federico Girotti,0.37,0.25,-1.0,,,,,
17-03-2024,21:00,Banfield,Talleres,Argentina - Copa LPF 2024,Florencio Sola,steal,2,68,3,Talleres,Miguel Navarro,-0.21,-0.72,-1.0,,,,,
17-03-2024,21:00,Banfield,Talleres,Argentina - Copa LPF 2024,Florencio Sola,steal,2,69,24,Talleres,Juan Camilo Portilla,-0.26,0.03,-1.0,,,,,
17-03-2024,21:00,Banfield,Talleres,Argentina - Copa LPF 2024,Florencio Sola,steal,2,74,8,Talleres,Juan Camilo Portilla,-0.01,-0.57,-1.0,,,,,
17-03-2024,21:00,Banfield,Talleres,Argentina - Copa LPF 2024,Florencio Sola,steal,2,77,44,Talleres,Juan Camilo Portilla,-0.35,0.22,-1.0,,,,,
17-03-2024,21:00,Banfield,Talleres,Argentina - Copa LPF 2024,Florencio Sola,steal,2,77,53,Banfield,,0.52,0.61,-1.0,,,,,
17-03-2024,21:00,Banfield,Talleres,Argentina - Copa LPF 2024,Florencio Sola,steal,2,80,21,Banfield,Lucas Palavecino,-0.3,0.28,-1.0,,,,,
17-03-2024,21:00,Banfield,Talleres,Argentina - Copa LPF 2024,Florencio Sola,steal,2,84,4,Talleres,Marcos Portillo,0.06,0.12,-1.0,,,,,
17-03-2024,21:00,Banfield,Talleres,Argentina - Copa LPF 2024,Florencio Sola,steal,2,83,32,Banfield,Aarón Quirós,0.69,0.74,-1.0,,,,,
17-03-2024,21:00,Banfield,Talleres,Argentina - Copa LPF 2024,Florencio Sola,steal,2,90,41,Talleres,Ramiro Ruiz Rodríguez,0.13,-0.85,-1.0,,,,,
17-03-2024,21:00,Banfield,Talleres,Argentina - Copa LPF 2024,Florencio Sola,foul,1,2,35,Banfield,Milton Giménez,0.36,-0.86,-1.0,Gastón Benavídez,,,,
17-03-2024,21:00,Banfield,Talleres,Argentina - Copa LPF 2024,Florencio Sola,foul,1,5,23,Banfield,Jesús Soraire,0.4,0.22,-1.0,Rubén Botta,,,,
17-03-2024,21:00,Banfield,Talleres,Argentina - Copa LPF 2024,Florencio Sola,foul,1,16,4,Banfield,Ignacio Rodríguez,0.29,-0.74,-1.0,Gastón Benavídez,,,,
17-03-2024,21:00,Banfield,Talleres,Argentina - Copa LPF 2024,Florencio Sola,foul,1,22,59,Banfield,,-0.51,-0.23,-1.0,Rubén Botta,,,,
17-03-2024,21:00,Banfield,Talleres,Argentina - Copa LPF 2024,Florencio Sola,foul,1,27,56,Talleres,Juan Camilo Portilla,0.26,0.52,-1.0,Jesús Soraire,,,,
17-03-2024,21:00,Banfield,Talleres,Argentina - Copa LPF 2024,Florencio Sola,foul,1,30,45,Banfield,Milton Giménez,0.33,-0.74,-1.0,Gastón Benavídez,,,,
17-03-2024,21:00,Banfield,Talleres,Argentina - Copa LPF 2024,Florencio Sola,foul,1,43,13,Banfield,Ignacio Rodríguez,-0.31,-0.58,-1.0,Gastón Benavídez,,,,
17-03-2024,21:00,Banfield,Talleres,Argentina - Copa LPF 2024,Florencio Sola,foul,1,44,46,Talleres,Juan Gabriel Rodríguez,0.26,0.54,-1.0,Milton Giménez,,,,
17-03-2024,21:00,Banfield,Talleres,Argentina - Copa LPF 2024,Florencio Sola,foul,2,46,16,Talleres,Rubén Botta,0.3,0.76,-1.0,,,,,
17-03-2024,21:00,Banfield,Talleres,Argentina - Copa LPF 2024,Florencio Sola,foul,2,48,24,Banfield,Yvo Calleros,0.36,0.78,-1.0,Rubén Botta,,,,
17-03-2024,21:00,Banfield,Talleres,Argentina - Copa LPF 2024,Florencio Sola,foul,2,52,3,Banfield,Ignacio Rodríguez,0.31,0.67,-1.0,Gastón Benavídez,,,,
