date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
17-03-2024,16:00,Barracas Central,Huracán,Argentina - Copa LPF 2024,Ciudad de Lanús,steal,1,1,34,Huracán,Leandro Garate,-0.06,0.06,-1.0,,,,,
17-03-2024,16:00,Barracas Central,Huracán,Argentina - Copa LPF 2024,Ciudad de Lanús,steal,1,1,45,Barracas Central,Facundo Mater,-0.69,0.65,-1.0,,,,,
17-03-2024,16:00,Barracas Central,Huracán,Argentina - Copa LPF 2024,Ciudad de Lanús,steal,1,2,33,Barracas Central,Lucas Brochero,0.13,0.84,-1.0,,,,,
17-03-2024,16:00,Barracas Central,Huracán,Argentina - Copa LPF 2024,Ciudad de Lanús,steal,1,2,47,Huracán,Lucas Carrizo,0.18,0.33,-1.0,,,,,
17-03-2024,16:00,Barracas Central,Huracán,Argentina - Copa LPF 2024,Ciudad de Lanús,steal,1,5,45,Huracán,César Ibáñez,0.68,-0.05,-1.0,,,,,
17-03-2024,16:00,Barracas Central,Huracán,Argentina - Copa LPF 2024,Ciudad de Lanús,steal,1,15,15,Barracas Central,Alexis Domínguez,-0.43,0.42,-1.0,,,,,
17-03-2024,16:00,Barracas Central,Huracán,Argentina - Copa LPF 2024,Ciudad de Lanús,steal,1,20,46,Barracas Central,Maximiliano Zalazar,-0.39,-0.59,-1.0,,,,,
17-03-2024,16:00,Barracas Central,Huracán,Argentina - Copa LPF 2024,Ciudad de Lanús,steal,1,37,4,Huracán,Lucas Carrizo,0.38,0.34,-1.0,,,,,
17-03-2024,16:00,Barracas Central,Huracán,Argentina - Copa LPF 2024,Ciudad de Lanús,steal,1,41,41,Barracas Central,Facundo Mater,-0.48,0.51,-1.0,,,,,
17-03-2024,16:00,Barracas Central,Huracán,Argentina - Copa LPF 2024,Ciudad de Lanús,steal,1,43,38,Huracán,Héctor Fértoli,0.22,-0.39,-1.0,,,,,
17-03-2024,16:00,Barracas Central,Huracán,Argentina - Copa LPF 2024,Ciudad de Lanús,steal,2,53,22,Barracas Central,Rodrigo Insúa,0.66,0.6,-1.0,,,,,
17-03-2024,16:00,Barracas Central,Huracán,Argentina - Copa LPF 2024,Ciudad de Lanús,steal,2,56,28,Barracas Central,Siro Rosané,0.47,-0.22,-1.0,,,,,
17-03-2024,16:00,Barracas Central,Huracán,Argentina - Copa LPF 2024,Ciudad de Lanús,steal,2,61,17,Huracán,Lucas Carrizo,-0.55,0.19,-1.0,,,,,
17-03-2024,16:00,Barracas Central,Huracán,Argentina - Copa LPF 2024,Ciudad de Lanús,steal,2,73,8,Huracán,Rodrigo Echeverría,0.45,0.75,-1.0,,,,,
17-03-2024,16:00,Barracas Central,Huracán,Argentina - Copa LPF 2024,Ciudad de Lanús,steal,2,77,3,Huracán,Agustín Toledo,-0.76,0.81,-1.0,,,,,
17-03-2024,16:00,Barracas Central,Huracán,Argentina - Copa LPF 2024,Ciudad de Lanús,steal,2,81,57,Huracán,Agustín Toledo,-0.52,0.48,-1.0,,,,,
17-03-2024,16:00,Barracas Central,Huracán,Argentina - Copa LPF 2024,Ciudad de Lanús,steal,2,85,20,Huracán,Ignacio Pussetto,0.06,-0.73,-1.0,,,,,
17-03-2024,16:00,Barracas Central,Huracán,Argentina - Copa LPF 2024,Ciudad de Lanús,foul,1,1,25,Huracán,Héctor Fértoli,0.21,0.74,-1.0,Lucas Brochero,,,,
17-03-2024,16:00,Barracas Central,Huracán,Argentina - Copa LPF 2024,Ciudad de Lanús,foul,1,7,46,Barracas Central,Alexis Domínguez,-0.09,-0.6,-1.0,Agustín Toledo,,,,
