date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
17-03-2024,16:00,Godoy Cruz,Tigre,Argentina - Copa LPF 2024,Malvinas Argentinas,steal,1,0,8,Godoy Cruz,Federico Rasmussen,-0.43,-0.47,-1.0,,,,,
17-03-2024,16:00,Godoy Cruz,Tigre,Argentina - Copa LPF 2024,Malvinas Argentinas,steal,1,0,46,Godoy Cruz,Bruno Leyes,0.19,0.51,-1.0,,,,,
17-03-2024,16:00,Godoy Cruz,Tigre,Argentina - Copa LPF 2024,Malvinas Argentinas,steal,1,4,31,Godoy Cruz,Lucas Arce,-0.43,0.66,-1.0,,,,,
17-03-2024,16:00,Godoy Cruz,Tigre,Argentina - Copa LPF 2024,Malvinas Argentinas,steal,1,5,6,Godoy Cruz,Tomás Conechny,-0.38,-0.22,-1.0,,,,,
17-03-2024,16:00,Godoy Cruz,Tigre,Argentina - Copa LPF 2024,Malvinas Argentinas,steal,1,6,41,Godoy Cruz,Nicolás Fernández,0.29,0.36,-1.0,,,,,
17-03-2024,16:00,Godoy Cruz,Tigre,Argentina - Copa LPF 2024,Malvinas Argentinas,steal,1,14,47,Godoy Cruz,Nicolás Fernández,-0.2,0.29,-1.0,,,,,
17-03-2024,16:00,Godoy Cruz,Tigre,Argentina - Copa LPF 2024,Malvinas Argentinas,steal,1,31,11,Godoy Cruz,Tomás Conechny,0.22,-0.55,-1.0,,,,,
17-03-2024,16:00,Godoy Cruz,Tigre,Argentina - Copa LPF 2024,Malvinas Argentinas,steal,1,33,32,Godoy Cruz,Juan Bautista Cejas,-0.35,-0.51,-1.0,,,,,
17-03-2024,16:00,Godoy Cruz,Tigre,Argentina - Copa LPF 2024,Malvinas Argentinas,steal,1,40,15,Godoy Cruz,Juan Bautista Cejas,-0.21,-0.32,-1.0,,,,,
17-03-2024,16:00,Godoy Cruz,Tigre,Argentina - Copa LPF 2024,Malvinas Argentinas,steal,1,41,18,Godoy Cruz,Lucas Arce,-0.34,0.53,-1.0,,,,,
