date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
17-03-2024,18:30,River Plate,Gimnasia,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,steal,1,2,28,River Plate,Santiago Simón,0.3,0.73,-1.0,,,,,
17-03-2024,18:30,River Plate,Gimnasia,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,steal,1,2,34,Gimnasia,Felipe Sánchez,0.7,0.4,-1.0,,,,,
17-03-2024,18:30,River Plate,Gimnasia,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,steal,1,10,0,Gimnasia,Benjamín Domínguez,-0.31,0.34,-1.0,,,,,
17-03-2024,18:30,River Plate,Gimnasia,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,steal,1,12,53,River Plate,Santiago Simón,0.1,0.72,-1.0,,,,,
17-03-2024,18:30,River Plate,Gimnasia,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,steal,1,14,30,River Plate,Enzo Díaz,-0.07,-0.49,-1.0,,,,,
17-03-2024,18:30,River Plate,Gimnasia,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,steal,1,23,50,River Plate,Andrés Herrera,-0.51,0.81,-1.0,,,,,
17-03-2024,18:30,River Plate,Gimnasia,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,steal,1,30,5,River Plate,Pablo Solari,-0.51,0.64,-1.0,,,,,
17-03-2024,18:30,River Plate,Gimnasia,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,steal,1,31,10,Gimnasia,Leonardo Morales,0.67,-0.42,-1.0,,,,,
17-03-2024,18:30,River Plate,Gimnasia,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,steal,1,37,13,River Plate,Enzo Díaz,-0.18,-0.59,-1.0,,,,,
17-03-2024,18:30,River Plate,Gimnasia,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,steal,1,42,19,River Plate,Enzo Díaz,-0.07,-0.78,-1.0,,,,,
17-03-2024,18:30,River Plate,Gimnasia,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,steal,1,39,46,River Plate,Claudio Echeverri,-0.14,-0.37,-1.0,,,,,
17-03-2024,18:30,River Plate,Gimnasia,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,steal,1,43,24,River Plate,Santiago Simón,-0.26,0.03,-1.0,,,,,
17-03-2024,18:30,River Plate,Gimnasia,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,steal,2,46,54,River Plate,Paulo Díaz,0.74,0.2,-1.0,,,,,
17-03-2024,18:30,River Plate,Gimnasia,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,steal,2,48,6,River Plate,Rodrigo Villagra,-0.12,0.45,-1.0,,,,,
17-03-2024,18:30,River Plate,Gimnasia,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,steal,2,52,52,Gimnasia,Benjamín Domínguez,0.15,0.1,-1.0,,,,,
17-03-2024,18:30,River Plate,Gimnasia,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,steal,2,57,26,River Plate,Andrés Herrera,-0.29,-0.78,-1.0,,,,,
17-03-2024,18:30,River Plate,Gimnasia,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,steal,2,57,22,Gimnasia,Felipe Sánchez,-0.71,-0.59,-1.0,,,,,
17-03-2024,18:30,River Plate,Gimnasia,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,steal,2,57,49,River Plate,Leandro González Pirez,0.7,-0.74,-1.0,,,,,
17-03-2024,18:30,River Plate,Gimnasia,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,steal,2,61,34,River Plate,Miguel Ángel Borja,-0.32,-0.09,-1.0,,,,,
17-03-2024,18:30,River Plate,Gimnasia,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,steal,2,62,52,River Plate,Esequiel Barco,-0.04,0.8,-1.0,,,,,
17-03-2024,18:30,River Plate,Gimnasia,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,steal,2,76,26,River Plate,Leandro González Pirez,0.41,-0.72,-1.0,,,,,
17-03-2024,18:30,River Plate,Gimnasia,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,steal,2,79,6,Gimnasia,Federico Milo,-0.36,-0.7,-1.0,,,,,
17-03-2024,18:30,River Plate,Gimnasia,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,steal,2,81,2,Gimnasia,Federico Milo,-0.41,-0.72,-1.0,,,,,
17-03-2024,18:30,River Plate,Gimnasia,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,steal,2,81,49,River Plate,Nicolás Fonseca,0.34,-0.44,-1.0,,,,,
17-03-2024,18:30,River Plate,Gimnasia,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,steal,2,83,45,River Plate,Ignacio Fernández,0.47,-0.46,-1.0,,,,,
17-03-2024,18:30,River Plate,Gimnasia,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,steal,2,84,24,River Plate,Andrés Herrera,0.94,-0.6,-1.0,,,,,
17-03-2024,18:30,River Plate,Gimnasia,Argentina - Copa LPF 2024,Antonio Vespucio Liberti,steal,2,84,34,River Plate,Franco Mastantuono,0.07,0.1,-1.0,,,,,
