date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
18-03-2024,21:15,Unión,Central Córdoba (SE),Argentina - Copa LPF 2024,15 de abril,steal,1,3,44,Unión,Federico Vera,-0.43,0.74,-1.0,,,,,
18-03-2024,21:15,Unión,Central Córdoba (SE),Argentina - Copa LPF 2024,15 de abril,steal,1,4,14,Unión,Federico Vera,-0.25,0.75,-1.0,,,,,
18-03-2024,21:15,Unión,Central Córdoba (SE),Argentina - Copa LPF 2024,15 de abril,steal,1,7,20,Unión,Federico Vera,0.34,0.56,-1.0,,,,,
18-03-2024,21:15,Unión,Central Córdoba (SE),Argentina - Copa LPF 2024,15 de abril,steal,1,9,15,Unión,Miguel Ángel Torrén,-0.51,-0.28,-1.0,,,,,
18-03-2024,21:15,Unión,Central Córdoba (SE),Argentina - Copa LPF 2024,15 de abril,steal,1,15,2,Central Córdoba (SE),Florián Monzón,-0.25,-0.76,-1.0,,,,,
18-03-2024,21:15,Unión,Central Córdoba (SE),Argentina - Copa LPF 2024,15 de abril,steal,1,18,36,Unión,Mauro Pittón,0.46,0.49,-1.0,,,,,
18-03-2024,21:15,Unión,Central Córdoba (SE),Argentina - Copa LPF 2024,15 de abril,steal,1,18,25,Central Córdoba (SE),Sebastián Valdez,0.76,0.84,-1.0,,,,,
18-03-2024,21:15,Unión,Central Córdoba (SE),Argentina - Copa LPF 2024,15 de abril,steal,1,21,27,Unión,Mauro Pittón,0.31,0.36,-1.0,,,,,
18-03-2024,21:15,Unión,Central Córdoba (SE),Argentina - Copa LPF 2024,15 de abril,steal,1,22,3,Unión,Mauro Pittón,-0.16,0.77,-1.0,,,,,
18-03-2024,21:15,Unión,Central Córdoba (SE),Argentina - Copa LPF 2024,15 de abril,steal,1,23,4,Central Córdoba (SE),Santiago Laquidain,0.58,0.68,-1.0,,,,,
18-03-2024,21:15,Unión,Central Córdoba (SE),Argentina - Copa LPF 2024,15 de abril,steal,1,24,18,Unión,Patricio Tanda,0.1,0.66,-1.0,,,,,
