date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
19-03-2024,21:15,Argentinos Juniors,Rosario Central,Argentina - Copa LPF 2024,Diego Armando Maradona,steal,1,1,15,Argentinos Juniors,Fernando Meza,-0.58,0.83,-1.0,,,,,
19-03-2024,21:15,Argentinos Juniors,Rosario Central,Argentina - Copa LPF 2024,Diego Armando Maradona,steal,1,9,28,Argentinos Juniors,Thiago Santamaría,-0.54,0.7,-1.0,,,,,
19-03-2024,21:15,Argentinos Juniors,Rosario Central,Argentina - Copa LPF 2024,Diego Armando Maradona,steal,1,11,48,Rosario Central,Jonatan Gómez,0.56,-0.38,-1.0,,,,,
19-03-2024,21:15,Argentinos Juniors,Rosario Central,Argentina - Copa LPF 2024,Diego Armando Maradona,steal,1,15,19,Argentinos Juniors,Sebastián Prieto,-0.4,-0.6,-1.0,,,,,
19-03-2024,21:15,Argentinos Juniors,Rosario Central,Argentina - Copa LPF 2024,Diego Armando Maradona,steal,1,26,42,Argentinos Juniors,Sebastián Prieto,-0.09,-0.76,-1.0,,,,,
19-03-2024,21:15,Argentinos Juniors,Rosario Central,Argentina - Copa LPF 2024,Diego Armando Maradona,steal,1,28,22,Argentinos Juniors,Thiago Santamaría,-0.49,0.67,-1.0,,,,,
19-03-2024,21:15,Argentinos Juniors,Rosario Central,Argentina - Copa LPF 2024,Diego Armando Maradona,steal,1,30,13,Argentinos Juniors,Franco Moyano,0.05,-0.05,-1.0,,,,,
19-03-2024,21:15,Argentinos Juniors,Rosario Central,Argentina - Copa LPF 2024,Diego Armando Maradona,steal,1,30,33,Argentinos Juniors,Gastón Verón,-0.23,0.83,-1.0,,,,,
19-03-2024,21:15,Argentinos Juniors,Rosario Central,Argentina - Copa LPF 2024,Diego Armando Maradona,steal,1,33,43,Argentinos Juniors,Thiago Santamaría,-0.84,0.81,-1.0,,,,,
19-03-2024,21:15,Argentinos Juniors,Rosario Central,Argentina - Copa LPF 2024,Diego Armando Maradona,steal,1,42,56,Argentinos Juniors,Gastón Verón,0.28,0.46,-1.0,,,,,
