date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
20-03-2024,21:15,Belgrano,Lanús,Argentina - Copa LPF 2024,Julio César Villagra,steal,1,0,37,Belgrano,Juan Ignacio Barinaga,-0.17,0.57,-1.0,,,,,
20-03-2024,21:15,Belgrano,Lanús,Argentina - Copa LPF 2024,Julio César Villagra,steal,1,1,41,Belgrano,Matías Moreno,-0.44,0.26,-1.0,,,,,
20-03-2024,21:15,Belgrano,Lanús,Argentina - Copa LPF 2024,Julio César Villagra,steal,1,17,10,Belgrano,Matías Marín,0.28,-0.29,-1.0,,,,,
20-03-2024,21:15,Belgrano,Lanús,Argentina - Copa LPF 2024,Julio César Villagra,steal,1,21,16,Lanús,Julio César Soler,0.24,0.08,-1.0,,,,,
20-03-2024,21:15,Belgrano,Lanús,Argentina - Copa LPF 2024,Julio César Villagra,steal,1,30,16,Belgrano,Matías Moreno,-0.7,0.55,-1.0,,,,,
20-03-2024,21:15,Belgrano,Lanús,Argentina - Copa LPF 2024,Julio César Villagra,steal,1,31,35,Belgrano,Juan Ignacio Barinaga,0.26,0.34,-1.0,,,,,
20-03-2024,21:15,Belgrano,Lanús,Argentina - Copa LPF 2024,Julio César Villagra,steal,1,31,43,Belgrano,Ulises Sánchez,0.77,0.65,-1.0,,,,,
20-03-2024,21:15,Belgrano,Lanús,Argentina - Copa LPF 2024,Julio César Villagra,steal,1,31,34,Lanús,Gonzalo Pérez,0.5,-0.43,-1.0,,,,,
20-03-2024,21:15,Belgrano,Lanús,Argentina - Copa LPF 2024,Julio César Villagra,steal,1,31,53,Lanús,Gonzalo Pérez,0.72,0.76,-1.0,,,,,
20-03-2024,21:15,Belgrano,Lanús,Argentina - Copa LPF 2024,Julio César Villagra,steal,1,40,49,Belgrano,Matías Moreno,-0.14,0.52,-1.0,,,,,
20-03-2024,21:15,Belgrano,Lanús,Argentina - Copa LPF 2024,Julio César Villagra,steal,1,45,5,Lanús,Raúl Loaiza,0.18,-0.74,-1.0,,,,,
20-03-2024,21:15,Belgrano,Lanús,Argentina - Copa LPF 2024,Julio César Villagra,steal,2,45,17,Belgrano,Ulises Sánchez,0.35,-0.51,-1.0,,,,,
20-03-2024,21:15,Belgrano,Lanús,Argentina - Copa LPF 2024,Julio César Villagra,steal,2,48,56,Belgrano,Santiago Longo,0.64,0.77,-1.0,,,,,
20-03-2024,21:15,Belgrano,Lanús,Argentina - Copa LPF 2024,Julio César Villagra,steal,2,49,21,Belgrano,Matías Marín,0.46,-0.32,-1.0,,,,,
20-03-2024,21:15,Belgrano,Lanús,Argentina - Copa LPF 2024,Julio César Villagra,steal,1,7,6,Lanús,Felipe Peña Biafore,-0.46,0.42,-1.0,,,,,
20-03-2024,21:15,Belgrano,Lanús,Argentina - Copa LPF 2024,Julio César Villagra,steal,2,53,29,Belgrano,Matías Marín,0.36,0.5,-1.0,,,,,
20-03-2024,21:15,Belgrano,Lanús,Argentina - Copa LPF 2024,Julio César Villagra,steal,1,8,32,Lanús,Abel Luciatti,-0.36,0.0,-1.0,,,,,
20-03-2024,21:15,Belgrano,Lanús,Argentina - Copa LPF 2024,Julio César Villagra,steal,2,55,14,Belgrano,Ulises Sánchez,0.29,-0.74,-1.0,,,,,
20-03-2024,21:15,Belgrano,Lanús,Argentina - Copa LPF 2024,Julio César Villagra,steal,1,10,10,Lanús,Abel Luciatti,-0.21,-0.63,-1.0,,,,,
20-03-2024,21:15,Belgrano,Lanús,Argentina - Copa LPF 2024,Julio César Villagra,steal,2,56,29,Belgrano,Matías Moreno,0.47,-0.65,-1.0,,,,,
20-03-2024,21:15,Belgrano,Lanús,Argentina - Copa LPF 2024,Julio César Villagra,steal,2,58,6,Belgrano,Mariano Troilo,0.31,-0.39,-1.0,,,,,
