date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
01-04-2024,19:00,Platense,Godoy Cruz,Argentina - Copa LPF 2024,Ciudad de Vicente López,steal,1,1,4,Platense,Carlos Villalba,-0.41,0.11,-1.0,,,,,
01-04-2024,19:00,Platense,Godoy Cruz,Argentina - Copa LPF 2024,Ciudad de Vicente López,steal,1,6,3,Platense,Carlos Villalba,-0.11,0.1,-1.0,,,,,
01-04-2024,19:00,Platense,Godoy Cruz,Argentina - Copa LPF 2024,Ciudad de Vicente López,steal,1,7,1,Platense,Leonel Picco,-0.21,0.65,-1.0,,,,,
01-04-2024,19:00,Platense,Godoy Cruz,Argentina - Copa LPF 2024,Ciudad de Vicente López,steal,1,14,46,Platense,Juan Ignacio Saborido,0.11,0.56,-1.0,,,,,
01-04-2024,19:00,Platense,Godoy Cruz,Argentina - Copa LPF 2024,Ciudad de Vicente López,steal,1,21,27,Platense,Carlos Villalba,-0.18,-0.57,-1.0,,,,,
01-04-2024,19:00,Platense,Godoy Cruz,Argentina - Copa LPF 2024,Ciudad de Vicente López,steal,1,23,17,Platense,Juan Ignacio Saborido,-0.62,0.78,-1.0,,,,,
01-04-2024,19:00,Platense,Godoy Cruz,Argentina - Copa LPF 2024,Ciudad de Vicente López,steal,1,24,46,Platense,Braian Rivero,-0.15,-0.32,-1.0,,,,,
01-04-2024,19:00,Platense,Godoy Cruz,Argentina - Copa LPF 2024,Ciudad de Vicente López,steal,1,30,20,Platense,Braian Rivero,-0.28,0.72,-1.0,,,,,
01-04-2024,19:00,Platense,Godoy Cruz,Argentina - Copa LPF 2024,Ciudad de Vicente López,steal,1,47,22,Platense,Mateo Pellegrino,-0.09,-0.41,-1.0,,,,,
01-04-2024,19:00,Platense,Godoy Cruz,Argentina - Copa LPF 2024,Ciudad de Vicente López,steal,1,48,49,Godoy Cruz,Federico Rasmussen,0.11,-0.27,-1.0,,,,,
01-04-2024,19:00,Platense,Godoy Cruz,Argentina - Copa LPF 2024,Ciudad de Vicente López,steal,1,51,26,Platense,Sasha Marcich,-0.1,-0.52,-1.0,,,,,
01-04-2024,19:00,Platense,Godoy Cruz,Argentina - Copa LPF 2024,Ciudad de Vicente López,steal,2,46,55,Platense,Facundo Russo,-0.11,-0.67,-1.0,,,,,
01-04-2024,19:00,Platense,Godoy Cruz,Argentina - Copa LPF 2024,Ciudad de Vicente López,steal,2,52,3,Platense,Juan Ignacio Saborido,0.26,-0.69,-1.0,,,,,
01-04-2024,19:00,Platense,Godoy Cruz,Argentina - Copa LPF 2024,Ciudad de Vicente López,steal,2,56,9,Platense,Juan Ignacio Saborido,0.51,-0.57,-1.0,,,,,
01-04-2024,19:00,Platense,Godoy Cruz,Argentina - Copa LPF 2024,Ciudad de Vicente López,steal,2,56,39,Platense,Carlos Villalba,0.21,-0.15,-1.0,,,,,
01-04-2024,19:00,Platense,Godoy Cruz,Argentina - Copa LPF 2024,Ciudad de Vicente López,steal,2,58,59,Platense,Agustín Ocampo,-0.18,-0.04,-1.0,,,,,
01-04-2024,19:00,Platense,Godoy Cruz,Argentina - Copa LPF 2024,Ciudad de Vicente López,steal,2,65,29,Platense,Carlos Villalba,0.44,-0.15,-1.0,,,,,
01-04-2024,19:00,Platense,Godoy Cruz,Argentina - Copa LPF 2024,Ciudad de Vicente López,steal,2,73,13,Platense,Iván Gómez,0.36,-0.41,-1.0,,,,,
01-04-2024,19:00,Platense,Godoy Cruz,Argentina - Copa LPF 2024,Ciudad de Vicente López,steal,2,74,0,Platense,Iván Gómez,0.54,-0.06,-1.0,,,,,
01-04-2024,19:00,Platense,Godoy Cruz,Argentina - Copa LPF 2024,Ciudad de Vicente López,steal,2,76,39,Platense,Carlos Villalba,0.32,0.22,-1.0,,,,,
01-04-2024,19:00,Platense,Godoy Cruz,Argentina - Copa LPF 2024,Ciudad de Vicente López,steal,2,81,51,Platense,Carlos Villalba,0.03,-0.31,-1.0,,,,,
01-04-2024,19:00,Platense,Godoy Cruz,Argentina - Copa LPF 2024,Ciudad de Vicente López,steal,2,84,23,Platense,Sasha Marcich,0.66,-0.01,-1.0,,,,,
01-04-2024,19:00,Platense,Godoy Cruz,Argentina - Copa LPF 2024,Ciudad de Vicente López,steal,2,92,28,Platense,Fernando Juárez,0.38,0.54,-1.0,,,,,
01-04-2024,19:00,Platense,Godoy Cruz,Argentina - Copa LPF 2024,Ciudad de Vicente López,steal,2,93,1,Platense,Juan Ignacio Saborido,-0.32,-0.81,-1.0,,,,,
01-04-2024,19:00,Platense,Godoy Cruz,Argentina - Copa LPF 2024,Ciudad de Vicente López,steal,2,94,44,Platense,Gastón Suso,0.96,-0.15,-1.0,,,,,
01-04-2024,19:00,Platense,Godoy Cruz,Argentina - Copa LPF 2024,Ciudad de Vicente López,foul,1,6,7,Godoy Cruz,Hernán López Muñoz,-0.11,0.35,-1.0,Braian Rivero,,,,
01-04-2024,19:00,Platense,Godoy Cruz,Argentina - Copa LPF 2024,Ciudad de Vicente López,foul,1,7,17,Godoy Cruz,Bruno Leyes,-0.32,0.56,-1.0,Braian Rivero,,,,
01-04-2024,19:00,Platense,Godoy Cruz,Argentina - Copa LPF 2024,Ciudad de Vicente López,foul,1,16,9,Godoy Cruz,Thomas Galdames,0.42,0.66,-1.0,Agustín Ocampo,,,,
01-04-2024,19:00,Platense,Godoy Cruz,Argentina - Copa LPF 2024,Ciudad de Vicente López,foul,1,18,0,Godoy Cruz,Lucas Arce,-0.55,-0.39,-1.0,Agustín Ocampo,,,,
01-04-2024,19:00,Platense,Godoy Cruz,Argentina - Copa LPF 2024,Ciudad de Vicente López,foul,1,20,19,Platense,Mateo Pellegrino,0.96,-0.06,-1.0,Franco Petroli,,,,
