date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
27-03-2024,21:30,Lanús,Unión,Argentina - Copa LPF 2024,Ciudad de Lanús,steal,1,3,13,Unión,Franco Pardo,0.34,-0.52,-1.0,,,,,
27-03-2024,21:30,Lanús,Unión,Argentina - Copa LPF 2024,Ciudad de Lanús,steal,1,7,25,Unión,Patricio Tanda,0.28,0.4,-1.0,,,,,
27-03-2024,21:30,Lanús,Unión,Argentina - Copa LPF 2024,Ciudad de Lanús,steal,1,12,2,Unión,Mauro Pittón,0.55,-0.73,-1.0,,,,,
27-03-2024,21:30,Lanús,Unión,Argentina - Copa LPF 2024,Ciudad de Lanús,steal,1,19,25,Lanús,Juan José Cáceres,0.13,0.6,-1.0,,,,,
27-03-2024,21:30,Lanús,Unión,Argentina - Copa LPF 2024,Ciudad de Lanús,steal,1,19,54,Unión,Franco Pardo,0.89,-0.75,-1.0,,,,,
27-03-2024,21:30,Lanús,Unión,Argentina - Copa LPF 2024,Ciudad de Lanús,steal,1,23,13,Unión,Bruno Pittón,0.53,0.67,-1.0,,,,,
27-03-2024,21:30,Lanús,Unión,Argentina - Copa LPF 2024,Ciudad de Lanús,steal,1,23,24,Unión,Federico Vera,0.2,-0.38,-1.0,,,,,
27-03-2024,21:30,Lanús,Unión,Argentina - Copa LPF 2024,Ciudad de Lanús,steal,1,30,14,Unión,Patricio Tanda,0.65,0.74,-1.0,,,,,
27-03-2024,21:30,Lanús,Unión,Argentina - Copa LPF 2024,Ciudad de Lanús,steal,1,32,12,Unión,Mauro Luna Diale,0.48,-0.75,-1.0,,,,,
27-03-2024,21:30,Lanús,Unión,Argentina - Copa LPF 2024,Ciudad de Lanús,steal,1,38,28,Unión,Mauro Luna Diale,0.49,0.81,-1.0,,,,,
27-03-2024,21:30,Lanús,Unión,Argentina - Copa LPF 2024,Ciudad de Lanús,steal,1,39,58,Unión,Patricio Tanda,0.7,0.7,-1.0,,,,,
27-03-2024,21:30,Lanús,Unión,Argentina - Copa LPF 2024,Ciudad de Lanús,steal,1,41,24,Unión,Miguel Ángel Torrén,0.35,0.38,-1.0,,,,,
27-03-2024,21:30,Lanús,Unión,Argentina - Copa LPF 2024,Ciudad de Lanús,steal,1,43,29,Unión,Patricio Tanda,-0.12,-0.57,-1.0,,,,,
27-03-2024,21:30,Lanús,Unión,Argentina - Copa LPF 2024,Ciudad de Lanús,steal,1,44,48,Lanús,Felipe Peña Biafore,-0.74,-0.46,-1.0,,,,,
27-03-2024,21:30,Lanús,Unión,Argentina - Copa LPF 2024,Ciudad de Lanús,steal,2,46,16,Unión,Federico Vera,-0.79,0.95,-1.0,,,,,
27-03-2024,21:30,Lanús,Unión,Argentina - Copa LPF 2024,Ciudad de Lanús,steal,2,53,27,Unión,Miguel Ángel Torrén,-0.44,0.1,-1.0,,,,,
27-03-2024,21:30,Lanús,Unión,Argentina - Copa LPF 2024,Ciudad de Lanús,steal,2,61,6,Unión,Lucas Gamba,-0.43,-0.32,-1.0,,,,,
27-03-2024,21:30,Lanús,Unión,Argentina - Copa LPF 2024,Ciudad de Lanús,steal,2,61,21,Unión,Mauro Pittón,-0.35,0.43,-1.0,,,,,
27-03-2024,21:30,Lanús,Unión,Argentina - Copa LPF 2024,Ciudad de Lanús,steal,2,64,51,Unión,Lucas Gamba,-0.21,-0.43,-1.0,,,,,
