date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
28-03-2024,21:00,Instituto,Argentinos Juniors,Argentina - Copa LPF 2024,Monumental de Alta Córdoba,steal,1,1,44,Instituto,Lucas Rodríguez,-0.26,-0.51,-1.0,,,,,
28-03-2024,21:00,Instituto,Argentinos Juniors,Argentina - Copa LPF 2024,Monumental de Alta Córdoba,steal,1,8,4,Argentinos Juniors,Sebastián Prieto,0.35,0.8,-1.0,,,,,
28-03-2024,21:00,Instituto,Argentinos Juniors,Argentina - Copa LPF 2024,Monumental de Alta Córdoba,steal,1,10,32,Instituto,Roberto Bochi,0.2,0.4,-1.0,,,,,
28-03-2024,21:00,Instituto,Argentinos Juniors,Argentina - Copa LPF 2024,Monumental de Alta Córdoba,steal,1,14,40,Instituto,Brahian Cuello,-0.08,-0.74,-1.0,,,,,
28-03-2024,21:00,Instituto,Argentinos Juniors,Argentina - Copa LPF 2024,Monumental de Alta Córdoba,steal,1,19,9,Instituto,Jonás Acevedo,0.16,-0.47,-1.0,,,,,
28-03-2024,21:00,Instituto,Argentinos Juniors,Argentina - Copa LPF 2024,Monumental de Alta Córdoba,steal,1,19,14,Argentinos Juniors,Francisco Álvarez,0.58,-0.63,-1.0,,,,,
28-03-2024,21:00,Instituto,Argentinos Juniors,Argentina - Copa LPF 2024,Monumental de Alta Córdoba,steal,1,22,11,Argentinos Juniors,Franco Moyano,-0.68,0.8,-1.0,,,,,
28-03-2024,21:00,Instituto,Argentinos Juniors,Argentina - Copa LPF 2024,Monumental de Alta Córdoba,steal,1,25,43,Argentinos Juniors,Damián Batallini,-0.61,0.67,-1.0,,,,,
28-03-2024,21:00,Instituto,Argentinos Juniors,Argentina - Copa LPF 2024,Monumental de Alta Córdoba,steal,1,29,12,Instituto,Jonás Acevedo,0.72,-0.69,-1.0,,,,,
28-03-2024,21:00,Instituto,Argentinos Juniors,Argentina - Copa LPF 2024,Monumental de Alta Córdoba,steal,1,34,30,Instituto,Juan José Franco,0.27,0.3,-1.0,,,,,
28-03-2024,21:00,Instituto,Argentinos Juniors,Argentina - Copa LPF 2024,Monumental de Alta Córdoba,steal,1,38,11,Instituto,Juan José Franco,-0.8,0.66,-1.0,,,,,
