date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
28-03-2024,20:00,Rosario Central,Barracas Central,Argentina - Copa LPF 2024,Gigante de Arroyito,steal,1,1,8,Rosario Central,Tobías Cervera,0.7,-0.48,-1.0,,,,,
28-03-2024,20:00,Rosario Central,Barracas Central,Argentina - Copa LPF 2024,Gigante de Arroyito,steal,1,2,43,Rosario Central,Franco Ibarra,0.11,-0.21,-1.0,,,,,
28-03-2024,20:00,Rosario Central,Barracas Central,Argentina - Copa LPF 2024,Gigante de Arroyito,steal,1,3,28,Rosario Central,Ignacio Malcorra,0.25,0.91,-1.0,,,,,
28-03-2024,20:00,Rosario Central,Barracas Central,Argentina - Copa LPF 2024,Gigante de Arroyito,steal,1,3,52,Rosario Central,Franco Ibarra,-0.16,-0.68,-1.0,,,,,
28-03-2024,20:00,Rosario Central,Barracas Central,Argentina - Copa LPF 2024,Gigante de Arroyito,steal,1,3,57,Barracas Central,Lucas Brochero,0.03,-0.84,-1.0,,,,,
28-03-2024,20:00,Rosario Central,Barracas Central,Argentina - Copa LPF 2024,Gigante de Arroyito,steal,1,5,45,Rosario Central,Abel Hernández,0.37,-0.04,-1.0,,,,,
28-03-2024,20:00,Rosario Central,Barracas Central,Argentina - Copa LPF 2024,Gigante de Arroyito,steal,1,5,42,Barracas Central,Facundo Mater,0.33,0.1,-1.0,,,,,
28-03-2024,20:00,Rosario Central,Barracas Central,Argentina - Copa LPF 2024,Gigante de Arroyito,steal,1,9,13,Rosario Central,Tobías Cervera,0.34,0.03,-1.0,,,,,
28-03-2024,20:00,Rosario Central,Barracas Central,Argentina - Copa LPF 2024,Gigante de Arroyito,steal,1,9,19,Barracas Central,Siro Rosané,0.28,0.42,-1.0,,,,,
28-03-2024,20:00,Rosario Central,Barracas Central,Argentina - Copa LPF 2024,Gigante de Arroyito,steal,1,11,23,Rosario Central,Carlos Quintana,0.21,-0.53,-1.0,,,,,
28-03-2024,20:00,Rosario Central,Barracas Central,Argentina - Copa LPF 2024,Gigante de Arroyito,steal,1,16,49,Barracas Central,Rodrigo Insúa,0.21,0.7,-1.0,,,,,
28-03-2024,20:00,Rosario Central,Barracas Central,Argentina - Copa LPF 2024,Gigante de Arroyito,steal,1,16,57,Rosario Central,Tomás O'Connor,-0.47,0.17,-1.0,,,,,
28-03-2024,20:00,Rosario Central,Barracas Central,Argentina - Copa LPF 2024,Gigante de Arroyito,steal,1,20,2,Rosario Central,Tomás O'Connor,-0.32,-0.1,-1.0,,,,,
28-03-2024,20:00,Rosario Central,Barracas Central,Argentina - Copa LPF 2024,Gigante de Arroyito,steal,1,20,22,Rosario Central,Tomás O'Connor,0.16,0.06,-1.0,,,,,
28-03-2024,20:00,Rosario Central,Barracas Central,Argentina - Copa LPF 2024,Gigante de Arroyito,steal,1,21,15,Barracas Central,Facundo Mater,0.1,-0.71,-1.0,,,,,
28-03-2024,20:00,Rosario Central,Barracas Central,Argentina - Copa LPF 2024,Gigante de Arroyito,steal,1,21,21,Rosario Central,Carlos Quintana,-0.69,-0.38,-1.0,,,,,
28-03-2024,20:00,Rosario Central,Barracas Central,Argentina - Copa LPF 2024,Gigante de Arroyito,steal,1,22,18,Rosario Central,Ignacio Malcorra,0.48,-0.44,-1.0,,,,,
28-03-2024,20:00,Rosario Central,Barracas Central,Argentina - Copa LPF 2024,Gigante de Arroyito,steal,1,26,4,Rosario Central,Ignacio Malcorra,-0.29,0.29,-1.0,,,,,
28-03-2024,20:00,Rosario Central,Barracas Central,Argentina - Copa LPF 2024,Gigante de Arroyito,steal,1,33,43,Rosario Central,Tomás O'Connor,-0.38,0.0,-1.0,,,,,
28-03-2024,20:00,Rosario Central,Barracas Central,Argentina - Copa LPF 2024,Gigante de Arroyito,steal,1,34,7,Rosario Central,Damián Martínez,-0.22,0.7,-1.0,,,,,
28-03-2024,20:00,Rosario Central,Barracas Central,Argentina - Copa LPF 2024,Gigante de Arroyito,steal,1,38,7,Barracas Central,Lucas Brochero,0.0,-0.18,-1.0,,,,,
28-03-2024,20:00,Rosario Central,Barracas Central,Argentina - Copa LPF 2024,Gigante de Arroyito,steal,1,38,22,Barracas Central,Maximiliano Zalazar,0.06,0.4,-1.0,,,,,
28-03-2024,20:00,Rosario Central,Barracas Central,Argentina - Copa LPF 2024,Gigante de Arroyito,steal,1,42,29,Barracas Central,Rodrigo Insúa,0.05,0.86,-1.0,,,,,
28-03-2024,20:00,Rosario Central,Barracas Central,Argentina - Copa LPF 2024,Gigante de Arroyito,steal,2,45,41,Rosario Central,Ignacio Malcorra,0.48,-0.32,-1.0,,,,,
28-03-2024,20:00,Rosario Central,Barracas Central,Argentina - Copa LPF 2024,Gigante de Arroyito,steal,2,47,27,Rosario Central,Franco Ibarra,0.33,-0.51,-1.0,,,,,
28-03-2024,20:00,Rosario Central,Barracas Central,Argentina - Copa LPF 2024,Gigante de Arroyito,steal,2,51,15,Rosario Central,Facundo Mallo,0.73,0.07,-1.0,,,,,
28-03-2024,20:00,Rosario Central,Barracas Central,Argentina - Copa LPF 2024,Gigante de Arroyito,steal,2,51,29,Barracas Central,Nicolás Capraro,-0.49,-0.06,-1.0,,,,,
28-03-2024,20:00,Rosario Central,Barracas Central,Argentina - Copa LPF 2024,Gigante de Arroyito,steal,2,52,25,Rosario Central,Tobías Cervera,0.18,0.48,-1.0,,,,,
28-03-2024,20:00,Rosario Central,Barracas Central,Argentina - Copa LPF 2024,Gigante de Arroyito,steal,2,53,38,Rosario Central,Jaminton Campaz,-0.26,0.54,-1.0,,,,,
28-03-2024,20:00,Rosario Central,Barracas Central,Argentina - Copa LPF 2024,Gigante de Arroyito,steal,2,55,17,Rosario Central,Tomás O'Connor,0.16,0.29,-1.0,,,,,
28-03-2024,20:00,Rosario Central,Barracas Central,Argentina - Copa LPF 2024,Gigante de Arroyito,steal,2,58,46,Rosario Central,Franco Ibarra,0.17,-0.34,-1.0,,,,,
28-03-2024,20:00,Rosario Central,Barracas Central,Argentina - Copa LPF 2024,Gigante de Arroyito,steal,2,59,48,Rosario Central,Facundo Mallo,0.65,0.34,-1.0,,,,,
28-03-2024,20:00,Rosario Central,Barracas Central,Argentina - Copa LPF 2024,Gigante de Arroyito,steal,2,60,17,Rosario Central,Franco Ibarra,0.6,0.27,-1.0,,,,,
28-03-2024,20:00,Rosario Central,Barracas Central,Argentina - Copa LPF 2024,Gigante de Arroyito,steal,2,63,2,Rosario Central,Franco Ibarra,0.4,-0.55,-1.0,,,,,
28-03-2024,20:00,Rosario Central,Barracas Central,Argentina - Copa LPF 2024,Gigante de Arroyito,steal,2,63,11,Barracas Central,Manuel Duarte,0.0,-0.54,-1.0,,,,,
28-03-2024,20:00,Rosario Central,Barracas Central,Argentina - Copa LPF 2024,Gigante de Arroyito,steal,2,63,20,Rosario Central,Jaminton Campaz,0.06,0.58,-1.0,,,,,
28-03-2024,20:00,Rosario Central,Barracas Central,Argentina - Copa LPF 2024,Gigante de Arroyito,steal,2,66,46,Rosario Central,Franco Ibarra,0.12,0.25,-1.0,,,,,
28-03-2024,20:00,Rosario Central,Barracas Central,Argentina - Copa LPF 2024,Gigante de Arroyito,steal,2,74,22,Rosario Central,Damián Martínez,0.68,-0.44,-1.0,,,,,
28-03-2024,20:00,Rosario Central,Barracas Central,Argentina - Copa LPF 2024,Gigante de Arroyito,steal,2,78,9,Rosario Central,Jonatan Gómez,0.09,0.14,-1.0,,,,,
28-03-2024,20:00,Rosario Central,Barracas Central,Argentina - Copa LPF 2024,Gigante de Arroyito,steal,2,81,6,Barracas Central,Manuel Duarte,-0.31,0.72,-1.0,,,,,
28-03-2024,20:00,Rosario Central,Barracas Central,Argentina - Copa LPF 2024,Gigante de Arroyito,steal,2,81,12,Rosario Central,Jaminton Campaz,-0.7,0.75,-1.0,,,,,
28-03-2024,20:00,Rosario Central,Barracas Central,Argentina - Copa LPF 2024,Gigante de Arroyito,steal,2,92,44,Rosario Central,Maximiliano Lovera,-0.1,0.56,-1.0,,,,,
28-03-2024,20:00,Rosario Central,Barracas Central,Argentina - Copa LPF 2024,Gigante de Arroyito,steal,2,92,41,Barracas Central,Marco Iacobellis,0.14,0.52,-1.0,,,,,
28-03-2024,20:00,Rosario Central,Barracas Central,Argentina - Copa LPF 2024,Gigante de Arroyito,steal,2,93,31,Rosario Central,Facundo Mallo,0.51,0.41,-1.0,,,,,
28-03-2024,20:00,Rosario Central,Barracas Central,Argentina - Copa LPF 2024,Gigante de Arroyito,steal,2,95,1,Rosario Central,Agustín Módica,0.7,-0.15,-1.0,,,,,
28-03-2024,20:00,Rosario Central,Barracas Central,Argentina - Copa LPF 2024,Gigante de Arroyito,foul,1,0,18,Barracas Central,Gonzalo Goñi,0.07,0.59,-1.0,Tobías Cervera,,,,
28-03-2024,20:00,Rosario Central,Barracas Central,Argentina - Copa LPF 2024,Gigante de Arroyito,foul,1,2,50,Barracas Central,Alan Cantero,0.12,-0.2,-1.0,Franco Ibarra,,,,
28-03-2024,20:00,Rosario Central,Barracas Central,Argentina - Copa LPF 2024,Gigante de Arroyito,foul,1,7,33,Rosario Central,Tomás O'Connor,-0.36,-0.05,-1.0,Facundo Mater,,,,
28-03-2024,20:00,Rosario Central,Barracas Central,Argentina - Copa LPF 2024,Gigante de Arroyito,foul,1,9,30,Barracas Central,Lucas Brochero,-0.38,0.03,-1.0,Carlos Quintana,,,,
28-03-2024,20:00,Rosario Central,Barracas Central,Argentina - Copa LPF 2024,Gigante de Arroyito,foul,1,24,8,Barracas Central,Siro Rosané,-0.08,-0.41,-1.0,Franco Ibarra,,,,
28-03-2024,20:00,Rosario Central,Barracas Central,Argentina - Copa LPF 2024,Gigante de Arroyito,foul,1,31,13,Rosario Central,Jaminton Campaz,0.44,-0.62,-1.0,Facundo Mater,,,,
28-03-2024,20:00,Rosario Central,Barracas Central,Argentina - Copa LPF 2024,Gigante de Arroyito,foul,1,32,45,Rosario Central,Facundo Mallo,0.76,0.11,-1.0,Sebastián Moyano,,,,
28-03-2024,20:00,Rosario Central,Barracas Central,Argentina - Copa LPF 2024,Gigante de Arroyito,foul,1,34,3,Barracas Central,Siro Rosané,0.11,0.58,-1.0,Ignacio Malcorra,,,,
28-03-2024,20:00,Rosario Central,Barracas Central,Argentina - Copa LPF 2024,Gigante de Arroyito,foul,1,37,58,Barracas Central,Rodrigo Herrera,-0.2,-0.63,-1.0,Tobías Cervera,,,,
28-03-2024,20:00,Rosario Central,Barracas Central,Argentina - Copa LPF 2024,Gigante de Arroyito,foul,1,38,46,Rosario Central,Franco Ibarra,-0.29,-0.22,-1.0,Rodrigo Herrera,,,,
28-03-2024,20:00,Rosario Central,Barracas Central,Argentina - Copa LPF 2024,Gigante de Arroyito,foul,1,40,0,Rosario Central,Tobías Cervera,0.79,0.59,-1.0,Gonzalo Goñi,,,,
28-03-2024,20:00,Rosario Central,Barracas Central,Argentina - Copa LPF 2024,Gigante de Arroyito,foul,1,46,0,Rosario Central,Franco Ibarra,0.53,0.42,-1.0,Alan Cantero,,,,
28-03-2024,20:00,Rosario Central,Barracas Central,Argentina - Copa LPF 2024,Gigante de Arroyito,foul,2,53,15,Barracas Central,Alexis Domínguez,-0.13,0.18,-1.0,Franco Ibarra,,,,
28-03-2024,20:00,Rosario Central,Barracas Central,Argentina - Copa LPF 2024,Gigante de Arroyito,foul,2,60,25,Barracas Central,Facundo Mater,-0.13,0.65,-1.0,Jaminton Campaz,,,,
28-03-2024,20:00,Rosario Central,Barracas Central,Argentina - Copa LPF 2024,Gigante de Arroyito,foul,2,65,33,Barracas Central,Daniel Juárez,0.25,0.19,-1.0,Maximiliano Lovera,,,,
28-03-2024,20:00,Rosario Central,Barracas Central,Argentina - Copa LPF 2024,Gigante de Arroyito,foul,2,68,51,Barracas Central,Marco Iacobellis,-0.09,0.57,-1.0,Jaminton Campaz,,,,
28-03-2024,20:00,Rosario Central,Barracas Central,Argentina - Copa LPF 2024,Gigante de Arroyito,foul,2,69,40,Rosario Central,Tomás O'Connor,0.21,0.68,-1.0,Marco Iacobellis,,,,
28-03-2024,20:00,Rosario Central,Barracas Central,Argentina - Copa LPF 2024,Gigante de Arroyito,foul,2,71,4,Barracas Central,Daniel Juárez,0.16,0.78,-1.0,Alan Rodríguez,,,,
28-03-2024,20:00,Rosario Central,Barracas Central,Argentina - Copa LPF 2024,Gigante de Arroyito,foul,2,72,56,Barracas Central,Agustín Irazoque,-0.14,0.53,-1.0,Ignacio Malcorra,,,,
28-03-2024,20:00,Rosario Central,Barracas Central,Argentina - Copa LPF 2024,Gigante de Arroyito,foul,2,73,38,Barracas Central,Rodrigo Herrera,-0.15,0.66,-1.0,Maximiliano Lovera,,,,
28-03-2024,20:00,Rosario Central,Barracas Central,Argentina - Copa LPF 2024,Gigante de Arroyito,foul,2,77,22,Barracas Central,Siro Rosané,-0.17,0.5,-1.0,Tomás O'Connor,,,,
28-03-2024,20:00,Rosario Central,Barracas Central,Argentina - Copa LPF 2024,Gigante de Arroyito,foul,2,82,11,Rosario Central,Jonatan Gómez,0.11,0.11,-1.0,Siro Rosané,,,,
28-03-2024,20:00,Rosario Central,Barracas Central,Argentina - Copa LPF 2024,Gigante de Arroyito,foul,2,83,18,Barracas Central,Facundo Mater,0.22,0.7,-1.0,Jaminton Campaz,,,,
28-03-2024,20:00,Rosario Central,Barracas Central,Argentina - Copa LPF 2024,Gigante de Arroyito,foul,2,85,0,Rosario Central,Damián Martínez,-0.86,-0.01,-1.0,Sebastián Moyano,,,,
28-03-2024,20:00,Rosario Central,Barracas Central,Argentina - Copa LPF 2024,Gigante de Arroyito,foul,2,88,54,Barracas Central,Gonzalo Goñi,-0.26,0.39,-1.0,Abel Hernández,,,,
28-03-2024,20:00,Rosario Central,Barracas Central,Argentina - Copa LPF 2024,Gigante de Arroyito,foul,2,88,9,Rosario Central,Agustín Módica,-0.8,0.13,-1.0,Nicolás Capraro,,,,
28-03-2024,20:00,Rosario Central,Barracas Central,Argentina - Copa LPF 2024,Gigante de Arroyito,shot,1,1,9,Rosario Central,Ignacio Malcorra,0.77,0.25,-1.0,,0.99,0.18,-1.0,
