date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
29-03-2024,18:00,Defensa y Justicia,Estudiantes,Argentina - Copa LPF 2024,General San Martín,steal,1,1,55,Estudiantes,Santiago Ascacíbar,0.57,-0.7,-1.0,,,,,
29-03-2024,18:00,Defensa y Justicia,Estudiantes,Argentina - Copa LPF 2024,General San Martín,steal,1,2,25,Estudiantes,Eros Mancuso,-0.33,0.18,-1.0,,,,,
29-03-2024,18:00,Defensa y Justicia,Estudiantes,Argentina - Copa LPF 2024,General San Martín,steal,1,6,16,Defensa y Justicia,Darío Cáceres,-0.65,-0.84,-1.0,,,,,
29-03-2024,18:00,Defensa y Justicia,Estudiantes,Argentina - Copa LPF 2024,General San Martín,steal,1,7,3,Estudiantes,Zaid Romero,0.45,0.28,-1.0,,,,,
29-03-2024,18:00,Defensa y Justicia,Estudiantes,Argentina - Copa LPF 2024,General San Martín,steal,1,8,43,Estudiantes,Tiago Palacios,0.47,-0.59,-1.0,,,,,
29-03-2024,18:00,Defensa y Justicia,Estudiantes,Argentina - Copa LPF 2024,General San Martín,steal,1,11,15,Estudiantes,José Sosa,0.23,-0.54,-1.0,,,,,
29-03-2024,18:00,Defensa y Justicia,Estudiantes,Argentina - Copa LPF 2024,General San Martín,steal,1,14,56,Estudiantes,Zaid Romero,0.42,0.84,-1.0,,,,,
29-03-2024,18:00,Defensa y Justicia,Estudiantes,Argentina - Copa LPF 2024,General San Martín,steal,1,15,10,Defensa y Justicia,Darío Cáceres,-0.73,-0.29,-1.0,,,,,
29-03-2024,18:00,Defensa y Justicia,Estudiantes,Argentina - Copa LPF 2024,General San Martín,steal,1,18,53,Estudiantes,Eros Mancuso,0.28,0.38,-1.0,,,,,
29-03-2024,18:00,Defensa y Justicia,Estudiantes,Argentina - Copa LPF 2024,General San Martín,steal,1,23,58,Estudiantes,Zaid Romero,0.5,0.69,-1.0,,,,,
29-03-2024,18:00,Defensa y Justicia,Estudiantes,Argentina - Copa LPF 2024,General San Martín,steal,1,25,51,Defensa y Justicia,Kevin López,-0.25,0.59,-1.0,,,,,
29-03-2024,18:00,Defensa y Justicia,Estudiantes,Argentina - Copa LPF 2024,General San Martín,steal,1,31,51,Estudiantes,Tiago Palacios,0.68,-0.79,-1.0,,,,,
29-03-2024,18:00,Defensa y Justicia,Estudiantes,Argentina - Copa LPF 2024,General San Martín,steal,1,32,34,Estudiantes,Enzo Pérez,0.38,-0.02,-1.0,,,,,
29-03-2024,18:00,Defensa y Justicia,Estudiantes,Argentina - Copa LPF 2024,General San Martín,steal,1,42,11,Estudiantes,Federico Fernández,0.49,-0.34,-1.0,,,,,
29-03-2024,18:00,Defensa y Justicia,Estudiantes,Argentina - Copa LPF 2024,General San Martín,steal,1,37,54,Estudiantes,Federico Fernández,0.34,-0.57,-1.0,,,,,
29-03-2024,18:00,Defensa y Justicia,Estudiantes,Argentina - Copa LPF 2024,General San Martín,steal,1,41,45,Estudiantes,Santiago Ascacíbar,0.25,-0.75,-1.0,,,,,
29-03-2024,18:00,Defensa y Justicia,Estudiantes,Argentina - Copa LPF 2024,General San Martín,steal,2,46,26,Estudiantes,Zaid Romero,-0.39,0.52,-1.0,,,,,
29-03-2024,18:00,Defensa y Justicia,Estudiantes,Argentina - Copa LPF 2024,General San Martín,steal,2,47,0,Estudiantes,Santiago Ascacíbar,0.23,-0.51,-1.0,,,,,
29-03-2024,18:00,Defensa y Justicia,Estudiantes,Argentina - Copa LPF 2024,General San Martín,steal,2,52,38,Estudiantes,Enzo Pérez,0.09,-0.45,-1.0,,,,,
29-03-2024,18:00,Defensa y Justicia,Estudiantes,Argentina - Copa LPF 2024,General San Martín,steal,2,52,53,Estudiantes,Enzo Pérez,0.26,0.27,-1.0,,,,,
29-03-2024,18:00,Defensa y Justicia,Estudiantes,Argentina - Copa LPF 2024,General San Martín,steal,2,55,43,Estudiantes,Eric Meza,-0.45,0.5,-1.0,,,,,
29-03-2024,18:00,Defensa y Justicia,Estudiantes,Argentina - Copa LPF 2024,General San Martín,steal,2,56,14,Estudiantes,Federico Fernández,-0.5,0.5,-1.0,,,,,
29-03-2024,18:00,Defensa y Justicia,Estudiantes,Argentina - Copa LPF 2024,General San Martín,steal,2,56,58,Defensa y Justicia,Darío Cáceres,0.33,0.77,-1.0,,,,,
