date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
29-03-2024,20:30,Huracán,River Plate,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,1,0,51,Huracán,Walter Mazzantti,0.41,0.1,-1.0,,,,,
29-03-2024,20:30,Huracán,River Plate,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,1,10,11,River Plate,Leandro González Pirez,0.64,-0.86,-1.0,,,,,
29-03-2024,20:30,Huracán,River Plate,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,1,12,2,Huracán,Walter Mazzantti,-0.33,0.86,-1.0,,,,,
29-03-2024,20:30,Huracán,River Plate,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,1,14,40,River Plate,Esequiel Barco,0.1,0.45,-1.0,,,,,
29-03-2024,20:30,Huracán,River Plate,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,1,17,18,River Plate,Daniel Zabala,0.22,-0.2,-1.0,,,,,
29-03-2024,20:30,Huracán,River Plate,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,1,18,39,River Plate,Ignacio Fernández,-0.12,0.18,-1.0,,,,,
29-03-2024,20:30,Huracán,River Plate,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,1,19,37,River Plate,Enzo Díaz,0.86,0.47,-1.0,,,,,
29-03-2024,20:30,Huracán,River Plate,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,1,21,15,River Plate,Rodrigo Villagra,0.18,-0.67,-1.0,,,,,
29-03-2024,20:30,Huracán,River Plate,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,1,24,27,River Plate,Esequiel Barco,0.18,0.66,-1.0,,,,,
29-03-2024,20:30,Huracán,River Plate,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,1,24,35,River Plate,Leandro González Pirez,0.63,-0.46,-1.0,,,,,
29-03-2024,20:30,Huracán,River Plate,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,1,28,19,River Plate,Rodrigo Aliendro,0.71,-0.36,-1.0,,,,,
29-03-2024,20:30,Huracán,River Plate,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,1,29,6,River Plate,Rodrigo Villagra,0.16,-0.65,-1.0,,,,,
29-03-2024,20:30,Huracán,River Plate,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,1,36,31,River Plate,Andrés Herrera,0.51,-0.79,-1.0,,,,,
29-03-2024,20:30,Huracán,River Plate,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,1,37,21,River Plate,Esequiel Barco,0.03,-0.62,-1.0,,,,,
29-03-2024,20:30,Huracán,River Plate,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,1,38,44,River Plate,Rodrigo Villagra,-0.03,-0.39,-1.0,,,,,
29-03-2024,20:30,Huracán,River Plate,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,1,38,59,Huracán,Lucas Souto,-0.16,0.42,-1.0,,,,,
29-03-2024,20:30,Huracán,River Plate,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,1,40,45,River Plate,Leandro González Pirez,0.19,-0.52,-1.0,,,,,
29-03-2024,20:30,Huracán,River Plate,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,1,44,40,River Plate,Esequiel Barco,0.48,0.56,-1.0,,,,,
29-03-2024,20:30,Huracán,River Plate,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,2,45,17,River Plate,Ignacio Fernández,-0.15,0.21,-1.0,,,,,
29-03-2024,20:30,Huracán,River Plate,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,2,46,22,River Plate,Enzo Díaz,0.08,-0.81,-1.0,,,,,
29-03-2024,20:30,Huracán,River Plate,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,2,50,33,River Plate,Leandro González Pirez,-0.41,-0.09,-1.0,,,,,
29-03-2024,20:30,Huracán,River Plate,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,2,53,15,River Plate,Enzo Díaz,-0.33,-0.79,-1.0,,,,,
29-03-2024,20:30,Huracán,River Plate,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,2,55,59,River Plate,Andrés Herrera,0.3,0.89,-1.0,,,,,
29-03-2024,20:30,Huracán,River Plate,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,2,60,22,Huracán,Lucas Carrizo,0.92,0.62,-1.0,,,,,
29-03-2024,20:30,Huracán,River Plate,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,2,64,44,Huracán,Williams Alarcón,0.75,-0.39,-1.0,,,,,
29-03-2024,20:30,Huracán,River Plate,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,2,71,19,River Plate,Daniel Zabala,-0.54,-0.29,-1.0,,,,,
29-03-2024,20:30,Huracán,River Plate,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,2,81,55,River Plate,Manuel Lanzini,0.36,0.05,-1.0,,,,,
29-03-2024,20:30,Huracán,River Plate,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,2,83,3,River Plate,Leandro González Pirez,-0.96,0.48,-1.0,,,,,
29-03-2024,20:30,Huracán,River Plate,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,2,84,2,River Plate,Manuel Lanzini,0.36,0.22,-1.0,,,,,
29-03-2024,20:30,Huracán,River Plate,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,2,84,14,River Plate,Claudio Echeverri,0.78,-0.43,-1.0,,,,,
29-03-2024,20:30,Huracán,River Plate,Argentina - Copa LPF 2024,Tomás A. Ducó,steal,2,89,31,River Plate,Enzo Díaz,-0.2,-0.81,-1.0,,,,,
29-03-2024,20:30,Huracán,River Plate,Argentina - Copa LPF 2024,Tomás A. Ducó,foul,1,1,12,Huracán,Rodrigo Echeverría,-0.35,0.35,-1.0,Enzo Díaz,,,,
29-03-2024,20:30,Huracán,River Plate,Argentina - Copa LPF 2024,Tomás A. Ducó,foul,1,5,46,River Plate,Rodrigo Villagra,-0.2,0.31,-1.0,Rodrigo Echeverría,,,,
29-03-2024,20:30,Huracán,River Plate,Argentina - Copa LPF 2024,Tomás A. Ducó,foul,1,8,59,River Plate,Andrés Herrera,-0.9,-0.74,-1.0,César Ibáñez,,,,
29-03-2024,20:30,Huracán,River Plate,Argentina - Copa LPF 2024,Tomás A. Ducó,foul,1,12,4,River Plate,Rodrigo Villagra,-0.15,0.72,-1.0,Walter Mazzantti,,,,
29-03-2024,20:30,Huracán,River Plate,Argentina - Copa LPF 2024,Tomás A. Ducó,foul,1,19,53,Huracán,Williams Alarcón,0.39,0.78,-1.0,Ignacio Fernández,,,,
29-03-2024,20:30,Huracán,River Plate,Argentina - Copa LPF 2024,Tomás A. Ducó,foul,1,21,56,River Plate,Santiago Simón,-0.48,-0.68,-1.0,Héctor Fértoli,,,,
29-03-2024,20:30,Huracán,River Plate,Argentina - Copa LPF 2024,Tomás A. Ducó,foul,1,22,37,River Plate,Ignacio Fernández,-0.33,-0.86,-1.0,César Ibáñez,,,,
29-03-2024,20:30,Huracán,River Plate,Argentina - Copa LPF 2024,Tomás A. Ducó,foul,1,23,8,River Plate,Daniel Zabala,0.38,-0.07,-1.0,Rodrigo Cabral,,,,
29-03-2024,20:30,Huracán,River Plate,Argentina - Copa LPF 2024,Tomás A. Ducó,foul,1,27,21,Huracán,Walter Mazzantti,-0.18,0.78,-1.0,Enzo Díaz,,,,
29-03-2024,20:30,Huracán,River Plate,Argentina - Copa LPF 2024,Tomás A. Ducó,foul,1,29,52,River Plate,Daniel Zabala,0.33,0.68,-1.0,Williams Alarcón,,,,
29-03-2024,20:30,Huracán,River Plate,Argentina - Copa LPF 2024,Tomás A. Ducó,foul,1,34,50,River Plate,Rodrigo Aliendro,0.47,0.78,-1.0,Walter Mazzantti,,,,
29-03-2024,20:30,Huracán,River Plate,Argentina - Copa LPF 2024,Tomás A. Ducó,foul,1,37,47,Huracán,Ignacio Pussetto,0.65,0.08,-1.0,Leandro González Pirez,,,,
29-03-2024,20:30,Huracán,River Plate,Argentina - Copa LPF 2024,Tomás A. Ducó,foul,1,41,36,River Plate,Rodrigo Villagra,-0.28,-0.22,-1.0,Walter Mazzantti,,,,
29-03-2024,20:30,Huracán,River Plate,Argentina - Copa LPF 2024,Tomás A. Ducó,foul,1,44,1,River Plate,Leandro González Pirez,-0.28,-0.72,-1.0,Lucas Carrizo,,,,
29-03-2024,20:30,Huracán,River Plate,Argentina - Copa LPF 2024,Tomás A. Ducó,foul,1,44,58,Huracán,Walter Mazzantti,0.19,0.62,-1.0,Enzo Díaz,,,,
29-03-2024,20:30,Huracán,River Plate,Argentina - Copa LPF 2024,Tomás A. Ducó,foul,2,45,18,Huracán,Williams Alarcón,-0.34,-0.18,-1.0,Esequiel Barco,,,,
29-03-2024,20:30,Huracán,River Plate,Argentina - Copa LPF 2024,Tomás A. Ducó,foul,2,48,10,River Plate,Nicolás Fonseca,-0.25,-0.36,-1.0,Héctor Fértoli,,,,
29-03-2024,20:30,Huracán,River Plate,Argentina - Copa LPF 2024,Tomás A. Ducó,foul,2,53,11,River Plate,Andrés Herrera,0.13,0.63,-1.0,Rodrigo Cabral,,,,
29-03-2024,20:30,Huracán,River Plate,Argentina - Copa LPF 2024,Tomás A. Ducó,foul,2,53,24,Huracán,Walter Mazzantti,-0.14,-0.34,-1.0,Esequiel Barco,,,,
29-03-2024,20:30,Huracán,River Plate,Argentina - Copa LPF 2024,Tomás A. Ducó,foul,2,58,24,Huracán,Lucas Carrizo,0.17,-0.42,-1.0,Miguel Ángel Borja,,,,
