date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
29-03-2024,18:00,Tigre,Belgrano,Argentina - Copa LPF 2024,Coliseo de Victoria,steal,1,1,21,Belgrano,Nicolás Meriano,0.57,0.78,-1.0,,,,,
29-03-2024,18:00,Tigre,Belgrano,Argentina - Copa LPF 2024,Coliseo de Victoria,steal,1,1,42,Belgrano,Mariano Troilo,0.79,0.74,-1.0,,,,,
29-03-2024,18:00,Tigre,Belgrano,Argentina - Copa LPF 2024,Coliseo de Victoria,steal,1,8,52,Belgrano,Lucas Passerini,-0.55,0.55,-1.0,,,,,
29-03-2024,18:00,Tigre,Belgrano,Argentina - Copa LPF 2024,Coliseo de Victoria,steal,1,11,17,Belgrano,Juan Ignacio Barinaga,-0.13,-0.54,-1.0,,,,,
29-03-2024,18:00,Tigre,Belgrano,Argentina - Copa LPF 2024,Coliseo de Victoria,steal,1,18,44,Tigre,Santiago González,-0.22,-0.77,-1.0,,,,,
29-03-2024,18:00,Tigre,Belgrano,Argentina - Copa LPF 2024,Coliseo de Victoria,steal,1,23,42,Tigre,Ezequiel Forclaz,-0.3,-0.87,-1.0,,,,,
29-03-2024,18:00,Tigre,Belgrano,Argentina - Copa LPF 2024,Coliseo de Victoria,steal,1,28,0,Tigre,Tomás Lecanda,-0.53,-0.62,-1.0,,,,,
29-03-2024,18:00,Tigre,Belgrano,Argentina - Copa LPF 2024,Coliseo de Victoria,steal,1,30,40,Tigre,Blas Armoa,-0.22,-0.41,-1.0,,,,,
29-03-2024,18:00,Tigre,Belgrano,Argentina - Copa LPF 2024,Coliseo de Victoria,steal,1,36,49,Belgrano,Nicolás Meriano,-0.25,0.7,-1.0,,,,,
29-03-2024,18:00,Tigre,Belgrano,Argentina - Copa LPF 2024,Coliseo de Victoria,steal,1,37,29,Belgrano,Mariano Troilo,-0.13,0.72,-1.0,,,,,
29-03-2024,18:00,Tigre,Belgrano,Argentina - Copa LPF 2024,Coliseo de Victoria,steal,1,43,13,Tigre,Ezequiel Forclaz,0.55,0.17,-1.0,,,,,
29-03-2024,18:00,Tigre,Belgrano,Argentina - Copa LPF 2024,Coliseo de Victoria,steal,1,45,58,Tigre,Juan Manuel Sánchez Miño,-0.54,0.2,-1.0,,,,,
29-03-2024,18:00,Tigre,Belgrano,Argentina - Copa LPF 2024,Coliseo de Victoria,steal,1,46,43,Belgrano,Francisco González Metilli,0.47,-0.46,-1.0,,,,,
29-03-2024,18:00,Tigre,Belgrano,Argentina - Copa LPF 2024,Coliseo de Victoria,steal,1,46,46,Tigre,Tomás Lecanda,-0.16,-0.42,-1.0,,,,,
29-03-2024,18:00,Tigre,Belgrano,Argentina - Copa LPF 2024,Coliseo de Victoria,steal,2,46,18,Belgrano,Juan Ignacio Barinaga,-0.15,0.57,-1.0,,,,,
29-03-2024,18:00,Tigre,Belgrano,Argentina - Copa LPF 2024,Coliseo de Victoria,steal,2,48,44,Tigre,Juan Manuel Sánchez Miño,0.51,0.8,-1.0,,,,,
29-03-2024,18:00,Tigre,Belgrano,Argentina - Copa LPF 2024,Coliseo de Victoria,steal,2,59,38,Tigre,Martín Ortega,0.47,-0.72,-1.0,,,,,
29-03-2024,18:00,Tigre,Belgrano,Argentina - Copa LPF 2024,Coliseo de Victoria,steal,2,60,12,Belgrano,Lucas Passerini,-0.18,0.76,-1.0,,,,,
29-03-2024,18:00,Tigre,Belgrano,Argentina - Copa LPF 2024,Coliseo de Victoria,steal,2,60,31,Tigre,Gonzalo Maroni,0.2,0.63,-1.0,,,,,
29-03-2024,18:00,Tigre,Belgrano,Argentina - Copa LPF 2024,Coliseo de Victoria,steal,2,65,45,Tigre,Juan Cruz Esquivel,0.74,0.68,-1.0,,,,,
29-03-2024,18:00,Tigre,Belgrano,Argentina - Copa LPF 2024,Coliseo de Victoria,steal,2,69,45,Belgrano,Jeremías Lucco,0.47,0.53,-1.0,,,,,
29-03-2024,18:00,Tigre,Belgrano,Argentina - Copa LPF 2024,Coliseo de Victoria,steal,2,77,5,Belgrano,Facundo Lencioni,0.54,-0.38,-1.0,,,,,
29-03-2024,18:00,Tigre,Belgrano,Argentina - Copa LPF 2024,Coliseo de Victoria,steal,2,78,28,Belgrano,Gerónimo Heredia,-0.05,0.38,-1.0,,,,,
