date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
30-03-2024,17:00,Boca Juniors,San Lorenzo,Argentina - Copa LPF 2024,Alberto J. Armando,steal,1,0,27,Boca Juniors,Lucas Blondel,0.26,0.09,-1.0,,,,,
30-03-2024,17:00,Boca Juniors,San Lorenzo,Argentina - Copa LPF 2024,Alberto J. Armando,steal,1,13,11,Boca Juniors,Ezequiel Fernández,-0.32,-0.39,-1.0,,,,,
30-03-2024,17:00,Boca Juniors,San Lorenzo,Argentina - Copa LPF 2024,Alberto J. Armando,steal,1,16,27,Boca Juniors,Kevin Zenón,0.32,-0.63,-1.0,,,,,
30-03-2024,17:00,Boca Juniors,San Lorenzo,Argentina - Copa LPF 2024,Alberto J. Armando,steal,1,25,22,Boca Juniors,Ezequiel Fernández,-0.32,0.61,-1.0,,,,,
30-03-2024,17:00,Boca Juniors,San Lorenzo,Argentina - Copa LPF 2024,Alberto J. Armando,steal,1,26,55,Boca Juniors,Ezequiel Fernández,-0.22,0.1,-1.0,,,,,
30-03-2024,17:00,Boca Juniors,San Lorenzo,Argentina - Copa LPF 2024,Alberto J. Armando,steal,1,30,26,San Lorenzo,Elián Irala,-0.23,0.42,-1.0,,,,,
30-03-2024,17:00,Boca Juniors,San Lorenzo,Argentina - Copa LPF 2024,Alberto J. Armando,steal,1,30,20,Boca Juniors,Ezequiel Fernández,-0.48,0.29,-1.0,,,,,
30-03-2024,17:00,Boca Juniors,San Lorenzo,Argentina - Copa LPF 2024,Alberto J. Armando,steal,1,31,53,Boca Juniors,Ezequiel Fernández,-0.42,0.37,-1.0,,,,,
30-03-2024,17:00,Boca Juniors,San Lorenzo,Argentina - Copa LPF 2024,Alberto J. Armando,steal,1,32,28,San Lorenzo,Malcom Braida,0.69,0.83,-1.0,,,,,
30-03-2024,17:00,Boca Juniors,San Lorenzo,Argentina - Copa LPF 2024,Alberto J. Armando,steal,1,32,43,Boca Juniors,Jabes Saralegui,0.44,0.26,-1.0,,,,,
30-03-2024,17:00,Boca Juniors,San Lorenzo,Argentina - Copa LPF 2024,Alberto J. Armando,steal,1,39,53,Boca Juniors,Kevin Zenón,0.16,0.04,-1.0,,,,,
30-03-2024,17:00,Boca Juniors,San Lorenzo,Argentina - Copa LPF 2024,Alberto J. Armando,steal,1,43,3,San Lorenzo,Elián Irala,0.2,-0.44,-1.0,,,,,
30-03-2024,17:00,Boca Juniors,San Lorenzo,Argentina - Copa LPF 2024,Alberto J. Armando,steal,1,43,49,Boca Juniors,Ezequiel Fernández,-0.09,-0.64,-1.0,,,,,
30-03-2024,17:00,Boca Juniors,San Lorenzo,Argentina - Copa LPF 2024,Alberto J. Armando,steal,2,45,50,Boca Juniors,Luis Adví­ncula,0.81,-0.77,-1.0,,,,,
30-03-2024,17:00,Boca Juniors,San Lorenzo,Argentina - Copa LPF 2024,Alberto J. Armando,steal,2,47,50,Boca Juniors,Ezequiel Fernández,0.06,-0.19,-1.0,,,,,
30-03-2024,17:00,Boca Juniors,San Lorenzo,Argentina - Copa LPF 2024,Alberto J. Armando,steal,2,60,50,San Lorenzo,Elián Irala,-0.21,0.61,-1.0,,,,,
30-03-2024,17:00,Boca Juniors,San Lorenzo,Argentina - Copa LPF 2024,Alberto J. Armando,steal,2,64,44,San Lorenzo,Agustín Giay,-0.66,0.83,-1.0,,,,,
30-03-2024,17:00,Boca Juniors,San Lorenzo,Argentina - Copa LPF 2024,Alberto J. Armando,steal,2,65,3,Boca Juniors,Cristian Lema,0.83,-0.68,-1.0,,,,,
30-03-2024,17:00,Boca Juniors,San Lorenzo,Argentina - Copa LPF 2024,Alberto J. Armando,steal,2,68,3,San Lorenzo,Elián Irala,0.31,0.48,-1.0,,,,,
30-03-2024,17:00,Boca Juniors,San Lorenzo,Argentina - Copa LPF 2024,Alberto J. Armando,steal,2,68,8,Boca Juniors,Ezequiel Fernández,0.53,0.32,-1.0,,,,,
30-03-2024,17:00,Boca Juniors,San Lorenzo,Argentina - Copa LPF 2024,Alberto J. Armando,steal,2,69,56,San Lorenzo,Gonzalo Luján,-0.58,0.89,-1.0,,,,,
30-03-2024,17:00,Boca Juniors,San Lorenzo,Argentina - Copa LPF 2024,Alberto J. Armando,steal,2,76,20,Boca Juniors,Luis Adví­ncula,0.5,-0.69,-1.0,,,,,
30-03-2024,17:00,Boca Juniors,San Lorenzo,Argentina - Copa LPF 2024,Alberto J. Armando,steal,2,77,7,Boca Juniors,Jabes Saralegui,-0.17,-0.13,-1.0,,,,,
30-03-2024,17:00,Boca Juniors,San Lorenzo,Argentina - Copa LPF 2024,Alberto J. Armando,steal,2,80,49,Boca Juniors,Luis Adví­ncula,0.41,-0.7,-1.0,,,,,
30-03-2024,17:00,Boca Juniors,San Lorenzo,Argentina - Copa LPF 2024,Alberto J. Armando,steal,2,88,33,San Lorenzo,Tobías Medina,0.23,0.44,-1.0,,,,,
30-03-2024,17:00,Boca Juniors,San Lorenzo,Argentina - Copa LPF 2024,Alberto J. Armando,steal,2,88,31,Boca Juniors,Kevin Zenón,0.34,0.45,-1.0,,,,,
30-03-2024,17:00,Boca Juniors,San Lorenzo,Argentina - Copa LPF 2024,Alberto J. Armando,steal,2,93,19,Boca Juniors,Darío Benedetto,-0.38,-0.41,-1.0,,,,,
30-03-2024,17:00,Boca Juniors,San Lorenzo,Argentina - Copa LPF 2024,Alberto J. Armando,foul,1,0,44,San Lorenzo,Elián Irala,0.71,0.91,-1.0,Luca Langoni,,,,
30-03-2024,17:00,Boca Juniors,San Lorenzo,Argentina - Copa LPF 2024,Alberto J. Armando,foul,1,2,9,San Lorenzo,Agustín Giay,-0.33,-0.33,-1.0,Ezequiel Fernández,,,,
30-03-2024,17:00,Boca Juniors,San Lorenzo,Argentina - Copa LPF 2024,Alberto J. Armando,foul,1,5,26,Boca Juniors,Cristian Lema,-0.71,0.13,-1.0,Adam Bareiro,,,,
30-03-2024,17:00,Boca Juniors,San Lorenzo,Argentina - Copa LPF 2024,Alberto J. Armando,foul,1,10,26,San Lorenzo,Malcom Braida,0.28,0.8,-1.0,Luis Adví­ncula,,,,
30-03-2024,17:00,Boca Juniors,San Lorenzo,Argentina - Copa LPF 2024,Alberto J. Armando,foul,1,24,37,San Lorenzo,Adam Bareiro,-0.26,-0.45,-1.0,Marcos Rojo,,,,
30-03-2024,17:00,Boca Juniors,San Lorenzo,Argentina - Copa LPF 2024,Alberto J. Armando,foul,1,29,47,Boca Juniors,Luca Langoni,0.82,0.7,-1.0,Malcom Braida,,,,
30-03-2024,17:00,Boca Juniors,San Lorenzo,Argentina - Copa LPF 2024,Alberto J. Armando,foul,1,27,7,Boca Juniors,Cristian Medina,-0.24,-0.66,-1.0,Malcom Braida,,,,
30-03-2024,17:00,Boca Juniors,San Lorenzo,Argentina - Copa LPF 2024,Alberto J. Armando,foul,1,30,49,Boca Juniors,Lautaro Blanco,-0.08,-0.86,-1.0,Iván Leguizamón,,,,
30-03-2024,17:00,Boca Juniors,San Lorenzo,Argentina - Copa LPF 2024,Alberto J. Armando,foul,1,28,10,San Lorenzo,Gonzalo Luján,0.4,-0.78,-1.0,Edinson Cavani,,,,
30-03-2024,17:00,Boca Juniors,San Lorenzo,Argentina - Copa LPF 2024,Alberto J. Armando,foul,1,32,7,San Lorenzo,Adam Bareiro,-0.35,0.35,-1.0,Jabes Saralegui,,,,
30-03-2024,17:00,Boca Juniors,San Lorenzo,Argentina - Copa LPF 2024,Alberto J. Armando,foul,1,37,18,San Lorenzo,Cristian Ferreira,0.21,-0.39,-1.0,Ezequiel Fernández,,,,
