date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
30-03-2024,19:00,Central Córdoba (SE),Racing Club,Argentina - Copa LPF 2024,Único Madre de Ciudades,steal,1,9,21,Racing Club,Marco Di Césare,0.07,-0.6,-1.0,,,,,
30-03-2024,19:00,Central Córdoba (SE),Racing Club,Argentina - Copa LPF 2024,Único Madre de Ciudades,steal,1,12,9,Racing Club,Nazareno Colombo,0.46,-0.41,-1.0,,,,,
30-03-2024,19:00,Central Córdoba (SE),Racing Club,Argentina - Copa LPF 2024,Único Madre de Ciudades,steal,1,15,48,Central Córdoba (SE),Sebastián Valdez,-0.42,-0.53,-1.0,,,,,
30-03-2024,19:00,Central Córdoba (SE),Racing Club,Argentina - Copa LPF 2024,Único Madre de Ciudades,steal,1,16,23,Racing Club,Facundo Mura,0.4,0.43,-1.0,,,,,
30-03-2024,19:00,Central Córdoba (SE),Racing Club,Argentina - Copa LPF 2024,Único Madre de Ciudades,steal,1,18,0,Racing Club,Maximiliano Salas,-0.27,-0.65,-1.0,,,,,
30-03-2024,19:00,Central Córdoba (SE),Racing Club,Argentina - Copa LPF 2024,Único Madre de Ciudades,steal,1,18,29,Racing Club,Nazareno Colombo,-0.22,-0.34,-1.0,,,,,
30-03-2024,19:00,Central Córdoba (SE),Racing Club,Argentina - Copa LPF 2024,Único Madre de Ciudades,steal,1,21,7,Racing Club,Santiago Sosa,0.44,-0.29,-1.0,,,,,
30-03-2024,19:00,Central Córdoba (SE),Racing Club,Argentina - Copa LPF 2024,Único Madre de Ciudades,steal,1,22,37,Racing Club,Nazareno Colombo,0.2,-0.67,-1.0,,,,,
30-03-2024,19:00,Central Córdoba (SE),Racing Club,Argentina - Copa LPF 2024,Único Madre de Ciudades,steal,1,23,5,Racing Club,Santiago Solari,0.35,-0.6,-1.0,,,,,
30-03-2024,19:00,Central Córdoba (SE),Racing Club,Argentina - Copa LPF 2024,Único Madre de Ciudades,steal,1,24,43,Racing Club,Facundo Mura,0.24,0.67,-1.0,,,,,
30-03-2024,19:00,Central Córdoba (SE),Racing Club,Argentina - Copa LPF 2024,Único Madre de Ciudades,steal,1,34,2,Racing Club,Marco Di Césare,0.0,-0.63,-1.0,,,,,
30-03-2024,19:00,Central Córdoba (SE),Racing Club,Argentina - Copa LPF 2024,Único Madre de Ciudades,steal,1,43,29,Racing Club,Agustín Almendra,0.25,0.02,-1.0,,,,,
30-03-2024,19:00,Central Córdoba (SE),Racing Club,Argentina - Copa LPF 2024,Único Madre de Ciudades,steal,1,48,4,Central Córdoba (SE),Thiago Nuss,-0.14,-0.32,-1.0,,,,,
30-03-2024,19:00,Central Córdoba (SE),Racing Club,Argentina - Copa LPF 2024,Único Madre de Ciudades,steal,1,48,6,Racing Club,Santiago Sosa,-0.27,0.0,-1.0,,,,,
30-03-2024,19:00,Central Córdoba (SE),Racing Club,Argentina - Copa LPF 2024,Único Madre de Ciudades,steal,2,49,20,Central Córdoba (SE),Santiago Laquidain,0.73,0.68,-1.0,,,,,
30-03-2024,19:00,Central Córdoba (SE),Racing Club,Argentina - Copa LPF 2024,Único Madre de Ciudades,steal,2,52,39,Racing Club,Agustín Almendra,-0.26,0.38,-1.0,,,,,
30-03-2024,19:00,Central Córdoba (SE),Racing Club,Argentina - Copa LPF 2024,Único Madre de Ciudades,steal,2,58,24,Racing Club,Marco Di Césare,-0.41,0.42,-1.0,,,,,
30-03-2024,19:00,Central Córdoba (SE),Racing Club,Argentina - Copa LPF 2024,Único Madre de Ciudades,steal,2,59,1,Central Córdoba (SE),Oscar Garrido,-0.12,-0.29,-1.0,,,,,
30-03-2024,19:00,Central Córdoba (SE),Racing Club,Argentina - Copa LPF 2024,Único Madre de Ciudades,steal,2,67,17,Racing Club,Santiago Sosa,-0.62,0.07,-1.0,,,,,
30-03-2024,19:00,Central Córdoba (SE),Racing Club,Argentina - Copa LPF 2024,Único Madre de Ciudades,steal,2,78,19,Racing Club,Tobías Rubio,-0.58,0.52,-1.0,,,,,
30-03-2024,19:00,Central Córdoba (SE),Racing Club,Argentina - Copa LPF 2024,Único Madre de Ciudades,steal,2,81,43,Racing Club,Juan Ignacio Nardoni,-0.3,-0.33,-1.0,,,,,
30-03-2024,19:00,Central Córdoba (SE),Racing Club,Argentina - Copa LPF 2024,Único Madre de Ciudades,steal,2,82,0,Central Córdoba (SE),Rodrigo Atencio,-0.39,0.63,-1.0,,,,,
30-03-2024,19:00,Central Córdoba (SE),Racing Club,Argentina - Copa LPF 2024,Único Madre de Ciudades,steal,2,82,3,Racing Club,Baltasar Rodríguez,-0.11,0.37,-1.0,,,,,
30-03-2024,19:00,Central Córdoba (SE),Racing Club,Argentina - Copa LPF 2024,Único Madre de Ciudades,steal,2,82,33,Racing Club,Tobías Rubio,-0.45,0.18,-1.0,,,,,
30-03-2024,19:00,Central Córdoba (SE),Racing Club,Argentina - Copa LPF 2024,Único Madre de Ciudades,steal,2,90,56,Racing Club,Juan Ignacio Nardoni,-0.41,0.17,-1.0,,,,,
30-03-2024,19:00,Central Córdoba (SE),Racing Club,Argentina - Copa LPF 2024,Único Madre de Ciudades,steal,2,92,40,Racing Club,Adrián Martínez,0.53,0.12,-1.0,,,,,
30-03-2024,19:00,Central Córdoba (SE),Racing Club,Argentina - Copa LPF 2024,Único Madre de Ciudades,steal,2,93,54,Racing Club,Leonel Miranda,0.32,0.29,-1.0,,,,,
30-03-2024,19:00,Central Córdoba (SE),Racing Club,Argentina - Copa LPF 2024,Único Madre de Ciudades,steal,2,96,33,Central Córdoba (SE),Mateo Sanabria,-0.58,0.7,-1.0,,,,,
30-03-2024,19:00,Central Córdoba (SE),Racing Club,Argentina - Copa LPF 2024,Único Madre de Ciudades,foul,1,8,8,Racing Club,Santiago Sosa,-0.17,-0.64,-1.0,Tomás Molina,,,,
30-03-2024,19:00,Central Córdoba (SE),Racing Club,Argentina - Copa LPF 2024,Único Madre de Ciudades,foul,1,7,17,Central Córdoba (SE),Sebastián Valdez,0.51,-0.19,-1.0,Adrián Martínez,,,,
30-03-2024,19:00,Central Córdoba (SE),Racing Club,Argentina - Copa LPF 2024,Único Madre de Ciudades,foul,1,18,42,Central Córdoba (SE),Oscar Garrido,-0.33,0.28,-1.0,Agustín Almendra,,,,
30-03-2024,19:00,Central Córdoba (SE),Racing Club,Argentina - Copa LPF 2024,Único Madre de Ciudades,foul,1,20,16,Racing Club,Santiago Solari,-0.45,-0.11,-1.0,Oscar Garrido,,,,
30-03-2024,19:00,Central Córdoba (SE),Racing Club,Argentina - Copa LPF 2024,Único Madre de Ciudades,foul,1,21,22,Central Córdoba (SE),Oscar Garrido,0.09,-0.07,-1.0,Agustín Almendra,,,,
