date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
30-03-2024,21:00,Talleres,Vélez,Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,1,6,56,Talleres,Ramón Sosa,-0.19,-0.79,-1.0,,,,,
30-03-2024,21:00,Talleres,Vélez,Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,1,8,24,Vélez,Elías Gómez,0.29,0.21,-1.0,,,,,
30-03-2024,21:00,Talleres,Vélez,Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,1,16,42,Talleres,Marcos Portillo,0.17,-0.39,-1.0,,,,,
30-03-2024,21:00,Talleres,Vélez,Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,1,16,37,Vélez,Braian Romero,0.24,0.65,-1.0,,,,,
30-03-2024,21:00,Talleres,Vélez,Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,1,22,21,Vélez,Damián Fernández,0.92,0.69,-1.0,,,,,
30-03-2024,21:00,Talleres,Vélez,Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,1,22,41,Talleres,Marcos Portillo,-0.33,0.06,-1.0,,,,,
30-03-2024,21:00,Talleres,Vélez,Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,1,24,4,Vélez,Damián Fernández,0.74,0.76,-1.0,,,,,
30-03-2024,21:00,Talleres,Vélez,Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,1,24,34,Talleres,Rubén Botta,-0.39,0.5,-1.0,,,,,
30-03-2024,21:00,Talleres,Vélez,Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,1,24,38,Vélez,Agustín Bouzat,-0.18,0.73,-1.0,,,,,
30-03-2024,21:00,Talleres,Vélez,Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,1,24,48,Talleres,Gastón Benavídez,-0.63,0.56,-1.0,,,,,
30-03-2024,21:00,Talleres,Vélez,Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,1,28,23,Vélez,Elías Gómez,-0.32,0.6,-1.0,,,,,
30-03-2024,21:00,Talleres,Vélez,Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,1,29,35,Talleres,Miguel Navarro,-0.27,-0.36,-1.0,,,,,
30-03-2024,21:00,Talleres,Vélez,Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,1,30,59,Talleres,Juan Camilo Portilla,0.19,0.55,-1.0,,,,,
30-03-2024,21:00,Talleres,Vélez,Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,1,31,20,Vélez,Joaquín García,0.81,-0.74,-1.0,,,,,
30-03-2024,21:00,Talleres,Vélez,Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,1,38,54,Talleres,Rubén Botta,0.73,-0.3,-1.0,,,,,
30-03-2024,21:00,Talleres,Vélez,Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,1,41,33,Vélez,Francisco Pizzini,0.06,-0.76,-1.0,,,,,
30-03-2024,21:00,Talleres,Vélez,Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,2,49,47,Talleres,Marcos Portillo,0.18,0.85,-1.0,,,,,
30-03-2024,21:00,Talleres,Vélez,Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,2,53,42,Vélez,Joaquín García,-0.41,0.65,-1.0,,,,,
30-03-2024,21:00,Talleres,Vélez,Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,2,58,1,Talleres,Gastón Benavídez,-0.28,-0.58,-1.0,,,,,
30-03-2024,21:00,Talleres,Vélez,Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,2,58,19,Vélez,Damián Fernández,-0.89,-0.77,-1.0,,,,,
30-03-2024,21:00,Talleres,Vélez,Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,2,58,54,Talleres,Ulises Ortegoza,-0.35,-0.34,-1.0,,,,,
30-03-2024,21:00,Talleres,Vélez,Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,2,66,43,Vélez,Damián Fernández,-0.46,-0.47,-1.0,,,,,
30-03-2024,21:00,Talleres,Vélez,Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,2,67,48,Talleres,Ulises Ortegoza,0.46,-0.49,-1.0,,,,,
30-03-2024,21:00,Talleres,Vélez,Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,2,69,5,Vélez,Elías Gómez,-0.87,0.48,-1.0,,,,,
30-03-2024,21:00,Talleres,Vélez,Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,2,72,12,Vélez,Emanuel Mammana,-0.42,0.03,-1.0,,,,,
