date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
31-03-2024,16:00,Gimnasia,Dep. Riestra,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,1,0,26,Dep. Riestra,Yeison Murillo,0.82,-0.75,-1.0,,,,,
31-03-2024,16:00,Gimnasia,Dep. Riestra,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,1,3,27,Gimnasia,Benjamín Domínguez,0.01,-0.74,-1.0,,,,,
31-03-2024,16:00,Gimnasia,Dep. Riestra,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,1,5,3,Gimnasia,Yonatan Rodríguez,-0.07,-0.56,-1.0,,,,,
31-03-2024,16:00,Gimnasia,Dep. Riestra,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,1,5,54,Dep. Riestra,Milton Céliz,0.13,-0.53,-1.0,,,,,
31-03-2024,16:00,Gimnasia,Dep. Riestra,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,1,7,11,Gimnasia,Pablo De Blasis,-0.24,0.32,-1.0,,,,,
31-03-2024,16:00,Gimnasia,Dep. Riestra,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,1,14,18,Gimnasia,Leonardo Morales,-0.32,0.08,-1.0,,,,,
31-03-2024,16:00,Gimnasia,Dep. Riestra,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,1,14,56,Dep. Riestra,Jonatan Goya,0.47,-0.3,-1.0,,,,,
31-03-2024,16:00,Gimnasia,Dep. Riestra,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,1,15,38,Gimnasia,Yonatan Rodríguez,0.12,-0.31,-1.0,,,,,
31-03-2024,16:00,Gimnasia,Dep. Riestra,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,1,18,56,Gimnasia,Benjamín Domínguez,0.86,-0.83,-1.0,,,,,
31-03-2024,16:00,Gimnasia,Dep. Riestra,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,1,29,17,Dep. Riestra,Milton Céliz,-0.2,-0.25,-1.0,,,,,
31-03-2024,16:00,Gimnasia,Dep. Riestra,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,1,31,11,Gimnasia,Pablo De Blasis,0.51,0.81,-1.0,,,,,
31-03-2024,16:00,Gimnasia,Dep. Riestra,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,1,32,8,Gimnasia,Franco Troyansky,0.36,0.16,-1.0,,,,,
31-03-2024,16:00,Gimnasia,Dep. Riestra,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,1,37,26,Dep. Riestra,Delfor Minervino,0.68,-0.81,-1.0,,,,,
31-03-2024,16:00,Gimnasia,Dep. Riestra,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,1,37,43,Gimnasia,Leonardo Morales,-0.06,0.05,-1.0,,,,,
31-03-2024,16:00,Gimnasia,Dep. Riestra,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,1,44,31,Gimnasia,Nicolás Colazo,0.18,-0.37,-1.0,,,,,
31-03-2024,16:00,Gimnasia,Dep. Riestra,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,1,44,43,Gimnasia,Pablo De Blasis,0.22,-0.38,-1.0,,,,,
31-03-2024,16:00,Gimnasia,Dep. Riestra,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,1,45,39,Gimnasia,Yonatan Rodríguez,-0.11,-0.52,-1.0,,,,,
31-03-2024,16:00,Gimnasia,Dep. Riestra,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,2,53,57,Gimnasia,Nicolás Colazo,0.46,0.54,-1.0,,,,,
31-03-2024,16:00,Gimnasia,Dep. Riestra,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,2,63,1,Gimnasia,Benjamín Domínguez,0.28,0.52,-1.0,,,,,
31-03-2024,16:00,Gimnasia,Dep. Riestra,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,2,62,45,Dep. Riestra,Pedro Ramírez,0.26,0.49,-1.0,,,,,
31-03-2024,16:00,Gimnasia,Dep. Riestra,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,2,68,45,Gimnasia,Eric Ramírez,-0.55,-0.61,-1.0,,,,,
31-03-2024,16:00,Gimnasia,Dep. Riestra,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,2,78,13,Dep. Riestra,Jonatan Goitía,-0.25,0.83,-1.0,,,,,
31-03-2024,16:00,Gimnasia,Dep. Riestra,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,2,79,59,Gimnasia,Rodrigo Castillo,-0.08,-0.78,-1.0,,,,,
31-03-2024,16:00,Gimnasia,Dep. Riestra,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,2,82,44,Gimnasia,Benjamín Domínguez,0.41,0.8,-1.0,,,,,
31-03-2024,16:00,Gimnasia,Dep. Riestra,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,2,83,44,Gimnasia,Pablo De Blasis,0.18,-0.29,-1.0,,,,,
31-03-2024,16:00,Gimnasia,Dep. Riestra,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,2,84,52,Gimnasia,Lucas Castro,0.53,-0.5,-1.0,,,,,
31-03-2024,16:00,Gimnasia,Dep. Riestra,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,2,84,46,Dep. Riestra,Alan Barrionuevo,-0.5,-0.71,-1.0,,,,,
31-03-2024,16:00,Gimnasia,Dep. Riestra,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,2,85,44,Gimnasia,Agustín Bolívar,0.28,-0.44,-1.0,,,,,
31-03-2024,16:00,Gimnasia,Dep. Riestra,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,2,87,1,Gimnasia,Felipe Sánchez,0.47,0.29,-1.0,,,,,
31-03-2024,16:00,Gimnasia,Dep. Riestra,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,steal,2,88,25,Gimnasia,Lucas Castro,-0.43,-0.53,-1.0,,,,,
31-03-2024,16:00,Gimnasia,Dep. Riestra,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,foul,1,0,24,Gimnasia,Franco Troyansky,0.97,-0.93,-1.0,Yeison Murillo,,,,
31-03-2024,16:00,Gimnasia,Dep. Riestra,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,foul,1,2,9,Dep. Riestra,Jonathan Herrera,-0.49,0.44,-1.0,Juan Pintado,,,,
31-03-2024,16:00,Gimnasia,Dep. Riestra,Argentina - Copa LPF 2024,Juan Carmelo Zerillo,foul,1,6,7,Dep. Riestra,Pedro Ramírez,-0.45,-0.81,-1.0,Nicolás Colazo,,,,
