date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
31-03-2024,21:00,Independiente Riv. (M),Banfield,Argentina - Copa LPF 2024,Bautista Gargantini,steal,1,25,59,Banfield,Ezequiel Bonifacio,0.72,-0.77,-1.0,,,,,
31-03-2024,21:00,Independiente Riv. (M),Banfield,Argentina - Copa LPF 2024,Bautista Gargantini,steal,1,34,44,Independiente Riv. (M),Matías Ruiz Díaz,-0.74,0.76,-1.0,,,,,
31-03-2024,21:00,Independiente Riv. (M),Banfield,Argentina - Copa LPF 2024,Bautista Gargantini,steal,1,45,19,Banfield,,0.59,0.77,-1.0,,,,,
31-03-2024,21:00,Independiente Riv. (M),Banfield,Argentina - Copa LPF 2024,Bautista Gargantini,steal,2,47,14,Banfield,Ignacio Rodríguez,-0.25,-0.41,-1.0,,,,,
31-03-2024,21:00,Independiente Riv. (M),Banfield,Argentina - Copa LPF 2024,Bautista Gargantini,steal,2,50,7,Independiente Riv. (M),Matías Ruiz Díaz,0.72,-0.56,-1.0,,,,,
31-03-2024,21:00,Independiente Riv. (M),Banfield,Argentina - Copa LPF 2024,Bautista Gargantini,steal,2,50,14,Banfield,Ignacio Rodríguez,0.02,-0.76,-1.0,,,,,
31-03-2024,21:00,Independiente Riv. (M),Banfield,Argentina - Copa LPF 2024,Bautista Gargantini,steal,2,52,18,Banfield,Bruno Sepúlveda,0.34,0.48,-1.0,,,,,
31-03-2024,21:00,Independiente Riv. (M),Banfield,Argentina - Copa LPF 2024,Bautista Gargantini,steal,2,53,18,Banfield,Aarón Quirós,-0.93,-0.7,-1.0,,,,,
31-03-2024,21:00,Independiente Riv. (M),Banfield,Argentina - Copa LPF 2024,Bautista Gargantini,steal,2,66,56,Banfield,Jesús Soraire,-0.27,0.54,-1.0,,,,,
31-03-2024,21:00,Independiente Riv. (M),Banfield,Argentina - Copa LPF 2024,Bautista Gargantini,steal,2,70,57,Independiente Riv. (M),Tomás Palacios,0.82,0.88,-1.0,,,,,
31-03-2024,21:00,Independiente Riv. (M),Banfield,Argentina - Copa LPF 2024,Bautista Gargantini,steal,2,83,9,Banfield,Milton Giménez,0.47,-0.29,-1.0,,,,,
31-03-2024,21:00,Independiente Riv. (M),Banfield,Argentina - Copa LPF 2024,Bautista Gargantini,steal,2,87,45,Independiente Riv. (M),Tomás Palacios,0.44,0.74,-1.0,,,,,
31-03-2024,21:00,Independiente Riv. (M),Banfield,Argentina - Copa LPF 2024,Bautista Gargantini,steal,2,93,2,Banfield,Yvo Calleros,-0.31,-0.1,-1.0,,,,,
31-03-2024,21:00,Independiente Riv. (M),Banfield,Argentina - Copa LPF 2024,Bautista Gargantini,foul,1,0,16,Independiente Riv. (M),Fabrizio Sartori,0.42,-0.66,-1.0,Mateo Pérez,,,,
31-03-2024,21:00,Independiente Riv. (M),Banfield,Argentina - Copa LPF 2024,Bautista Gargantini,foul,1,5,24,Banfield,Milton Giménez,-0.34,0.22,-1.0,Francisco Petrasso,,,,
31-03-2024,21:00,Independiente Riv. (M),Banfield,Argentina - Copa LPF 2024,Bautista Gargantini,foul,1,16,25,Banfield,Mateo Pérez,0.03,-0.44,-1.0,Antonio Napolitano,,,,
31-03-2024,21:00,Independiente Riv. (M),Banfield,Argentina - Copa LPF 2024,Bautista Gargantini,foul,1,16,59,Independiente Riv. (M),Gastón Gil Romero,0.13,-0.72,-1.0,Milton Giménez,,,,
31-03-2024,21:00,Independiente Riv. (M),Banfield,Argentina - Copa LPF 2024,Bautista Gargantini,foul,1,28,39,Banfield,Ezequiel Bonifacio,-0.32,-0.47,-1.0,Federico Castro,,,,
31-03-2024,21:00,Independiente Riv. (M),Banfield,Argentina - Copa LPF 2024,Bautista Gargantini,foul,1,30,31,Independiente Riv. (M),Luciano Abecasis,0.48,0.33,-1.0,Mateo Pérez,,,,
31-03-2024,21:00,Independiente Riv. (M),Banfield,Argentina - Copa LPF 2024,Bautista Gargantini,foul,1,34,37,Independiente Riv. (M),Matías Ruiz Díaz,0.09,0.62,-1.0,Ignacio Rodríguez,,,,
31-03-2024,21:00,Independiente Riv. (M),Banfield,Argentina - Copa LPF 2024,Bautista Gargantini,foul,1,37,41,Independiente Riv. (M),Luciano Abecasis,-0.53,-0.37,-1.0,Juan Pablo Álvarez,,,,
31-03-2024,21:00,Independiente Riv. (M),Banfield,Argentina - Copa LPF 2024,Bautista Gargantini,foul,1,44,51,Banfield,Milton Giménez,-0.31,-0.66,-1.0,Tomás Palacios,,,,
31-03-2024,21:00,Independiente Riv. (M),Banfield,Argentina - Copa LPF 2024,Bautista Gargantini,foul,1,45,25,Independiente Riv. (M),Gastón Gil Romero,0.38,0.6,-1.0,,,,,
31-03-2024,21:00,Independiente Riv. (M),Banfield,Argentina - Copa LPF 2024,Bautista Gargantini,foul,1,46,30,Independiente Riv. (M),Matías Ruiz Díaz,-0.38,0.79,-1.0,Ignacio Rodríguez,,,,
31-03-2024,21:00,Independiente Riv. (M),Banfield,Argentina - Copa LPF 2024,Bautista Gargantini,foul,2,46,38,Banfield,Milton Giménez,0.51,0.3,-1.0,Matías Ruiz Díaz,,,,
31-03-2024,21:00,Independiente Riv. (M),Banfield,Argentina - Copa LPF 2024,Bautista Gargantini,foul,2,51,32,Banfield,Juan Pablo Álvarez,-0.08,0.77,-1.0,Tobías Ostchega,,,,
31-03-2024,21:00,Independiente Riv. (M),Banfield,Argentina - Copa LPF 2024,Bautista Gargantini,foul,2,53,20,Independiente Riv. (M),Fabrizio Sartori,-0.89,-0.83,-1.0,Aarón Quirós,,,,
