date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
31-03-2024,18:30,Independiente,Atlético Tucumán,Argentina - Copa LPF 2024,Libertadores de América,steal,1,1,16,Independiente,Iván Marcone,-0.59,0.55,-1.0,,,,,
31-03-2024,18:30,Independiente,Atlético Tucumán,Argentina - Copa LPF 2024,Libertadores de América,steal,1,2,3,Atlético Tucumán,Juan José Infante,0.76,0.59,-1.0,,,,,
31-03-2024,18:30,Independiente,Atlético Tucumán,Argentina - Copa LPF 2024,Libertadores de América,steal,1,2,11,Independiente,Juan Manuel Fedorco,0.02,0.67,-1.0,,,,,
31-03-2024,18:30,Independiente,Atlético Tucumán,Argentina - Copa LPF 2024,Libertadores de América,steal,1,2,31,Independiente,Ayrton Costa,-0.2,-0.12,-1.0,,,,,
31-03-2024,18:30,Independiente,Atlético Tucumán,Argentina - Copa LPF 2024,Libertadores de América,steal,1,5,22,Atlético Tucumán,Marcelo Estigarribia,-0.07,-0.71,-1.0,,,,,
31-03-2024,18:30,Independiente,Atlético Tucumán,Argentina - Copa LPF 2024,Libertadores de América,steal,1,6,18,Independiente,Iván Marcone,-0.59,0.6,-1.0,,,,,
31-03-2024,18:30,Independiente,Atlético Tucumán,Argentina - Copa LPF 2024,Libertadores de América,steal,1,7,13,Atlético Tucumán,Adrián Sánchez,0.52,0.82,-1.0,,,,,
31-03-2024,18:30,Independiente,Atlético Tucumán,Argentina - Copa LPF 2024,Libertadores de América,steal,1,7,26,Independiente,Ayrton Costa,-0.42,0.41,-1.0,,,,,
31-03-2024,18:30,Independiente,Atlético Tucumán,Argentina - Copa LPF 2024,Libertadores de América,steal,1,8,2,Independiente,Alex Luna,0.43,-0.74,-1.0,,,,,
31-03-2024,18:30,Independiente,Atlético Tucumán,Argentina - Copa LPF 2024,Libertadores de América,steal,1,9,37,Atlético Tucumán,Marcelo Estigarribia,0.37,0.38,-1.0,,,,,
31-03-2024,18:30,Independiente,Atlético Tucumán,Argentina - Copa LPF 2024,Libertadores de América,steal,1,10,58,Independiente,Javier Ruiz,0.28,0.67,-1.0,,,,,
31-03-2024,18:30,Independiente,Atlético Tucumán,Argentina - Copa LPF 2024,Libertadores de América,steal,1,11,12,Independiente,Javier Ruiz,0.14,0.64,-1.0,,,,,
31-03-2024,18:30,Independiente,Atlético Tucumán,Argentina - Copa LPF 2024,Libertadores de América,steal,1,11,46,Independiente,Alex Luna,0.44,-0.67,-1.0,,,,,
31-03-2024,18:30,Independiente,Atlético Tucumán,Argentina - Copa LPF 2024,Libertadores de América,steal,1,13,0,Independiente,Iván Marcone,-0.3,-0.24,-1.0,,,,,
31-03-2024,18:30,Independiente,Atlético Tucumán,Argentina - Copa LPF 2024,Libertadores de América,steal,1,14,47,Atlético Tucumán,Adrián Sánchez,0.11,0.84,-1.0,,,,,
31-03-2024,18:30,Independiente,Atlético Tucumán,Argentina - Copa LPF 2024,Libertadores de América,steal,1,14,51,Independiente,Federico Mancuello,0.3,0.41,-1.0,,,,,
31-03-2024,18:30,Independiente,Atlético Tucumán,Argentina - Copa LPF 2024,Libertadores de América,steal,1,15,13,Independiente,Javier Ruiz,-0.26,-0.57,-1.0,,,,,
31-03-2024,18:30,Independiente,Atlético Tucumán,Argentina - Copa LPF 2024,Libertadores de América,steal,1,17,26,Independiente,Federico Mancuello,-0.13,0.05,-1.0,,,,,
31-03-2024,18:30,Independiente,Atlético Tucumán,Argentina - Copa LPF 2024,Libertadores de América,steal,1,17,41,Independiente,Juan Manuel Fedorco,0.31,0.76,-1.0,,,,,
31-03-2024,18:30,Independiente,Atlético Tucumán,Argentina - Copa LPF 2024,Libertadores de América,steal,1,21,43,Independiente,Damián Pérez,-0.32,-0.05,-1.0,,,,,
31-03-2024,18:30,Independiente,Atlético Tucumán,Argentina - Copa LPF 2024,Libertadores de América,steal,1,26,2,Independiente,Iván Marcone,-0.54,0.56,-1.0,,,,,
31-03-2024,18:30,Independiente,Atlético Tucumán,Argentina - Copa LPF 2024,Libertadores de América,steal,1,43,30,Independiente,Mauricio Isla,-0.46,0.53,-1.0,,,,,
31-03-2024,18:30,Independiente,Atlético Tucumán,Argentina - Copa LPF 2024,Libertadores de América,steal,2,58,30,Atlético Tucumán,Agustín Lagos,-0.89,0.55,-1.0,,,,,
31-03-2024,18:30,Independiente,Atlético Tucumán,Argentina - Copa LPF 2024,Libertadores de América,steal,2,59,14,Independiente,Ignacio Maestro Puch,-0.57,0.48,-1.0,,,,,
31-03-2024,18:30,Independiente,Atlético Tucumán,Argentina - Copa LPF 2024,Libertadores de América,steal,2,59,30,Independiente,Ayrton Costa,-0.09,0.55,-1.0,,,,,
31-03-2024,18:30,Independiente,Atlético Tucumán,Argentina - Copa LPF 2024,Libertadores de América,steal,2,59,56,Independiente,Lucas González,0.31,-0.74,-1.0,,,,,
31-03-2024,18:30,Independiente,Atlético Tucumán,Argentina - Copa LPF 2024,Libertadores de América,steal,2,61,35,Atlético Tucumán,Guillermo Acosta,-0.13,0.04,-1.0,,,,,
31-03-2024,18:30,Independiente,Atlético Tucumán,Argentina - Copa LPF 2024,Libertadores de América,steal,2,63,19,Independiente,Iván Marcone,0.2,-0.26,-1.0,,,,,
31-03-2024,18:30,Independiente,Atlético Tucumán,Argentina - Copa LPF 2024,Libertadores de América,steal,2,64,52,Independiente,Iván Marcone,0.36,0.29,-1.0,,,,,
31-03-2024,18:30,Independiente,Atlético Tucumán,Argentina - Copa LPF 2024,Libertadores de América,steal,2,68,5,Atlético Tucumán,Mateo Coronel,0.81,-0.75,-1.0,,,,,
