date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
31-03-2024,16:00,Sarmiento,Newell`s,Argentina - Copa LPF 2024,Eva Perón,steal,1,4,56,Newell`s,Rodrigo Fernández,0.14,0.18,-1.0,,,,,
31-03-2024,16:00,Sarmiento,Newell`s,Argentina - Copa LPF 2024,Eva Perón,steal,1,6,30,Sarmiento,Diego Calcaterra,-0.07,0.68,-1.0,,,,,
31-03-2024,16:00,Sarmiento,Newell`s,Argentina - Copa LPF 2024,Eva Perón,steal,1,9,38,Sarmiento,Fernando Godoy,-0.37,-0.74,-1.0,,,,,
31-03-2024,16:00,Sarmiento,Newell`s,Argentina - Copa LPF 2024,Eva Perón,steal,1,11,58,Newell`s,Leonel Vangioni,0.49,0.45,-1.0,,,,,
31-03-2024,16:00,Sarmiento,Newell`s,Argentina - Copa LPF 2024,Eva Perón,steal,1,13,8,Sarmiento,Fernando Godoy,-0.26,-0.24,-1.0,,,,,
31-03-2024,16:00,Sarmiento,Newell`s,Argentina - Copa LPF 2024,Eva Perón,steal,1,13,10,Newell`s,Armando Méndez,-0.44,-0.4,-1.0,,,,,
31-03-2024,16:00,Sarmiento,Newell`s,Argentina - Copa LPF 2024,Eva Perón,steal,1,13,57,Newell`s,Leonel Vangioni,0.74,0.2,-1.0,,,,,
31-03-2024,16:00,Sarmiento,Newell`s,Argentina - Copa LPF 2024,Eva Perón,steal,1,17,23,Sarmiento,Gabriel Díaz,0.12,-0.79,-1.0,,,,,
31-03-2024,16:00,Sarmiento,Newell`s,Argentina - Copa LPF 2024,Eva Perón,steal,1,20,54,Newell`s,Víctor Velázquez,-0.19,-0.5,-1.0,,,,,
31-03-2024,16:00,Sarmiento,Newell`s,Argentina - Copa LPF 2024,Eva Perón,steal,1,22,55,Sarmiento,Emanuel Hernández,0.47,0.58,-1.0,,,,,
31-03-2024,16:00,Sarmiento,Newell`s,Argentina - Copa LPF 2024,Eva Perón,steal,1,23,50,Newell`s,Rodrigo Fernández,0.63,-0.36,-1.0,,,,,
31-03-2024,16:00,Sarmiento,Newell`s,Argentina - Copa LPF 2024,Eva Perón,steal,1,37,18,Sarmiento,Elías López,-0.66,0.87,-1.0,,,,,
31-03-2024,16:00,Sarmiento,Newell`s,Argentina - Copa LPF 2024,Eva Perón,steal,1,37,11,Newell`s,Misael Jaime,0.41,0.62,-1.0,,,,,
31-03-2024,16:00,Sarmiento,Newell`s,Argentina - Copa LPF 2024,Eva Perón,steal,1,38,51,Newell`s,Rodrigo Fernández,-0.3,-0.22,-1.0,,,,,
31-03-2024,16:00,Sarmiento,Newell`s,Argentina - Copa LPF 2024,Eva Perón,steal,1,39,58,Sarmiento,Gabriel Díaz,-0.12,-0.4,-1.0,,,,,
31-03-2024,16:00,Sarmiento,Newell`s,Argentina - Copa LPF 2024,Eva Perón,steal,1,40,55,Sarmiento,Elías López,-0.39,-0.55,-1.0,,,,,
31-03-2024,16:00,Sarmiento,Newell`s,Argentina - Copa LPF 2024,Eva Perón,steal,1,43,31,Newell`s,Rodrigo Fernández,0.25,-0.42,-1.0,,,,,
31-03-2024,16:00,Sarmiento,Newell`s,Argentina - Copa LPF 2024,Eva Perón,steal,1,44,7,Newell`s,Rodrigo Fernández,-0.38,0.49,-1.0,,,,,
31-03-2024,16:00,Sarmiento,Newell`s,Argentina - Copa LPF 2024,Eva Perón,steal,2,52,20,Newell`s,Ángelo Martino,-0.51,-0.58,-1.0,,,,,
31-03-2024,16:00,Sarmiento,Newell`s,Argentina - Copa LPF 2024,Eva Perón,steal,2,56,31,Newell`s,Julián Fernández,0.3,-0.01,-1.0,,,,,
31-03-2024,16:00,Sarmiento,Newell`s,Argentina - Copa LPF 2024,Eva Perón,steal,2,56,55,Sarmiento,Yair Arismendi,0.43,-0.65,-1.0,,,,,
31-03-2024,16:00,Sarmiento,Newell`s,Argentina - Copa LPF 2024,Eva Perón,steal,2,58,59,Newell`s,Leonel Vangioni,-0.87,0.51,-1.0,,,,,
31-03-2024,16:00,Sarmiento,Newell`s,Argentina - Copa LPF 2024,Eva Perón,steal,2,63,54,Newell`s,Rodrigo Fernández,-0.54,0.61,-1.0,,,,,
31-03-2024,16:00,Sarmiento,Newell`s,Argentina - Copa LPF 2024,Eva Perón,steal,2,64,16,Sarmiento,Yair Arismendi,0.25,-0.6,-1.0,,,,,
31-03-2024,16:00,Sarmiento,Newell`s,Argentina - Copa LPF 2024,Eva Perón,steal,2,70,46,Sarmiento,Fernando Godoy,-0.2,-0.39,-1.0,,,,,
31-03-2024,16:00,Sarmiento,Newell`s,Argentina - Copa LPF 2024,Eva Perón,steal,2,85,27,Newell`s,Giovani Chiaverano,-0.58,-0.69,-1.0,,,,,
31-03-2024,16:00,Sarmiento,Newell`s,Argentina - Copa LPF 2024,Eva Perón,steal,2,86,51,Sarmiento,Nahuel Gallardo,0.34,0.6,-1.0,,,,,
31-03-2024,16:00,Sarmiento,Newell`s,Argentina - Copa LPF 2024,Eva Perón,steal,2,94,11,Newell`s,Matko Miljevic,-0.45,-0.63,-1.0,,,,,
31-03-2024,16:00,Sarmiento,Newell`s,Argentina - Copa LPF 2024,Eva Perón,foul,1,0,18,Sarmiento,Gabriel Díaz,-0.13,-0.67,-1.0,Misael Jaime,,,,
31-03-2024,16:00,Sarmiento,Newell`s,Argentina - Copa LPF 2024,Eva Perón,foul,1,6,30,Sarmiento,Fernando Godoy,0.16,0.76,-1.0,Esteban Fernández,,,,
31-03-2024,16:00,Sarmiento,Newell`s,Argentina - Copa LPF 2024,Eva Perón,foul,1,11,3,Newell`s,Juan Ignacio Ramírez,-0.46,0.53,-1.0,Emanuel Hernández,,,,
31-03-2024,16:00,Sarmiento,Newell`s,Argentina - Copa LPF 2024,Eva Perón,foul,1,19,18,Newell`s,Rodrigo Fernández,0.41,0.34,-1.0,Manuel Mónaco,,,,
31-03-2024,16:00,Sarmiento,Newell`s,Argentina - Copa LPF 2024,Eva Perón,foul,1,21,52,Newell`s,Ángelo Martino,-0.51,0.74,-1.0,Elías López,,,,
31-03-2024,16:00,Sarmiento,Newell`s,Argentina - Copa LPF 2024,Eva Perón,foul,1,24,36,Sarmiento,Diego Calcaterra,-0.38,0.22,-1.0,Esteban Fernández,,,,
31-03-2024,16:00,Sarmiento,Newell`s,Argentina - Copa LPF 2024,Eva Perón,foul,1,28,9,Newell`s,Rodrigo Fernández,0.4,0.1,-1.0,Joaquín Gho,,,,
31-03-2024,16:00,Sarmiento,Newell`s,Argentina - Copa LPF 2024,Eva Perón,foul,1,45,33,Sarmiento,Manuel Mónaco,0.22,0.49,-1.0,Esteban Fernández,,,,
31-03-2024,16:00,Sarmiento,Newell`s,Argentina - Copa LPF 2024,Eva Perón,foul,2,45,44,Sarmiento,Joaquín Gho,0.37,-0.11,-1.0,Julián Fernández,,,,
31-03-2024,16:00,Sarmiento,Newell`s,Argentina - Copa LPF 2024,Eva Perón,foul,2,46,35,Newell`s,Esteban Fernández,,,,,,,,
31-03-2024,16:00,Sarmiento,Newell`s,Argentina - Copa LPF 2024,Eva Perón,foul,2,49,38,Newell`s,Misael Jaime,0.46,-0.62,-1.0,Yair Arismendi,,,,
31-03-2024,16:00,Sarmiento,Newell`s,Argentina - Copa LPF 2024,Eva Perón,foul,2,52,23,Sarmiento,Manuel Mónaco,-0.41,-0.54,-1.0,Ángelo Martino,,,,
31-03-2024,16:00,Sarmiento,Newell`s,Argentina - Copa LPF 2024,Eva Perón,foul,2,54,30,Sarmiento,Diego Calcaterra,0.1,-0.13,-1.0,Esteban Fernández,,,,
31-03-2024,16:00,Sarmiento,Newell`s,Argentina - Copa LPF 2024,Eva Perón,foul,2,57,25,Sarmiento,Gabriel Díaz,0.39,0.53,-1.0,Armando Méndez,,,,
31-03-2024,16:00,Sarmiento,Newell`s,Argentina - Copa LPF 2024,Eva Perón,foul,2,66,51,Newell`s,Rodrigo Fernández,0.39,0.54,-1.0,Manuel Mónaco,,,,
31-03-2024,16:00,Sarmiento,Newell`s,Argentina - Copa LPF 2024,Eva Perón,foul,2,71,13,Newell`s,Rodrigo Fernández,-0.34,0.51,-1.0,Sergio Quiroga,,,,
31-03-2024,16:00,Sarmiento,Newell`s,Argentina - Copa LPF 2024,Eva Perón,foul,2,76,18,Sarmiento,Sergio Quiroga,0.31,-0.62,-1.0,Matko Miljevic,,,,
31-03-2024,16:00,Sarmiento,Newell`s,Argentina - Copa LPF 2024,Eva Perón,foul,2,78,17,Sarmiento,Emanuel Hernández,0.76,0.45,-1.0,Giovani Chiaverano,,,,
31-03-2024,16:00,Sarmiento,Newell`s,Argentina - Copa LPF 2024,Eva Perón,foul,2,81,32,Newell`s,Giovani Chiaverano,-0.8,-0.81,-1.0,Yair Arismendi,,,,
31-03-2024,16:00,Sarmiento,Newell`s,Argentina - Copa LPF 2024,Eva Perón,foul,2,87,12,Sarmiento,Fernando Godoy,0.33,0.5,-1.0,Fabricio Tirado,,,,
31-03-2024,16:00,Sarmiento,Newell`s,Argentina - Copa LPF 2024,Eva Perón,foul,2,95,13,Newell`s,Giovani Chiaverano,0.45,-0.45,-1.0,Fernando Godoy,,,,
31-03-2024,16:00,Sarmiento,Newell`s,Argentina - Copa LPF 2024,Eva Perón,foul,2,94,0,Sarmiento,David Gallardo,-0.28,0.1,-1.0,Matko Miljevic,,,,
31-03-2024,16:00,Sarmiento,Newell`s,Argentina - Copa LPF 2024,Eva Perón,foul,2,63,37,Sarmiento,Fernando Godoy,-0.38,-0.8,-1.0,Ángelo Martino,,,,
31-03-2024,16:00,Sarmiento,Newell`s,Argentina - Copa LPF 2024,Eva Perón,foul,2,70,0,Newell`s,Leonel Vangioni,-0.31,-0.76,-1.0,Yair Arismendi,,,,
31-03-2024,16:00,Sarmiento,Newell`s,Argentina - Copa LPF 2024,Eva Perón,shot,1,1,41,Sarmiento,Manuel Mónaco,0.71,0.1,-1.0,,0.99,0.23,-1.0,
31-03-2024,16:00,Sarmiento,Newell`s,Argentina - Copa LPF 2024,Eva Perón,shot,1,5,49,Newell`s,Misael Jaime,-0.39,0.22,-1.0,Fernando Monetti,-0.93,0.01,0.46,
31-03-2024,16:00,Sarmiento,Newell`s,Argentina - Copa LPF 2024,Eva Perón,shot,1,9,54,Sarmiento,Joaquín Gho,0.45,0.08,-1.0,Ramiro Macagno,0.91,0.02,0.18,
31-03-2024,16:00,Sarmiento,Newell`s,Argentina - Copa LPF 2024,Eva Perón,shot,1,17,55,Sarmiento,Fernando Godoy,0.37,-0.18,-1.0,,0.99,-0.28,-1.0,
