date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
05-04-2024,21:00,Banfield,Independiente,Argentina - Copa LPF 2024,Florencio Sola,steal,1,1,19,Banfield,Ezequiel Bonifacio,-0.67,0.66,-1.0,,,,,
05-04-2024,21:00,Banfield,Independiente,Argentina - Copa LPF 2024,Florencio Sola,steal,1,2,48,Banfield,Aarón Quirós,-0.62,-0.09,-1.0,,,,,
05-04-2024,21:00,Banfield,Independiente,Argentina - Copa LPF 2024,Florencio Sola,steal,1,5,29,Banfield,Yvo Calleros,-0.3,-0.37,-1.0,,,,,
05-04-2024,21:00,Banfield,Independiente,Argentina - Copa LPF 2024,Florencio Sola,steal,1,7,26,Independiente,Juan Manuel Fedorco,0.92,-0.78,-1.0,,,,,
05-04-2024,21:00,Banfield,Independiente,Argentina - Copa LPF 2024,Florencio Sola,steal,1,8,35,Banfield,Ezequiel Bonifacio,-0.8,0.36,-1.0,,,,,
05-04-2024,21:00,Banfield,Independiente,Argentina - Copa LPF 2024,Florencio Sola,steal,1,14,32,Banfield,Yvo Calleros,-0.22,0.19,-1.0,,,,,
05-04-2024,21:00,Banfield,Independiente,Argentina - Copa LPF 2024,Florencio Sola,steal,1,31,59,Banfield,,-0.79,-0.55,-1.0,,,,,
05-04-2024,21:00,Banfield,Independiente,Argentina - Copa LPF 2024,Florencio Sola,steal,1,48,6,Banfield,Aarón Quirós,-0.65,0.19,-1.0,,,,,
05-04-2024,21:00,Banfield,Independiente,Argentina - Copa LPF 2024,Florencio Sola,steal,1,48,32,Independiente,Juan Manuel Fedorco,-0.14,-0.76,-1.0,,,,,
05-04-2024,21:00,Banfield,Independiente,Argentina - Copa LPF 2024,Florencio Sola,steal,2,47,48,Banfield,Ignacio Rodríguez,0.3,0.86,-1.0,,,,,
05-04-2024,21:00,Banfield,Independiente,Argentina - Copa LPF 2024,Florencio Sola,steal,2,48,23,Banfield,Juan Pablo Álvarez,-0.09,-0.7,-1.0,,,,,
05-04-2024,21:00,Banfield,Independiente,Argentina - Copa LPF 2024,Florencio Sola,steal,2,59,7,Independiente,Jhonny Quiñónez,-0.24,-0.27,-1.0,,,,,
05-04-2024,21:00,Banfield,Independiente,Argentina - Copa LPF 2024,Florencio Sola,steal,2,79,34,Banfield,,0.2,0.67,-1.0,,,,,
05-04-2024,21:00,Banfield,Independiente,Argentina - Copa LPF 2024,Florencio Sola,steal,2,87,47,Banfield,Cristian Núñez,-0.35,-0.23,-1.0,,,,,
05-04-2024,21:00,Banfield,Independiente,Argentina - Copa LPF 2024,Florencio Sola,steal,2,89,7,Banfield,Braian Galván,-0.46,0.44,-1.0,,,,,
05-04-2024,21:00,Banfield,Independiente,Argentina - Copa LPF 2024,Florencio Sola,foul,1,2,57,Independiente,Lucas González,-0.47,-0.22,-1.0,Aarón Quirós,,,,
05-04-2024,21:00,Banfield,Independiente,Argentina - Copa LPF 2024,Florencio Sola,foul,1,3,50,Banfield,Milton Giménez,0.42,-0.7,-1.0,Joaquín Laso,,,,
05-04-2024,21:00,Banfield,Independiente,Argentina - Copa LPF 2024,Florencio Sola,foul,1,9,2,Independiente,Mauricio Isla,-0.94,-0.82,-1.0,,,,,
05-04-2024,21:00,Banfield,Independiente,Argentina - Copa LPF 2024,Florencio Sola,foul,1,11,0,Banfield,Ignacio Rodríguez,-0.09,-0.06,-1.0,David Martínez,,,,
05-04-2024,21:00,Banfield,Independiente,Argentina - Copa LPF 2024,Florencio Sola,foul,1,14,32,Independiente,David Martínez,,,,,,,,
05-04-2024,21:00,Banfield,Independiente,Argentina - Copa LPF 2024,Florencio Sola,foul,1,17,19,Independiente,Lucas González,-0.19,0.56,-1.0,Jesús Soraire,,,,
05-04-2024,21:00,Banfield,Independiente,Argentina - Copa LPF 2024,Florencio Sola,foul,1,19,23,Banfield,Alejandro Maciel,-0.84,0.77,-1.0,Gabriel Ávalos,,,,
