date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
05-04-2024,19:30,Vélez,Argentinos Juniors,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,1,3,30,Argentinos Juniors,Thiago Santamaría,0.31,-0.34,-1.0,,,,,
05-04-2024,19:30,Vélez,Argentinos Juniors,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,1,3,21,Vélez,Christian Ordóñez,0.2,0.22,-1.0,,,,,
05-04-2024,19:30,Vélez,Argentinos Juniors,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,1,6,7,Vélez,Damián Fernández,-0.24,-0.38,-1.0,,,,,
05-04-2024,19:30,Vélez,Argentinos Juniors,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,1,7,0,Argentinos Juniors,Alan Rodríguez,0.06,-0.04,-1.0,,,,,
05-04-2024,19:30,Vélez,Argentinos Juniors,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,1,8,19,Argentinos Juniors,Maximiliano Romero,0.0,-0.45,-1.0,,,,,
05-04-2024,19:30,Vélez,Argentinos Juniors,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,1,8,23,Vélez,Emanuel Mammana,-0.51,0.03,-1.0,,,,,
05-04-2024,19:30,Vélez,Argentinos Juniors,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,1,9,43,Argentinos Juniors,Nicolás Oroz,0.32,0.77,-1.0,,,,,
05-04-2024,19:30,Vélez,Argentinos Juniors,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,1,10,32,Vélez,Christian Ordóñez,-0.27,0.32,-1.0,,,,,
05-04-2024,19:30,Vélez,Argentinos Juniors,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,1,14,24,Vélez,Agustín Bouzat,0.3,0.04,-1.0,,,,,
05-04-2024,19:30,Vélez,Argentinos Juniors,Argentina - Copa LPF 2024,Estadio José Amalfitani,steal,1,16,31,Argentinos Juniors,Nicolás Oroz,-0.4,0.63,-1.0,,,,,
