date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
06-04-2024,19:15,Estudiantes,Central Córdoba (SE),Argentina - Copa LPF 2024,Jorge Luis Hirschi,steal,1,13,2,Estudiantes,Zaid Romero,0.06,-0.54,-1.0,,,,,
06-04-2024,19:15,Estudiantes,Central Córdoba (SE),Argentina - Copa LPF 2024,Jorge Luis Hirschi,steal,1,20,43,Estudiantes,Eros Mancuso,0.13,0.71,-1.0,,,,,
06-04-2024,19:15,Estudiantes,Central Córdoba (SE),Argentina - Copa LPF 2024,Jorge Luis Hirschi,steal,1,21,53,Central Córdoba (SE),Dardo Miloc,0.46,-0.37,-1.0,,,,,
06-04-2024,19:15,Estudiantes,Central Córdoba (SE),Argentina - Copa LPF 2024,Jorge Luis Hirschi,steal,1,22,57,Central Córdoba (SE),Sebastián Valdez,0.38,-0.67,-1.0,,,,,
06-04-2024,19:15,Estudiantes,Central Córdoba (SE),Argentina - Copa LPF 2024,Jorge Luis Hirschi,steal,1,34,7,Estudiantes,Santiago Ascacíbar,0.29,-0.29,-1.0,,,,,
06-04-2024,19:15,Estudiantes,Central Córdoba (SE),Argentina - Copa LPF 2024,Jorge Luis Hirschi,steal,1,42,19,Central Córdoba (SE),Rodrigo Atencio,0.03,0.03,-1.0,,,,,
06-04-2024,19:15,Estudiantes,Central Córdoba (SE),Argentina - Copa LPF 2024,Jorge Luis Hirschi,steal,2,48,27,Estudiantes,Santiago Ascacíbar,0.68,-0.39,-1.0,,,,,
06-04-2024,19:15,Estudiantes,Central Córdoba (SE),Argentina - Copa LPF 2024,Jorge Luis Hirschi,steal,2,51,23,Estudiantes,Tiago Palacios,0.13,0.33,-1.0,,,,,
06-04-2024,19:15,Estudiantes,Central Córdoba (SE),Argentina - Copa LPF 2024,Jorge Luis Hirschi,steal,2,51,21,Central Córdoba (SE),Fernando Torrent,-0.02,0.53,-1.0,,,,,
06-04-2024,19:15,Estudiantes,Central Córdoba (SE),Argentina - Copa LPF 2024,Jorge Luis Hirschi,steal,2,51,45,Central Córdoba (SE),Sebastián Valdez,-0.43,0.08,-1.0,,,,,
06-04-2024,19:15,Estudiantes,Central Córdoba (SE),Argentina - Copa LPF 2024,Jorge Luis Hirschi,steal,2,52,2,Central Córdoba (SE),Oscar Garrido,-0.43,0.56,-1.0,,,,,
06-04-2024,19:15,Estudiantes,Central Córdoba (SE),Argentina - Copa LPF 2024,Jorge Luis Hirschi,steal,2,55,46,Estudiantes,Edwuin Cetré,-0.46,0.52,-1.0,,,,,
