date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
06-04-2024,17:00,Newell`s,Boca Juniors,Argentina - Copa LPF 2024,Marcelo Bielsa,steal,1,1,12,Boca Juniors,Luis Adví­ncula,0.35,-0.42,-1.0,,,,,
06-04-2024,17:00,Newell`s,Boca Juniors,Argentina - Copa LPF 2024,Marcelo Bielsa,steal,1,1,22,Boca Juniors,Luca Langoni,-0.33,-0.48,-1.0,,,,,
06-04-2024,17:00,Newell`s,Boca Juniors,Argentina - Copa LPF 2024,Marcelo Bielsa,steal,1,1,21,Newell`s,Misael Jaime,-0.66,-0.74,-1.0,,,,,
06-04-2024,17:00,Newell`s,Boca Juniors,Argentina - Copa LPF 2024,Marcelo Bielsa,steal,1,2,44,Newell`s,Víctor Velázquez,-0.57,-0.12,-1.0,,,,,
06-04-2024,17:00,Newell`s,Boca Juniors,Argentina - Copa LPF 2024,Marcelo Bielsa,steal,1,6,25,Boca Juniors,Cristian Medina,-0.57,-0.52,-1.0,,,,,
06-04-2024,17:00,Newell`s,Boca Juniors,Argentina - Copa LPF 2024,Marcelo Bielsa,steal,1,11,25,Newell`s,Armando Méndez,-0.61,0.29,-1.0,,,,,
06-04-2024,17:00,Newell`s,Boca Juniors,Argentina - Copa LPF 2024,Marcelo Bielsa,steal,1,12,29,Newell`s,Armando Méndez,-0.47,0.4,-1.0,,,,,
06-04-2024,17:00,Newell`s,Boca Juniors,Argentina - Copa LPF 2024,Marcelo Bielsa,steal,1,12,49,Boca Juniors,Kevin Zenón,-0.52,0.38,-1.0,,,,,
06-04-2024,17:00,Newell`s,Boca Juniors,Argentina - Copa LPF 2024,Marcelo Bielsa,steal,1,12,47,Newell`s,Julián Fernández,-0.33,0.02,-1.0,,,,,
06-04-2024,17:00,Newell`s,Boca Juniors,Argentina - Copa LPF 2024,Marcelo Bielsa,steal,1,23,8,Newell`s,Ever Banega,-0.33,-0.19,-1.0,,,,,
06-04-2024,17:00,Newell`s,Boca Juniors,Argentina - Copa LPF 2024,Marcelo Bielsa,steal,1,28,37,Boca Juniors,Luis Adví­ncula,0.38,-0.4,-1.0,,,,,
06-04-2024,17:00,Newell`s,Boca Juniors,Argentina - Copa LPF 2024,Marcelo Bielsa,steal,1,28,51,Newell`s,Misael Jaime,0.08,-0.56,-1.0,,,,,
06-04-2024,17:00,Newell`s,Boca Juniors,Argentina - Copa LPF 2024,Marcelo Bielsa,steal,1,28,59,Boca Juniors,Ezequiel Fernández,0.34,-0.38,-1.0,,,,,
06-04-2024,17:00,Newell`s,Boca Juniors,Argentina - Copa LPF 2024,Marcelo Bielsa,steal,1,29,24,Boca Juniors,Cristian Lema,0.5,-0.08,-1.0,,,,,
06-04-2024,17:00,Newell`s,Boca Juniors,Argentina - Copa LPF 2024,Marcelo Bielsa,steal,1,34,25,Boca Juniors,Kevin Zenón,0.13,0.11,-1.0,,,,,
06-04-2024,17:00,Newell`s,Boca Juniors,Argentina - Copa LPF 2024,Marcelo Bielsa,steal,1,37,8,Boca Juniors,Cristian Lema,0.43,-0.2,-1.0,,,,,
06-04-2024,17:00,Newell`s,Boca Juniors,Argentina - Copa LPF 2024,Marcelo Bielsa,steal,1,47,1,Boca Juniors,Ezequiel Fernández,0.54,0.05,-1.0,,,,,
06-04-2024,17:00,Newell`s,Boca Juniors,Argentina - Copa LPF 2024,Marcelo Bielsa,steal,2,48,45,Boca Juniors,Ezequiel Fernández,-0.83,-0.47,-1.0,,,,,
06-04-2024,17:00,Newell`s,Boca Juniors,Argentina - Copa LPF 2024,Marcelo Bielsa,steal,2,51,35,Boca Juniors,Ezequiel Fernández,-0.46,-0.36,-1.0,,,,,
06-04-2024,17:00,Newell`s,Boca Juniors,Argentina - Copa LPF 2024,Marcelo Bielsa,steal,2,54,10,Boca Juniors,Kevin Zenón,-0.34,0.54,-1.0,,,,,
