date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
06-04-2024,19:15,San Lorenzo,Defensa y Justicia,Argentina - Copa LPF 2024,Pedro Bidegain,steal,1,2,8,San Lorenzo,Alexis Cuello,-0.4,-0.79,-1.0,,,,,
06-04-2024,19:15,San Lorenzo,Defensa y Justicia,Argentina - Copa LPF 2024,Pedro Bidegain,steal,1,2,58,San Lorenzo,Eric Remedi,-0.34,0.79,-1.0,,,,,
06-04-2024,19:15,San Lorenzo,Defensa y Justicia,Argentina - Copa LPF 2024,Pedro Bidegain,steal,1,3,27,Defensa y Justicia,Ezequiel Cannavó,0.62,-0.83,-1.0,,,,,
06-04-2024,19:15,San Lorenzo,Defensa y Justicia,Argentina - Copa LPF 2024,Pedro Bidegain,steal,1,22,20,San Lorenzo,Iván Tapia,-0.45,0.07,-1.0,,,,,
06-04-2024,19:15,San Lorenzo,Defensa y Justicia,Argentina - Copa LPF 2024,Pedro Bidegain,steal,1,26,47,San Lorenzo,Ezequiel Cerutti,0.28,-0.34,-1.0,,,,,
06-04-2024,19:15,San Lorenzo,Defensa y Justicia,Argentina - Copa LPF 2024,Pedro Bidegain,steal,1,28,23,San Lorenzo,Gonzalo Luján,0.46,0.13,-1.0,,,,,
06-04-2024,19:15,San Lorenzo,Defensa y Justicia,Argentina - Copa LPF 2024,Pedro Bidegain,steal,1,33,54,San Lorenzo,Jeremías James,-0.8,-0.73,-1.0,,,,,
06-04-2024,19:15,San Lorenzo,Defensa y Justicia,Argentina - Copa LPF 2024,Pedro Bidegain,steal,1,35,14,San Lorenzo,Eric Remedi,0.08,-0.12,-1.0,,,,,
06-04-2024,19:15,San Lorenzo,Defensa y Justicia,Argentina - Copa LPF 2024,Pedro Bidegain,steal,1,35,38,San Lorenzo,Gonzalo Luján,-0.64,-0.02,-1.0,,,,,
06-04-2024,19:15,San Lorenzo,Defensa y Justicia,Argentina - Copa LPF 2024,Pedro Bidegain,steal,1,37,26,San Lorenzo,Tobías Medina,0.83,0.79,-1.0,,,,,
06-04-2024,19:15,San Lorenzo,Defensa y Justicia,Argentina - Copa LPF 2024,Pedro Bidegain,steal,2,45,59,San Lorenzo,Eric Remedi,-0.22,-0.87,-1.0,,,,,
06-04-2024,19:15,San Lorenzo,Defensa y Justicia,Argentina - Copa LPF 2024,Pedro Bidegain,steal,2,51,28,San Lorenzo,Gonzalo Luján,-0.14,-0.78,-1.0,,,,,
06-04-2024,19:15,San Lorenzo,Defensa y Justicia,Argentina - Copa LPF 2024,Pedro Bidegain,steal,2,57,52,San Lorenzo,Alexis Cuello,0.16,0.45,-1.0,,,,,
06-04-2024,19:15,San Lorenzo,Defensa y Justicia,Argentina - Copa LPF 2024,Pedro Bidegain,steal,2,65,21,San Lorenzo,Carlos Sánchez,0.74,0.07,-1.0,,,,,
06-04-2024,19:15,San Lorenzo,Defensa y Justicia,Argentina - Copa LPF 2024,Pedro Bidegain,steal,2,72,6,San Lorenzo,Carlos Sánchez,0.17,-0.63,-1.0,,,,,
06-04-2024,19:15,San Lorenzo,Defensa y Justicia,Argentina - Copa LPF 2024,Pedro Bidegain,steal,2,72,43,San Lorenzo,Gonzalo Luján,-0.23,-0.86,-1.0,,,,,
06-04-2024,19:15,San Lorenzo,Defensa y Justicia,Argentina - Copa LPF 2024,Pedro Bidegain,steal,2,73,25,San Lorenzo,Eric Remedi,0.37,-0.38,-1.0,,,,,
06-04-2024,19:15,San Lorenzo,Defensa y Justicia,Argentina - Copa LPF 2024,Pedro Bidegain,steal,2,75,53,San Lorenzo,Iván Tapia,0.2,-0.76,-1.0,,,,,
06-04-2024,19:15,San Lorenzo,Defensa y Justicia,Argentina - Copa LPF 2024,Pedro Bidegain,steal,2,81,5,San Lorenzo,Tomás Porra,0.42,0.1,-1.0,,,,,
06-04-2024,19:15,San Lorenzo,Defensa y Justicia,Argentina - Copa LPF 2024,Pedro Bidegain,steal,2,82,55,San Lorenzo,Nahuel Arias,0.83,-0.55,-1.0,,,,,
06-04-2024,19:15,San Lorenzo,Defensa y Justicia,Argentina - Copa LPF 2024,Pedro Bidegain,steal,2,83,45,San Lorenzo,Tobías Medina,-0.33,-0.38,-1.0,,,,,
06-04-2024,19:15,San Lorenzo,Defensa y Justicia,Argentina - Copa LPF 2024,Pedro Bidegain,steal,2,87,42,San Lorenzo,Nahuel Arias,0.88,-0.62,-1.0,,,,,
06-04-2024,19:15,San Lorenzo,Defensa y Justicia,Argentina - Copa LPF 2024,Pedro Bidegain,steal,2,88,58,San Lorenzo,Nahuel Arias,0.75,-0.79,-1.0,,,,,
06-04-2024,19:15,San Lorenzo,Defensa y Justicia,Argentina - Copa LPF 2024,Pedro Bidegain,foul,1,3,9,Defensa y Justicia,Luciano Herrera,-0.39,0.76,-1.0,Eric Remedi,,,,
06-04-2024,19:15,San Lorenzo,Defensa y Justicia,Argentina - Copa LPF 2024,Pedro Bidegain,foul,1,11,21,Defensa y Justicia,Elías Calderón,0.18,-0.68,-1.0,Cristian Tarragona,,,,
06-04-2024,19:15,San Lorenzo,Defensa y Justicia,Argentina - Copa LPF 2024,Pedro Bidegain,foul,1,11,51,San Lorenzo,Iván Tapia,,,,,,,,
06-04-2024,19:15,San Lorenzo,Defensa y Justicia,Argentina - Copa LPF 2024,Pedro Bidegain,foul,1,13,23,Defensa y Justicia,Elías Calderón,0.45,0.09,-1.0,Alexis Cuello,,,,
06-04-2024,19:15,San Lorenzo,Defensa y Justicia,Argentina - Copa LPF 2024,Pedro Bidegain,foul,1,15,23,Defensa y Justicia,Esteban Burgos,0.59,0.06,-1.0,Eric Remedi,,,,
06-04-2024,19:15,San Lorenzo,Defensa y Justicia,Argentina - Copa LPF 2024,Pedro Bidegain,foul,1,18,28,San Lorenzo,Eric Remedi,-0.24,0.13,-1.0,Rodrigo Bogarín,,,,
06-04-2024,19:15,San Lorenzo,Defensa y Justicia,Argentina - Copa LPF 2024,Pedro Bidegain,foul,1,24,10,San Lorenzo,Jeremías James,-0.36,-0.59,-1.0,Nicolás Palavecino,,,,
06-04-2024,19:15,San Lorenzo,Defensa y Justicia,Argentina - Copa LPF 2024,Pedro Bidegain,foul,1,25,52,Defensa y Justicia,Alexis Soto,,,,,,,,
06-04-2024,19:15,San Lorenzo,Defensa y Justicia,Argentina - Copa LPF 2024,Pedro Bidegain,foul,1,32,8,Defensa y Justicia,Darío Cáceres,-0.04,0.12,-1.0,Ezequiel Cerutti,,,,
06-04-2024,19:15,San Lorenzo,Defensa y Justicia,Argentina - Copa LPF 2024,Pedro Bidegain,foul,1,34,45,Defensa y Justicia,Alexis Soto,-0.57,-0.37,-1.0,Eric Remedi,,,,
06-04-2024,19:15,San Lorenzo,Defensa y Justicia,Argentina - Copa LPF 2024,Pedro Bidegain,foul,1,36,11,Defensa y Justicia,Alexis Soto,-0.35,-0.64,-1.0,Nicolás Hernández,,,,
