date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
06-04-2024,21:30,Talleres,Independiente Riv. (M),Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,1,18,30,Talleres,Kevin Mantilla,-0.39,0.39,-1.0,,,,,
06-04-2024,21:30,Talleres,Independiente Riv. (M),Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,1,40,40,Independiente Riv. (M),Diego Tonetto,0.25,0.79,-1.0,,,,,
06-04-2024,21:30,Talleres,Independiente Riv. (M),Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,1,41,8,Independiente Riv. (M),Francisco Maidana,0.23,0.48,-1.0,,,,,
06-04-2024,21:30,Talleres,Independiente Riv. (M),Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,2,52,17,Talleres,Luis Sequeira,0.17,-0.09,-1.0,,,,,
06-04-2024,21:30,Talleres,Independiente Riv. (M),Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,2,66,26,Talleres,Gustavo Bou,-0.03,0.59,-1.0,,,,,
06-04-2024,21:30,Talleres,Independiente Riv. (M),Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,2,67,53,Independiente Riv. (M),Tomás Palacios,-0.1,-0.7,-1.0,,,,,
06-04-2024,21:30,Talleres,Independiente Riv. (M),Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,2,72,25,Independiente Riv. (M),Tomás Palacios,-0.78,-0.75,-1.0,,,,,
06-04-2024,21:30,Talleres,Independiente Riv. (M),Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,2,72,58,Independiente Riv. (M),Diego Tonetto,-0.61,-0.65,-1.0,,,,,
06-04-2024,21:30,Talleres,Independiente Riv. (M),Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,2,72,37,Talleres,Ulises Ortegoza,-0.22,-0.49,-1.0,,,,,
06-04-2024,21:30,Talleres,Independiente Riv. (M),Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,2,74,6,Talleres,Matías Galarza,0.32,0.6,-1.0,,,,,
06-04-2024,21:30,Talleres,Independiente Riv. (M),Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,2,90,11,Independiente Riv. (M),Francisco Maidana,-0.3,0.2,-1.0,,,,,
06-04-2024,21:30,Talleres,Independiente Riv. (M),Argentina - Copa LPF 2024,Mario Alberto Kempes,steal,2,90,15,Talleres,Matías Galarza,-0.12,0.13,-1.0,,,,,
06-04-2024,21:30,Talleres,Independiente Riv. (M),Argentina - Copa LPF 2024,Mario Alberto Kempes,foul,1,1,48,Talleres,Matías Galarza,-0.14,0.71,-1.0,Francisco Maidana,,,,
06-04-2024,21:30,Talleres,Independiente Riv. (M),Argentina - Copa LPF 2024,Mario Alberto Kempes,foul,1,4,44,Independiente Riv. (M),Álvaro Dionisio,0.15,-0.77,-1.0,Nahuel Bustos,,,,
06-04-2024,21:30,Talleres,Independiente Riv. (M),Argentina - Copa LPF 2024,Mario Alberto Kempes,foul,1,5,1,Independiente Riv. (M),Diego Tonetto,-0.3,0.7,-1.0,Alex Vigo,,,,
06-04-2024,21:30,Talleres,Independiente Riv. (M),Argentina - Copa LPF 2024,Mario Alberto Kempes,foul,1,9,15,Independiente Riv. (M),Ezequiel Ham,0.3,-0.11,-1.0,Matías Galarza,,,,
06-04-2024,21:30,Talleres,Independiente Riv. (M),Argentina - Copa LPF 2024,Mario Alberto Kempes,foul,1,14,13,Independiente Riv. (M),Federico Castro,-0.78,-0.06,-1.0,Lautaro Morales,,,,
06-04-2024,21:30,Talleres,Independiente Riv. (M),Argentina - Copa LPF 2024,Mario Alberto Kempes,foul,1,14,34,Independiente Riv. (M),Matías Reali,-0.33,0.74,-1.0,Kevin Mantilla,,,,
06-04-2024,21:30,Talleres,Independiente Riv. (M),Argentina - Copa LPF 2024,Mario Alberto Kempes,foul,1,20,0,Talleres,Juan Carlos Portillo,-0.25,0.61,-1.0,Matías Reali,,,,
06-04-2024,21:30,Talleres,Independiente Riv. (M),Argentina - Copa LPF 2024,Mario Alberto Kempes,foul,1,21,55,Talleres,Luis Sequeira,0.39,0.24,-1.0,Francisco Maidana,,,,
06-04-2024,21:30,Talleres,Independiente Riv. (M),Argentina - Copa LPF 2024,Mario Alberto Kempes,foul,1,22,51,Independiente Riv. (M),Federico Castro,-0.46,0.42,-1.0,Kevin Mantilla,,,,
06-04-2024,21:30,Talleres,Independiente Riv. (M),Argentina - Copa LPF 2024,Mario Alberto Kempes,foul,1,24,43,Talleres,Nahuel Bustos,0.82,0.06,-1.0,Tomás Palacios,,,,
06-04-2024,21:30,Talleres,Independiente Riv. (M),Argentina - Copa LPF 2024,Mario Alberto Kempes,foul,1,28,37,Independiente Riv. (M),Federico Castro,-0.43,-0.34,-1.0,Juan Carlos Portillo,,,,
06-04-2024,21:30,Talleres,Independiente Riv. (M),Argentina - Copa LPF 2024,Mario Alberto Kempes,foul,1,30,38,Talleres,Juan Carlos Portillo,0.26,-0.82,-1.0,Matías Reali,,,,
06-04-2024,21:30,Talleres,Independiente Riv. (M),Argentina - Copa LPF 2024,Mario Alberto Kempes,foul,1,31,46,Independiente Riv. (M),Matías Reali,0.34,-0.9,-1.0,Blas Riveros,,,,
06-04-2024,21:30,Talleres,Independiente Riv. (M),Argentina - Copa LPF 2024,Mario Alberto Kempes,foul,1,38,23,Talleres,Alejandro Martínez,-0.44,-0.73,-1.0,Matías Ruiz Díaz,,,,
06-04-2024,21:30,Talleres,Independiente Riv. (M),Argentina - Copa LPF 2024,Mario Alberto Kempes,foul,1,41,26,Talleres,Blas Riveros,-0.3,-0.52,-1.0,Diego Tonetto,,,,
06-04-2024,21:30,Talleres,Independiente Riv. (M),Argentina - Copa LPF 2024,Mario Alberto Kempes,foul,2,48,8,Independiente Riv. (M),Tomás Palacios,0.09,-0.74,-1.0,Alejandro Martínez,,,,
06-04-2024,21:30,Talleres,Independiente Riv. (M),Argentina - Copa LPF 2024,Mario Alberto Kempes,foul,2,56,17,Talleres,Luis Sequeira,0.35,0.82,-1.0,Álvaro Dionisio,,,,
06-04-2024,21:30,Talleres,Independiente Riv. (M),Argentina - Copa LPF 2024,Mario Alberto Kempes,foul,2,59,39,Independiente Riv. (M),Tobías Ostchega,-0.39,-0.62,-1.0,Matías Galarza,,,,
06-04-2024,21:30,Talleres,Independiente Riv. (M),Argentina - Copa LPF 2024,Mario Alberto Kempes,foul,2,61,45,Talleres,Nahuel Bustos,-0.48,-0.17,-1.0,Ezequiel Ham,,,,
06-04-2024,21:30,Talleres,Independiente Riv. (M),Argentina - Copa LPF 2024,Mario Alberto Kempes,foul,2,68,53,Independiente Riv. (M),Francisco Maidana,-0.23,0.58,-1.0,Matías Galarza,,,,
06-04-2024,21:30,Talleres,Independiente Riv. (M),Argentina - Copa LPF 2024,Mario Alberto Kempes,foul,2,68,59,Talleres,Nahuel Bustos,-0.48,-0.47,-1.0,Tomás Palacios,,,,
06-04-2024,21:30,Talleres,Independiente Riv. (M),Argentina - Copa LPF 2024,Mario Alberto Kempes,foul,2,79,13,Independiente Riv. (M),Diego Tonetto,-0.1,0.07,-1.0,Ulises Ortegoza,,,,
06-04-2024,21:30,Talleres,Independiente Riv. (M),Argentina - Copa LPF 2024,Mario Alberto Kempes,foul,2,82,55,Independiente Riv. (M),Francisco Maidana,0.34,-0.27,-1.0,Ulises Ortegoza,,,,
06-04-2024,21:30,Talleres,Independiente Riv. (M),Argentina - Copa LPF 2024,Mario Alberto Kempes,foul,2,83,17,Independiente Riv. (M),Diego Tonetto,-0.43,-0.68,-1.0,Matías Galarza,,,,
06-04-2024,21:30,Talleres,Independiente Riv. (M),Argentina - Copa LPF 2024,Mario Alberto Kempes,foul,2,86,59,Independiente Riv. (M),Fabrizio Sartori,,,,,,,,
06-04-2024,21:30,Talleres,Independiente Riv. (M),Argentina - Copa LPF 2024,Mario Alberto Kempes,foul,2,77,0,Talleres,Juan Carlos Portillo,-0.24,0.26,-1.0,Francisco Maidana,,,,
06-04-2024,21:30,Talleres,Independiente Riv. (M),Argentina - Copa LPF 2024,Mario Alberto Kempes,shot,1,6,38,Talleres,Matías Galarza,0.46,-0.3,-1.0,Francisco Petrasso,0.77,-0.09,0.18,
06-04-2024,21:30,Talleres,Independiente Riv. (M),Argentina - Copa LPF 2024,Mario Alberto Kempes,shot,1,18,56,Talleres,Gustavo Bou,0.7,-0.05,-1.0,,0.99,0.3,-1.0,
06-04-2024,21:30,Talleres,Independiente Riv. (M),Argentina - Copa LPF 2024,Mario Alberto Kempes,shot,1,23,49,Talleres,Luis Sequeira,0.57,-0.33,-1.0,Francisco Petrasso,0.74,-0.22,0.56,
06-04-2024,21:30,Talleres,Independiente Riv. (M),Argentina - Copa LPF 2024,Mario Alberto Kempes,shot,1,26,26,Independiente Riv. (M),Federico Castro,-0.77,0.07,-1.0,,-0.98,0.04,0.67,
