date,scheduled_start,home_team,away_team,competition,stadium_name,type,half,minute,second,team,player,coord_1_x,coord_1_y,coord_1_z,receiver,coord_2_x,coord_2_y,coord_2_z,reason
06-04-2024,21:30,Unión,Belgrano,Argentina - Copa LPF 2024,15 de abril,steal,1,5,51,Belgrano,Alejandro Rébola,0.63,0.21,-1.0,,,,,
06-04-2024,21:30,Unión,Belgrano,Argentina - Copa LPF 2024,15 de abril,steal,1,15,21,Belgrano,Bryan Reyna,0.92,0.66,-1.0,,,,,
06-04-2024,21:30,Unión,Belgrano,Argentina - Copa LPF 2024,15 de abril,steal,1,31,20,Unión,Joaquín Mosqueira,-0.4,0.49,-1.0,,,,,
06-04-2024,21:30,Unión,Belgrano,Argentina - Copa LPF 2024,15 de abril,steal,1,37,27,Unión,Joaquín Mosqueira,0.0,0.09,-1.0,,,,,
06-04-2024,21:30,Unión,Belgrano,Argentina - Copa LPF 2024,15 de abril,steal,1,41,33,Unión,Mauro Luna Diale,-0.18,0.27,-1.0,,,,,
06-04-2024,21:30,Unión,Belgrano,Argentina - Copa LPF 2024,15 de abril,steal,2,46,52,Unión,Bruno Pittón,0.54,0.64,-1.0,,,,,
06-04-2024,21:30,Unión,Belgrano,Argentina - Copa LPF 2024,15 de abril,steal,2,49,53,Belgrano,Nicolás Meriano,-0.82,-0.59,-1.0,,,,,
06-04-2024,21:30,Unión,Belgrano,Argentina - Copa LPF 2024,15 de abril,steal,2,71,9,Unión,Federico Vera,-0.25,-0.24,-1.0,,,,,
06-04-2024,21:30,Unión,Belgrano,Argentina - Copa LPF 2024,15 de abril,steal,2,77,18,Belgrano,Matías Moreno,-0.73,0.46,-1.0,,,,,
06-04-2024,21:30,Unión,Belgrano,Argentina - Copa LPF 2024,15 de abril,steal,2,84,30,Unión,Claudio Corvalán,0.33,-0.06,-1.0,,,,,
06-04-2024,21:30,Unión,Belgrano,Argentina - Copa LPF 2024,15 de abril,foul,1,3,39,Belgrano,Nicolás Meriano,0.73,0.78,-1.0,Lucas Gamba,,,,
06-04-2024,21:30,Unión,Belgrano,Argentina - Copa LPF 2024,15 de abril,foul,1,5,3,Unión,Claudio Corvalán,-0.13,-0.77,-1.0,Matías García,,,,
06-04-2024,21:30,Unión,Belgrano,Argentina - Copa LPF 2024,15 de abril,foul,1,7,36,Belgrano,Bryan Reyna,-0.5,0.3,-1.0,Franco Pardo,,,,
06-04-2024,21:30,Unión,Belgrano,Argentina - Copa LPF 2024,15 de abril,foul,1,12,14,Belgrano,Franco Jara,-0.35,-0.03,-1.0,Joaquín Mosqueira,,,,
06-04-2024,21:30,Unión,Belgrano,Argentina - Copa LPF 2024,15 de abril,foul,1,12,41,Unión,Bruno Pittón,-0.33,-0.74,-1.0,Matías García,,,,
06-04-2024,21:30,Unión,Belgrano,Argentina - Copa LPF 2024,15 de abril,foul,1,14,16,Belgrano,Alejandro Rébola,0.36,0.65,-1.0,Adrián Balboa,,,,
06-04-2024,21:30,Unión,Belgrano,Argentina - Copa LPF 2024,15 de abril,foul,1,20,41,Unión,Adrián Balboa,0.24,0.06,-1.0,Franco Jara,,,,
06-04-2024,21:30,Unión,Belgrano,Argentina - Copa LPF 2024,15 de abril,foul,1,21,41,Unión,Thiago Cardozo,-0.74,-0.3,-1.0,Franco Jara,,,,
06-04-2024,21:30,Unión,Belgrano,Argentina - Copa LPF 2024,15 de abril,foul,1,29,30,Unión,Miguel Ángel Torrén,0.63,0.04,-1.0,Santiago Longo,,,,
06-04-2024,21:30,Unión,Belgrano,Argentina - Copa LPF 2024,15 de abril,foul,1,30,42,Unión,Federico Vera,-0.1,0.7,-1.0,Franco Jara,,,,
06-04-2024,21:30,Unión,Belgrano,Argentina - Copa LPF 2024,15 de abril,foul,1,31,28,Unión,Lucas Gamba,0.57,0.78,-1.0,Matías Moreno,,,,
06-04-2024,21:30,Unión,Belgrano,Argentina - Copa LPF 2024,15 de abril,foul,1,33,30,Belgrano,Matías Moreno,0.52,0.26,-1.0,Adrián Balboa,,,,
06-04-2024,21:30,Unión,Belgrano,Argentina - Copa LPF 2024,15 de abril,foul,1,42,45,Belgrano,Matías García,-0.22,0.57,-1.0,Franco Pardo,,,,
06-04-2024,21:30,Unión,Belgrano,Argentina - Copa LPF 2024,15 de abril,foul,1,43,43,Unión,Federico Vera,-0.19,0.68,-1.0,Bryan Reyna,,,,
06-04-2024,21:30,Unión,Belgrano,Argentina - Copa LPF 2024,15 de abril,foul,1,44,52,Unión,Claudio Corvalán,0.25,-0.62,-1.0,Matías García,,,,
06-04-2024,21:30,Unión,Belgrano,Argentina - Copa LPF 2024,15 de abril,foul,2,48,32,Belgrano,Juan Ignacio Barinaga,0.8,0.86,-1.0,Claudio Corvalán,,,,
06-04-2024,21:30,Unión,Belgrano,Argentina - Copa LPF 2024,15 de abril,foul,2,52,36,Belgrano,Nicolás Meriano,-0.89,-0.87,-1.0,Federico Vera,,,,
06-04-2024,21:30,Unión,Belgrano,Argentina - Copa LPF 2024,15 de abril,foul,2,53,51,Unión,Mauro Luna Diale,0.29,0.58,-1.0,Santiago Longo,,,,
06-04-2024,21:30,Unión,Belgrano,Argentina - Copa LPF 2024,15 de abril,foul,2,55,48,Belgrano,Franco Jara,-0.26,0.38,-1.0,Miguel Ángel Torrén,,,,
06-04-2024,21:30,Unión,Belgrano,Argentina - Copa LPF 2024,15 de abril,foul,2,56,3,Unión,Patricio Tanda,-0.28,0.48,-1.0,Matías García,,,,
06-04-2024,21:30,Unión,Belgrano,Argentina - Copa LPF 2024,15 de abril,foul,2,59,57,Belgrano,Pablo Chavarría,-0.22,0.28,-1.0,Patricio Tanda,,,,
06-04-2024,21:30,Unión,Belgrano,Argentina - Copa LPF 2024,15 de abril,foul,2,60,22,Belgrano,Pablo Chavarría,-0.2,-0.82,-1.0,Lucas Gamba,,,,
06-04-2024,21:30,Unión,Belgrano,Argentina - Copa LPF 2024,15 de abril,foul,2,63,45,Unión,Franco Pardo,0.18,-0.82,-1.0,Bryan Reyna,,,,
06-04-2024,21:30,Unión,Belgrano,Argentina - Copa LPF 2024,15 de abril,foul,2,65,44,Unión,Nicolás Orsini,0.36,-0.52,-1.0,Matías García,,,,
06-04-2024,21:30,Unión,Belgrano,Argentina - Copa LPF 2024,15 de abril,foul,2,69,33,Belgrano,Francisco González Metilli,-0.44,0.61,-1.0,Claudio Corvalán,,,,
06-04-2024,21:30,Unión,Belgrano,Argentina - Copa LPF 2024,15 de abril,foul,2,70,56,Belgrano,Matías García,0.29,0.2,-1.0,Miguel Ángel Torrén,,,,
06-04-2024,21:30,Unión,Belgrano,Argentina - Copa LPF 2024,15 de abril,foul,2,73,24,Unión,Lucas Gamba,-0.43,-0.36,-1.0,Francisco González Metilli,,,,
06-04-2024,21:30,Unión,Belgrano,Argentina - Copa LPF 2024,15 de abril,foul,2,73,49,Belgrano,Pablo Chavarría,0.29,-0.34,-1.0,Franco Pardo,,,,
06-04-2024,21:30,Unión,Belgrano,Argentina - Copa LPF 2024,15 de abril,foul,2,74,13,Belgrano,Nicolás Meriano,-0.46,-0.41,-1.0,Nicolás Orsini,,,,
06-04-2024,21:30,Unión,Belgrano,Argentina - Copa LPF 2024,15 de abril,foul,2,75,52,Unión,Patricio Tanda,-0.4,-0.55,-1.0,Bryan Reyna,,,,
06-04-2024,21:30,Unión,Belgrano,Argentina - Copa LPF 2024,15 de abril,foul,2,82,27,Belgrano,Santiago Longo,-0.42,0.66,-1.0,Mauro Luna Diale,,,,
06-04-2024,21:30,Unión,Belgrano,Argentina - Copa LPF 2024,15 de abril,foul,2,85,4,Unión,Miguel Ángel Torrén,0.33,0.65,-1.0,Bryan Reyna,,,,
06-04-2024,21:30,Unión,Belgrano,Argentina - Copa LPF 2024,15 de abril,foul,2,86,33,Unión,Thiago Cardozo,0.34,0.1,-1.0,Esteban Rolón,,,,
06-04-2024,21:30,Unión,Belgrano,Argentina - Copa LPF 2024,15 de abril,foul,2,89,38,Unión,Miguel Ángel Torrén,-0.25,0.42,-1.0,Pablo Chavarría,,,,
06-04-2024,21:30,Unión,Belgrano,Argentina - Copa LPF 2024,15 de abril,foul,2,93,24,Belgrano,Alejandro Rébola,-0.07,-0.39,-1.0,Nicolás Orsini,,,,
06-04-2024,21:30,Unión,Belgrano,Argentina - Copa LPF 2024,15 de abril,foul,2,94,20,Belgrano,Pablo Chavarría,0.08,0.46,-1.0,Claudio Corvalán,,,,
06-04-2024,21:30,Unión,Belgrano,Argentina - Copa LPF 2024,15 de abril,shot,1,2,36,Belgrano,Franco Jara,-0.81,0.02,-1.0,,-0.99,0.06,0.77,
06-04-2024,21:30,Unión,Belgrano,Argentina - Copa LPF 2024,15 de abril,shot,1,4,19,Unión,Bruno Pittón,0.74,0.82,-1.0,Ignacio Chicco,0.96,0.12,0.96,
06-04-2024,21:30,Unión,Belgrano,Argentina - Copa LPF 2024,15 de abril,shot,1,2,31,Belgrano,Gerónimo Heredia,-0.72,-0.09,-1.0,Franco Pardo,-0.82,-0.01,0.51,
06-04-2024,21:30,Unión,Belgrano,Argentina - Copa LPF 2024,15 de abril,shot,1,18,46,Belgrano,Matías Marín,-0.67,0.03,-1.0,,-0.97,0.38,-1.0,
06-04-2024,21:30,Unión,Belgrano,Argentina - Copa LPF 2024,15 de abril,shot,1,23,13,Belgrano,Franco Jara,-0.73,0.02,-1.0,,-1.0,0.15,0.16,
